rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Germán Rodezel @UCj8-o-AOsl6elcsjVDAc1JA,2100000.0,2.1,Costa Rica,,618000.0,youtube,costa-rica,False,2024,,
2,Al AHLY TV @UCmeqakSoEdmxEtTnCFSbunw,1900000.0,,Costa Rica,,561000.0,youtube,costa-rica,False,2024,,
3,La Habitación Oscura @UCJLxCZnSr19-2qr8arbppWA,1800000.0,0.4,Costa Rica,,537000.0,youtube,costa-rica,False,2024,,
4,La cultura para todos @UCtttZpjrsMvm9YHjR3rB5fQ,1200000.0,,Costa Rica,,366000.0,youtube,costa-rica,False,2024,,
5,Superlibro @UCu9-HLbjEbczQDBXzEqaSVQ,1100000.0,,Costa Rica,,321000.0,youtube,costa-rica,False,2024,,
6,Fabii Puffle @UC2TCmZmRi2twi9Ycn34tfkQ,953000.0,0.1,Costa Rica,,285900.0,youtube,costa-rica,False,2024,,
7,Jose Gonzalez @UCb_V4bF50eX6pekMsziQI7w,836000.0,0.2,Costa Rica,,250800.0,youtube,costa-rica,False,2024,,
8,Cocina con Jenny @UCOgb8SNPgGjK0CyHz6N3fSQ,695000.0,,Costa Rica,,208500.0,youtube,costa-rica,False,2024,,
9,Pao CH @UC327Ph1qmZl5Ny0LKP6mmHw,578000.0,,Costa Rica,,173400.0,youtube,costa-rica,False,2024,,
10,Sarah Steller Beauty @UCaw-2FYtedq50jXWMLKHidA,498000.0,,Costa Rica,,149400.0,youtube,costa-rica,False,2024,,
11,Kaleta Senpai @UCmNU9dmhrP9evWqyjuweRWA,484000.0,1.2,Costa Rica,,145200.0,youtube,costa-rica,False,2024,,
12,Fabricio Alvarado @UCDuXt79QnnLjCUzXwd-5CXQ,457000.0,,Costa Rica,,137100.0,youtube,costa-rica,False,2024,,
13,Betesda La alternativa natural @UC0fcnCzeRithSR-JeRAs7bA,447000.0,,Costa Rica,,134100.0,youtube,costa-rica,False,2024,,
14,Teletica Costa Rica @UCOC6n5gbktagxIUrQrp42yw,421000.0,,Costa Rica,,126300.0,youtube,costa-rica,False,2024,,
15,CocoChickyy @UCh9kz9gfvKC9bk5E6VgZ4uw,402000.0,0.4,Costa Rica,,120600.0,youtube,costa-rica,False,2024,,
16,𝐒𝐡𝐢𝐧𝐧𝐨𝐛𝐮 @UCMKrq2mFp-qfXAuPwtMyT4A,401000.0,0.3,Costa Rica,,120300.0,youtube,costa-rica,False,2024,,
17,PLACE @UCo3BbgAZgkT7T7rEag6KRdw,380000.0,,Costa Rica,,114000.0,youtube,costa-rica,False,2024,,
18,l o s t @UCkGO30BMaWyxncIspVE6rEQ,359000.0,1.4,Costa Rica,,107700.0,youtube,costa-rica,False,2024,,
19,Noticias Repretel @UCr6TeVofbyCvtCdxV_niQKQ,358000.0,,Costa Rica,,107400.0,youtube,costa-rica,False,2024,,
20,Olivia Kissper @UCtc8gcFs2KXRzpV5iwJA8-w,321000.0,,Costa Rica,Art Music,96300.0,youtube,costa-rica,False,2024,Music,MAPPED
21,jrcodjmix @UCpPeFul_f-9LlZwiknz9RHg,304000.0,,Costa Rica,,91200.0,youtube,costa-rica,False,2024,,
22,Leonardo Morales ELECTRO REPARACIONES LMC @UCUimmvfAqo4dwCvXfd5Tv_g,295000.0,0.1,Costa Rica,,88500.0,youtube,costa-rica,False,2024,,
23,Araya Vlogs @UCnZWFiZOtbKPWkRVSqhnJ8A,278000.0,1.9,Costa Rica,,83400.0,youtube,costa-rica,False,2024,,
24,KALETA @UCRMqEJlE1YTyTn8D6eFJs_Q,271000.0,0.3,Costa Rica,,81300.0,youtube,costa-rica,False,2024,,
25,TH Videos @UC8dhmdTkTYsFJA76rLzkW_w,260000.0,,Costa Rica,,78000.0,youtube,costa-rica,False,2024,,
26,Veggie ASMR @UCsyTa7gUV3851U_TypwXiDQ,251000.0,2.2,Costa Rica,,75300.0,youtube,costa-rica,False,2024,,
27,gizmog @UCvFLa4R3serolvK7AI_F2PQ,249000.0,0.1,Costa Rica,,74700.0,youtube,costa-rica,False,2024,,
28,Vision de Impacto @UCbVxlF7Iw9f2tHxywhHKRNw,242000.0,,Costa Rica,,72600.0,youtube,costa-rica,False,2024,,
29,El Plexpero @UCW7nCUJ_sL7_BkkKTPxtohw,241000.0,,Costa Rica,,72300.0,youtube,costa-rica,False,2024,,
30,JimmyTutoriales @UCYcD1L2-7-rtpwMwLbSS4RQ,239000.0,,Costa Rica,,71700.0,youtube,costa-rica,False,2024,,
31,MERIDIANO84 @UCGy75lud0JZ-Y3u24ArrsWQ,230000.0,0.3,Costa Rica,,69000.0,youtube,costa-rica,False,2024,,
32,Patchwork and Quilting Clases Mininos de Sanchez @UCBQZqkX3AZ35QlXBL-fX1Ig,229000.0,,Costa Rica,Art Medical Health,68700.0,youtube,costa-rica,False,2024,Knowledge&Info,MAPPED
33,lavencas @UCVi6f0e0XfDLqnwhkXQEIhw,208000.0,,Costa Rica,,62400.0,youtube,costa-rica,False,2024,,
34,Joy Of Gaming @UCCIR3AdAbybtkNgINS9UyNA,192000.0,0.2,Costa Rica,,57600.0,youtube,costa-rica,False,2024,,
35,Yo Soy Pollo @UCIzWZNqR7-KvXWEQTZcGi2Q,184000.0,,Costa Rica,,55200.0,youtube,costa-rica,False,2024,,
36,Latin Christian News @UCDcbgT6x4yLYfdGNfjv-j3g,177000.0,,Costa Rica,,53100.0,youtube,costa-rica,False,2024,,
37,Nicaragua Investiga @UCOdrgFoGUWZnzf5X1LEINSg,168000.0,,Costa Rica,,50400.0,youtube,costa-rica,False,2024,,
38,Makiura YT @UCCHBoslnQ4W1TS9KMeTk8cA,165000.0,,Costa Rica,,49500.0,youtube,costa-rica,False,2024,,
39,Grupo935 @UC166mooc0TLNFlIad_8Q9pw,161000.0,,Costa Rica,,48300.0,youtube,costa-rica,False,2024,,
40,Momuscraft @UCmas0tuuuHnWz8IDC3bM2xQ,150000.0,,Costa Rica,,45000.0,youtube,costa-rica,False,2024,,
41,Fabiana Alvarado @UC-NklU-D5gFqdTj4o9UQa_Q,147000.0,0.1,Costa Rica,,44100.0,youtube,costa-rica,False,2024,,
42,Blonde Balayage Hair TV @UCBRMLQmvxd8oebRft6-RS7A,145000.0,0.1,Costa Rica,,43500.0,youtube,costa-rica,False,2024,,
43,Gaby Unaplay @UCKurldz6_RXiSj5AB_nl1sA,141000.0,,Costa Rica,,42300.0,youtube,costa-rica,False,2024,,
44,Mr LAG @UCSmx-JMcELcd2t2m07WHNsQ,140000.0,,Costa Rica,,42000.0,youtube,costa-rica,False,2024,,
45,Kreativa-T @UCYbspwY_62yQ8OM0t2CrN_w,139000.0,,Costa Rica,,41700.0,youtube,costa-rica,False,2024,,
46,8Bit CR @UC711clzNtwXwzMJNEt7ypJg,136000.0,,Costa Rica,,40800.0,youtube,costa-rica,False,2024,,
47,L00FUL YT @UCzi8sQ5LWeznutTVjAuSFMw,130000.0,,Costa Rica,,39000.0,youtube,costa-rica,False,2024,,
48,Oráculo Tarot @UCwXmkk3cPuKFoK2xINJtP-g,130000.0,,Costa Rica,,39000.0,youtube,costa-rica,False,2024,,
49,Teacher Clau @UC3DikydeVEpmBwzQyiYcxeA,127000.0,,Costa Rica,,38100.0,youtube,costa-rica,False,2024,,
50,Official Gimario @UC85G6cPnGE14FyaDfUaj6AQ,121000.0,12.8,Costa Rica,,36300.0,youtube,costa-rica,False,2024,,
