rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Julemanden fra Skive @julemandenfraskive,2100000.0,,Denmark,Entertainment and Music,630000.0,tiktok,denmark,False,2024,Music,MAPPED
2,"Sav • PharmD, IBCLC @rx0rcist",1300000.0,1.4,Denmark,Product Showcase Education Finance,390000.0,tiktok,denmark,False,2024,Beauty&Fashion,MAPPED
3,لمبة Lampa @lampa_gaming,1300000.0,,Denmark,Games,390000.0,tiktok,denmark,False,2024,Tech&Gaming,MAPPED
4,Kelly Louise Killjoy @kellylouisekilljoy,1200000.0,0.1,Denmark,Fashion and Accessories,360000.0,tiktok,denmark,False,2024,Beauty&Fashion,MAPPED
5,Lukas Graham @lukasgraham,981000.0,,Denmark,Entertainment and Music,294300.0,tiktok,denmark,False,2024,Music,MAPPED
6,Stanley @stanley.mov,942600.0,,Denmark,,282800.0,tiktok,denmark,False,2024,,
7,Brianmengel @brianmengel,830900.0,,Denmark,Sports,249300.0,tiktok,denmark,False,2024,Sports,MAPPED
8,fidget._.toys @www.fidget._.toys,802000.0,,Denmark,,240600.0,tiktok,denmark,False,2024,,
9,Leona Nørskov Jørgen @norskovmusic,695400.0,0.1,Denmark,,208600.0,tiktok,denmark,False,2024,,
10,Missenell @missenell,689500.0,,Denmark,,206900.0,tiktok,denmark,False,2024,,
11,ana @ana.artzz,640200.0,2.5,Denmark,,192100.0,tiktok,denmark,False,2024,,
12,Alexander Clausen @alexanderclausen11,591200.0,,Denmark,,177400.0,tiktok,denmark,False,2024,,
13,blue_blood_cfc 🐢 @blue_blood_cfc,527600.0,0.2,Denmark,Sports,158300.0,tiktok,denmark,False,2024,Sports,MAPPED
14,T @migthbelookingfor,486100.0,,Denmark,,145800.0,tiktok,denmark,False,2024,,
15,Michael Linnet @michaellinnet,452600.0,,Denmark,,135800.0,tiktok,denmark,False,2024,,
16,Tonsser @tonsser,441300.0,,Denmark,Sports,132400.0,tiktok,denmark,False,2024,Sports,MAPPED
17,Danish @danish_official33,407200.0,,Denmark,,122200.0,tiktok,denmark,False,2024,,
18,ILHAN @turkprotiktok,403800.0,0.2,Denmark,,121100.0,tiktok,denmark,False,2024,,
19,꧁𝐀𝐜𝐓𝐢𝐕𝐨꧂ @xx_.tae_hyung,384700.0,,Denmark,,115400.0,tiktok,denmark,False,2024,,
20,Crainer @crainer,382000.0,0.1,Denmark,,114600.0,tiktok,denmark,False,2024,,
21,Twitchin_Plays @twitchin_plays,375000.0,,Denmark,,112500.0,tiktok,denmark,False,2024,,
22,abstract eco-artist @rachelmishaelstudio,364900.0,,Denmark,Arts and Crafts,109500.0,tiktok,denmark,False,2024,Lifestyle,MAPPED
23,ariakaltun @ariakaltun,361900.0,0.3,Denmark,Fashion and Accessories Photography,108600.0,tiktok,denmark,False,2024,Beauty&Fashion,MAPPED
24,Oumar Koné 🇩🇰🇨🇮🇧🇷 @oumarkone882,357000.0,,Denmark,,107100.0,tiktok,denmark,False,2024,,
25,Copenhagen Bandit @copenhagenbandit420,354800.0,0.4,Denmark,Entertainment and Music,106400.0,tiktok,denmark,False,2024,Music,MAPPED
26,Lalee Records @laleerecords,337900.0,,Denmark,,101400.0,tiktok,denmark,False,2024,,
27,陈文龙 @wenniedapoo,314500.0,0.2,Denmark,,94400.0,tiktok,denmark,False,2024,,
28,Hubertthegolden @hubertthegoldenretriever,314300.0,,Denmark,,94300.0,tiktok,denmark,False,2024,,
29,Mathilde & Rosa @mathildeandrosa,304100.0,1.6,Denmark,Entertainment and Music,91200.0,tiktok,denmark,False,2024,Music,MAPPED
