rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Kevlex Pazmiño @kevlexd,5100000.0,0.21,Ecuador,Fashion Singer Actors Music,1500000.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
2,Danilo Carrera @danilocarrerah,3800000.0,0.6,Ecuador,Life and Society Acting and Drama Celebrity Actors,1100000.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
3,Pongamoslo a prueba @pongamoslo_a_prueba,3300000.0,2.28,Ecuador,,977500.0,instagram,ecuador,False,2024,,
4,Roberto Manrique @robertomanrique13,3200000.0,0.15,Ecuador,Acting and Drama Education Animals Entertainment and Music,964600.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
5,Anthony Lencina @anthonnyswagg,2900000.0,15.06,Ecuador,Fashion Fashion and Accessories Business and Finance Actors,882400.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
6,Mayita arizaga @mayitaarizaga,2500000.0,3.0,Ecuador,family Fashion and Accessories Business and Finance Actors,761500.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
7,Lcda. Sofia Caiche Romero @sofiacaiche,2400000.0,0.59,Ecuador,Fitness and Health Arts and Crafts Travel Virtualization,726800.0,instagram,ecuador,False,2024,Sports,MAPPED
8,Samantha Grey 🇪🇨 @samanthagreyb,2400000.0,0.54,Ecuador,,723900.0,instagram,ecuador,False,2024,,
9,Erika Velez @erikavelez,2400000.0,1.14,Ecuador,Fashion and Accessories Celebrity Actors,709500.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
10,AMBAR MONTENEGRO @ambaritamar1,2200000.0,0.66,Ecuador,Virtualization Actors,670800.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
11,WIFI MONEY™️ @amoeller,2100000.0,1.44,Ecuador,Business and Finance Finance,631300.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
12,En Contacto - Ecuavisa @encontactoecuavisa,2100000.0,0.07,Ecuador,Entertainment and Music Business and Finance Actors,625300.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
13,Yuleysi Coca Suarez @yuleysicocasuarez,2000000.0,0.32,Ecuador,Entertainment and Music Virtualization Actors,606700.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
14,Michela PinBu @michelapinbu,1900000.0,0.73,Ecuador,Entertainment and Music Beauty and Self Care Business and Finance Actors,557400.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
15,Indi Skovar @indi_skovar,1700000.0,6.48,Ecuador,Travel Entertainment and Music,517400.0,instagram,ecuador,False,2024,Music,MAPPED
16,Domenica Saporiti @domesprt,1600000.0,6.03,Ecuador,Entertainment and Music Actors,482600.0,instagram,ecuador,False,2024,Music,MAPPED
17,María Teresa Guerrero @flacaguerrerog,1500000.0,0.4,Ecuador,Fitness and Health Travel family Actors,460100.0,instagram,ecuador,False,2024,Sports,MAPPED
18,MACHALA THE GREAT @carterefe,1500000.0,10.91,Ecuador,Fitness and Health Celebrity,448800.0,instagram,ecuador,False,2024,Sports,MAPPED
19,FERNANDA GALLARDO💕 @fergallardook,1500000.0,0.89,Ecuador,Actors Virtualization,444300.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
20,María Fernanda Ríos/Empoderamiento femenino. @mariafernandariosoficial,1500000.0,0.59,Ecuador,Acting and Drama Fashion and Accessories Beauty and Self Care Marketing and Advertising,438300.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
21,SAMANTHA INTRIAGO MAKEUP•BEAUTY•INFLUENCER @samanthaintriagomua,1400000.0,5.58,Ecuador,Beauty and Self Care Education,405500.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
22,Me Encanta el Chocolate @elchocolatemeencanta,1300000.0,0.13,Ecuador,Food Marketing and Advertising,404800.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
23,Dina | Entrenador | Ejercicios en casa @dinamunozok,1300000.0,0.41,Ecuador,Business and Finance Bikini Coaching,403200.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
24,Tete 💃🏼 @stephronquillo5,1300000.0,0.6,Ecuador,Soccer Actors Virtualization,398500.0,instagram,ecuador,False,2024,Sports,MAPPED
25,Jefferson Rescata @jeffersonrescata,1300000.0,1.23,Ecuador,Animals,398400.0,instagram,ecuador,False,2024,Lifestyle,MAPPED
26,Nathalie Carvajal @nathalie_carvajalcampoverde,1300000.0,1.06,Ecuador,Photography Actors,398300.0,instagram,ecuador,False,2024,Entertainment,MAPPED
27,De Casa en Casa @decasaencasa,1300000.0,,Ecuador,Home and Garden Actors Journalists,394400.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
28,Evelyn Vanessa Calderón @evelynvcalderon,1300000.0,0.67,Ecuador,Fashion and Accessories Modeling Entertainment Actors,392600.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
29,Johann Vera @johannvera,1300000.0,1.25,Ecuador,Entertainment and Music Music Band,387300.0,instagram,ecuador,False,2024,Music,MAPPED
30,Andreina Bravo 🌙 @andreinabravoo,1200000.0,1.37,Ecuador,Entertainment and Music Actors,368800.0,instagram,ecuador,False,2024,Music,MAPPED
31,Mare @marecevallos,1200000.0,0.86,Ecuador,Acting and Drama Actors Artist,356000.0,instagram,ecuador,False,2024,Entertainment,MAPPED
32,Fernando Tufiño @fertufin,1100000.0,0.93,Ecuador,Art Actors Virtualization,325600.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
33,Fabiola Véliz @fabiolaveliz,1100000.0,0.18,Ecuador,,325500.0,instagram,ecuador,False,2024,,
34,Carlos Jose Matamoros Icaza @carlosjosemi,1100000.0,0.1,Ecuador,Acting and Drama Education Parenting Virtualization,320800.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
35,Marlon Chito Vera 🇪🇨 @chitoveraufc,1000000.0,3.72,Ecuador,Sports Actors Modeling,314000.0,instagram,ecuador,False,2024,Sports,MAPPED
36,Claudia Camposano @claudiacamposano,1000000.0,0.06,Ecuador,Art,311800.0,instagram,ecuador,False,2024,Lifestyle,MAPPED
37,Marcela Ruete @marcelaruete,1000000.0,0.17,Ecuador,Fitness Actors,307700.0,instagram,ecuador,False,2024,Sports,MAPPED
38,Erika Valencia @lanegraerika,1000000.0,0.2,Ecuador,Acting and Drama Fashion and Accessories Soccer Actors,305400.0,instagram,ecuador,False,2024,Sports,MAPPED
39,DMTX @dimitrhix,1000000.0,0.57,Ecuador,,301700.0,instagram,ecuador,False,2024,,
40,Eduardo Verástegui @eduardoverastegui,1000000.0,0.57,Ecuador,Entertainment and Music Celebrity Actors,301200.0,instagram,ecuador,False,2024,Music,MAPPED
41,Silvana Torres🐍 @lavenenotorres,985900.0,0.4,Ecuador,Entertainment and Music Actors,295800.0,instagram,ecuador,False,2024,Music,MAPPED
42,Somos La Joda! @somoslajoda.ec,893900.0,0.4,Ecuador,Entertainment and Music,268200.0,instagram,ecuador,False,2024,Music,MAPPED
43,Priscilla Rendon @prisrendonmakeup,891200.0,1.53,Ecuador,Beauty and Self Care Virtualization,267400.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
44,Nancy Puglla🇪🇨 @nancy_risol,889300.0,1.83,Ecuador,family Beauty and Self Care,266800.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
45,BarcelonaSC @barcelonasc,855000.0,0.34,Ecuador,Sports Marketing and Advertising Soccer,256500.0,instagram,ecuador,False,2024,Sports,MAPPED
46,Miguel Cedeño @miguelcedenoc,831700.0,1.25,Ecuador,Actors Virtualization,249500.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
47,FARÁNDULA ECUADOR @faranduladatos,808700.0,1.84,Ecuador,Entertainment and Music,242600.0,instagram,ecuador,False,2024,Music,MAPPED
48,Jordan Álvarez @jordan.alvarez,808100.0,0.73,Ecuador,Funny,242400.0,instagram,ecuador,False,2024,Entertainment,MAPPED
49,Moda Peinados Maquillaje @moda_peinados_y_maquillaje,806500.0,0.14,Ecuador,,241900.0,instagram,ecuador,False,2024,,
50,Virginia Limongi Silva 🍋 @virginialimongis,806400.0,1.4,Ecuador,Entertainment and Music Actors,241900.0,instagram,ecuador,False,2024,Music,MAPPED
51,Margarita Cabrera @margaritamarilyn,799700.0,1.83,Ecuador,,239900.0,instagram,ecuador,False,2024,,
52,La Tri Ecuador 🇪🇨 @latriecu,786100.0,1.2,Ecuador,,235800.0,instagram,ecuador,False,2024,,
53,Alejandra Quiroz @alejandraquiroz_f,777300.0,6.4,Ecuador,,233200.0,instagram,ecuador,False,2024,,
54,𝔸𝕝𝕖𝕩 𝕍𝕚𝕫𝕦𝕖𝕥𝕖 •Actor @alexvizuete,769000.0,1.8,Ecuador,Funny Acting and Drama Entertainment and Music Actors,230700.0,instagram,ecuador,False,2024,Music,MAPPED
55,Mariela Viteri @marielaviteri,763300.0,0.06,Ecuador,Entertainment and Music Parenting Actors,229000.0,instagram,ecuador,False,2024,Music,MAPPED
56,Leito Granda \o/ @leitogranda,763200.0,19.36,Ecuador,Entertainment and Music family Actors Modeling,229000.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
57,Richard Carapaz @richardcarapaz,747400.0,1.09,Ecuador,Sports Actors,224200.0,instagram,ecuador,False,2024,Sports,MAPPED
58,Maykel Oficial @maykel_oficial,721000.0,0.2,Ecuador,Entertainment and Music Actors,216300.0,instagram,ecuador,False,2024,Music,MAPPED
59,Erick Trujillo López @chichotrujillo5,711500.0,0.36,Ecuador,Product Education Actors Virtualization,213400.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
60,Hincha Amarillo @hincha_amarilloec,709700.0,0.06,Ecuador,Virtualization Actors,212900.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
61,Cecilia Cascante @ceciliacascante,707500.0,1.38,Ecuador,Beauty and Self Care Actors Virtualization,212300.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
62,Jhon Alex Alava @jhonalava,698100.0,1.41,Ecuador,Virtualization Actors,209400.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
63,KikeJav @kikejav,690200.0,2.72,Ecuador,Entertainment and Music Business and Finance Celebrity Video Blogger,207100.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
64,Gina López @ginaalopeez,678900.0,3.5,Ecuador,,203700.0,instagram,ecuador,False,2024,,
65,Henry Bustamante @henrybustamant,675400.0,0.2,Ecuador,Entertainment and Music Actors Journalists Virtualization,202600.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
66,Cynthia Viteri @cynthiaviteri,674900.0,1.11,Ecuador,Actors Virtualization,202500.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
67,Davicho Reinoso @davichoreinoso,664800.0,1.1,Ecuador,Actors,199400.0,instagram,ecuador,False,2024,Entertainment,MAPPED
68,MA MERCEDES PACHECO @mamercedesp,657200.0,0.74,Ecuador,Acting and Drama Celebrity Television Actors,197200.0,instagram,ecuador,False,2024,Entertainment,MAPPED
69,Nataly Valencia @natalyvalencia.v,654500.0,2.8,Ecuador,,196300.0,instagram,ecuador,False,2024,,
70,FARÁNDULA ECUADOR @lasapadatv,644600.0,1.3,Ecuador,,193400.0,instagram,ecuador,False,2024,,
71,Guillermo Lasso @guillermolasso,644600.0,0.44,Ecuador,Actors Virtualization,193400.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
72,Constanza Baez Jalil @constanzabaezjalil,632500.0,0.8,Ecuador,Actors,189800.0,instagram,ecuador,False,2024,Entertainment,MAPPED
73,Renier Izquierdo @renier.izquierdo,626400.0,1.96,Ecuador,Entertainment and Music,187900.0,instagram,ecuador,False,2024,Music,MAPPED
74,FEF🇪🇨 @fefecuador,615300.0,0.77,Ecuador,Sports Soccer,184600.0,instagram,ecuador,False,2024,Sports,MAPPED
75,Klei Mora @kleimora,603300.0,1.18,Ecuador,Finance,181000.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
76,DrMarcelo Medrano Freire @drmarcelomedranofreire,578900.0,,Ecuador,Beauty and Self Care Home and Garden Parenting Actors,173700.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
77,María José Flores @majosefloresm,578500.0,0.36,Ecuador,Entertainment and Music Actors,173600.0,instagram,ecuador,False,2024,Music,MAPPED
78,Roberto Ochoa @robertoochoahe,577600.0,0.85,Ecuador,Travel Business and Finance Adventure,173300.0,instagram,ecuador,False,2024,Sports,MAPPED
79,Bustabrothers @bustabrothers_ofc,574600.0,2.0,Ecuador,Art Public Figure,172400.0,instagram,ecuador,False,2024,Entertainment,MAPPED
80,Ana Paula Roldan @aprd5,565200.0,1.73,Ecuador,Entertainment and Music Finance Business and Finance Actors,169600.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
81,Jandino @jandino,548700.0,0.37,Ecuador,Art Celebrities Animals & Pets Humor,164600.0,instagram,ecuador,False,2024,Entertainment,MAPPED
82,Guillermo Toscano @guillermotoscanof,544500.0,1.44,Ecuador,Automotive Actors Celebrities Hair & Beauty,163300.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
83,Gonzalo Plata @gonzalo_plata20,544000.0,9.66,Ecuador,,163200.0,instagram,ecuador,False,2024,,
84,Renata Mosquera Beauty Center @rmdbeautycenter,541300.0,,Ecuador,Beauty and Self Care Actors Virtualization,162400.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
85,ARIANNA GUILLÉN 🇪🇨👁 @ariannaguillenmakeup,540400.0,12.68,Ecuador,Beauty and Self Care,162100.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
86,Kelly Bustamante ☀️ @kellybustamante_,522500.0,1.94,Ecuador,Fashion and Accessories,156800.0,instagram,ecuador,False,2024,Beauty&Fashion,MAPPED
87,Fuull Farándula @fuullfarandula,521400.0,0.09,Ecuador,News Actors,156400.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
88,Romina Calderon de Sánchez @rominitacg,518500.0,0.23,Ecuador,Entertainment and Music Parenting Actors Virtualization,155500.0,instagram,ecuador,False,2024,Tech&Gaming,MAPPED
89,FLOR MARIA PALOMEQUE @mofletv,514700.00000000006,0.16,Ecuador,Acting and Drama Entertainment and Music Marketing and Advertising Actors,154400.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
90,Sin Senos Sí Hay Paraíso @sinsenosihay,512500.0,0.6,Ecuador,Entertainment and Music Actors,153700.0,instagram,ecuador,False,2024,Music,MAPPED
91,Leonardo Campana R @leonardocampana,512299.99999999994,11.88,Ecuador,Sports,153700.0,instagram,ecuador,False,2024,Sports,MAPPED
92,Dalo Bucaram @daloxhecho,504100.0,1.46,Ecuador,Education family Parenting Actors,151200.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
93,Cynthia Naveda Ferrin @cynthianaveda,500200.0,0.22,Ecuador,Entertainment and Music,150100.0,instagram,ecuador,False,2024,Music,MAPPED
94,🎈PEPE TOLA @pepetola,500000.0,4.34,Ecuador,Life and Society Parenting Actors,150000.0,instagram,ecuador,False,2024,Knowledge&Info,MAPPED
95,Yilda Banchón @yildaoficial,488300.0,1.64,Ecuador,Art,146500.0,instagram,ecuador,False,2024,Lifestyle,MAPPED
96,Marcelo Freire @marce_freire,484300.0,0.02,Ecuador,Entertainment and Music,145300.0,instagram,ecuador,False,2024,Music,MAPPED
