rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Kelly y David @busta_brothers,19500000.0,,Ecuador,Entertainment and Music,5900000.0,tiktok,ecuador,False,2024,Music,MAPPED
2,arelí tutoriales @otracuentadetutoriales,6600000.0,,Ecuador,Education Upskilling,2000000.0,tiktok,ecuador,False,2024,Knowledge&Info,MAPPED
3,Mauro @mauro_mt2,4600000.0,,Ecuador,,1400000.0,tiktok,ecuador,False,2024,,
4,yilda banchon @yildabanchon,4400000.0,,Ecuador,Entertainment and Music,1300000.0,tiktok,ecuador,False,2024,Music,MAPPED
5,samiaalava @samiaalava,2700000.0,,Ecuador,,810000.0,tiktok,ecuador,False,2024,,
6,Gina López @ginaalopeez,2500000.0,,Ecuador,,750000.0,tiktok,ecuador,False,2024,,
7,LOGO AJ21 @logoaj21,2200000.0,0.2,Ecuador,Arts and Crafts,660000.0,tiktok,ecuador,False,2024,Lifestyle,MAPPED
8,Anny🇪🇨 @annyborja2,2000000.0,,Ecuador,,600000.0,tiktok,ecuador,False,2024,,
9,Shailyn Garzón Merchán @shailyngarzon,2000000.0,,Ecuador,,600000.0,tiktok,ecuador,False,2024,,
10,Chrisx Trejo @chrisxtrejo,1900000.0,,Ecuador,,570000.0,tiktok,ecuador,False,2024,,
11,mafernandapr @mafernandapr,1800000.0,,Ecuador,,540000.0,tiktok,ecuador,False,2024,,
12,macias.ff @macias.ff,1700000.0,,Ecuador,,510000.0,tiktok,ecuador,False,2024,,
13,GlamecStudio @glamec,1600000.0,0.3,Ecuador,,480000.0,tiktok,ecuador,False,2024,,
14,Artur Perchuk @_justspinning_,1500000.0,,Ecuador,,450000.0,tiktok,ecuador,False,2024,,
15,Stechell @stechell,1500000.0,,Ecuador,,450000.0,tiktok,ecuador,False,2024,,
16,BabyLeoff @babyleoff,1300000.0,,Ecuador,,390000.0,tiktok,ecuador,False,2024,,
17,Guillermo Lasso @guillermolasso,1300000.0,0.4,Ecuador,,390000.0,tiktok,ecuador,False,2024,,
18,jandino @jandino,1300000.0,,Ecuador,Entertainment and Music,390000.0,tiktok,ecuador,False,2024,Music,MAPPED
19,ToRy @victoriacomelibros,1200000.0,,Ecuador,,360000.0,tiktok,ecuador,False,2024,,
20,Vivi Almeida @vivialmeida,1000000.0,,Ecuador,,300000.0,tiktok,ecuador,False,2024,,
21,Tomas Delgado La Vecina @tomasdelgadoec,1000000.0,0.1,Ecuador,Acting and Drama Celebrity,300000.0,tiktok,ecuador,False,2024,Entertainment,MAPPED
22,"rolitas “cz"" @rolitas_cz",993600.0,,Ecuador,,298100.0,tiktok,ecuador,False,2024,,
23,Anthony @a3v_22,950800.0,,Ecuador,,285200.0,tiktok,ecuador,False,2024,,
24,Silvana💠 @silvimunozz @silvimunozz,950000.0,1.6,Ecuador,Food,285000.0,tiktok,ecuador,False,2024,Lifestyle,MAPPED
25,DOGGI Style @doggistyleec,947100.0,0.1,Ecuador,,284100.0,tiktok,ecuador,False,2024,,
26,Jonathan Ortiz @jonathan.ortizls,934000.0,,Ecuador,,280200.0,tiktok,ecuador,False,2024,,
27,ロバート @chocloboy,926100.0,,Ecuador,,277800.0,tiktok,ecuador,False,2024,,
28,Botsito_Ecuatoriano @sport_goe,923500.0,,Ecuador,,277100.0,tiktok,ecuador,False,2024,,
29,LesterGabrieel @lester.gabrieel,922700.0,,Ecuador,,276800.0,tiktok,ecuador,False,2024,,
30,LIRYKAL @lirykal,892300.0,,Ecuador,,267700.0,tiktok,ecuador,False,2024,,
31,Maria Sol Corral @mariasolcorral0,885600.0,,Ecuador,,265700.0,tiktok,ecuador,False,2024,,
32,Brian Coro @iambriancoro,876600.0,,Ecuador,,263000.0,tiktok,ecuador,False,2024,,
33,⚡JoelBy15⚡ @joelby15.ff,863700.0,0.1,Ecuador,,259100.00000000003,tiktok,ecuador,False,2024,,
34,Salsitas Bakanas 🎶🎺🍻 @salsitasbakanas,859400.0,0.1,Ecuador,,257800.0,tiktok,ecuador,False,2024,,
35,Marcos Otavalo @marcosotavalo,850800.0,,Ecuador,,255200.0,tiktok,ecuador,False,2024,,
36,Jose Erazo @elpepe_jl,847100.0,,Ecuador,Travel,254100.0,tiktok,ecuador,False,2024,Lifestyle,MAPPED
37,Gene Marquinez @genemarquinez,845400.0,,Ecuador,,253600.0,tiktok,ecuador,False,2024,,
38,jenny.zambrano.24 @jenny.zambrano.242,844500.0,,Ecuador,,253400.0,tiktok,ecuador,False,2024,,
39,SELENE.YT @seleneytt,826900.0,,Ecuador,,248100.0,tiktok,ecuador,False,2024,,
40,Soff ☁️ @sofireynes,825900.0,,Ecuador,Fashion and Accessories,247800.0,tiktok,ecuador,False,2024,Beauty&Fashion,MAPPED
41,KikeCuy @elcuy.ec,825000.0,,Ecuador,,247500.0,tiktok,ecuador,False,2024,,
42,maykeloficial @maykeloficial,820200.0,,Ecuador,,246100.0,tiktok,ecuador,False,2024,,
43,Navila Dieb @naviladieb_oficial,818400.0,,Ecuador,,245500.0,tiktok,ecuador,False,2024,,
44,Gaby Brave @gaby.brave,799400.0,,Ecuador,,239800.0,tiktok,ecuador,False,2024,,
45,Eldariu @eldariu,799000.0,,Ecuador,,239700.0,tiktok,ecuador,False,2024,,
46,Tik Toker @emo.fio,796900.0,,Ecuador,,239100.0,tiktok,ecuador,False,2024,,
47,pichirringo 1112 vanessita @pichirringovannesita,795000.0,,Ecuador,,238500.0,tiktok,ecuador,False,2024,,
48,beckerchicaiza @beckerchicaiza,794000.0,,Ecuador,,238200.0,tiktok,ecuador,False,2024,,
49,Mommy?! @agenteperryyyyy,789900.0,,Ecuador,,237000.0,tiktok,ecuador,False,2024,,
50,Gladys 2021 @gladys2021,781600.0,,Ecuador,,234500.0,tiktok,ecuador,False,2024,,
51,Hernan PG @hernan_oficiall,781000.0,,Ecuador,,234300.0,tiktok,ecuador,False,2024,,
52,Marath Dáger @marathdageryalbita,777500.0,,Ecuador,,233300.0,tiktok,ecuador,False,2024,,
53,Jonathan Quiñonez @eljonattthan,766100.0,,Ecuador,,229800.0,tiktok,ecuador,False,2024,,
54,Gaby Ruiz @gabyruizoficial,765400.0,,Ecuador,,229600.0,tiktok,ecuador,False,2024,,
55,Carlos @carloor,764400.0,,Ecuador,,229300.0,tiktok,ecuador,False,2024,,
56,Rahab Villacres @rahabvillacres,763300.0,,Ecuador,,229000.0,tiktok,ecuador,False,2024,,
57,💞Doménica Llagua💞 @domenicallagua1,756900.0,0.5,Ecuador,,227100.0,tiktok,ecuador,False,2024,,
58,Mare Cevallos @marecevallos,741800.0,,Ecuador,Arts and Crafts,222500.0,tiktok,ecuador,False,2024,Lifestyle,MAPPED
59,Ana Mera @anamera71,738100.0,,Ecuador,,221400.0,tiktok,ecuador,False,2024,,
60,Jhulyanabell @jhulyanabell,731300.0,,Ecuador,,219400.0,tiktok,ecuador,False,2024,,
