rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Gehad hassan👸🏻 @gehadhassann,7500000.0,,Egypt,,2300000.0,tiktok,egypt,False,2024,,
2,Ahmed Helmy @ahmedhelmy,6900000.0,,Egypt,Entertainment and Music,2100000.0,tiktok,egypt,False,2024,Music,MAPPED
3,MBC مصر @mbcmasr,4600000.0,,Egypt,,1400000.0,tiktok,egypt,False,2024,,
4,ahmedhassan🇹🇷🇪🇬 @ahmedhhassan0,4300000.0,2.6,Egypt,,1300000.0,tiktok,egypt,False,2024,,
5,ᔕ𝔼ᒪ𝕍ᗩـــسيلڤاـ︎. @mo_selva,3900000.0,,Egypt,,1200000.0,tiktok,egypt,False,2024,,
6,حمو شاكر _Hamo Shaker @hamoshakerofficial,3400000.0,0.1,Egypt,Entertainment and Music,1000000.0,tiktok,egypt,False,2024,Music,MAPPED
7,youssefesawy @youssef_esawy,3200000.0,0.2,Egypt,Fashion and Accessories,960000.0,tiktok,egypt,False,2024,Beauty&Fashion,MAPPED
8,Bella Tharwat - بيلا ثروت @bella.tharwat,3100000.0,,Egypt,,930000.0,tiktok,egypt,False,2024,,
9,"🇪🇬⚡""ALALMEI""⚡🇵🇸 @ashraf_alalmei",2900000.0,,Egypt,,870000.0,tiktok,egypt,False,2024,,
10,Enawy | قناوي @abdallahenawy,2700000.0,,Egypt,,810000.0,tiktok,egypt,False,2024,,
11,Manga official🥭 @mrmroga,2400000.0,0.4,Egypt,Beauty and Self Care,720000.0,tiktok,egypt,False,2024,Beauty&Fashion,MAPPED
12,هجرس_HGRAS @hgras1,2300000.0,,Egypt,,690000.0,tiktok,egypt,False,2024,,
13,Malak @malakelsheriif17,2300000.0,,Egypt,,690000.0,tiktok,egypt,False,2024,,
14,SALMA ADEL 🎤 @salmaadel_official,2100000.0,,Egypt,Entertainment and Music Celebrity Music,630000.0,tiktok,egypt,False,2024,Music,MAPPED
15,🎨محمد فاروق الرسام🎨 @king_misr,2100000.0,0.3,Egypt,,630000.0,tiktok,egypt,False,2024,,
16,اعلاميه ايه خليل @aya19941994,2100000.0,,Egypt,,630000.0,tiktok,egypt,False,2024,,
17,Shaimaa Elmaghrapyشيماءالمغربي @shaimaaelmaghrapy,2000000.0,,Egypt,Entertainment and Music,600000.0,tiktok,egypt,False,2024,Music,MAPPED
18,🇪🇬﮼ميار﮼عماد﮼نجيب🇪🇬 @mayare.nagiib,2000000.0,,Egypt,Beauty and Self Care,600000.0,tiktok,egypt,False,2024,Beauty&Fashion,MAPPED
19,Doctora Eslam 🩺🇪🇬 @doctoraeslam,1900000.0,,Egypt,,570000.0,tiktok,egypt,False,2024,,
20,nour @_nonosh_,1800000.0,,Egypt,,540000.0,tiktok,egypt,False,2024,,
21,رضا البحراوي @redaelbahrawy.official,1700000.0,,Egypt,Entertainment and Music Music,510000.0,tiktok,egypt,False,2024,Music,MAPPED
22,princess 🎀👑 @faye_mansour22,1700000.0,,Egypt,,510000.0,tiktok,egypt,False,2024,,
23,👑K3m99👑 @kemoo_falco,1700000.0,,Egypt,,510000.0,tiktok,egypt,False,2024,,
24,مسرح مصر #مسرح_مصر @theater.misr.official,1700000.0,,Egypt,Entertainment and Music,510000.0,tiktok,egypt,False,2024,Music,MAPPED
25,Ahmed Zaher @ahmedzaher228,1600000.0,,Egypt,,480000.0,tiktok,egypt,False,2024,,
26,🔥🇪🇬𝐀𝐋𝐃𝐀𝐖𝐋𝐘🇪🇬🔥 @alaa.dawlyy,1500000.0,,Egypt,,450000.0,tiktok,egypt,False,2024,,
27,FoodDolls @fooddolls,1400000.0,,Egypt,Food,420000.0,tiktok,egypt,False,2024,Lifestyle,MAPPED
28,Weam Magdy @weammagdy30,1400000.0,,Egypt,,420000.0,tiktok,egypt,False,2024,,
29,المبرمج اشرف مصطفي @ashrafzamka,1400000.0,,Egypt,Education Upskilling,420000.0,tiktok,egypt,False,2024,Knowledge&Info,MAPPED
30,Ahmed Emad @aahmmedx,1400000.0,,Egypt,,420000.0,tiktok,egypt,False,2024,,
31,Gemyabdelnasserr @gemyabdelnasserr,1300000.0,,Egypt,,390000.0,tiktok,egypt,False,2024,,
32,عرنو @__haron_whdan__,1300000.0,,Egypt,,390000.0,tiktok,egypt,False,2024,,
33,لمض افندي 🇪🇬📸 @hassan_soliman11,1300000.0,,Egypt,,390000.0,tiktok,egypt,False,2024,,
34,صاحب الكوكب✅ @mohmed.7asona,1300000.0,,Egypt,,390000.0,tiktok,egypt,False,2024,,
35,–––•(-• ابو شعر كيرلي😅❤️ •-) @pasha_aswan,1300000.0,,Egypt,Romance and Wedding,390000.0,tiktok,egypt,False,2024,Beauty&Fashion,MAPPED
36,Mahmoud ElMohandes @mahmoudelmohandes,1300000.0,,Egypt,Entertainment and Music Romance and Wedding,390000.0,tiktok,egypt,False,2024,Beauty&Fashion,MAPPED
37,soso @israa.nageeb,1300000.0,,Egypt,,390000.0,tiktok,egypt,False,2024,,
38,Dr. Hossam Abolatta @drhossamabolatta,1300000.0,,Egypt,,390000.0,tiktok,egypt,False,2024,,
39,#إمبراطورية_شيكو_الماجيك💪🇪🇬 @sheko.el.magic,1200000.0,0.1,Egypt,,360000.0,tiktok,egypt,False,2024,,
40,Hamoda Elsory @hamodaelsory,1200000.0,0.1,Egypt,,360000.0,tiktok,egypt,False,2024,,
41,Menna El-zohiry @mennaelzohiry,1200000.0,,Egypt,Education,360000.0,tiktok,egypt,False,2024,Knowledge&Info,MAPPED
42,⚡️Youssef joe⚡️ @yousseefjoe,1200000.0,,Egypt,,360000.0,tiktok,egypt,False,2024,,
