rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Mohamed Ramadan I محمد رمضان @UCJCj2HtcnbOyCj1rmKaxwJg,14200000.0,0.7,Egypt,,4300000.0,youtube,egypt,False,2024,,
2,123 GO! Arabic @UCpOJTQlSIeyAy89UwcpoN0A,8800000.0,,Egypt,,2600000.0,youtube,egypt,False,2024,,
3,Al Nahar TV @UCtpL6HyBK-z16GbJguHf3JQ,8199999.999999999,,Egypt,,2500000.0,youtube,egypt,False,2024,,
4,Shawar @UCUSdNXmG2LlNS01ptoq24MA,7900000.0,,Egypt,,2400000.0,youtube,egypt,False,2024,,
5,قناة المجلة @UC6E13U6cZmwpfGVwBgC4isQ,7700000.0,,Egypt,,2300000.0,youtube,egypt,False,2024,,
6,ON @UCpuCos88YFmYxjHamHhEJhA,7700000.0,,Egypt,,2300000.0,youtube,egypt,False,2024,,
7,Vincenzo @UC_coy_NX4AP5hu1FaHYQaDw,6900000.0,0.2,Egypt,,2100000.0,youtube,egypt,False,2024,,
8,dmc @UCEeFa7t5I0fqpcLGF-36TEw,6700000.0,,Egypt,,2000000.0,youtube,egypt,False,2024,,
9,دروس أونلاين @UCEHvaZ336u7TIsUQ2c6SAeQ,6400000.0,0.4,Egypt,,1900000.0,youtube,egypt,False,2024,,
10,Mazzika - مزيكا @UCxIoihijwX4BvHjPGjKrovg,6300000.0,,Egypt,,1900000.0,youtube,egypt,False,2024,,
11,Ramez Galal @UCWLPH3b4FEbI4kRO0LKxMMg,6200000.0,,Egypt,,1900000.0,youtube,egypt,False,2024,,
12,"Free Music ""Nasr Mahrous"" @UCFHO4UajO7sADTOhOQTqqag",6200000.0,,Egypt,,1900000.0,youtube,egypt,False,2024,,
13,Information | M3loma @UCA1t1vV27405K8EJKphDfbQ,6000000.0,,Egypt,,1800000.0,youtube,egypt,False,2024,,
14,Amr Diab @UCpui0-2JqcAcII4ybpB1q3w,5800000.0,,Egypt,,1700000.0,youtube,egypt,False,2024,,
15,برنامج هي وبس @UCfypXlJbI-hA6eotW5IUTxg,5700000.0,,Egypt,,1700000.0,youtube,egypt,False,2024,,
16,CBCDrama @UC3Dci3BzZXDo4jw4dU8KqWg,5500000.0,,Egypt,,1600000.0,youtube,egypt,False,2024,,
17,El Sobky Productions - السبكي @UCSVSS5aSyHh7ChJlICx_Gkg,5500000.0,,Egypt,,1600000.0,youtube,egypt,False,2024,,
18,Mustafa Hosny @UCwttCEi9Fq1DgTd5Anil6rQ,5300000.0,,Egypt,,1600000.0,youtube,egypt,False,2024,,
19,Hekal Twins | هيكل توينز @UCsmb0-elPWzqrJLAZBe7ozA,5300000.0,0.1,Egypt,,1600000.0,youtube,egypt,False,2024,,
20,Mahmoud elgamal-محمود الجمل @UC_1EWggPRa5TEhlUWbnMK5Q,5200000.0,0.2,Egypt,,1600000.0,youtube,egypt,False,2024,,
21,Gege recipes @UC38mz7oEvdEarBwIDD_14wg,5200000.0,,Egypt,,1600000.0,youtube,egypt,False,2024,,
22,Mahmoud Mustafa - Soft Fun @UCWpKAO7_kr2EI4371uModog,4700000.0,0.1,Egypt,,1400000.0,youtube,egypt,False,2024,,
23,Islam Sobhi | القارئ اسلام صبحي @UCzU3jMTL1mFb3Ql9g-pRn9A,4600000.0,,Egypt,,1400000.0,youtube,egypt,False,2024,,
24,Mona Elshazly @UCrNtUy4sBJ2rGB4QS4FmgRA,4600000.0,,Egypt,,1400000.0,youtube,egypt,False,2024,,
25,Sherine @UC4FPEho0zT1W9gftBydPWIw,4600000.0,,Egypt,,1400000.0,youtube,egypt,False,2024,,
26,ندي و احمد @UCyVxCVQmbc3-zqqESxFrTdQ,4500000.0,0.8,Egypt,,1400000.0,youtube,egypt,False,2024,,
27,عشوائيات @UCe1m3ZH68Q8314yqulWHTcw,4500000.0,,Egypt,,1300000.0,youtube,egypt,False,2024,,
28,Naser - Hekaia @UCNKSVW2l2A-6ogoCrpP8XCQ,4400000.0,,Egypt,,1300000.0,youtube,egypt,False,2024,,
29,حرف إبداعية تصنعها بنفسك في 5 دقائق @UCZLnLW_Jn3ZT3NnGL6B_Vuw,4300000.0,,Egypt,,1300000.0,youtube,egypt,False,2024,,
30,Nader Ahmed @naderahmed,4200000.0,0.1,Egypt,,1300000.0,youtube,egypt,False,2024,,
31,EL Adl Group - العدل جروب @UCk554VGjGrZsLBUPW11cC7A,4200000.0,,Egypt,,1300000.0,youtube,egypt,False,2024,,
32,Alhayah Series TV @UCfM85hxqqKrgGHgFDwcwOpg,4200000.0,,Egypt,,1200000.0,youtube,egypt,False,2024,,
33,Shaabeyat Channel @UCyBHmgAlGGlz_jYtjbcEbPg,4000000.0,,Egypt,,1200000.0,youtube,egypt,False,2024,,
34,123 GO! GOLD Arabic @UC0m7f6JrzV1HhvgH22MVEjQ,4000000.0,,Egypt,,1200000.0,youtube,egypt,False,2024,,
35,CBC Egypt @UCB6sc84dcg6VQGB_d89sx2g,3900000.0,,Egypt,,1200000.0,youtube,egypt,False,2024,,
36,القاهرة والناس @UCzWdc0aUo0IDk5ysLrt04hw,3900000.0,,Egypt,,1200000.0,youtube,egypt,False,2024,,
37,القناة الرسمية للإعلامي معتز مطر @UCum7DSqLYPc23jsyds-X97Q,3800000.0,0.1,Egypt,,1200000.0,youtube,egypt,False,2024,,
38,الهلالي شو - Elhilaly Show @UCI-uBN2_AJ8W3bgtiuUr7Iw,3700000.0,,Egypt,,1100000.0,youtube,egypt,False,2024,,
39,123 GO! CHALLENGE Arabic @UCLhyocD0AAid1XiiOggv3_Q,3700000.0,,Egypt,,1100000.0,youtube,egypt,False,2024,,
40,هبة ابو الخير Heba Abo Elkheir @UCxlhhz1-jnzO2Or44HKINaw,3600000.0,0.1,Egypt,,1100000.0,youtube,egypt,False,2024,,
41,Mohamed Hamaki @UCwTGMDozfRy35__tkvlRc_g,3500000.0,1.0,Egypt,,1100000.0,youtube,egypt,False,2024,,
42,Sada Elbalad - صدى البلد @UCJWuV-EkLmRrGZ4afwUBenw,3500000.0,,Egypt,,1100000.0,youtube,egypt,False,2024,,
43,Arabic Fairy Tales for Kids - قصص اطفال @UCBqfiWktGq5Gy-B5fIaUdzw,3500000.0,,Egypt,,1000000.0,youtube,egypt,False,2024,,
44,Joe Show - جو شو @UCVlAsbQEG1yvoAYzt1TEo0Q,3500000.0,0.9,Egypt,,1000000.0,youtube,egypt,False,2024,,
45,WATCH IT @UC9pd5VvcJETJaNGz9_K3Pow,3400000.0,,Egypt,,1000000.0,youtube,egypt,False,2024,,
46,cbc Sofra @UCCdCsHQRURiTXwDwwW6fx0w,3400000.0,,Egypt,,1000000.0,youtube,egypt,False,2024,,
47,Ahmed Saad @UCBzJgJllSsZunDTD1ekAciA,3300000.0,,Egypt,,978000.0,youtube,egypt,False,2024,,
48,Lido - ليدو @UCAxQKtYU44WSrOAsd0JseZA,3200000.0,,Egypt,,951000.0,youtube,egypt,False,2024,,
49,muscle clinic @UCsJRPfHLASyko7TKI2NXeCA,3100000.0,,Egypt,,942000.0,youtube,egypt,False,2024,,
50,123 GO! SCHOOL Arabic @UCYQ-pwbTVi466WviyADqE_A,3100000.0,,Egypt,,918000.0,youtube,egypt,False,2024,,
51,عصام صاصا - Essam Saasa @UCjrMuVOBkaC9mIhqsNtegmQ,3100000.0,,Egypt,,918000.0,youtube,egypt,False,2024,,
52,فاطمة أبو حاتي - Fatma Abu Haty @UCyUnkCOIbi-7MImxJcOu3Lg,3000000.0,,Misri,,909000.0,youtube,egypt,False,2024,,
53,Omar Kamal @UCnBLTjVEtEX4Ry7yqQaEYXg,2900000.0,,Misri,,873000.0,youtube,egypt,False,2024,,
54,123 GO LIKE! Arabic @UCiUmR2kADYuk92dIJyYsg-A,2900000.0,,Misri,,867000.0,youtube,egypt,False,2024,,
55,المسامح كريم @UCec_75mqcgupvxt7n4n_HjQ,2900000.0,,Misri,,861000.0,youtube,egypt,False,2024,,
56,قوة العقل @UCMLcJmgSyAhJIGk5M54lYqw,2800000.0,,Misri,,852000.0,youtube,egypt,False,2024,,
57,TVision @UCIAeQiNoobuTYW2TlfomGsA,2800000.0,,Misri,,843000.0,youtube,egypt,False,2024,,
58,CairokeeOfficial @UCp-brkrLhdNTkAVoR1qHm3A,2800000.0,,Misri,,831000.0,youtube,egypt,False,2024,,
59,Fe Baytena Robot @UCuH8e34-0X_Rc7Lj_8K7qOw,2800000.0,,Misri,,825000.0,youtube,egypt,False,2024,,
60,Orange Egypt @UCT4vJ95wlqS_gmcO-KW8zOw,2800000.0,0.2,Misri,,825000.0,youtube,egypt,False,2024,,
61,Mohamed Tarek محمد طارق @UCPp0_tTnE3DUJmUmcLMfOyg,2700000.0,,Misri,,822000.0,youtube,egypt,False,2024,,
62,دنيا عزيز @UC-wc7F5oDEcbyONbC0XqgPQ,2700000.0,1.3,Misri,,819000.0,youtube,egypt,False,2024,,
63,Hamo Bika - حمو بيكا @UCawKMKQQ5qSl8oZOfCfkXbA,2700000.0,,Misri,,813000.0,youtube,egypt,False,2024,,
64,Mehwar TV @UCYoo3rvwB24q9_kRCgR897Q,2700000.0,,Misri,,804000.0,youtube,egypt,False,2024,,
65,جمالك طبيعي مع مروة عزام @UCvORhsNoJJyo67Ml6KOIH4Q,2700000.0,,Misri,,798000.0,youtube,egypt,False,2024,,
66,بانوراما فوود - PNC Food @UC4Z-RcQmSCNS-GIZKv40TPQ,2700000.0,,Misri,Chakula na Vinywaji,798000.0,youtube,egypt,False,2024,UNMAPPED,UNMAPPED
67,أكاديمية أسماء لتحفيظ القرآن @UCGFm0-5vRHxQkLJulBtuZ3w,2700000.0,,Misri,Vitabu,795000.0,youtube,egypt,False,2024,UNMAPPED,UNMAPPED
68,Hamada Helalofficial @UCpr-V-C5NyiIJ5gaAexOeyg,2700000.0,,Misri,,795000.0,youtube,egypt,False,2024,,
69,kariZma @UCUm6aTahaq6pS1CU7xXgSBw,2600000.0,,Misri,,789000.0,youtube,egypt,False,2024,,
70,قناة تجربتي مع ايمان @UCdDFxO7PSnu2eJQC5cqOSeQ,2600000.0,,Misri,,783000.0,youtube,egypt,False,2024,,
71,طبيب اطفال د/ محمد دسوقي @UClyGyUqXvoGs1fHeuS5a1Dw,2600000.0,,Misri,Masoko na Utangazaji,774000.0,youtube,egypt,False,2024,UNMAPPED,UNMAPPED
72,حوارات - 7warat @UC7hzdUkoRB-wmsDfLfPOSAA,2600000.0,,Misri,,771000.0,youtube,egypt,False,2024,,
73,هالة سمير @UCH0J6cLZzbHvm7aKeNrWLdA,2600000.0,,Misri,,771000.0,youtube,egypt,False,2024,,
74,Elsharq TV @UCxx-W7y5qIoFKHp7W-Efhcw,2600000.0,,Misri,,765000.0,youtube,egypt,False,2024,,
75,VISION @UC-HkebK0lB-QJOlv_FWxsfw,2600000.0,,Misri,,765000.0,youtube,egypt,False,2024,,
76,gabs masr @UCmKK43Rg3QW-QzbQTHkFweQ,2500000.0,,Misri,,756000.0,youtube,egypt,False,2024,,
77,EL Twins 2 @UCtxg2b4U8bdY-mOZgjQRvcg,2500000.0,2.4,Misri,,753000.0,youtube,egypt,False,2024,,
78,Mekky Music @UC5F2sh-KJOPakiYyGzR1ffg,2500000.0,,Misri,,744000.0,youtube,egypt,False,2024,,
79,El Schoola - الاسكوله @UCxhMyy_YpfigS83kign-0_g,2500000.0,,Misri,,741000.0,youtube,egypt,False,2024,,
80,Nogoum Records @UCAwxzf-oKK63-_kPMcgXJ1Q,2400000.0,,Misri,,726000.0,youtube,egypt,False,2024,,
81,عبدالله ناصر @UCOVHJ8NtaQrcDUsW9G7iBMA,2400000.0,0.1,Misri,,723000.0,youtube,egypt,False,2024,,
82,Saba7o Korah - صباحو كورة @saba7okorah,2400000.0,0.7,Misri,,714000.0,youtube,egypt,False,2024,,
83,Ahmed Kamel - أحمد كامل @UCuQkXcgjSKpoQDp8Yn9WHVA,2400000.0,8.4,Misri,Muziki,711000.0,youtube,egypt,False,2024,UNMAPPED,UNMAPPED
84,Dream TV Egypt @UCVTcEg96476pQibXX7IMdJw,2400000.0,,Misri,,708000.0,youtube,egypt,False,2024,,
85,سام السلايم المرح @UCUabf2cM8vbDSuITGKhiXJQ,2400000.0,,Misri,,708000.0,youtube,egypt,False,2024,,
86,For a better life @UCD1AAZqyLRPiD_O-JzDZagQ,2300000.0,,Misri,,699000.0,youtube,egypt,False,2024,,
87,ONdrama @UCeTTToFL9qZIybv69LX20Lg,2300000.0,,Misri,,696000.0,youtube,egypt,False,2024,,
88,Dream Interpretation Channel / Ismail Al-Ja’biri @UC_rHb45u8zXG15HOFBRd1Gw,2300000.0,,Misri,,696000.0,youtube,egypt,False,2024,,
89,زود معلوماتك @UCP_Iq6B3KKUvxo7lAxQicDQ,2300000.0,,Misri,,687000.0,youtube,egypt,False,2024,,
90,Muhammed Khaled @UClbgVGrOH6uNweWExLXGU5Q,2300000.0,0.2,Misri,,687000.0,youtube,egypt,False,2024,,
91,الموسوعة @UC7iIeKbozDDc4YFYwXIoaWQ,2300000.0,,Misri,,687000.0,youtube,egypt,False,2024,,
92,Ekramy Hagras Family @UCXljh94cNQFPO5j-M3AoVQQ,2300000.0,0.5,Misri,,684000.0,youtube,egypt,False,2024,,
93,دكتور جودة محمد عواد @UCz3OHvHE5ISze0Zf6ho5RYw,2300000.0,,Misri,,678000.0,youtube,egypt,False,2024,,
94,Imedia Mix - أي ميديا ميكـس @UCfR78bigfCEps84qTjbsuoQ,2200000.0,,Misri,,672000.0,youtube,egypt,False,2024,,
95,أنزور للإنتاج الفني والتوزيع Anzour Media @UC4Z2zafwOO8Kl-idXnGijPQ,2200000.0,,Misri,,666000.0,youtube,egypt,False,2024,,
96,طلباتك أوامر مع دنيا رزق @UChUaoflO-Qbww7KSv1BCxcw,2200000.0,,Misri,,663000.0,youtube,egypt,False,2024,,
97,WooHoo WHOA Arabic @UCLoLEAcrcS_1QgNcNHt8RpQ,2200000.0,,Misri,,657000.0,youtube,egypt,False,2024,,
98,El Zatoona - الزتونة @UCPnXSD5IUw3YdhUy5emn_qg,2200000.0,,Misri,,657000.0,youtube,egypt,False,2024,,
99,نسر الكونغ فو Eagle Kung Fu Jaber @UCE5hSysXd4vCwdVUAEHhw1Q,2200000.0,,Misri,,651000.0,youtube,egypt,False,2024,,
100,مصطفى حسن sasamh @UC28lVUkaG6YR20p8uvKlD5Q,2200000.0,,Misri,,651000.0,youtube,egypt,False,2024,,
