rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Valtteri Bottas @valtteribottas,3900000.0,0.56,Finland,Auto and Vehicles Racing,1200000.0,instagram,finland,False,2024,Sports,MAPPED
2,Kimi Räikkönen @kimimatiasraikkonen,2900000.0,8.63,Finland,Racing Coaching Photography,879800.0,instagram,finland,False,2024,Sports,MAPPED
3,Hydraulic Press Channel @hydraulicpresschannel,1700000.0,1.9,Finland,DIY and Life Hacks,524200.00000000006,instagram,finland,False,2024,Lifestyle,MAPPED
4,Nude Yoga Girl @nude_yogagirl,1500000.0,2.68,Finland,Fitness and Health Arts and Crafts,439200.0,instagram,finland,False,2024,Sports,MAPPED
5,Heikala @heikala,1300000.0,1.52,Finland,Arts and Crafts Illustrator Design,400200.0,instagram,finland,False,2024,Lifestyle,MAPPED
6,IDA JEMINA KUJANPÄÄ @idajemina,893600.0,1.47,Finland,Fitness and Health Training Coaching,268100.0,instagram,finland,False,2024,Sports,MAPPED
7,Pongfinity @pongfinity,818100.0,10.34,Finland,Games Celebrity Tennis,245400.0,instagram,finland,False,2024,Sports,MAPPED
8,Uma | Engagement Rings @oorejewelry,720800.0,6.01,Finland,,216200.0,instagram,finland,False,2024,,
9,Ala Tokel @alatokell,600600.0,3.18,Finland,Beauty and Self Care Public Figure,180200.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
10,jukka hilden @jukkadudeson,514900.0,0.88,Finland,Music Modeling Actors,154500.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
11,The Iceman | F1 Formula 1 Page @kimi_raikkonen_kr7,513600.0,4.63,Finland,Entertainment and Music Sports Racing Cars,154100.0,instagram,finland,False,2024,Sports,MAPPED
12,Sara Puhto @saggysara,430400.0,4.75,Finland,Beauty and Self Care Coaching Training,129100.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
13,Tarja Turunen @tarjaofficial,427600.0,4.1,Finland,Music Songwriting Singer,128300.00000000001,instagram,finland,False,2024,Music,MAPPED
14,Teemu Selanne @sel8nneteemu,411900.0,3.69,Finland,Sports,123600.0,instagram,finland,False,2024,Sports,MAPPED
15,الاعلامي مرتضى بداي العطوانيほ @mr_tz82,409300.0,,Finland,,122800.0,instagram,finland,False,2024,,
16,Isac Elliot @isacelliot,404700.0,1.6,Finland,Entertainment and Music Automotive Modeling,121400.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
17,Moomin @moominofficial,384400.0,1.83,Finland,Animation and Cosplay Food and Drink,115300.0,instagram,finland,False,2024,Tech&Gaming,MAPPED
18,Josh Sundquist @joshsundquist,380200.0,5.7,Finland,Celebrity,114100.0,instagram,finland,False,2024,Entertainment,MAPPED
19,Ossi Saarinen @soosseli,375600.0,4.93,Finland,Nature Animals,112700.0,instagram,finland,False,2024,Lifestyle,MAPPED
20,ROBIN PACKALEN @robinpackalen,375400.0,1.4,Finland,,112600.0,instagram,finland,False,2024,,
21,NIKA LEYTINK @leytink,368000.0,0.69,Finland,,110400.0,instagram,finland,False,2024,,
22,K a l l e R o v a n p e r ä @kallerovanpera,353100.0,3.57,Finland,Sports Racing Riders Motorcycle Racing,105900.0,instagram,finland,False,2024,Sports,MAPPED
23,Lakko @officiallakko,351700.0,4.6,Finland,,105500.0,instagram,finland,False,2024,,
24,TINZE @tinzeofficial,346100.0,1.84,Finland,Entertainment and Music Music Events Dance,103800.0,instagram,finland,False,2024,Music,MAPPED
25,SANNI @sannivirallinen,340800.0,1.91,Finland,Entertainment and Music,102200.0,instagram,finland,False,2024,Music,MAPPED
26,Bebo Al-ansaryi @bebo_alansaryi,333000.0,2.1,Finland,,99900.0,instagram,finland,False,2024,,
27,Aku Hirviniemi @akuhirviniemi,328100.0,0.65,Finland,Celebrity,98400.0,instagram,finland,False,2024,Entertainment,MAPPED
28,Marko Raassina @marko.raassina,320400.0,17.8,Finland,Arts and Crafts Comics Geek Artist,96100.0,instagram,finland,False,2024,Lifestyle,MAPPED
29,Jonna Hyttinen @scandy_girl,305600.0,1.83,Finland,Arts and Crafts Home and Garden Illustrator Drawing,91700.0,instagram,finland,False,2024,Lifestyle,MAPPED
30,Janni Hussi @jannihussi,303800.0,2.52,Finland,Auto and Vehicles Entertainment and Music Actors Cooking,91100.0,instagram,finland,False,2024,Tech&Gaming,MAPPED
31,Junior maciel 🦅 @juniormaciel,302400.0,1.2,Finland,Soccer,90700.0,instagram,finland,False,2024,Sports,MAPPED
32,T I N O S O I N I N E N @tinoshair_tino,295600.0,2.5,Finland,Beauty and Self Care Education,88700.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
33,Fashion| Menswear| Fitness @iammiari,293200.0,0.72,Finland,Fashion and Accessories,88000.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
34,Jarppi Dudeson @jarppidudeson,289400.0,1.41,Finland,,86800.0,instagram,finland,False,2024,,
35,Arttu Stenberg @arttustenberg,287300.0,5.0,Finland,Sports,86200.0,instagram,finland,False,2024,Sports,MAPPED
36,Jasper Pääkkönen @jasperpaakkonen,282800.0,4.48,Finland,Outdoor Activity Adventure Fishing,84800.0,instagram,finland,False,2024,Sports,MAPPED
37,𝙃𝙚𝙧𝙗𝙖𝙡𝙞𝙨𝙩𝙞 🌿 @herbalisti,277800.0,3.09,Finland,,83300.0,instagram,finland,False,2024,,
38,Lorenzo Mirandola ■ Lapland @lorenzmira_lapland,273500.0,73.29,Finland,Outdoor Activity Travel Photography,82100.0,instagram,finland,False,2024,Sports,MAPPED
39,Veronica Verho @mariieveronicaofficial,268900.0,3.5,Finland,Animals Pets Animals & Pets,80700.0,instagram,finland,False,2024,Lifestyle,MAPPED
40,Marianna Mäkelä @mariannnan,267600.0,2.44,Finland,Fashion and Accessories Lifestyle Styling,80300.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
41,Sanni Oksanen🌙 @sannioksanen,265600.0,2.61,Finland,Nature Travel Outdoor Activity Lifestyle,79700.0,instagram,finland,False,2024,Sports,MAPPED
42,𝙎𝙪𝙫𝙞 ♡ @myhairstyle_xo,262800.0,0.15,Finland,Beauty and Self Care Styling Hair Salons,78800.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
43,SARA PARIKKA @saraparikka,260700.0,2.0,Finland,Acting and Drama family Education Celebrity,78200.0,instagram,finland,False,2024,Knowledge&Info,MAPPED
44,Nini Catarina Nguyên 🦋 @ninninguyen,258399.99999999997,0.36,Finland,Entertainment and Music Lifestyle Styling Celebrities,77500.0,instagram,finland,False,2024,Music,MAPPED
45,Leijonat @leijonatfi,257700.0,1.51,Finland,Sports News Ice Hockey,77300.0,instagram,finland,False,2024,Sports,MAPPED
46,justimusfilms @justimusfilms,255600.0,2.68,Finland,Entertainment and Music,76700.0,instagram,finland,False,2024,Music,MAPPED
47,Sami Hedberg @samihedberg,251200.0,0.35,Finland,Entertainment and Music,75400.0,instagram,finland,False,2024,Music,MAPPED
48,StuntFreaksTeam @stuntfreaksteam,246600.0,2.63,Finland,Auto and Vehicles Home and Garden Riders Motorcycle Racing,74000.0,instagram,finland,False,2024,Sports,MAPPED
49,Ｒｏｓａ Ｌｉｎｎ @rosalinnmusic,243700.0,3.6,Finland,Entertainment and Music Music,73100.0,instagram,finland,False,2024,Music,MAPPED
50,Patrik Laine @patriklaine,237800.0,11.06,Finland,Ice Hockey,71300.0,instagram,finland,False,2024,UNMAPPED,UNMAPPED
51,𝐏𝐄𝐓𝐑𝐀 @bangtsikitsiki,231400.0,1.28,Finland,Fashion and Accessories News Hair & Beauty DIY & Crafts,69400.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
52,Apocalyptica @apocalypticaofficial,229200.0,1.85,Finland,Entertainment and Music Music Songwriting Singer,68800.0,instagram,finland,False,2024,Music,MAPPED
53,JVG @jvgfi,228000.0,2.4,Finland,,68400.0,instagram,finland,False,2024,,
54,Sara Sieppi @sarasieppi,223700.0,3.13,Finland,Education Celebrities,67100.0,instagram,finland,False,2024,Knowledge&Info,MAPPED
55,Kinuskikissa @kinuskikissa,222000.0,0.7,Finland,Food Home and Garden News Cooking,66600.0,instagram,finland,False,2024,Knowledge&Info,MAPPED
56,Ilona Ylikorpi @ilonaylikorpi,221700.0,2.5,Finland,Photography Arts and Crafts Product Showcase,66500.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
57,miriambryant @miriambryant,219000.0,1.93,Finland,Entertainment and Music Design Music,65700.0,instagram,finland,False,2024,Music,MAPPED
58,𝑻𝒐𝒑𝒊 𝒕𝒉𝒆 𝑪𝒐𝒓𝒈𝒊 @topithecorgi,218500.0,3.95,Finland,Animals Pets Home and Garden Dogs,65500.0,instagram,finland,False,2024,Lifestyle,MAPPED
59,HS – Helsingin Sanomat @helsinginsanomat,214000.0,1.13,Finland,,64200.0,instagram,finland,False,2024,,
60,JEENY DAVID|جينـــي ديفيـــد @jeeny.david1,213700.0,1.3,Finland,Finance,64099.99999999999,instagram,finland,False,2024,Knowledge&Info,MAPPED
61,PERNILLA FANNY MATILDA @pernillabockerman,208100.0,3.81,Finland,Fitness and Health Gym Coaching,62400.0,instagram,finland,False,2024,Sports,MAPPED
62,Jane Callista @janecallista,207600.0,0.79,Finland,Entertainment and Music Music Singer,62300.0,instagram,finland,False,2024,Music,MAPPED
63,Jari-Matti Latvala @jmlatvala,207200.0,3.95,Finland,Racing,62200.0,instagram,finland,False,2024,Sports,MAPPED
64,May🔵 @maymoking,196100.0,1.4,Finland,,58800.0,instagram,finland,False,2024,,
65,Minna Kalliokulju @mk_maison,195100.0,0.26,Finland,Home and Garden family Moms,58500.0,instagram,finland,False,2024,Lifestyle,MAPPED
66,@soikkuyo,194000.0,0.99,Finland,Art Architecture,58200.0,instagram,finland,False,2024,Lifestyle,MAPPED
67,Donia @donialuvsu,193900.0,0.65,Finland,"Beauty Travel Adventure Film, Music & Books",58200.0,instagram,finland,False,2024,Sports,MAPPED
68,Gulleed bulle 🇫🇮 @gulledsimba,190500.0,5.58,Finland,Art Music Singer,57200.0,instagram,finland,False,2024,Music,MAPPED
69,Onni Alstola 🇫🇮 @vloggarionni,189700.0,0.5,Finland,Arts and Crafts,56900.0,instagram,finland,False,2024,Lifestyle,MAPPED
70,Oliver Solberg ⚡️ @oliversolberg01,183100.0,2.7,Finland,Outdoor Activity Sports Automotive Racing,54900.0,instagram,finland,False,2024,Sports,MAPPED
71,Vappu Pimiä @vappendaali,183000.0,2.8,Finland,Food Business and Finance Moms,54900.0,instagram,finland,False,2024,Knowledge&Info,MAPPED
72,RoseShock @roseshock,181800.0,2.9,Finland,Arts and Crafts Business,54500.0,instagram,finland,False,2024,Knowledge&Info,MAPPED
73,Daniel Taipale @dansmoe,180400.0,2.32,Finland,Nature Photography Outdoor Activity Adventure,54100.0,instagram,finland,False,2024,Sports,MAPPED
74,Jirka Vinse Jonatan Väätäinen @jirkavinse,176800.0,2.14,Finland,Arts and Crafts Illustrator,53000.0,instagram,finland,False,2024,Lifestyle,MAPPED
75,TOPI THE DOG. Cheesefluencer @topi_the_dog,173300.0,2.25,Finland,Pets Dogs,52000.0,instagram,finland,False,2024,Lifestyle,MAPPED
76,Jussi Ulkuniemi @skwii,172500.0,1.08,Finland,Photography Outdoor Activity Adventure Architecture,51800.0,instagram,finland,False,2024,Sports,MAPPED
77,maiju voutilainen (she/her) @maijuvouti,170100.0,2.02,Finland,Fashion and Accessories Arts and Crafts Nature,51000.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
78,Amanda Essen WEAK TO STRONG @svagtillstark,168700.0,8.92,Finland,Fitness and Health Health & Fitness Cooking Food & Drink,50600.0,instagram,finland,False,2024,Sports,MAPPED
79,Sointu Borg @sointuorvokki,167500.0,5.98,Finland,Fashion and Accessories Modeling,50300.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
80,Sara Chafak @sarachafak,167200.0,2.35,Finland,Entertainment and Music Celebrity Soccer Modeling,50200.0,instagram,finland,False,2024,Sports,MAPPED
81,☆*:.｡. sofia ★･゜ﾟ･*˚✧ @rottenpeachcorpse,166300.0,4.2,Finland,Arts and Crafts,49900.0,instagram,finland,False,2024,Lifestyle,MAPPED
82,Maga Musaev @magadidntwakeup,163100.0,3.4,Finland,Sports,48900.0,instagram,finland,False,2024,Sports,MAPPED
83,Rayadas @rayadas,162500.0,1.9,Finland,,48800.0,instagram,finland,False,2024,,
84,al ѕнaммarι♕ @j93j,162100.0,0.7,Finland,Modeling,48600.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
85,💙زندگی به سبک‌منوباران💙 @baran_taj_,158800.0,5.8,Finland,,47700.0,instagram,finland,False,2024,,
86,SNORO @jonisnoro,157600.0,0.17,Finland,Entertainment and Music Music Musicians Songwriting,47300.0,instagram,finland,False,2024,Music,MAPPED
87,Jenni Vartiainen @jennivartiainenofficial,157000.0,3.84,Finland,Fashion and Accessories,47100.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
88,Deata @deata,156900.0,1.28,Finland,Entertainment and Music,47100.0,instagram,finland,False,2024,Music,MAPPED
89,ABREU @iamabreu,156500.0,5.7,Finland,Nature Outdoor Activity,46900.0,instagram,finland,False,2024,Sports,MAPPED
90,venlasavikuja @venlasavikuja,156200.0,0.42,Finland,Acting and Drama Celebrity,46900.0,instagram,finland,False,2024,Entertainment,MAPPED
91,Jesse Puljujärvi @puljuuu,155500.0,15.64,Finland,Ice Hockey,46700.0,instagram,finland,False,2024,UNMAPPED,UNMAPPED
92,Finland 🇫🇮 Travel | Hotels | Food | Tips @visitingfinland,155400.0,0.39,Finland,Travel Photography Nature,46600.0,instagram,finland,False,2024,Lifestyle,MAPPED
93,داليا العبيدي @beauty_box_iq,155400.0,0.23,Finland,Beauty and Self Care Fashion and Accessories,46600.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
94,Mindful of Dreams @mindfulofdreamss,155300.0,11.08,Finland,Arts and Crafts,46600.0,instagram,finland,False,2024,Lifestyle,MAPPED
95,Nikola Zujic @nikolazujicfitness,154300.0,0.45,Finland,Fitness Fitness and Health,46300.0,instagram,finland,False,2024,Sports,MAPPED
96,Kasperi Kapanen @kasperikapanen1,153400.0,6.14,Finland,Sports Moms Modeling,46000.0,instagram,finland,False,2024,Sports,MAPPED
97,Jukka Risikko @jukkarisikko,152600.0,6.68,Finland,Nature Photography Modeling,45800.0,instagram,finland,False,2024,Beauty&Fashion,MAPPED
98,Aapo Puhakka Badminton 🏸 @aapopuhakka,151200.0,2.07,Finland,Sports,45400.0,instagram,finland,False,2024,Sports,MAPPED
99,Camilla Saloranta | travel and fashion content creator @camillamilja,150200.0,0.38,Finland,family Parenting,45100.0,instagram,finland,False,2024,Lifestyle,MAPPED
100,Sami Hyypiä @samihyypia4,148900.0,2.49,Finland,,44700.0,instagram,finland,False,2024,,
