rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,"dr. Arthur, SpKK, FINSDV @dokterkulitkucom",1200000.0,,Finland,Beauty and Self Care,360000.0,tiktok,finland,False,2024,Beauty&Fashion,MAPPED
2,cookexpertf @cookexpertf,865400.0,,Finland,Food and Drink,259600.00000000003,tiktok,finland,False,2024,Lifestyle,MAPPED
3,Jannica Sherry @jannicass,833900.0,0.1,Finland,Beauty and Self Care Arts and Crafts,250200.0,tiktok,finland,False,2024,Beauty&Fashion,MAPPED
4,Bella Nomade / IG: bellanomade @bellanomade,754100.0,,Finland,Travel Fitness,226200.0,tiktok,finland,False,2024,Sports,MAPPED
5,Taija Taika @taijataika,642300.0,,Finland,,192700.0,tiktok,finland,False,2024,,
6,1000 Experiencias @1000experiencias,409900.0,,Finland,Travel,123000.0,tiktok,finland,False,2024,Lifestyle,MAPPED
7,Waleed Kilttan @kiltaan,394700.0,,Finland,,118400.0,tiktok,finland,False,2024,,
8,🇫🇮🇫🇮🇫🇮 @imnotjoalin,382000.0,0.3,Finland,,114600.0,tiktok,finland,False,2024,,
9,SARAH @itssarahh99,378100.0,0.2,Finland,,113400.0,tiktok,finland,False,2024,,
10,Sanni Oksanen @sannioksanen,377600.0,,Finland,Travel,113300.0,tiktok,finland,False,2024,Lifestyle,MAPPED
11,Lucas Zanotto @lucas_zanotto,351100.0,,Finland,,105300.0,tiktok,finland,False,2024,,
12,🇫🇮My toxic🤭 @veeti_dz,340000.0,,Finland,,102000.0,tiktok,finland,False,2024,,
13,santtu @santerivili,336700.0,,Finland,Entertainment and Music Funny,101000.0,tiktok,finland,False,2024,Music,MAPPED
14,laulukka🌺 @laulukka,330700.0,,Finland,Entertainment and Music Funny,99200.0,tiktok,finland,False,2024,Music,MAPPED
15,Luonto Furniture @luontofurniture,292500.0,,Finland,Home and Garden,87800.0,tiktok,finland,False,2024,Lifestyle,MAPPED
16,стаська @pussiom,279500.0,32.2,Finland,Entertainment and Music,83900.0,tiktok,finland,False,2024,Music,MAPPED
17,الفنانةحنين السومرية @user7uz7it1r4y,277800.0,,Finland,,83300.0,tiktok,finland,False,2024,,
18,Prince Ibrahimi @princeibrahimi,276300.0,1.1,Finland,,82900.0,tiktok,finland,False,2024,,
19,khira @khirq,258800.0,0.5,Finland,,77600.0,tiktok,finland,False,2024,,
20,Elias @eliasvvv,241300.0,0.4,Finland,Entertainment and Music,72400.0,tiktok,finland,False,2024,Music,MAPPED
21,Daniel Ahola @danielaleksis,240000.0,21.3,Finland,Entertainment and Music,72000.0,tiktok,finland,False,2024,Music,MAPPED
22,floweryghost @floweryghost,238700.0,,Finland,Beauty and Self Care,71600.0,tiktok,finland,False,2024,Beauty&Fashion,MAPPED
23,وئام و هبه @weaam.hiba,226800.0,0.1,Finland,Entertainment and Music,68000.0,tiktok,finland,False,2024,Music,MAPPED
24,SaamoPetraa @saamopetraa3,226200.0,,Finland,Entertainment and Music,67900.0,tiktok,finland,False,2024,Music,MAPPED
25,Proxyrod @proxyrod,219700.0,0.1,Finland,Entertainment and Music,65900.0,tiktok,finland,False,2024,Music,MAPPED
26,Crew of hooligans @crewofhooligans,211500.0,,Finland,,63500.0,tiktok,finland,False,2024,,
27,NordicFunDogs @nordicfundogs,211100.0,0.1,Finland,Animals Pets,63300.0,tiktok,finland,False,2024,Lifestyle,MAPPED
28,Risaaa😂😂 @rsdance27,209200.0,,Finland,,62800.0,tiktok,finland,False,2024,,
29,Mandimai Sundberg @mondaymay,208800.0,0.2,Finland,,62600.0,tiktok,finland,False,2024,,
30,Måmå “P” PääT @mypaat,206500.0,,Finland,,62000.0,tiktok,finland,False,2024,,
31,wheelhub @wheelhub.com,205800.0,,Finland,,61700.0,tiktok,finland,False,2024,,
32,Luciano Ghidoli @lucianoghidoli,199200.0,,Finland,Arts and Crafts,59800.0,tiktok,finland,False,2024,Lifestyle,MAPPED
33,Nojeen Makeup 💄 @n0jeenn,198900.0,,Finland,,59700.0,tiktok,finland,False,2024,,
34,Viivi Rytkönen @unafinlandesa,194200.0,,Finland,Travel,58300.0,tiktok,finland,False,2024,Lifestyle,MAPPED
35,"Prev. Alex.FI, now AlexMartini @alex.martini__",192600.0,,Finland,Auto and Vehicles Automotive,57800.0,tiktok,finland,False,2024,Tech&Gaming,MAPPED
36,Jäätynyt Banaani 🍌 @jaatynytbanaaniofficial,191000.0,,Finland,Funny Entertainment and Music,57300.0,tiktok,finland,False,2024,Music,MAPPED
37,BlindChannel @blindchannel,189000.0,0.3,Finland,,56700.0,tiktok,finland,False,2024,,
38,JuhoFlow @juhoflow,188000.0,3.6,Finland,Entertainment and Music Funny,56400.0,tiktok,finland,False,2024,Music,MAPPED
39,Niko Saarinen @niko_saarinen,187800.0,0.2,Finland,,56300.0,tiktok,finland,False,2024,,
40,sihvoallu @sihvoallu,176000.0,,Finland,Entertainment and Music,52800.0,tiktok,finland,False,2024,Music,MAPPED
41,davide @david_tim_,175600.0,,Finland,,52700.0,tiktok,finland,False,2024,,
42,Nuppu Oinas @nuppipaa,171400.0,,Finland,Entertainment and Music,51400.0,tiktok,finland,False,2024,Music,MAPPED
43,🇫🇮 🅿🅾🅿 📀 🅼🆄🆂🅸🅲 🇷🇺 @glebmail,169300.0,,Finland,Entertainment and Music,50800.0,tiktok,finland,False,2024,Music,MAPPED
44,Hugo Käld @hugoozz,165600.0,,Finland,Music,49700.0,tiktok,finland,False,2024,Music,MAPPED
45,Michael Howard @yeaa.mike,165300.0,,Finland,,49600.0,tiktok,finland,False,2024,,
46,Julia Kivelä @juliakivela,164400.0,0.1,Finland,,49300.0,tiktok,finland,False,2024,,
47,Qzgu @qzgu,161800.0,,Finland,,48500.0,tiktok,finland,False,2024,,
48,nettaeleonoora @nettaeleonoora,160800.0,,Finland,,48200.0,tiktok,finland,False,2024,,
49,sovalinas @sovalinas,158800.0,0.1,Finland,,47600.0,tiktok,finland,False,2024,,
50,Karppi @karppi25,157000.0,,Finland,,47100.0,tiktok,finland,False,2024,,
