rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Kylian Mbappé @k.mbappe,111700000.0,2.54,France,Sports Business and Finance Home and Garden Soccer,33500000.0,instagram,france,False,2024,Sports,MAPPED
2,Karim Benzema @karimbenzema,76100000.0,1.42,France,Sports Entertainment and Music Soccer,22800000.0,instagram,france,False,2024,Sports,MAPPED
3,Urvashi Rautela @urvashirautela,70300000.0,0.34,France,Art Beauty Acting and Drama Beauty and Self Care,21100000.0,instagram,france,False,2024,Beauty&Fashion,MAPPED
4,Paul Labile Pogba @paulpogba,61100000.0,0.89,France,Sports,18300000.0,instagram,france,False,2024,Sports,MAPPED
5,Antoine Griezmann @antogriezmann,41400000.0,0.34,France,Sports Soccer,12400000.0,instagram,france,False,2024,Sports,MAPPED
6,N'Golo Kanté @nglkante,16200000.0,8.56,France,Sports Personal Finance,4900000.0,instagram,france,False,2024,Sports,MAPPED
7,Patrice Evra @patrice.evra,13200000.0,0.14,France,Entertainment and Music Video Gaming Soccer Music,3900000.0,instagram,france,False,2024,Sports,MAPPED
8,Equipe de France de Football @equipedefrance,11600000.0,0.45,France,Sports,3500000.0,instagram,france,False,2024,Sports,MAPPED
9,Eduardo Celmi Camavinga @camavinga,11200000.0,0.11,France,Sports,3400000.0,instagram,france,False,2024,Sports,MAPPED
10,Ross Shor Lynch @ross_lynch,11100000.0,5.6,France,Art Parenting Music Singer,3300000.0,instagram,france,False,2024,Music,MAPPED
11,Lea Elui G @leaelui,10700000.0,2.49,France,Entertainment and Music,3200000.0,instagram,france,False,2024,Music,MAPPED
12,David Guetta @davidguetta,10600000.0,0.65,France,Entertainment and Music Music DJ Producers,3200000.0,instagram,france,False,2024,Music,MAPPED
13,Cedric Grolet @cedricgrolet,9600000.0,4.07,France,Food Business and Finance,2900000.0,instagram,france,False,2024,Knowledge&Info,MAPPED
14,Nabilla Vergara @nabilla,9100000.0,2.87,France,Beauty and Self Care Modeling Health & Fitness Food & Drink,2700000.0,instagram,france,False,2024,Sports,MAPPED
15,Mathilde 🐈‍⬛ @mathildtantot,8900000.0,2.33,France,Fashion and Accessories Bikini Modeling,2700000.0,instagram,france,False,2024,Beauty&Fashion,MAPPED
16,Franck Ribéry @franckribery7,8700000.0,2.44,France,Coaching Training Fitness,2600000.0,instagram,france,False,2024,Sports,MAPPED
17,Solenn Heussaff @solenn,8700000.0,0.96,France,Fashion and Accessories Arts and Crafts Celebrity Modeling,2600000.0,instagram,france,False,2024,Beauty&Fashion,MAPPED
18,Richard ORLINSKI @richardorlinski,7700000.0,3.5,France,Arts and Crafts,2300000.0,instagram,france,False,2024,Lifestyle,MAPPED
19,Marie Lopez @enjoyphoenix,6300000.0,0.44,France,Beauty and Self Care Lifestyle Public Figure,1900000.0,instagram,france,False,2024,Beauty&Fashion,MAPPED
20,Jessica Garcia @jessicathivenin,6100000.0,0.95,France,Fashion and Accessories Travel Beauty and Self Care Finance,1800000.0,instagram,france,False,2024,Beauty&Fashion,MAPPED
21,Samuel Umtiti @samumtiti,6100000.0,0.98,France,Sports Food,1800000.0,instagram,france,False,2024,Sports,MAPPED
22,Tiboinshape @tiboinshape,6000000.0,0.74,France,Fitness and Health Celebrity Lifestyle,1800000.0,instagram,france,False,2024,Sports,MAPPED
23,Cyprien @6pri1,6000000.0,1.6,France,Celebrity Comedy,1800000.0,instagram,france,False,2024,Entertainment,MAPPED
24,Blaise Matuidi @blaisematuidiofficiel,5900000.0,0.68,France,Sports Soccer,1800000.0,instagram,france,False,2024,Sports,MAPPED
25,Caroline Receveur 🦂 @carolinereceveur,5600000.0,3.18,France,Beauty and Self Care Fashion and Accessories Business and Finance Entrepreneur,1700000.0,instagram,france,False,2024,Beauty&Fashion,MAPPED
26,Hanady @hanadymehanna,5200000.0,3.3,France,Celebrity,1500000.0,instagram,france,False,2024,Entertainment,MAPPED
27,Musée du Louvre @museelouvre,5100000.0,0.56,France,Arts and Crafts Education,1500000.0,instagram,france,False,2024,Knowledge&Info,MAPPED
28,Lori Harvey @loriharvey,5000000.0,2.86,France,Business and Finance Modeling Actors Creators & Celebrities,1500000.0,instagram,france,False,2024,Beauty&Fashion,MAPPED
29,Ninho Sdt @ninhosdt,4900000.0,3.74,France,"Art Entertainment and Music Singer Film, Music & Books",1500000.0,instagram,france,False,2024,Knowledge&Info,MAPPED
30,PRESNEL KIMPEMBE @kimpembe3,4800000.0,3.02,France,Sports Soccer,1400000.0,instagram,france,False,2024,Sports,MAPPED
31,PIERRE GASLY 🇫🇷 @pierregasly,4700000.0,8.79,France,Sports Racing,1400000.0,instagram,france,False,2024,Sports,MAPPED
