rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,sinadeinert @sinadeinert,5700000.0,0.1,Germany,,1700000.0,tiktok,germany,False,2024,,
2,YZ @youneszar,4400000.0,,Germany,Entertainment and Music,1300000.0,tiktok,germany,False,2024,Music,MAPPED
3,Enrique @enriquestory,4099999.9999999995,,Germany,Arts and Crafts,1200000.0,tiktok,germany,False,2024,Lifestyle,MAPPED
4,Julia Beautx @juliabeautx,3800000.0,,Germany,Beauty and Self Care Education Product Education Product Showcase,1100000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
5,Andrew Glazunov @andrewglazunov,3700000.0,,Germany,,1100000.0,tiktok,germany,False,2024,,
6,Jeremy Fragrance @jeremyfragrance,3600000.0,,Germany,Beauty and Self Care Entertainment and Music,1100000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
7,toni.kr8s_academy @toni.kr8s_academy,3100000.0,,Germany,Sports,930000.0,tiktok,germany,False,2024,Sports,MAPPED
8,foodie beats @foodie.beats,2900000.0,,Germany,Food,870000.0,tiktok,germany,False,2024,Lifestyle,MAPPED
9,tinaneumann @tinaneumann,2800000.0,,Germany,,840000.0,tiktok,germany,False,2024,,
10,AИDREA @andrea_subotic,2800000.0,,Germany,Entertainment and Music,840000.0,tiktok,germany,False,2024,Music,MAPPED
11,Fabian Maurice Baggeler @fabian.baggeler,2700000.0,,Germany,Entertainment and Music,810000.0,tiktok,germany,False,2024,Music,MAPPED
12,Serge❤️ @laskynn,2700000.0,,Germany,Fashion and Accessories,810000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
13,Laura Sophie @laurasophie,2600000.0,,Germany,,780000.0,tiktok,germany,False,2024,,
14,Любовь @tykowkaaa,2600000.0,,Germany,,780000.0,tiktok,germany,False,2024,,
15,Mariia Well @mariia.well,2500000.0,,Germany,,750000.0,tiktok,germany,False,2024,,
16,Irina @irinkamagic,2400000.0,,Germany,Entertainment and Music,720000.0,tiktok,germany,False,2024,Music,MAPPED
17,Mike Singer @mikesinger,2400000.0,,Germany,Entertainment and Music,720000.0,tiktok,germany,False,2024,Music,MAPPED
18,د.اسماعيل الطراد 🇩🇪 @dr.ismaeilaltourad,2300000.0,0.2,Germany,Education,690000.0,tiktok,germany,False,2024,Knowledge&Info,MAPPED
19,TypischCalvin 🇩🇪 @typischcalvin,2300000.0,,Germany,Entertainment and Music,690000.0,tiktok,germany,False,2024,Music,MAPPED
20,Lucy🌸🍃 @e.l.u.c.e.y,2300000.0,,Germany,Education Arts and Crafts,690000.0,tiktok,germany,False,2024,Knowledge&Info,MAPPED
21,Michael Gerber @elsuizolatino,2200000.0,,Germany,,660000.0,tiktok,germany,False,2024,,
22,Derya @derya.tavas,2100000.0,0.1,Germany,Beauty and Self Care,630000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
23,Jul 💘 @mylifeasjul,2100000.0,,Germany,Fashion and Accessories,630000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
24,Niclas @niclas.kuri,2000000.0,,Germany,,600000.0,tiktok,germany,False,2024,,
25,SENDDICTED @senddicted,2000000.0,,Germany,,600000.0,tiktok,germany,False,2024,,
26,🇩🇪أميرة❤️ الأناقة 🇲🇦 @latifa.style,2000000.0,,Germany,Beauty and Self Care Fashion and Accessories,600000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
27,wissensbert @wissensbert,2000000.0,0.1,Germany,Education,600000.0,tiktok,germany,False,2024,Knowledge&Info,MAPPED
28,Chris Böhm @chris_boehm,1800000.0,,Germany,Entertainment and Music,540000.0,tiktok,germany,False,2024,Music,MAPPED
29,Henry Nguyen @henry.ng,1800000.0,,Germany,,540000.0,tiktok,germany,False,2024,,
30,Hao @haofx,1700000.0,1.3,Germany,Entertainment and Music,510000.0,tiktok,germany,False,2024,Music,MAPPED
31,Liam Carpenter @liamcarps,1600000.0,7.0,Germany,Funny,480000.0,tiktok,germany,False,2024,Entertainment,MAPPED
32,Xenia Adonts @xeniaadonts,1500000.0,,Germany,Fashion and Accessories,450000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
33,Rezo @rezo,1500000.0,0.1,Germany,,450000.0,tiktok,germany,False,2024,,
34,𝐶𝑖𝑛𝑡𝑖𝑦𝑎 BB @sine0,1500000.0,,Germany,Entertainment and Music,450000.0,tiktok,germany,False,2024,Music,MAPPED
35,🇹🇷𝑆𝐸𝑀𝐼𝐻 & 𝐼𝑀𝐴𝑁🇩🇪 @imsem.diary,1400000.0,0.1,Germany,Entertainment and Music,420000.0,tiktok,germany,False,2024,Music,MAPPED
36,mrsxanna.lyx @mrsxanna.lyx,1400000.0,,Germany,,420000.0,tiktok,germany,False,2024,,
37,Can Der Koch @canderkoch,1400000.0,,Germany,Entertainment and Music,420000.0,tiktok,germany,False,2024,Music,MAPPED
38,Davide Scibetta @davide__scibetta,1300000.0,,Germany,Beauty and Self Care,390000.0,tiktok,germany,False,2024,Beauty&Fashion,MAPPED
39,Jihoon Kim @jihoneysweet,1300000.0,,Germany,,390000.0,tiktok,germany,False,2024,,
