rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,HaerteTest @UCqsS8fU6yVxrJr5y_CoUn3w,19900000.0,,Germany,,6000000.0,youtube,germany,False,2024,,
2,Kinder Spielzeug Kanal @UCVEDZVtA5NUtjxSXHjtvkag,19300000.0,,Germany,,5800000.0,youtube,germany,False,2024,,
3,Ice Cream Rolls @UCAon55hNT6ESbdQ5y1hRWTA,12200000.0,,Germany,,3700000.0,youtube,germany,False,2024,,
4,Pamela Reif @UChVRfsT_ASBZk10o0An7Ucg,8800000.0,0.1,Germany,Fitness,2600000.0,youtube,germany,False,2024,Sports,MAPPED
5,freekickerz @UCC9h3H-sGrvqd2otknZntsQ,8700000.0,,Germany,,2600000.0,youtube,germany,False,2024,,
6,Dhruv Rathee @UC-CSyyi47VX1lD9zyeABW3w,8100000.0,2.5,Germany,,2400000.0,youtube,germany,False,2024,,
7,The Voice Kids @UCsaKxIA9snv1Wrh_sw1DFvg,7300000.0,,Germany,News,2200000.0,youtube,germany,False,2024,Knowledge&Info,MAPPED
8,Rammstein Official @UCYp3rk70ACGXQ4gFAiMr1SQ,7100000.0,,Germany,,2100000.0,youtube,germany,False,2024,,
9,German Spidey @germanspidey,6600000.0,0.2,Germany,,2000000.0,youtube,germany,False,2024,,
10,COLORS @UC2Qw1dzXDBAZPwS7zm37g8g,6200000.0,,Germany,,1900000.0,youtube,germany,False,2024,,
11,Kontor.TV @UCb3tJ5NKw7mDxyaQ73mwbRg,6100000.0,,Germany,,1800000.0,youtube,germany,False,2024,,
12,TheFatRat @UCa_UMppcMsHIzb5LDx1u9zQ,6100000.0,1.1,Germany,,1800000.0,youtube,germany,False,2024,,
13,Julien Bam @UCTXeJ33DzXI2veQpKfrvaYw,6000000.0,,Germany,,1800000.0,youtube,germany,False,2024,,
14,BibisBeautyPalace @UCHfdTAyg5t4mb1G-3rJ6QsQ,5900000.0,0.3,Germany,,1800000.0,youtube,germany,False,2024,,
15,TikTokTunes @UC9EgazNjxm-_3eydGQR45rQ,5700000.0,,Germany,,1700000.0,youtube,germany,False,2024,,
16,briQle @UCrT0Q_oAAv5xbHB8LrUwz_g,5500000.0,,Germany,,1600000.0,youtube,germany,False,2024,,
17,Ali Omar @UCJhAZAK6t92znGV9tMuy7eQ,5200000.0,,Germany,,1600000.0,youtube,germany,False,2024,,
18,Unique Vibes @UCn7Z0uhzGS1KjnO-sWml_dw,5200000.0,,Germany,,1600000.0,youtube,germany,False,2024,,
19,laserluca @UCmxc6kXbU1J-0pR2F3wIx9A,4800000.0,1.8,Germany,,1400000.0,youtube,germany,False,2024,,
20,DW Documental @UCQ1GpKa15ulyoQuxz7H4rng,4600000.0,,Germany,,1400000.0,youtube,germany,False,2024,,
21,DW Documentary @UCW39zufHfsuGgpLviKh297Q,4500000.0,,Germany,Travel,1400000.0,youtube,germany,False,2024,Lifestyle,MAPPED
22,clips mix @UCogFmwd_6QgQ4qZtU2gDDVQ,4500000.0,,Germany,,1300000.0,youtube,germany,False,2024,,
23,DW News @UCknLrEdhRCp1aegoMqRaCZg,4400000.0,,Germany,,1300000.0,youtube,germany,False,2024,,
24,Majestic Casual @UCXIyz409s7bNWVcM-vjfdVA,4300000.0,,Germany,,1300000.0,youtube,germany,False,2024,,
25,ArkivaShqip @UCUd0P7GJ_6UiLcIpfKH9sCQ,4099999.9999999995,,Germany,,1200000.0,youtube,germany,False,2024,,
26,Calisthenicmovement @UCZIIRX8rkNjVpP-oLMHpeDw,4099999.9999999995,,Germany,,1200000.0,youtube,germany,False,2024,,
27,Dagi Bee @UCpZ_DI-ZugwMzXcqccaTVsg,4000000.0,,Germany,,1200000.0,youtube,germany,False,2024,,
28,Free Documentary @UCijcd0GR0fkxCAZwkiuWqtQ,4000000.0,,Germany,,1200000.0,youtube,germany,False,2024,,
29,ungespielt @UCcn4UOBvB0W2HjCcLFLuu2w,3800000.0,0.1,Germany,,1100000.0,youtube,germany,False,2024,,
30,Lous Reaction @UCmloGqUEraKu2IGQ2SXZ4Rg,3800000.0,41.0,Germany,,1100000.0,youtube,germany,False,2024,,
31,DW हिन्दी @UCc7pPNFBvIhI4iV7m8plJuA,3700000.0,,Germany,,1100000.0,youtube,germany,False,2024,,
32,Freshtorge @UCr3LVdbgOcW4NZEpo0VHnxw,3700000.0,0.6,Germany,,1100000.0,youtube,germany,False,2024,,
33,Ikram Bellanova @UCkLVM-72DqCDi5psyXmeMag,3700000.0,,Germany,Beauty,1100000.0,youtube,germany,False,2024,Beauty&Fashion,MAPPED
34,Robin Schulz @UCLVVBWrp9jw4-SYUoU42hcg,3600000.0,,Germany,Music,1100000.0,youtube,germany,False,2024,Music,MAPPED
35,Bundesliga @UC6UL29enLNe4mqwTfAyeNuw,3600000.0,,Germany,,1100000.0,youtube,germany,False,2024,,
36,SkyBek craft channel @UCCohOo_tNjrR5JxgLjOb25A,3600000.0,,Germany,,1100000.0,youtube,germany,False,2024,,
37,Essen Rezepte @UCNh35NtktYxumhyASfnF1dg,3500000.0,,Germany,Food and Drink,1100000.0,youtube,germany,False,2024,Lifestyle,MAPPED
38,EUROPA Kinderprogramm @UCxkQwIshySkwOqEuZ28o8KA,3500000.0,,Germany,,1100000.0,youtube,germany,False,2024,,
39,LEO ROJAS - official @UCzFnloeM9qA1j7fuJ-7iT3g,3400000.0,0.1,Germany,,1000000.0,youtube,germany,False,2024,,
40,MERO @UCeKMrU5GECquXiJl6tnTgPA,3300000.0,3.0,Germany,,975000.0,youtube,germany,False,2024,,
41,Felix von der Laden @UChr1sKJ27Fr6WZxAlusbo_w,3200000.0,0.1,Germany,,966000.0,youtube,germany,False,2024,,
42,AirwaveMusicTV @UCwIgPuUJXuf2nY-nKsEvLOg,3200000.0,,Germany,,966000.0,youtube,germany,False,2024,,
43,BBlocks @UCN-IThhgJxrO07kNEqLnpRw,3200000.0,,Germany,,963000.0,youtube,germany,False,2024,,
44,Merry Margo Live @UCry39FTohgDCCSR9pVyFDzg,3200000.0,,Germany,,963000.0,youtube,germany,False,2024,,
45,Galileo @UC1XrG1M_hw8103zO2x-oivg,3200000.0,,Germany,,957000.0,youtube,germany,False,2024,,
46,Keluarga Bahagia Di Jerman @keluargabahagiadijerman,3100000.0,0.5,Germany,,939000.0,youtube,germany,False,2024,,
47,Mascha und der Bär @UCA_DdzBmf5yNaxMpVGwZV4g,3100000.0,,Germany,,936000.0,youtube,germany,False,2024,,
48,BangerChannel @UCbDNCzgdLlvYY9dk5M8063A,3000000.0,0.6,Germany,,891000.0,youtube,germany,False,2024,,
49,DW Español @UCT4Jg8h03dD0iN3Pb5L0PMA,3000000.0,,Germany,,891000.0,youtube,germany,False,2024,,
50,Nuclear Blast Records @UCoxg3Kml41wE3IPq-PC-LQw,3000000.0,,Germany,,888000.0,youtube,germany,False,2024,,
51,The Promise Official @UCpywdT36luPBzjrEN-z9nvw,3000000.0,,Germany,,885000.0,youtube,germany,False,2024,,
52,FC Bayern Munich @UCZkcxFIsqW5htimoUQKA0iA,2900000.0,,Germany,,879000.0,youtube,germany,False,2024,,
53,JoergSprave @UCVZlxkKqlvVqzRJXhAGq42Q,2900000.0,0.2,Germany,,867000.0,youtube,germany,False,2024,,
54,iCrimax @UCaR5mgH9aZkswPQtjZ4DktA,2900000.0,0.3,Germany,,867000.0,youtube,germany,False,2024,,
55,Shirin David @UC5ZkRnYd3__WBBGnAnWO9Cg,2900000.0,,Germany,,855000.0,youtube,germany,False,2024,,
56,LeFloid @UCLm6s42r_wCbBX0QqXNCTwg,2800000.0,,Germany,Video Gaming,846000.0,youtube,germany,False,2024,Tech&Gaming,MAPPED
57,Elif Karaman @UCZm0b1gRMptZYrquAIRnw4Q,2800000.0,,Germany,,837000.0,youtube,germany,False,2024,,
58,unsympathischTV @UC-4Tzd5lIRU7lcv7_5OO01Q,2800000.0,,Germany,,834000.0,youtube,germany,False,2024,,
59,JONAS @UCqD3OnFZJmKxXPhM-ScDK4w,2800000.0,0.4,Germany,,831000.0,youtube,germany,False,2024,,
60,inscope21 @UCXDi1F7Q-cJQ4mGGavtfYRQ,2700000.0,2.3,Germany,,819000.0,youtube,germany,False,2024,,
61,Mady Morrison @UCHJBoCDxaCTRrwCHXEBA-BA,2700000.0,0.5,Germany,Fitness,813000.0,youtube,germany,False,2024,Sports,MAPPED
62,SpontanaBlack @UCppK6hGo5L-dmrryG5T0K0Q,2700000.0,0.5,Germany,,804000.0,youtube,germany,False,2024,,
63,DieLochis @UCnWPDVXTezqRZMTqmnthgPg,2700000.0,,Germany,,798000.0,youtube,germany,False,2024,,
