rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Giannis Ugo Antetokounmpo @giannis_an34,16200000.0,1.25,Greece,Sports Entertainment Basketball Athlete,4900000.0,instagram,greece,False,2024,Sports,MAPPED
2,Péricles @pericles,6400000.0,0.38,Greece,Entertainment and Music,1900000.0,instagram,greece,False,2024,Music,MAPPED
3,Kris @kristenhancher,4700000.0,0.5,Greece,Entertainment and Music Fashion and Accessories Beauty and Self Care Fitness and Health,1400000.0,instagram,greece,False,2024,Sports,MAPPED
4,Dimosthenis Sintou Koutoudis @denniskoutoudis,4000000.0,7.67,Greece,Product Showcase Business and Finance Entrepreneur Business,1200000.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
5,Kostas Tsimikas @tsimikas21,2100000.0,8.89,Greece,Sports,638700.0,instagram,greece,False,2024,Sports,MAPPED
6,Mila Romanidi @mila_romanidi_official,2100000.0,0.6,Greece,Entertainment and Music News Modeling,634200.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
7,Victoria Banxx @vickybanxxtv,1900000.0,2.11,Greece,,578700.0,instagram,greece,False,2024,,
8,Stefanos Tsitsipas @stefanostsitsipas98,1900000.0,1.88,Greece,Sports Tennis,569100.0,instagram,greece,False,2024,Sports,MAPPED
9,Akis Petretzikis @akis_petretzikis,1900000.0,0.58,Greece,Food Recipes Cooking,558800.0,instagram,greece,False,2024,Lifestyle,MAPPED
10,Zoya Tsopei @zoya_tsopei,1700000.0,4.2,Greece,Art Music Fashion,504000.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
11,YRAGGAN🇬🇷 @yraggan,1600000.0,2.62,Greece,,486400.0,instagram,greece,False,2024,,
12,Ioanna Bella @bella_ioanna,1500000.0,0.28,Greece,Fashion and Accessories Modeling,461800.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
13,Maja Malnar @majamalnar,1500000.0,1.02,Greece,Entertainment and Music Fashion and Accessories Travel Hair & Beauty,436300.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
14,@elenimenegaki,1300000.0,0.94,Greece,Fashion Parenting,400400.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
15,Thanasis Antetokounmpo @thanasis_ante43,1300000.0,0.36,Greece,Sports Music Modeling Entertainment,398900.0,instagram,greece,False,2024,Sports,MAPPED
16,Maria Koutsogiannis 🇬🇷 Greek Food Blogger @foodbymaria,1300000.0,1.73,Greece,Food Food and Drink Business and Finance Recipes,391600.0,instagram,greece,False,2024,Knowledge&Info,MAPPED
17,Zoe Garifallou @zoegara,1200000.0,7.72,Greece,Sports,354500.0,instagram,greece,False,2024,Sports,MAPPED
18,Αλέξανδρος Κοψιάλης @alexandros_kopsialis,1200000.0,7.48,Greece,Video Gaming Celebrity Soccer,350100.0,instagram,greece,False,2024,Sports,MAPPED
19,Andreas Geo @georgiou82,1200000.0,0.8,Greece,Celebrity Actors,345200.0,instagram,greece,False,2024,Entertainment,MAPPED
20,Fay Skorda @fayskorda,1100000.0,1.46,Greece,Entertainment and Music,329200.0,instagram,greece,False,2024,Music,MAPPED
21,Konstantinos Argiros @argiros_konstantinos,1000000.0,3.72,Greece,Entertainment and Music Music Singer Producers,305100.0,instagram,greece,False,2024,Music,MAPPED
22,Alex Benz | Грек🇬🇷 @alexandrbenz,1000000.0,3.88,Greece,,303300.0,instagram,greece,False,2024,,
23,Xenia Psyllaki @xenia_psyllaki,915700.0,1.06,Greece,Photography Travel iPhone,274700.0,instagram,greece,False,2024,Lifestyle,MAPPED
24,Angelos Patsis @plakaexei,894200.0,4.12,Greece,Funny Humor,268300.0,instagram,greece,False,2024,Entertainment,MAPPED
25,Katerina Kainourgiou Official @katken85,881200.0,1.41,Greece,Entertainment and Music Parenting Lifestyle Styling,264400.0,instagram,greece,False,2024,Music,MAPPED
26,Madalina Diana Ghenea @officialmadalinaghenea,879800.0,3.4,Greece,Fashion Modeling Actors,263900.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
27,Konstantina Spyropoulou 🧿 @konstantinaspyropoulou,879300.0,1.48,Greece,family Travel Food Beauty and Self Care,263800.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
28,Sophia🇬🇷 @sophiabody,831900.0,0.76,Greece,Entertainment and Music Celebrity Music Modeling,249600.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
29,Mary Synatsaki @mairiboo,816500.0,3.04,Greece,Fashion and Accessories Arts and Crafts Business and Finance Parenting,245000.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
30,CHICHI @chichisvl,778300.0,1.27,Greece,Arts and Crafts DIY and Life Hacks Beauty and Self Care Modeling,233500.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
31,Kostas Antetokounmpo @kostas__ante13,773700.0,9.8,Greece,Singer Music Entertainment,232100.0,instagram,greece,False,2024,Music,MAPPED
32,Helena Paparizou @helenapaparizouofficial,769400.0,1.79,Greece,Entertainment and Music Journalists,230800.0,instagram,greece,False,2024,Knowledge&Info,MAPPED
33,Chiara Bianchino @chiarab_model,761800.0,0.32,Greece,Food and Drink Fashion Actors Bikini,228500.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
34,Alexia Eram♛ @alexiaeram,723200.0,0.51,Greece,Fashion and Accessories Travel,217000.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
35,stam_tsimtsili @stam_tsimtsili,711100.0,1.04,Greece,Entertainment and Music Lifestyle,213300.0,instagram,greece,False,2024,Music,MAPPED
36,Nikos Moutsinas @nikosmoutsinas,705500.0,4.2,Greece,Entertainment and Music Actors,211700.0,instagram,greece,False,2024,Music,MAPPED
37,Nikki Roumel @nikkiroumel,678500.0,7.36,Greece,Celebrity Entertainment and Music,203500.0,instagram,greece,False,2024,Music,MAPPED
38,Dimitris alexandrou @dimitris_alexandrou,659800.0,11.32,Greece,Food Modeling Lifestyle,197900.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
39,Evridiki Valavani @evridiki_valavani,642700.0,1.66,Greece,Fashion and Accessories Lifestyle Modeling,192800.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
40,Vicky Kaya @vickykaya_,638600.0,1.28,Greece,Fashion and Accessories Modeling,191600.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
41,LIGHT @nerogreco,636900.0,10.69,Greece,Entertainment and Music Business and Finance Music Singer,191100.0,instagram,greece,False,2024,Knowledge&Info,MAPPED
42,Natasa Theodoridou @natasatheodoridou,632200.0,3.4,Greece,Entertainment and Music Music Modeling,189700.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
43,Juan Manuel Iturbe @juan_iturbe93,627000.0,4.67,Greece,Sports Marketing and Advertising Soccer Actors,188100.0,instagram,greece,False,2024,Sports,MAPPED
44,Argiro Barbarigou @argirobarbarigou,625700.0,0.59,Greece,Food Food and Drink Cooking Chef,187700.0,instagram,greece,False,2024,Lifestyle,MAPPED
45,CHRISTINA SIKALIAS @christinasikalias,617400.0,0.99,Greece,Beauty and Self Care Education Hair & Beauty Celebrities,185200.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
46,Vitalii Kravtsov 🌙 @fiftikk,609800.0,1.95,Greece,Fashion and Accessories Outdoor Activity Photography Adventure,182900.0,instagram,greece,False,2024,Sports,MAPPED
47,𝗠𝗔𝗥𝗜𝗔 𝗞𝗢𝗥𝗜𝗡𝗧𝗛𝗜𝗢𝗨 @mariakorinthiou,606200.0,0.95,Greece,Entertainment and Music Fashion and Accessories Celebrity Modeling,181900.0,instagram,greece,False,2024,Beauty&Fashion,MAPPED
