rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Andreas Polychronis @andreaspoly,3000000.0,,Greece,Funny,900000.0,tiktok,greece,False,2024,Entertainment,MAPPED
2,Nikolas Plytas @nikolasplytas,2500000.0,,Greece,Sports,750000.0,tiktok,greece,False,2024,Sports,MAPPED
3,KNITE | ナイト @knitecoser,839600.0,0.3,Greece,Animation and Cosplay,251900.0,tiktok,greece,False,2024,Tech&Gaming,MAPPED
4,Vicky Kalea @vicky_kalea,818700.0,0.1,Greece,,245600.0,tiktok,greece,False,2024,,
5,Der Saki😎🇬🇷 @dersaki,762300.0,,Greece,Entertainment and Music Funny,228700.0,tiktok,greece,False,2024,Music,MAPPED
6,Grecia🖤 @grecia.svp,699300.0,0.1,Greece,Beauty,209800.0,tiktok,greece,False,2024,Beauty&Fashion,MAPPED
7,you_are_amazing<3 @i.love_you.1234,593100.0,,Greece,Travel,177900.0,tiktok,greece,False,2024,Lifestyle,MAPPED
8,Ilias Gkotsis @iliasgkotsis,586600.0,,Greece,,176000.0,tiktok,greece,False,2024,,
9,Sofya Koukla @sofyakoukla,581900.0,,Greece,Beauty and Self Care,174600.0,tiktok,greece,False,2024,Beauty&Fashion,MAPPED
10,Argus Kaldea @moonpriest,531400.0,,Greece,,159400.0,tiktok,greece,False,2024,,
11,Αλέξανδρος Κοψιάλης @alexandros.kopsialis,518299.99999999994,0.1,Greece,Entertainment and Music,155500.0,tiktok,greece,False,2024,Music,MAPPED
12,Mua_agapi @mua_agapi,513400.0,,Greece,Beauty and Self Care,154000.0,tiktok,greece,False,2024,Beauty&Fashion,MAPPED
13,Natascha @nataschaa.zbr,507200.0,,Greece,Music,152200.0,tiktok,greece,False,2024,Music,MAPPED
14,Yanis Arvanitaris @arvanitaris,468500.0,0.1,Greece,,140600.0,tiktok,greece,False,2024,,
15,eleny Yallou @elenyyallou,451500.0,,Greece,Entertainment and Music,135500.0,tiktok,greece,False,2024,Music,MAPPED
16,Eugenios @slidismode,421700.0,0.3,Greece,,126500.0,tiktok,greece,False,2024,,
17,Djorkis @djorkis,408200.0,,Greece,,122500.0,tiktok,greece,False,2024,,
18,vemojohn @vemojohn,405000.0,0.2,Greece,,121500.0,tiktok,greece,False,2024,,
19,George Tzimas @georgetzimas,394900.0,,Greece,,118500.0,tiktok,greece,False,2024,,
20,Jimmy Ntebekos @jimmythegreek7,388300.0,,Greece,family,116500.0,tiktok,greece,False,2024,Lifestyle,MAPPED
21,🐺shewolf.artgr @shewolf.artgr,375700.0,,Greece,Animation and Cosplay,112700.0,tiktok,greece,False,2024,Tech&Gaming,MAPPED
22,DimitrisDkKyrsanidis @dimitriskyrsanidis,373300.0,,Greece,,112000.0,tiktok,greece,False,2024,,
23,Laura @laura.nestola,371500.0,,Greece,Entertainment and Music Fashion and Accessories,111500.0,tiktok,greece,False,2024,Beauty&Fashion,MAPPED
