rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Pastor Cash Luna @pastorcashluna,2600000.0,0.55,Guatemala,Education Writers,794200.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
2,Miel San Marcos @mielsanmarcos,1900000.0,0.41,Guatemala,Entertainment and Music Music Actors,579500.0,instagram,guatemala,False,2024,Music,MAPPED
3,Gaby Asturias (oficial) @gaby_asturias,1700000.0,1.8,Guatemala,Entertainment and Music Actors Journalists Modeling,518799.99999999994,instagram,guatemala,False,2024,Beauty&Fashion,MAPPED
4,Cynthia Arana @aranacynthia,1300000.0,0.71,Guatemala,Art Fitness Fitness and Health Entertainment and Music,397800.0,instagram,guatemala,False,2024,Sports,MAPPED
5,P O E T A D E L C I E L O @poeta.delcielo,1200000.0,0.33,Guatemala,Music Actors,374300.0,instagram,guatemala,False,2024,Music,MAPPED
6,Sandy Mendez @sandy_mendezgt,912800.0,0.67,Guatemala,"Actors Journalists Film, Music & Books Art",273800.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
7,Noti7 @noti7_guatemala,904200.0,0.05,Guatemala,,271300.0,instagram,guatemala,False,2024,,
8,Aida Estrada De Jaén @aidacorazon,755100.0,0.23,Guatemala,Beauty and Self Care Actors Virtualization Journalists,226500.0,instagram,guatemala,False,2024,Beauty&Fashion,MAPPED
9,𝓒𝓾𝓮𝓷𝓽𝓪 𝓸𝓯𝓲𝓬𝓲𝓪𝓵 𝓭𝓮 𝓛𝓪 𝓜𝓪𝔂𝓻𝓲𝓽𝓪 💕 @lamayrita89,720900.0,0.14,Guatemala,family Life and Society Marketing and Advertising Events,216300.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
10,Pamela Alfaro @pamelaalfaro07,688200.0,0.15,Guatemala,family Business and Finance Actors,206500.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
11,Natalan @_natalan,678400.0,10.49,Guatemala,Entertainment and Music,203500.0,instagram,guatemala,False,2024,Music,MAPPED
12,Alle Lee 🇬🇹🇨🇳 @allecakes_,615000.0,3.25,Guatemala,Celebrity,184500.0,instagram,guatemala,False,2024,Entertainment,MAPPED
13,EL PRIMASO 👦🏻 @yosoyelprimaso,516700.00000000006,4.19,Guatemala,,155000.0,instagram,guatemala,False,2024,,
14,Alexandra Díaz @alexmidiaz,468400.0,6.36,Guatemala,Art,140500.0,instagram,guatemala,False,2024,Lifestyle,MAPPED
15,Daniel Uzcategui @danieluzcateguir,465000.0,0.11,Guatemala,Entertainment and Music Actors,139500.0,instagram,guatemala,False,2024,Music,MAPPED
16,Jeimmy Aburto (La Única) 👑🎤📺 @jeimmy_aburto,461300.0,0.82,Guatemala,Business and Finance Celebrity Music Actors,138400.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
17,Emisoras Unidas @emisorasunidas,453400.0,0.29,Guatemala,Travel Actors,136000.0,instagram,guatemala,False,2024,Entertainment,MAPPED
18,Julián Ángel ▲ @historiasdelciervo,396600.0,4.22,Guatemala,Arts and Crafts Education Food and Drink Food,119000.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
19,Michelle Rossell @michi_rossell,389000.0,0.59,Guatemala,Sports Food Actors Journalists,116700.0,instagram,guatemala,False,2024,Sports,MAPPED
20,Luis Morales Jr @luismoralesjr,385900.0,2.0,Guatemala,Actors Virtualization,115800.0,instagram,guatemala,False,2024,Tech&Gaming,MAPPED
21,Nancy Calderón @nancycc28,376000.0,0.73,Guatemala,Pets,112800.0,instagram,guatemala,False,2024,Lifestyle,MAPPED
22,Guatemala.com @guatemala,349200.0,0.18,Guatemala,Travel News Actors,104800.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
23,🌺Joselyn🐾Grajeda💦 @joshi3y,347900.0,1.51,Guatemala,Pets,104400.0,instagram,guatemala,False,2024,Lifestyle,MAPPED
24,Tv Azteca Guate @tvaztecaguate,339800.0,0.82,Guatemala,Entertainment and Music Business and Finance Television Actors,101900.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
25,Amanda Lebrón @amandalebron_oficial,330600.0,1.4,Guatemala,,99200.0,instagram,guatemala,False,2024,,
26,Tuti Furlán @tutifurlan,320000.0,0.81,Guatemala,Education Automotive Actors,96000.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
27,Buga Oliva @bugaolivaa,313400.0,0.36,Guatemala,Education Marketing and Advertising Actors,94000.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
28,Ese Maje Engasado @esemajeengasado,313200.0,0.44,Guatemala,Entertainment and Music Celebrity Actors,94000.0,instagram,guatemala,False,2024,Music,MAPPED
29,Véliz Castillo @velizcastillo_,301300.0,,Guatemala,Education Outdoor Activity,90400.0,instagram,guatemala,False,2024,Sports,MAPPED
30,Carlos Guerrero @ccarlosguerrero,296100.0,0.24,Guatemala,Entertainment and Music Celebrity Business and Finance Actors,88800.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
31,Alejandro Giammattei @dr.giammattei,293800.0,0.14,Guatemala,Medical Health,88100.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
32,🧿Brenda Hughes🧿 @bren_hughes,282400.0,0.87,Guatemala,Fitness and Health Actors,84700.0,instagram,guatemala,False,2024,Sports,MAPPED
33,ALKAHID 🦋🇻🇪 @fherggyk,280100.0,0.35,Guatemala,Entertainment and Music Actors Virtualization Journalists,84000.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
34,Leonardo Jaén @leojaen,274400.0,0.29,Guatemala,,82300.0,instagram,guatemala,False,2024,,
35,Jairo Gonzalez @mrjairogonzalez,268000.0,2.47,Guatemala,Business and Finance,80400.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
36,Audie Alexandre Ariza Valera @alexvinotinto,265600.0,0.44,Guatemala,Fitness and Health Entertainment and Music Actors Journalists,79700.0,instagram,guatemala,False,2024,Sports,MAPPED
37,Niurka Nahomi oliva villeda @niurkanahomi,254600.0,1.08,Guatemala,Sports,76400.0,instagram,guatemala,False,2024,Sports,MAPPED
38,Emily Haylín Sandoval @emilyhaylin,251700.0,2.56,Guatemala,,75500.0,instagram,guatemala,False,2024,,
39,Edgar Siliezar @edgaroficial.sv,247800.0,1.28,Guatemala,Sports Actors Modeling,74300.0,instagram,guatemala,False,2024,Sports,MAPPED
40,QuePeladoGuate / Guatemala @quepeladoguate,246800.0,0.64,Guatemala,Photography Travel Nature & Outdoors Architecture,74100.0,instagram,guatemala,False,2024,Lifestyle,MAPPED
41,Gloria Alvarez @glorialvarezc,245800.0,2.44,Guatemala,Actors Fashion,73700.0,instagram,guatemala,False,2024,Beauty&Fashion,MAPPED
42,ESTEFi✨ @eestefi,244800.0,5.39,Guatemala,Fitness and Health,73400.0,instagram,guatemala,False,2024,Sports,MAPPED
43,Ayman Radi @aymanradi,239500.0,4.27,Guatemala,Actors,71900.0,instagram,guatemala,False,2024,Entertainment,MAPPED
44,Eddy Lopez @whereiseddynow,223500.0,0.49,Guatemala,,67000.0,instagram,guatemala,False,2024,,
45,Janaimar @janaimarmusic,221700.0,2.6,Guatemala,Entertainment and Music,66500.0,instagram,guatemala,False,2024,Music,MAPPED
46,Rafael Oropeza @rafaeloropezag,219200.0,1.17,Guatemala,Entertainment and Music Fashion and Accessories Celebrity Actors,65800.0,instagram,guatemala,False,2024,Beauty&Fashion,MAPPED
47,Samara (La Pantera) @samaracbt,212500.0,2.23,Guatemala,Fitness and Health family,63700.0,instagram,guatemala,False,2024,Sports,MAPPED
48,Fredy Jiménez / Vida y Poesía @fredyjimenez.gt,211800.0,1.2,Guatemala,,63500.0,instagram,guatemala,False,2024,,
49,Amilcar Montejo @amilcarmontejo,209200.0,0.26,Guatemala,Education Life and Society Actors Virtualization,62800.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
50,L U I S B A R I L L A S @luisbarillass_,205100.0,0.3,Guatemala,Photography Actors,61500.0,instagram,guatemala,False,2024,Entertainment,MAPPED
51,Frank Avana Frank Rodriguez @frankavana_,203800.0,0.15,Guatemala,Home and Garden,61100.0,instagram,guatemala,False,2024,Lifestyle,MAPPED
52,frank de leon @leonfrankde,203400.0,0.2,Guatemala,Actors Modeling,61000.0,instagram,guatemala,False,2024,Beauty&Fashion,MAPPED
53,Cristian Cermeño @zosiri,202700.0,13.3,Guatemala,Entertainment and Music,60800.0,instagram,guatemala,False,2024,Music,MAPPED
54,Susana Morazan @susanamorazan7,198600.0,1.16,Guatemala,Entertainment and Music Acting and Drama Actors Journalists,59600.0,instagram,guatemala,False,2024,Knowledge&Info,MAPPED
55,Gaby Moreno @gaby_moreno,195900.0,0.95,Guatemala,Songwriting Music Singer,58800.0,instagram,guatemala,False,2024,Music,MAPPED
56,Luis Muñoz 🇬🇹/🇲🇽 @luisguate,193300.0,1.93,Guatemala,Auto and Vehicles Actors,58000.0,instagram,guatemala,False,2024,Tech&Gaming,MAPPED
57,Pamela Paz @pamelapaz_,192400.0,5.31,Guatemala,Acting and Drama Entertainment and Music Virtualization Actors,57700.0,instagram,guatemala,False,2024,Tech&Gaming,MAPPED
58,DRESSY @dressy.gt,191600.0,0.6,Guatemala,Fashion and Accessories Music Actors Modeling,57500.0,instagram,guatemala,False,2024,Beauty&Fashion,MAPPED
