rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Jexs @UCapRTMkO4n3LP5dkmIayy5A,3900000.0,,Guatemala,,1200000.0,youtube,guatemala,False,2024,,
2,Natalan @UCBp8uzjMbdkMwON1v5DXWRg,2800000.0,,Guatemala,,852000.0,youtube,guatemala,False,2024,,
3,VAMOS AL PUNTO @UC1MpNVxs7F2NryXhrF4CKoA,2000000.0,,Guatemala,,612000.0,youtube,guatemala,False,2024,,
4,Hola Soy Jose Games @UCNOYyBDWWB4tqin8hmnAymw,1500000.0,0.1,Guatemala,,450000.0,youtube,guatemala,False,2024,,
5,Game Fer @UCqnDU-ohUI6Vd8GoLzHnd_g,1500000.0,7.6,Guatemala,Video Gaming,441000.0,youtube,guatemala,False,2024,Tech&Gaming,MAPPED
6,Lesma VR @UCkRyqjV0MMw9L4AFQPNpTrQ,1100000.0,0.7,Guatemala,,342000.0,youtube,guatemala,False,2024,,
7,Cash Luna @UCSg7bTPiL33TexOEOzF-d0g,980000.0,,Guatemala,,294000.0,youtube,guatemala,False,2024,,
8,Master Loquendo @UCGxsdFZIGyo3e53yCED7QhA,944000.0,,Guatemala,,283200.0,youtube,guatemala,False,2024,,
9,Ese Maje Engasado @UCTizqMNOKtwOv0w5s4w9Mtg,873000.0,0.1,Guatemala,,261899.99999999997,youtube,guatemala,False,2024,,
10,RaniArts @UCpqIW0f1XZJrNQTzE-6IjBw,859000.0,,Guatemala,,257700.0,youtube,guatemala,False,2024,,
11,Cristian Cermeño @UCQCJppM-F5sDfMoym12K4Fw,706000.0,,Guatemala,,211800.0,youtube,guatemala,False,2024,,
12,K.I.R.A @UCJ3yJyBtol13K93rBi5yLOA,686000.0,1.0,Guatemala,,205800.0,youtube,guatemala,False,2024,,
13,JAIJO PLAY @UCsszmHySpA-lvjpT_n4eZhg,619000.0,0.3,Guatemala,,185700.0,youtube,guatemala,False,2024,,
14,Jexslive @UC547RK-4Q0TYMkermnJV3mw,575000.0,3.1,Guatemala,,172500.0,youtube,guatemala,False,2024,,
15,Prensa Libre @UCEepOY2svuxbsJ-zsAPT9Fg,540000.0,,Guatemala,,162000.0,youtube,guatemala,False,2024,,
16,TN23 @UCt5Dw7ePnn0AqPqRF8Xpjkw,538000.0,,Guatemala,,161400.0,youtube,guatemala,False,2024,,
17,SOMA GAMER @UCW8ex2xI41UJmu79Z1CU0EQ,520000.0,,Guatemala,,156000.0,youtube,guatemala,False,2024,,
18,difosatv @UCn7J9Zs1p55edN5j-2eGmFQ,504000.0,,Guatemala,,151200.0,youtube,guatemala,False,2024,,
19,MejorVida99 @UCf-rVRX0RFP61wc6gp5arSg,496000.0,,Guatemala,,148800.0,youtube,guatemala,False,2024,,
20,Combate Guatemala @UCaCfreTciDSzzw8-jbT0j0A,446000.0,,Guatemala,,133800.0,youtube,guatemala,False,2024,,
21,Noti7 @UCVpSRoZgngfSL03Nlbjtq9A,433000.0,,Guatemala,,129900.0,youtube,guatemala,False,2024,,
22,Daniex @UCscD8Wq-gEFy9HgZfWq4zLA,401000.0,,Guatemala,,120300.0,youtube,guatemala,False,2024,,
23,Miguelgui @erre22,400000.0,15.4,Guatemala,,120000.0,youtube,guatemala,False,2024,,
24,Mundo Luz Producciones @UC0tukQJ6ulXOPGQe4TEwlXA,379000.0,0.2,Guatemala,,113700.0,youtube,guatemala,False,2024,,
25,The Marcony Games @UCvBBGdxN3XtE6D8GEcbY8ag,376000.0,0.2,Guatemala,,112800.0,youtube,guatemala,False,2024,,
26,Videos Chapin @UCyB8fJ2A8N5dWbKtH6-FZww,375000.0,0.2,Guatemala,,112500.0,youtube,guatemala,False,2024,,
27,iWilly Gammer @UCCNPxtw1WrZ-KHCTVNsSFTg,371000.0,,Guatemala,,111300.0,youtube,guatemala,False,2024,,
28,Expediente Criminal @UCnZlntbFJ1B81ZX1qXa8Mmg,371000.0,,Guatemala,,111300.0,youtube,guatemala,False,2024,,
