rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,₊‧°𐐪♡ Z𝖚𝖗𝖊𝖊𝖆𝖑/琇然 ♡𐑂°‧₊ @zureeal,811200.0,0.5,Hong Kong,Animation and Cosplay Entertainment and Music,243400.0,tiktok,hong-kong,False,2024,Tech&Gaming,MAPPED
2,Francine Ng @francine.ng,774600.0,,Hong Kong,,232400.0,tiktok,hong-kong,False,2024,,
3,DiscoverHongKong @discoverhongkong,667500.0,,Hong Kong,,200300.0,tiktok,hong-kong,False,2024,,
4,kaiyee 🧨 @kaiyee_,518200.00000000006,,Hong Kong,,155500.0,tiktok,hong-kong,False,2024,,
5,cynthiahk @cynthiahk,488700.0,,Hong Kong,,146600.0,tiktok,hong-kong,False,2024,,
6,SAAIH HALILINTAR 2 @moresaaihalilintar,458900.0,0.2,Hong Kong,,137700.0,tiktok,hong-kong,False,2024,,
7,riwan🦖 @heri.krn,456100.0,,Hong Kong,,136800.0,tiktok,hong-kong,False,2024,,
8,8090s in Hong Kong @hongkong.8090s,453800.0,0.3,Hong Kong,,136100.0,tiktok,hong-kong,False,2024,,
9,Jousy @jousychan,445600.0,,Hong Kong,,133700.0,tiktok,hong-kong,False,2024,,
10,ANNA 🦋 (NEWACC) @anaa_800,435300.0,,Hong Kong,,130600.0,tiktok,hong-kong,False,2024,,
11,黃浩霆 / IG：hoting.tv @hoting852,367600.0,,Hong Kong,,110300.0,tiktok,hong-kong,False,2024,,
12,user8923802482792 @user8923802482792,322000.0,,Hong Kong,Pets,96600.0,tiktok,hong-kong,False,2024,Lifestyle,MAPPED
13,THEO YOUNG @theoyoung20,311800.0,,Hong Kong,,93500.0,tiktok,hong-kong,False,2024,,
14,Ahohaw Review @ahohaw_vn,304000.0,2.1,Hong Kong,,91200.0,tiktok,hong-kong,False,2024,,
15,dance tutorials 😗✌️ @tiktok.dance.tuttorial,252800.0,45.8,Hong Kong,,75800.0,tiktok,hong-kong,False,2024,,
16,스치면홍콩 @6969zz,238400.0,,Hong Kong,,71500.0,tiktok,hong-kong,False,2024,,
17,叶子yezi @yezi_1022_,204100.0,,Hong Kong,,61200.0,tiktok,hong-kong,False,2024,,
18,Aidan @aidan.cheung,200700.0,,Hong Kong,,60200.0,tiktok,hong-kong,False,2024,,
19,Rooney Xhk @r.xhk,193300.0,,Hong Kong,,58000.0,tiktok,hong-kong,False,2024,,
20,NAMUY HK @namuy_hk,191200.0,,Hong Kong,,57400.0,tiktok,hong-kong,False,2024,,
21,BaronHong @baronhongchestbinder,176100.0,,Hong Kong,,52800.0,tiktok,hong-kong,False,2024,,
22,妖都學長 @yaodotv,174200.0,0.3,Hong Kong,,52300.0,tiktok,hong-kong,False,2024,,
23,HK Official ♔♚ @its.homayon.official,162100.0,,Hong Kong,,48600.0,tiktok,hong-kong,False,2024,,
24,Celeste_Hong @celes.hong,153600.0,,Hong Kong,,46100.0,tiktok,hong-kong,False,2024,,
25,Micha bell🇭🇰 @apundar14,140900.0,,Hong Kong,,42300.0,tiktok,hong-kong,False,2024,,
26,TVB-FILM ✅ @tvbphimffvn,140800.0,,Hong Kong,,42200.0,tiktok,hong-kong,False,2024,,
27,Mandaa🌿 @_itzmandaa_,132600.0,0.8,Hong Kong,,39800.0,tiktok,hong-kong,False,2024,,
28,HongKongDoll @hongkong_doll,129699.99999999999,0.9,Hong Kong,,38900.0,tiktok,hong-kong,False,2024,,
29,梁笑笑 @liangxx233,126800.0,0.3,Hong Kong,Beauty and Self Care,38000.0,tiktok,hong-kong,False,2024,Beauty&Fashion,MAPPED
30,HongKong Wedding @hongkong.wedding,122600.0,,Hong Kong,Romance and Wedding,36800.0,tiktok,hong-kong,False,2024,Beauty&Fashion,MAPPED
31,Elisa @elisaty_,112400.0,,Hong Kong,Entertainment and Music,33700.0,tiktok,hong-kong,False,2024,Music,MAPPED
32,隆翠珠寶 @lczb8,104400.0,0.1,Hong Kong,,31300.0,tiktok,hong-kong,False,2024,,
33,極品明皇帝 @jpmhd,94400.0,0.6,Hong Kong,,28300.0,tiktok,hong-kong,False,2024,,
34,Andrew Lau @andrewjlau,66800.0,,Hong Kong,,20000.0,tiktok,hong-kong,False,2024,,
35,eduardoowong @eduardoowong,65000.0,0.2,Hong Kong,,19500.0,tiktok,hong-kong,False,2024,,
36,SharonChan陳敏之 @sharonchanmanchi,38600.0,0.1,Hong Kong,,11600.0,tiktok,hong-kong,False,2024,,
37,Isabella @izabella.ng,34000.0,,Hong Kong,Fashion and Accessories,10200.0,tiktok,hong-kong,False,2024,Beauty&Fashion,MAPPED
38,Eva Thapa 🇭🇰 🇳🇵 @evathapa4,20800.0,1.2,Hong Kong,,6200.0,tiktok,hong-kong,False,2024,,
39,E7🤍 @eeqi__00,15000.0,1.4,Hong Kong,Beauty and Self Care,4500.0,tiktok,hong-kong,False,2024,Beauty&Fashion,MAPPED
40,kaylinhsieh @kaylinhsieh,12000.0,0.1,Hong Kong,Sports Education,3600.0,tiktok,hong-kong,False,2024,Sports,MAPPED
41,SAMI_852🇭🇰 @sami_mirza5,11900.0,0.6,Hong Kong,Romance and Wedding,3600.0,tiktok,hong-kong,False,2024,Beauty&Fashion,MAPPED
42,Alice巧汶🌹 @0714.alice,9900.0,0.5,Hong Kong,,3000.0,tiktok,hong-kong,False,2024,,
43,Healing Tarot @tarotkingsg,8200.0,0.4,Hong Kong,Entertainment and Music,2400.0,tiktok,hong-kong,False,2024,Music,MAPPED
