rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Mobile Legends: Bang Bang Official @UCqmld-BIYME2i_ooRTo1EOg,14400000.0,,Hong Kong,,4300000.0,youtube,hong-kong,False,2024,,
2,zAmericanEnglish @UCHrD4qdeQc1BbpG6EPqDBcA,9000000.0,,Hong Kong,,2700000.0,youtube,hong-kong,False,2024,,
3,Shadow Music @UCl7cVzHngS0kg51TPrDbqlg,8000000.0,,Hong Kong,Music,2400000.0,youtube,hong-kong,False,2024,Music,MAPPED
4,Xiaoying Cuisine @UCJJDD-Hy76jvUMRG-dpFkcw,3700000.0,,Hong Kong,,1100000.0,youtube,hong-kong,False,2024,,
5,芒果TV青春剧场 MangoTV Drama @UCTulSfEm1c14WWRbSN-CNAQ,3400000.0,,Hong Kong,,1000000.0,youtube,hong-kong,False,2024,,
6,TreeMan @UCzc59v10qvwWRPrYoWUKEvQ,2900000.0,0.2,Hong Kong,,861000.0,youtube,hong-kong,False,2024,,
7,Girlmerry @girlmerry,2600000.0,,Hong Kong,,783000.0,youtube,hong-kong,False,2024,,
8,GEM鄧紫棋 @UCsLWG2t7n9LFsvH0wR2rtpw,2600000.0,,Hong Kong,,780000.0,youtube,hong-kong,False,2024,,
9,EHPMusicChannel @UC345x_D7DgK5313D3ftM_EQ,2400000.0,,Hong Kong,,723000.0,youtube,hong-kong,False,2024,,
10,Zhejiang STV Official Channel-Subscribe Now @UC52EYUUSlzcYqHj-qsx0RHg,2300000.0,,Hong Kong,,675000.0,youtube,hong-kong,False,2024,,
11,Keep Running Official-Welcome to subscribe @UCfj8FsoiPFHn1gZMJaeLEDg,2200000.0,,Hong Kong,,651000.0,youtube,hong-kong,False,2024,,
12,李永乐老师 @UCSs4A6HYKmHA2MG_0z-F0xw,2000000.0,,Hong Kong,,606000.0,youtube,hong-kong,False,2024,,
13,MangoTV Music Channel @UCwnDGKPgpRsJUjuSGhATAmg,2000000.0,,Hong Kong,Music,600000.0,youtube,hong-kong,False,2024,Music,MAPPED
14,ZJSTV Music Channel-Welcome to subscribe- @UCp8cPvx_Od76EL66vvCnhRA,1700000.0,,Hong Kong,,519000.0,youtube,hong-kong,False,2024,,
15,Nikmatul Rosidah @UCLII0CgnehW7h423--B9C1g,1700000.0,0.1,Hong Kong,Books,510000.0,youtube,hong-kong,False,2024,Knowledge&Info,MAPPED
16,Citi Heroes @UCjrLBk2y5CqtZoyvaKanr_w,1600000.0,,Hong Kong,Celebrity,480000.0,youtube,hong-kong,False,2024,Entertainment,MAPPED
17,NuclearProductions @UC_ENPFDGZcBxnlxjPCq5gKA,1600000.0,2.5,Hong Kong,,465000.0,youtube,hong-kong,False,2024,,
18,Siboen chanel @UCHMIbhTr9BAkO99ZTL5Ouuw,1400000.0,,Hong Kong,,432000.0,youtube,hong-kong,False,2024,,
19,阿木爷爷 Grandpa Amu @UClaEdLrmti779-tyovta8zw,1400000.0,,Hong Kong,,426000.0,youtube,hong-kong,False,2024,,
20,Taylor R @UCuySkUHjdgugMw61waqFsRg,1300000.0,0.9,Hong Kong,,396000.0,youtube,hong-kong,False,2024,,
21,Taleek @UCJwO3Pn_RgCLcw5qxcVPxZw,1300000.0,,Hong Kong,,396000.0,youtube,hong-kong,False,2024,,
22,二米炊烟ErmiChuiyan @UCYpkch1t09p2HCp9ApcMxrg,1300000.0,,Hong Kong,,393000.0,youtube,hong-kong,False,2024,,
23,See you every day in the kitchen @UC1SaDcKftNgCW-I34K462yQ,1300000.0,,Hong Kong,,390000.0,youtube,hong-kong,False,2024,,
24,Fat Monkey @UCnWNu1fNP4_h1AjvPExgnrA,1200000.0,,Hong Kong,,372000.0,youtube,hong-kong,False,2024,,
25,一条Yit @UCulFhrW_YCwkq_BP16C82mA,1200000.0,,Hong Kong,,357000.0,youtube,hong-kong,False,2024,,
26,MrYang楊家成 @UCAXYUIlnzX62PppZ6BvOA1w,1100000.0,0.4,Hong Kong,,336000.0,youtube,hong-kong,False,2024,,
27,RTHK 香港電台 @UC6of7UYhctnYmqABjUqzuxw,1100000.0,,Hong Kong,,324000.0,youtube,hong-kong,False,2024,,
28,Celine Tam Official @UCBMeo8x6iFI23jjWwUT-7Uw,1100000.0,0.3,Hong Kong,,318000.0,youtube,hong-kong,False,2024,,
29,TVB (official) @UCD2SNRlEjxJODlwaKx-BoRw,1000000.0,,Hong Kong,,300000.0,youtube,hong-kong,False,2024,,
30,越哥说电影 @UChgCVolsF6L7DWmOpWKSkMA,950000.0,,Hong Kong,,285000.0,youtube,hong-kong,False,2024,,
31,笑波子 @UCDpK1rg5I9Zc3ToY13vbR3w,924000.0,,Hong Kong,,277200.0,youtube,hong-kong,False,2024,,
32,次元动漫社 Animation Club @UCYkn7e_zaRR_UxOrJR0RVdg,915000.0,,Hong Kong,,274500.0,youtube,hong-kong,False,2024,,
33,看电影了没 @UCZmyD8-UsaxaVL-Zx3KEQKw,885000.0,,Hong Kong,,265500.0,youtube,hong-kong,False,2024,,
34,April Yang @UCV0A2VeScCoxiMhsA2kiIKw,878000.0,0.2,Hong Kong,Education Beauty Technology,263400.0,youtube,hong-kong,False,2024,Beauty&Fashion,MAPPED
35,AniZone @UCOOubYPzjKHDAhtFYNFW1UQ,871000.0,,Hong Kong,,261300.0,youtube,hong-kong,False,2024,,
36,memehongkong @UCu_YquoQYKR3GpP82TO-zRw,845000.0,0.2,Hong Kong,,253500.0,youtube,hong-kong,False,2024,,
37,袁腾飞官方频道 Tengfei Official @UC5xunxPS6oZ1zzKufgREFuA,807000.0,0.2,Hong Kong,,242100.0,youtube,hong-kong,False,2024,,
38,WCY Music Studio @UCpJSxn5cpzs4_0CMisQ-xKw,797000.0,,Hong Kong,,239100.0,youtube,hong-kong,False,2024,,
39,咬人猫Yaorenmao @UCCvt0Jc0ghFegppbyRdMPTg,772000.0,,Hong Kong,,231600.0,youtube,hong-kong,False,2024,,
40,XIAOHAN @UCvoBl4rnVsetDKA_Tdk-jeA,763000.0,1.0,Hong Kong,,228900.0,youtube,hong-kong,False,2024,,
41,哔哩哔哩动画Anime Made By Bilibili - Subscribe Now @UCQFyMGc6h30NMCd6HCk0ZPA,738000.0,,Hong Kong,,221400.0,youtube,hong-kong,False,2024,,
42,微辣 Manner @UCgSbuhAD48A7RxbvflQfdjQ,735000.0,0.8,Hong Kong,,220500.0,youtube,hong-kong,False,2024,,
43,ericdaryl @UCjHO6ybVXxkDMnJn_QydMLA,732000.0,,Hong Kong,,219600.0,youtube,hong-kong,False,2024,,
44,Mira's Garden @UCycdIv0INFmRwGf1UgluUmw,731000.0,0.2,Hong Kong,,219300.0,youtube,hong-kong,False,2024,,
45,Heidi Wong @itsheidiwong,725000.0,0.6,Hong Kong,Celebrity,217500.0,youtube,hong-kong,False,2024,Entertainment,MAPPED
46,Games Effect @UC9H83FEsrrBJzhD_ubnEwTQ,723000.0,0.7,Hong Kong,,216900.0,youtube,hong-kong,False,2024,,
47,老饭骨 @UCBJmYv3Vf_tKcQr5_qmayXg,711000.0,0.2,Hong Kong,,213300.0,youtube,hong-kong,False,2024,,
48,FHProductionHK @UCWHojUvKOvV1xwCANqSsnUg,710000.0,,Hong Kong,,213000.0,youtube,hong-kong,False,2024,,
49,鬥士工作室 Fighter Studio HK @UCMH-zQFPAxTwkV8z1_oRtQg,709000.0,,Hong Kong,,212700.0,youtube,hong-kong,False,2024,,
50,職人吹水 @UCZVmFDfn5WnixrHNf25MeJQ,708000.0,,Hong Kong,,212400.0,youtube,hong-kong,False,2024,,
51,阿星探店Chinese Food Tour @UCT6k1jUhPL_d9GnCGNegi8A,688000.0,1.2,Hong Kong,,206400.0,youtube,hong-kong,False,2024,,
52,Torres Pit托哥 @UCsnZXdLOGBnezK--CiG7FZQ,683000.0,,Hong Kong,,204900.0,youtube,hong-kong,False,2024,,
53,脑弟说电影 @UC_e6lI2i2L0800grda3J7XQ,676000.0,,Hong Kong,,202800.0,youtube,hong-kong,False,2024,,
54,好奇五先生 @UCJ90Z0iMHLMn-5waLMYPFWQ,676000.0,0.4,Hong Kong,,202800.0,youtube,hong-kong,False,2024,,
55,熱點劇場Hotspot! @UCf6Bm3bKLTpkxN49HTcSK2A,675000.0,,Hong Kong,,202500.0,youtube,hong-kong,False,2024,,
56,FISHPAPER SEATHIN (baohaizhiyu) @UC_nVthlLcwqc2aeVLsA8poQ,652000.0,0.5,Hong Kong,,195600.0,youtube,hong-kong,False,2024,,
57,random_k @UCzSIRGuUOwj6lTucIIh7h5Q,645000.0,0.1,Hong Kong,,193500.0,youtube,hong-kong,False,2024,,
58,SanHua Cat Live @UCzlp2uazpgM6Tpm4kj9rqSA,644000.0,,Hong Kong,,193200.0,youtube,hong-kong,False,2024,,
59,Zi De guqin Studio @UCltmf0pqjXyLtNsF2vek_wQ,632000.0,0.3,Hong Kong,,189600.0,youtube,hong-kong,False,2024,,
60,Siboen Misteri @UCTsUyk9-OYcfTtqUzeSXQNw,602000.0,0.1,Hong Kong,,180600.0,youtube,hong-kong,False,2024,,
61,耀客傳媒官方頻道 YOUHUG MEDIA Official Channel @UCjVzBodPWE3BOwHIfzTkirA,596000.0,,Hong Kong,,178800.0,youtube,hong-kong,False,2024,,
62,Xia jie from shanbei @UCV-s8tichDSSc19lUw08kXQ,589000.0,1.1,Hong Kong,,176700.0,youtube,hong-kong,False,2024,,
63,Old torn chicken @UCfa7Np1XKoc12QEfaeP0JWQ,583000.0,,Hong Kong,,174900.0,youtube,hong-kong,False,2024,,
64,Yanzi Sand @UCugt3JYLWn2C2zkzaIXxnVA,582000.0,,Hong Kong,,174600.0,youtube,hong-kong,False,2024,,
65,I am Ma Xiaohuai @UCdZ4iamY-QJDEZhBckQpzrQ,574000.0,,Hong Kong,,172200.0,youtube,hong-kong,False,2024,,
66,偶像星剧场 @UChd9J0EKfzEnQYohXHMq5Ng,570000.0,,Hong Kong,,171000.0,youtube,hong-kong,False,2024,,
67,張媽媽廚房Mama Cheung @UCXwdv_B9WPSqOmi5EARYknA,565000.0,,Hong Kong,Fashion,169500.0,youtube,hong-kong,False,2024,Beauty&Fashion,MAPPED
68,甜悦烘焙Tinrry Baking @UCkcl1RXQtnd5ZKCEPLHvX1Q,564000.0,,Hong Kong,,169200.0,youtube,hong-kong,False,2024,,
69,D100 Radio @UCbmZSNWyEoM2xtWhbHRPo3w,544000.0,,Hong Kong,,163200.0,youtube,hong-kong,False,2024,,
70,機動電視台RTV @UC7Zayxj2DitG-4C7JMUfd4w,535000.0,,Hong Kong,,160500.0,youtube,hong-kong,False,2024,,
71,敖厂长 @UCCkMW93Am1pLfk2nZFKAmbQ,535000.0,,Hong Kong,,160500.0,youtube,hong-kong,False,2024,,
72,鳳凰衛視PhoenixTV @UCd9dPMYgV9-IQaZG491TaRw,533000.0,,Hong Kong,,159900.0,youtube,hong-kong,False,2024,,
73,REWA Technology @UC3ByF8DcZ3yxUs7VP1NOuyA,528000.0,0.1,Hong Kong,,158400.0,youtube,hong-kong,False,2024,,
74,密室大逃脱官方频道 Great Escape Official Channel @UCKm7iuaBY41nzqIk6J8eX0g,524000.0,,Hong Kong,,157200.0,youtube,hong-kong,False,2024,,
75,四季萌芽 @UCUMzET2JdWLxZGhvTKCIK-A,523000.0,,Hong Kong,,156900.0,youtube,hong-kong,False,2024,,
76,Nomad Capitalist @UC3k3floOm_HtKOv0l6JU-xQ,521000.0,,Hong Kong,,156300.0,youtube,hong-kong,False,2024,,
77,Karaoketutor AGT Celine's Father - Vocal Coach @UCznykHx5tuRjJazIBJya4rA,509000.0,,Hong Kong,,152700.0,youtube,hong-kong,False,2024,,
78,MAR ASMR @UCenyL68JnjEtySo-zijbYTw,507000.0,0.4,Hong Kong,,152100.0,youtube,hong-kong,False,2024,,
79,Pomato 小薯茄 @UCHQoZ0_MHDXIgWeRvPTLTJw,504000.0,,Hong Kong,,151200.0,youtube,hong-kong,False,2024,,
80,JeffHK @UCGpdSarF_FdCygiA1tOl6Cg,504000.0,,Hong Kong,,151200.0,youtube,hong-kong,False,2024,,
81,狙击手麦克 @UCzYhBFIlyr6BXW3niK-XQeg,503000.0,0.1,Hong Kong,,150900.0,youtube,hong-kong,False,2024,,
82,Everyday Chinese @UCSXriUqkzZmAQklQ0N9XFVw,500000.0,,Hong Kong,Food and Drink,150000.0,youtube,hong-kong,False,2024,Lifestyle,MAPPED
83,神魔之塔 Tower of Saviors @UCGdOY5emUeXJwZkOdZ-ChfA,496000.0,,Hong Kong,,148800.0,youtube,hong-kong,False,2024,,
84,Miao Aduo cuisine @UCTbKHtlQhrSQTijwtqz_QVQ,494000.0,,Hong Kong,,148200.0,youtube,hong-kong,False,2024,,
85,蛇仔明 @UCeA3o-jDtYGVcWjfT1yt6yQ,493000.0,,Hong Kong,,147900.0,youtube,hong-kong,False,2024,,
86,Dylan Wong @UCC-DWdyi9GeFNHtvh4HbqNg,492000.0,,Hong Kong,,147600.0,youtube,hong-kong,False,2024,,
87,Timelab Pro @UC6zl_U-HEajk9JSHkuTlaZQ,489000.0,1.5,Hong Kong,Celebrity Art,146700.0,youtube,hong-kong,False,2024,Entertainment,MAPPED
88,我要做富翁 @UCdWNwPuaS1o2dIzugNMXWtw,489000.0,0.1,Hong Kong,,146700.0,youtube,hong-kong,False,2024,,
89,Beanpanda Cooking Diary @UCcFW4sgxgc1pb5ssbNw9hsg,489000.0,0.1,Hong Kong,,146700.0,youtube,hong-kong,False,2024,,
90,乡村小刚 @UCtohBoGDA6WeJXheUjfEEMQ,479000.0,,Hong Kong,,143700.0,youtube,hong-kong,False,2024,,
91,Assia آسيا @UCVqvgP64vzxhpawshnh9f_g,477000.0,0.5,Hong Kong,,143100.0,youtube,hong-kong,False,2024,,
92,The LEGO Group @UCpeX7ds2tTpiRMwga0jUq8g,473000.0,,Hong Kong,,141900.0,youtube,hong-kong,False,2024,,
93,CCTV Video News Agency @UCmv5DbNpxH8X2eQxJBqEjKQ,465000.0,0.1,Hong Kong,News,139500.0,youtube,hong-kong,False,2024,Knowledge&Info,MAPPED
94,ViuTV @UCHOmxBZKt6uCFqoCvRHnSgQ,460000.0,,Hong Kong,,138000.0,youtube,hong-kong,False,2024,,
95,健康旦 HiEggo @UC97oYK3XMf9RLtkc0lO8C-Q,459000.0,,Hong Kong,,137700.0,youtube,hong-kong,False,2024,,
96,魔女嘉尔 @UCfX769yHKr7S8gz7UigOsbg,458000.0,,Hong Kong,,137400.0,youtube,hong-kong,False,2024,,
97,有線電視 CABLE TV & 有線新聞 CABLE News @UC_q7e5XYJB0JDGagcF0KW0w,454000.0,,Hong Kong,News,136200.0,youtube,hong-kong,False,2024,Knowledge&Info,MAPPED
98,owoかや @UCtFcF_I558yCsGkP_5SdJHA,452000.0,3.1,Hong Kong,,135600.0,youtube,hong-kong,False,2024,,
99,試當真Trial & Error @UCcfdsRaC34Y4IKTiihYxBrQ,444000.0,0.7,Hong Kong,,133200.0,youtube,hong-kong,False,2024,,
100,mingjai14 @UCDoEdJo-PI-EKGNKomwLroQ,442000.0,1.9,Hong Kong,,132600.0,youtube,hong-kong,False,2024,,
