rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Instant Bollywood @instantbollywood,7900000.0,,India,Entertainment and Music,2400000.0,tiktok,india,False,2024,Music,MAPPED
2,Kajol Devgan @kajol,3700000.0,1.2,India,,1100000.0,tiktok,india,False,2024,,
3,A M N A S A B I R @amnasabir2,3700000.0,,India,Outdoor Activity Games,1100000.0,tiktok,india,False,2024,Sports,MAPPED
4,Heena @heenaakh1,3100000.0,,India,Beauty and Self Care,930000.0,tiktok,india,False,2024,Beauty&Fashion,MAPPED
5,U S H A B 👑 @ushab_rajpoot,2900000.0,,India,,870000.0,tiktok,india,False,2024,,
6,Kartik Aaryan @kartiktokaaryan,2800000.0,0.3,India,Acting and Drama,840000.0,tiktok,india,False,2024,Entertainment,MAPPED
7,Jayden Haueter @jaydenhaueterofficial,2600000.0,,India,,780000.0,tiktok,india,False,2024,,
8,PremDayal-Tiktok @premdayal_tiktok,2600000.0,,India,Education,780000.0,tiktok,india,False,2024,Knowledge&Info,MAPPED
9,PWR Vindooly @vindooly,2500000.0,,India,Entertainment and Music,750000.0,tiktok,india,False,2024,Music,MAPPED
10,meg @bootlegmegz,2300000.0,,India,Funny Entertainment and Music Life and Society,690000.0,tiktok,india,False,2024,Knowledge&Info,MAPPED
11,A R R A P Y @arrapy_,2000000.0,,India,,600000.0,tiktok,india,False,2024,,
12,FIS BANGA @fisbanga,2000000.0,,India,,600000.0,tiktok,india,False,2024,,
13,Salahuddin Khan @sallubhai223,2000000.0,,India,,600000.0,tiktok,india,False,2024,,
14,Aryan Khan @aryankhanone,1700000.0,,India,Entertainment and Music,510000.0,tiktok,india,False,2024,Music,MAPPED
15,Sahiba rajpoot @sahibarajpoot3,1700000.0,,India,Beauty and Self Care,510000.0,tiktok,india,False,2024,Beauty&Fashion,MAPPED
16,MR Faisu Marwat 🐒 @faisalsalmankhan,1700000.0,,India,Entertainment and Music Celebrity Music,510000.0,tiktok,india,False,2024,Music,MAPPED
17,K_U_T_T_A_P_I ❤️ @angel_.roshna,1300000.0,,India,,390000.0,tiktok,india,False,2024,,
18,dayanita show @dayanitashow,1300000.0,,India,,390000.0,tiktok,india,False,2024,,
19,Mouni Roy @imouni_royofficial,1200000.0,,India,Arts and Crafts Food Travel Food and Drink,360000.0,tiktok,india,False,2024,Lifestyle,MAPPED
20,YT : Bang Sidz @m.sidki,1200000.0,0.1,India,Entertainment and Music,360000.0,tiktok,india,False,2024,Music,MAPPED
21,GauMap✔️ @pet.cung,1100000.0,,India,,330000.0,tiktok,india,False,2024,,
22,RBI-Public Figure @sdsnakeadventures,1100000.0,,India,Animals,330000.0,tiktok,india,False,2024,Lifestyle,MAPPED
23,Miss Universe @missuniverse,1000000.0,,India,,300000.0,tiktok,india,False,2024,,
24,👑 King KVR 👑 @karamveerskyadav,990700.0,,India,,297200.0,tiktok,india,False,2024,,
25,👑 ÃÃŘÎF 👑 @aarifalvi.03,966600.0,,India,Romance and Wedding,290000.0,tiktok,india,False,2024,Beauty&Fashion,MAPPED
26,johny pal @hiphopjohny,966300.0,,India,,289900.0,tiktok,india,False,2024,,
27,Amzad 11 @juul3560,961900.0,,India,Entertainment and Music,288600.0,tiktok,india,False,2024,Music,MAPPED
28,rajpreet kaur @kaur__rajpreet,959800.0,,India,,287900.0,tiktok,india,False,2024,,
29,Salman @mdsalman8113,957400.0,,India,,287200.0,tiktok,india,False,2024,,
30,Lokesh Yadav @lokartist_lokesh,953000.0,0.1,India,Arts and Crafts,285900.0,tiktok,india,False,2024,Lifestyle,MAPPED
31,Chandu Smart @chandusmart81,943500.0,,India,,283100.0,tiktok,india,False,2024,,
32,Mayank @mayank_bhardwaj,940000.0,,India,Entertainment and Music,282000.0,tiktok,india,False,2024,Music,MAPPED
33,Ali_writes @ali_writes433,926100.0,,India,,277800.0,tiktok,india,False,2024,,
34,iNDiA🤪 @fw.indiaa,925100.0,,India,Entertainment and Music,277500.0,tiktok,india,False,2024,Music,MAPPED
35,Aazam Ansari ✔️ @aazam_ansari3654,922500.0,,India,,276800.0,tiktok,india,False,2024,,
36,Dr Harneet Kaur @askdrharneet,921800.0,,India,,276500.0,tiktok,india,False,2024,,
37,Buchcha😍🐕👦❤️arun @buchcha_arun,918100.0,,India,,275400.0,tiktok,india,False,2024,,
38,syahrullgyan @syahrull_gyan,916500.0,,India,,275000.0,tiktok,india,False,2024,,
39,user341525 @panuu.09,913800.0,,India,,274100.0,tiktok,india,False,2024,,
40,William Seremetis @willyumgregory,909900.0,0.4,India,Entertainment and Music,273000.0,tiktok,india,False,2024,Music,MAPPED
41,sahadev bankar @usersahadevbankar6,904300.0,,India,,271300.0,tiktok,india,False,2024,,
42,madhu_gowda @madhu_gowda066,904000.0,,India,,271200.0,tiktok,india,False,2024,,
43,Babita Gupta @babita_gupta15,902300.0,,India,,270700.0,tiktok,india,False,2024,,
44,Rose Chuhan @rosechuhan,896800.0,,India,Fashion and Accessories,269000.0,tiktok,india,False,2024,Beauty&Fashion,MAPPED
45,Simmy Landa @simmylanda,890700.0,,India,,267200.0,tiktok,india,False,2024,,
46,👑Kajal Bhardwaj👑 @_kajalbhardwaj_143,889500.0,,India,,266900.0,tiktok,india,False,2024,,
47,Sujitasharma43 @sujitasharma43,888700.0,,India,,266600.0,tiktok,india,False,2024,,
48,Supriyathakur💫 @gulaabiqueen0,881800.0,,India,,264500.0,tiktok,india,False,2024,,
49,nirmalkumar699660 @nirmalkumar6996605,869800.0,,India,,260899.99999999997,tiktok,india,False,2024,,
50,Bebojethwa @bebojethwa,863400.0,,India,,259000.0,tiktok,india,False,2024,,
51,Kashi @kashicreates,862200.0,,India,,258700.0,tiktok,india,False,2024,,
52,🦁 Raavan Maharaj 🦁 @actor.rajiv.chowhan,856100.0,,India,Entertainment and Music,256800.0,tiktok,india,False,2024,Music,MAPPED
53,Smile queen richa @hrichapandey02,851700.0,,India,,255500.0,tiktok,india,False,2024,,
54,KHUT NAV @navkhut99,850000.0,,India,,255000.0,tiktok,india,False,2024,,
55,dharti_gadhiya_ @dharti_gadhiya_,849800.0,,India,,254900.0,tiktok,india,False,2024,,
56,༺ 𒆜 🇦 🇳 🇯 🇦 🇳 🇮𒆜 ༻ @dj_bengek,848100.0,,India,,254400.0,tiktok,india,False,2024,,
57,Akashdeep Batra @freelegalhelpline,844800.0,,India,Finance,253400.0,tiktok,india,False,2024,Knowledge&Info,MAPPED
58,Rohit Kapoor @official_kapoor,843300.0,,India,,253000.0,tiktok,india,False,2024,,
59,Ankit pandit @ankitpandit5082,843000.0,,India,,252900.0,tiktok,india,False,2024,,
60,Bレ一Crow🔫 @crowpubgmobile,842100.0,,India,Games,252600.0,tiktok,india,False,2024,Tech&Gaming,MAPPED
61,Kashir King @kashirking,839200.0,,India,,251800.0,tiktok,india,False,2024,,
62,Kiki @kikirajxo,836100.0,,India,Fashion and Accessories,250800.0,tiktok,india,False,2024,Beauty&Fashion,MAPPED
63,Dj Jagdamb J76 @djavi76,830500.0,,India,,249200.0,tiktok,india,False,2024,,
64,surajpalshigh @suyashcouple2_official,823800.0,,India,,247100.0,tiktok,india,False,2024,,
65,love❤️786 @loveneshchouksey,822100.0,,India,,246600.0,tiktok,india,False,2024,,
66,❤️DIL DOSTI YAARI❤️ @mrperfect_d.d.y,821300.0,,India,,246400.0,tiktok,india,False,2024,,
67,snehalatha_offical @snehalatha_official,820400.0,,India,,246100.0,tiktok,india,False,2024,,
68,Pooja Verma @poojaverma_143,812800.0,,India,Beauty and Self Care Fashion and Accessories,243800.0,tiktok,india,False,2024,Beauty&Fashion,MAPPED
69,feeedmi @feeedmi,812400.0,0.6,India,Food,243700.0,tiktok,india,False,2024,Lifestyle,MAPPED
70,Saeed khan @saeedwrites153,810900.0,,India,,243300.0,tiktok,india,False,2024,,
71,📱MOBILE KING📱 @abubakaransari562,803100.0,,India,,240900.0,tiktok,india,False,2024,,
72,I❤️Punjab @hassiyakaro,801600.0,,India,,240500.0,tiktok,india,False,2024,,
73,Nagra Farm @nagrafarm1,800600.0,,India,Nature,240200.0,tiktok,india,False,2024,Lifestyle,MAPPED
74,Ibrahim Ansari @ibrahimvai888,798400.0,,India,Music,239500.0,tiktok,india,False,2024,Music,MAPPED
75,Gk Gufran khan @gkgufrankhan,796700.0,,India,Entertainment and Music Celebrity,239000.0,tiktok,india,False,2024,Music,MAPPED
76,🔥NAKHRILI🔥 @kittu_sneh,793000.0,,India,,237900.0,tiktok,india,False,2024,,
77,🎥 Lovepreetmultani 📸 @lovepreetmultani1,790800.0,,India,,237200.0,tiktok,india,False,2024,,
78,@alisha ray1 @rupapatra10,787500.0,,India,,236300.0,tiktok,india,False,2024,,
79,♥️ A L I Y A ♥️ @aliya_patel_,787200.0,,India,,236200.0,tiktok,india,False,2024,,
80,Padma @yoginipadma,782300.0,,India,Fitness and Health Education,234700.0,tiktok,india,False,2024,Sports,MAPPED
81,Leon🦁 @leyiiin94,778300.0,,India,,233500.0,tiktok,india,False,2024,,
82,Kerishma.Mukhtari @kerish_mukhtari,775400.0,,India,,232600.0,tiktok,india,False,2024,,
83,prudhvi wizzu @wizzuprudhvi,773300.0,0.2,India,,232000.0,tiktok,india,False,2024,,
84,Bollywood.glitzy @bollywood.glitzy,772500.0,,India,,231800.0,tiktok,india,False,2024,,
85,👑ArrU👑 @aarti_rajak,772400.0,,India,,231700.0,tiktok,india,False,2024,,
86,🔥 Imran Messi 🔥 @imranmessi3,770900.0,,India,,231300.0,tiktok,india,False,2024,,
87,India🐷 @india.thepitbull,768700.0,0.3,India,Pets,230600.0,tiktok,india,False,2024,Lifestyle,MAPPED
88,sulogna Chowdhury @sulognachowdhury,766400.0,,India,,229900.0,tiktok,india,False,2024,,
89,M E E N U✅ @meenukhatri29,766300.0,,India,,229900.0,tiktok,india,False,2024,,
90,Addy Raj @addyrajofficial,763700.0,,India,,229100.0,tiktok,india,False,2024,,
91,gopinath_chinu @gopinathchinu,762300.0,0.2,India,,228700.0,tiktok,india,False,2024,,
92,Svs Glassworks @svsglassworks,762200.0,,India,,228700.0,tiktok,india,False,2024,,
93,🎭 Raj JB 🎭 @raj_jb_09,761500.0,,India,,228500.0,tiktok,india,False,2024,,
94,Khushi Mehra 🥀 @khushi_mehra_1,756800.0,,India,,227000.0,tiktok,india,False,2024,,
95,Md Azad @azad_khan_bihari_boy,751700.0,,India,,225500.0,tiktok,india,False,2024,,
96,Dr. Rekhadas @dr.rekhadas,751200.0,,India,,225400.0,tiktok,india,False,2024,,
97,Rafikpatel123 @rafikpatel.123,744500.0,,India,Acting and Drama Celebrity,223400.0,tiktok,india,False,2024,Entertainment,MAPPED
98,🖤Srushti.RG👅 @guddi.0707,739400.0,,India,,221800.0,tiktok,india,False,2024,,
99,Nawazuddin Siddiqui @nawazuddin.siddiqui47,734700.0,,India,Entertainment and Music,220400.0,tiktok,india,False,2024,Music,MAPPED
100,Mitali Thakur @mitalithakur11,731900.0,,India,Romance and Wedding,219600.0,tiktok,india,False,2024,Beauty&Fashion,MAPPED
