rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Unaa🍜 @mieayamthebstt,14400000.0,,Индонезия,Игри,4300000.0,tiktok,indonesia,False,2024,Tech&Gaming,MAPPED,Games
2,DamnBoy⚫️🔓 @razor.fathanah,13000000.0,,Индонезия,Забавление и музика Careers,3900000.0,tiktok,indonesia,False,2024,Music,MAPPED,Entertainment and Music Careers
3,VILMEI✨ @vilmeijuga,11400000.0,0.2,Индонезия,Храна,3400000.0,tiktok,indonesia,False,2024,Lifestyle,MAPPED,Food
4,Dewi perssik @dewiperssik_real,10000000.0,,Индонезия,Забавление и музика,3000000.0,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
5,Trisha Zia @trishaaazia,9000000.0,1.1,Индонезия,Красота и грижа за себе си,2700000.0,tiktok,indonesia,False,2024,Beauty&Fashion,MAPPED,Beauty and self care
6,Baim Wong @baimwong,8199999.999999999,,Индонезия,Актьорство и драма Забавление и музика,2500000.0,tiktok,indonesia,False,2024,Music,MAPPED,Acting and Drama Entertainment and Music
7,EdW!!Nn🦇 @edw1n_98,8000000.0,,Индонезия,Забавление и музика,2400000.0,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
8,Valenrewah @valenrewah,7700000.0,,Индонезия,,2300000.0,tiktok,indonesia,False,2024,,,
9,prilly latuconsina @prillylatuconsina15,7200000.0,,Индонезия,Забавление и музика,2200000.0,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
10,Heiraks @heiraksyt,6500000.0,,Индонезия,,2000000.0,tiktok,indonesia,False,2024,,,
11,Vilia Carl @viliacarl,6400000.0,2.1,Индонезия,,1900000.0,tiktok,indonesia,False,2024,,,
12,BIGO: Riri.c @ririiii.26.on.ig,6300000.0,,Индонезия,Забавление и музика,1900000.0,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
13,Follow ig : @ismindyh_ @tanteismi,5900000.0,,Индонезия,,1800000.0,tiktok,indonesia,False,2024,,,
14,Lazada Indonesia @lazadaid,5600000.0,,Индонезия,,1700000.0,tiktok,indonesia,False,2024,,,
15,Madam Sonia @madamsoniia,5500000.0,0.9,Индонезия,Красота и грижа за себе си,1700000.0,tiktok,indonesia,False,2024,Beauty&Fashion,MAPPED,Beauty and self care
16,Jess No Limit @jessnolimit999,5300000.0,0.1,Индонезия,,1600000.0,tiktok,indonesia,False,2024,,,
17,fhia @alifhiaf,5200000.0,,Индонезия,,1600000.0,tiktok,indonesia,False,2024,,,
18,Syahnaz Sadiqah @syahnazsadiqah,5100000.0,,Индонезия,,1500000.0,tiktok,indonesia,False,2024,,,
19,Jervan Jervan @jervanjervan,5000000.0,,Индонезия,Забавление и музика,1500000.0,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
20,RADAR SUMEDANG @radarsumedang,5000000.0,,Индонезия,Забавление и музика,1500000.0,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
21,Vinny Laurencia @kulinersamacici,4700000.0,,Индонезия,,1400000.0,tiktok,indonesia,False,2024,,,
22,The Real Ninja ⚔️ @dedebin,4600000.0,,Индонезия,,1400000.0,tiktok,indonesia,False,2024,,,
23,Feby @frnzlynfby,4600000.0,4.8,Индонезия,Забавно,1400000.0,tiktok,indonesia,False,2024,Entertainment,MAPPED,funny
24,Happy Asmara @happyasmara,4500000.0,,Индонезия,Забавление и музика,1400000.0,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
25,Dokter Gigi Tri Putra @doktergigi_,4400000.0,,Индонезия,,1300000.0,tiktok,indonesia,False,2024,,,
