rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Ricis Official @UC4tS4Q_Cno5JVcIUXxQOOpA,30600000.0,,Indonesia,,9200000.0,youtube,indonesia,False,2024,,
2,AH @UCaKLg1ELiX0zTJ6Je3c5esA,29800000.0,0.1,Indonesia,,8900000.0,youtube,indonesia,False,2024,,
3,Rans Entertainment @ransentertainment,24200000.0,,Indonesia,,7300000.0,youtube,indonesia,False,2024,,
4,TRANS7 OFFICIAL @UC24_Z2L-8Ki183AI9zJJzNQ,23600000.0,,Indonesia,,7100000.0,youtube,indonesia,False,2024,,
5,Frost Diamond @UC4hGmH5sABOA70D4fGb8qNQ,22900000.0,,Indonesia,,6900000.0,youtube,indonesia,False,2024,,
6,Baim Paula @UC5xAPCVizxOfnMECMXkal2Q,20800000.0,,Indonesia,,6200000.0,youtube,indonesia,False,2024,,
7,Indosiar @UCYqOeAXJm8yV9sJ8Ud3cR7A,20400000.0,,Indonesia,Celebrity,6100000.0,youtube,indonesia,False,2024,Entertainment,MAPPED
8,Deddy Corbuzier @UCYk4LJI0Pr6RBDWowMm-KUw,19400000.0,,Indonesia,,5800000.0,youtube,indonesia,False,2024,,
9,BabyBus - Cerita & Lagu Anak-anak @UC5v3gjCQLFeg8eBXO7ShdpQ,18100000.0,,Indonesia,,5400000.0,youtube,indonesia,False,2024,,
10,Naisa Alifia Yuriza (N.A.Y) @UCtjFp8VXWIscsqQ2wokpo3Q,17800000.0,,Indonesia,,5300000.0,youtube,indonesia,False,2024,,
11,Zuni and Family @UCAelPgCHWYyEs8-TFuOVRtg,16399999.999999998,,Indonesia,,4900000.0,youtube,indonesia,False,2024,,
12,tanboy kun @UC8rHUssNDJ9YEjfduAqJBmw,16000000.0,0.3,Indonesia,,4800000.0,youtube,indonesia,False,2024,,
13,TRANS TV Official @UCIohHXwCEKxWCLvAguJ-GjA,16000000.0,,Indonesia,,4800000.0,youtube,indonesia,False,2024,,
14,Like Nastya IDN @UCui_SuV6CzSgB1bdwL5utzg,16000000.0,,Indonesia,,4800000.0,youtube,indonesia,False,2024,,
15,Dyland PROS @UCXdmo_q4SawYMz-dmeKEHPQ,15500000.0,,Indonesia,,4700000.0,youtube,indonesia,False,2024,,
16,RCTI - LAYAR DRAMA INDONESIA @UCzTsWuCdVP_vehWyGwPcS3Q,15200000.0,,Indonesia,,4600000.0,youtube,indonesia,False,2024,,
17,Kerajinan 5-Menit @UClIYfCAhMAlacxT0e_sl1uA,15200000.0,,Indonesia,,4600000.0,youtube,indonesia,False,2024,,
18,Arif muhammad @arifmuhammadd,14500000.0,0.4,Indonesia,,4400000.0,youtube,indonesia,False,2024,,
19,BUDI01 GAMING @UC8qp0ZmavLOGeSdLxSUZO8w,12900000.0,,Indonesia,Video Gaming,3900000.0,youtube,indonesia,False,2024,Tech&Gaming,MAPPED
20,The Shiny Peanut @UCgiO267R4Qo-SJF2UzH5ccQ,12900000.0,,Indonesia,,3900000.0,youtube,indonesia,False,2024,,
21,SAAIHALILINTAR @UCEIdGryox368qWinrZ9eA8A,12600000.0,0.1,Indonesia,Celebrity Technology,3800000.0,youtube,indonesia,False,2024,Tech&Gaming,MAPPED
22,Yudist Ardhana @UCvc00uetYIML9D-7BBrEXLA,12100000.0,,Indonesia,,3600000.0,youtube,indonesia,False,2024,,
23,Troom Troom Indonesia @UCtGmhXT_NSTK5j_r9a9xdYA,12000000.0,,Indonesia,,3600000.0,youtube,indonesia,False,2024,,
24,Jessica Jane @UCFuM3BWlLM3YbLjkXBiJ8-A,10700000.0,0.4,Indonesia,,3200000.0,youtube,indonesia,False,2024,,
25,GNP Music @UCJYG48dCgMA-p5BVDabi3nQ,10300000.0,,Indonesia,,3100000.0,youtube,indonesia,False,2024,,
26,Islam Populer @UCXhg6jUrkGLiiwk7Zr13SuQ,10100000.0,,Indonesia,,3000000.0,youtube,indonesia,False,2024,,
27,Little Angel Bahasa Indonesia - Lagu Anak @UCdrHrQf0o0TO8YDntXJ4VIQ,10000000.0,,Indonesia,,3000000.0,youtube,indonesia,False,2024,,
28,SULE PRODUCTIONS @UCZWk_k207M--sLScrLdM3JQ,10000000.0,,Indonesia,Celebrity,3000000.0,youtube,indonesia,False,2024,Entertainment,MAPPED
29,Ini Talk Show @UCo1CFjot3CX97sn_ngJnGPg,9800000.0,,Indonesia,,2900000.0,youtube,indonesia,False,2024,,
30,Aishwa Nahla Official @UC1nqMqjwWkcN80yfHM6Hcow,9700000.0,,Indonesia,,2900000.0,youtube,indonesia,False,2024,,
31,efdewe @UCIWUnAI0GL4LDfCUeOOq7xg,9700000.0,,Indonesia,,2900000.0,youtube,indonesia,False,2024,,
32,Sara Wijayanto @UCa3k1_nfBeXbf7be6Dcy_vQ,9600000.0,1.1,Indonesia,,2900000.0,youtube,indonesia,False,2024,,
33,Nihongo Mantappu @UC1Gmqqs_Myzl2KHIeqfUC9A,9600000.0,0.1,Indonesia,,2900000.0,youtube,indonesia,False,2024,,
34,Bobon Santoso @UCCeJqNJdhaydrlubVLzyErQ,9500000.0,,Indonesia,,2800000.0,youtube,indonesia,False,2024,,
35,Ani Nurhayani @UCs89kFyfKM24SFFAb_vqpBQ,9400000.0,,Indonesia,,2800000.0,youtube,indonesia,False,2024,,
36,LetDa Hyper @UCCsHdU66sCbEtklvSVAGPsQ,9400000.0,,Indonesia,,2800000.0,youtube,indonesia,False,2024,,
37,PANJI PETUALANG @UCK80fj7o9HUEWvobSVp2J-Q,9200000.0,0.1,Indonesia,,2800000.0,youtube,indonesia,False,2024,,
38,Rendy Rangers @UCg_GNu-J5_naq-k1kUfq1Rw,9200000.0,,Indonesia,,2800000.0,youtube,indonesia,False,2024,,
39,The Onsu Family @UCJvQLi9uJEGBpD8t3DZyHpw,9000000.0,,Indonesia,,2700000.0,youtube,indonesia,False,2024,,
40,Lagu Anak Indonesia Balita @UC5Tg_aUYKBtpnGipTVqDDuQ,9000000.0,,Indonesia,,2700000.0,youtube,indonesia,False,2024,,
