rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Khabane Lame @khaby00,79700000.0,1.17,Italy,Entertainment and Music Funny Education Life and Society,23900000.0,instagram,italy,False,2024,Knowledge&Info,MAPPED
2,Juventus @juventus,60400000.0,0.2,Italy,Sports Soccer Sports Team Creators & Celebrities,18100000.0,instagram,italy,False,2024,Sports,MAPPED
3,Chiara Ferragni ✨ @chiaraferragni,29200000.0,2.92,Italy,Fashion and Accessories Business and Finance Public Figure Creators & Celebrities,8800000.0,instagram,italy,False,2024,Beauty&Fashion,MAPPED
4,Gianluca Vacchi @gianlucavacchi,22500000.0,1.31,Italy,Entertainment and Music Parenting Entrepreneur,6800000.0,instagram,italy,False,2024,Music,MAPPED
5,Valentino Rossi @valeyellow46,15800000.0,0.9,Italy,Sports Racing Riders Motorcycle Racing,4700000.0,instagram,italy,False,2024,Sports,MAPPED
6,AC Milan @acmilan,14800000.0,0.66,Italy,Sports Soccer,4400000.0,instagram,italy,False,2024,Sports,MAPPED
7,Scuderia Ferrari @scuderiaferrari,13900000.0,0.93,Italy,Auto and Vehicles Sports Personal Finance Racing,4200000.0,instagram,italy,False,2024,Sports,MAPPED
8,Rodrigo De Paul @rodridepaul,12800000.0,9.17,Italy,,3800000.0,instagram,italy,False,2024,,
9,Mr P @peterpsquare,12300000.0,0.15,Italy,Entertainment and Music Business and Finance Music,3700000.0,instagram,italy,False,2024,Knowledge&Info,MAPPED
10,Donatella Versace @donatella_versace,11800000.0,0.86,Italy,Fashion and Accessories Fashion Design Artist Creators & Celebrities,3500000.0,instagram,italy,False,2024,Beauty&Fashion,MAPPED
11,Mario Balotelli Barwuah 🇬🇭+🇮🇹=⚽️ @mb459,11300000.0,1.56,Italy,Soccer Sports,3400000.0,instagram,italy,False,2024,Sports,MAPPED
12,Gianluigi Buffon @gianluigibuffon,11000000.0,1.91,Italy,Sports Soccer,3300000.0,instagram,italy,False,2024,Sports,MAPPED
13,Can Yaman @canyaman,10500000.0,2.22,Italy,Acting and Drama Actors Modeling,3100000.0,instagram,italy,False,2024,Beauty&Fashion,MAPPED
14,Andrea Pirlo Official @andreapirlo21,9700000.0,1.55,Italy,Sports Soccer,2900000.0,instagram,italy,False,2024,Sports,MAPPED
15,Marco Verratti @marco_verratti92,9100000.0,2.63,Italy,Sports Soccer,2700000.0,instagram,italy,False,2024,Sports,MAPPED
16,Carlos Sainz @carlossainz55,9100000.0,7.19,Italy,Auto and Vehicles Racing,2700000.0,instagram,italy,False,2024,Sports,MAPPED
17,🌸Diletta Leotta🌸 @dilettaleotta,9100000.0,2.42,Italy,Fashion and Accessories Entertainment and Music Acting and Drama TV Host,2700000.0,instagram,italy,False,2024,Beauty&Fashion,MAPPED
18,Marzia Kjellberg @itsmarziapie,8800000.0,11.03,Italy,Fashion and Accessories Arts and Crafts Business and Finance Lifestyle,2600000.0,instagram,italy,False,2024,Beauty&Fashion,MAPPED
19,Thylane-Lena rose @thylaneblondeau,7300000.0,0.21,Italy,Fashion and Accessories Modeling Fashion Design Celebrities,2200000.0,instagram,italy,False,2024,Beauty&Fashion,MAPPED
20,Elettra Lamborghini @elettralamborghini,7200000.0,1.89,Italy,Entertainment and Music Music TV Host,2200000.0,instagram,italy,False,2024,Music,MAPPED
21,Francesco Nappo @francesconappoph,7100000.0,,Italy,Photography Business and Finance,2100000.0,instagram,italy,False,2024,Knowledge&Info,MAPPED
