rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Davie504 @UCgFvT6pUq9HLOvKBYERzXSQ,12600000.0,,Italy,,3800000.0,youtube,italy,False,2024,,
2,Born2Kill @UCNpNPMjP5S3qvXnUS0KRepw,9000000.0,0.3,Italy,,2700000.0,youtube,italy,False,2024,,
3,Serie A @UCBJeMCIeLQos7wacox4hmLQ,8300000.000000001,,Italy,,2500000.0,youtube,italy,False,2024,,
4,FavijTV @UCSFC5Cio8zaLQDFPxA7y_HQ,6400000.0,,Italy,,1900000.0,youtube,italy,False,2024,,
5,Me contro Te @UCfGk2x9k0vE14OoMlifGLCg,6300000.0,0.1,Italy,,1900000.0,youtube,italy,False,2024,,
6,iPantellas @UCD-aXv7CMezGSTfxmKAD6Ag,5800000.0,,Italy,,1700000.0,youtube,italy,False,2024,,
7,Warner Music Italy @UC9PZVgJF-mX4aDDzLE4z5Zg,5800000.0,,Italy,,1700000.0,youtube,italy,False,2024,,
8,Rai @UCKUzdt2sELyxd6mz-bAx3bA,4900000.0,,Italy,,1500000.0,youtube,italy,False,2024,,
9,Ameli TVIT @UC9FqpQX13mX-lLBWlTZ6Q0Q,4600000.0,,Italy,,1400000.0,youtube,italy,False,2024,,
10,WhenGamersFail ► Lyon @UC1OGV4dczjRz8wNLRaezJ5Q,4500000.0,0.1,Italy,,1300000.0,youtube,italy,False,2024,,
11,St3pNy @UCMggu4tZ2N6SD4FebIbMDpA,4400000.0,0.3,Italy,,1300000.0,youtube,italy,False,2024,,
12,Måneskin Official @UCgQna2EqpzqzfBjlSmzT72w,4300000.0,,Italy,,1300000.0,youtube,italy,False,2024,,
13,Film&Clips @UCNT5YLfnn2cQGIxGw8iOxJQ,4200000.0,,Italy,,1300000.0,youtube,italy,False,2024,,
14,5 MINUTI CREATIVI @UCYzJ25VqINzsrrdPyBNpbAg,4099999.9999999995,,Italy,,1200000.0,youtube,italy,False,2024,,
15,Masha e Orso @UCSH8CjSBSMnD1gYvTOyjREw,4099999.9999999995,,Italy,,1200000.0,youtube,italy,False,2024,,
16,Daniele Vitale Sax @UCaQhy_pdgjkcVeh6bIfoVlg,4000000.0,0.2,Italy,,1200000.0,youtube,italy,False,2024,,
17,Juventus @UCLzKhsxrExAC6yAdtZ-BOWw,3700000.0,,Italy,,1100000.0,youtube,italy,False,2024,,
18,HALIDONMUSIC @UCyOfqgtsQaM3S-VZnsYnHjQ,3500000.0,,Italy,,1000000.0,youtube,italy,False,2024,,
19,DisneyJuniorIT @UClb8YSegoA2ZRSSXqXlFJaA,3100000.0,,Italy,,918000.0,youtube,italy,False,2024,,
20,Lionfield @UCHwpDpLoyJgtFXoAaaSut4Q,3000000.0,,Italy,,909000.0,youtube,italy,False,2024,,
21,ilvostrocaroDexter @UCNo7m7faHS9t3nSDfWXvGww,3000000.0,,Italy,,891000.0,youtube,italy,False,2024,,
22,Surry @UC3V8twsHOUBGvM_xsQ_4ZJg,3000000.0,0.3,Italy,,888000.0,youtube,italy,False,2024,,
23,BUM! @UC8Lq46YDnbQMAXhAfc7hr7A,3000000.0,0.1,Italy,,888000.0,youtube,italy,False,2024,,
24,IL LATO POSITIVO @UC-yUaDGthx7mENfSxd81qfg,3000000.0,,Italy,,885000.0,youtube,italy,False,2024,,
25,Dolci Melodie @UC9WUMVR1jsan7IleT_bolsQ,2900000.0,,Italy,,870000.0,youtube,italy,False,2024,,
26,Two Players One Console @UCpyDd4YbikHZE-DtNGfpdjQ,2900000.0,,Italy,,855000.0,youtube,italy,False,2024,,
27,Fanpage.it @UCWJhBqnyVdHAuxexgjghNFw,2800000.0,,Italy,,846000.0,youtube,italy,False,2024,,
28,The Perfect Home @UC6rWB83cxqfb72-HEagGv2Q,2800000.0,,Italy,,840000.0,youtube,italy,False,2024,,
29,DisneyChannelIT @UCTLBJ_2dg5G109qFR34wRRA,2700000.0,,Italy,,819000.0,youtube,italy,False,2024,,
30,Ghali @UCY5rq0soTIK6hPbn8kejgMg,2700000.0,,Italy,,810000.0,youtube,italy,False,2024,,
31,Marcello Barenghi @UCcBnT6LsxANZjUWqpjR8Jpw,2700000.0,,Italy,,810000.0,youtube,italy,False,2024,,
32,Fashion Channel @UCepVy23t8l-CEaASZzfo9Jg,2700000.0,,Italy,,807000.0,youtube,italy,False,2024,,
33,JMMates @UCgzT6VaCrpF3QLZQa6ZcNcg,2600000.0,,Italy,,780000.0,youtube,italy,False,2024,,
34,Matt & Bise @UCuIn6yReJxMfn1zf7fd-M1Q,2600000.0,,Italy,,774000.0,youtube,italy,False,2024,,
35,Stella ASMR @UCJ1XeP1hg9K-8XJN9OdApjw,2500000.0,,Italy,,744000.0,youtube,italy,False,2024,,
36,Giallozafferano Italian Recipes @UChxU-cVEOaJOwCaSuBoZ9Qg,2400000.0,,Italy,,723000.0,youtube,italy,False,2024,,
37,Davidlap @UCdVHWfWPwwiOzMHpcwEATmA,2400000.0,0.5,Italy,,714000.0,youtube,italy,False,2024,,
38,Scottecs @UCqSmyuqVNwklKKlqqdMmV_A,2300000.0,0.6,Italy,,687000.0,youtube,italy,False,2024,,
39,Nickelodeon Italia @UCsHe74knLccbgec6WdGAkPQ,2200000.0,,Italy,,660000.0,youtube,italy,False,2024,,
40,FedezChanneL @UCxmtnN8xFnnJmXS5LdP6eMA,2200000.0,,Italy,,654000.0,youtube,italy,False,2024,,
41,kishinpain @UCzG9rE-_zcI0yN5Vvt39M_w,2100000.0,1.6,Italy,,633000.0,youtube,italy,False,2024,,
42,CoccoleSonore @UCfEcBFEBd8DutdOo8NXpj_w,2100000.0,,Italy,,630000.0,youtube,italy,False,2024,,
43,WB Kids Italiano @UCSMrqS8IssKKIILuz48IGSA,2000000.0,0.1,Italy,,615000.0,youtube,italy,False,2024,,
44,GiampyTek @UCDz3CjAc51W-YtsxYtSPZXg,2000000.0,0.6,Italy,,612000.0,youtube,italy,False,2024,,
45,Sespo @UCMsWbGu0Ahx6c4o0qEbbLmw,2000000.0,0.6,Italy,,612000.0,youtube,italy,False,2024,,
46,fazz160 @UCNLReGxOCGDExjb7pjPuPcA,2000000.0,,Italy,,606000.0,youtube,italy,False,2024,,
47,Awed ™ @UCQQo9hHxHi8gzfFuJSn5-kg,2000000.0,1.3,Italy,,603000.0,youtube,italy,False,2024,,
48,Sfera Ebbasta @UCMG7SfUy9pOybrhXEhEkdVQ,2000000.0,,Italy,,594000.0,youtube,italy,False,2024,,
49,Riccardo Dose @UCM3r1mXf1sQRdW3UDz3CLBg,2000000.0,1.5,Italy,,591000.0,youtube,italy,False,2024,,
50,Planet Records Official @UCCXpJXESxS2GPzteN-s3jrA,2000000.0,0.5,Italy,Music,588000.0,youtube,italy,False,2024,Music,MAPPED
51,Jakidale @UCz-KJn98sMCPW5kjG0ZnE-Q,1900000.0,,Italy,,567000.0,youtube,italy,False,2024,,
52,Lamborghini @UC9DXZC8BCDOW6pYAQKgozqw,1900000.0,,Italy,,567000.0,youtube,italy,False,2024,,
53,LOKMAN @UC62pVrrS3crLJXwVmenKAuA,1900000.0,,Italy,,561000.0,youtube,italy,False,2024,,
54,SpJockey @UC1GAMi8OhcorAwIEvYMdySA,1800000.0,0.5,Italy,,552000.0,youtube,italy,False,2024,,
55,Kids Tv Italiano - canzoni per bambini @UCv2quJy0NKOIA3MOdtarxig,1800000.0,,Italy,,549000.0,youtube,italy,False,2024,,
56,Me contro Te Music @UCwjrf475hoHRJZc5SMnZzng,1800000.0,3.7,Italy,,543000.0,youtube,italy,False,2024,,
57,Diego Rox Oficial @UCZcpoE-o9lKEa_F2orF4D3w,1800000.0,0.8,Italy,,540000.0,youtube,italy,False,2024,,
58,Energy TV @UC5eYHWDQqAsiKlnvLCz-ezg,1800000.0,,Italy,,531000.0,youtube,italy,False,2024,,
59,Luca Lattanzio @UC2ICoQB9ulLpElbQTf1IR9w,1800000.0,,Italy,,531000.0,youtube,italy,False,2024,,
60,Feinxy @UCMNFWE0hUtrWPVY0I1qIC4Q,1800000.0,0.3,Italy,,528000.0,youtube,italy,False,2024,,
61,Gianmarco Zagato @UCIJRzMxARIhYwuLiSG8YVlA,1800000.0,0.5,Italy,,528000.0,youtube,italy,False,2024,,
62,GBR - Giochi per Bambini e Ragazzi @UC-fqetpMe8rFuBeQ4bpl3Jw,1700000.0,0.1,Italy,,516000.0,youtube,italy,False,2024,,
63,JOk3R @UC8zerSNZ6ankNbtTgI5Rw2Q,1700000.0,,Italy,,516000.0,youtube,italy,False,2024,,
64,Fabio Rovazzi @UCVD7R3rgt7kaLMlP7-Gn0rw,1700000.0,5.2,Italy,,513000.0,youtube,italy,False,2024,,
65,Grax @UCD1iDvLrcf0RwYOM_3_FIbA,1700000.0,0.3,Italy,,510000.0,youtube,italy,False,2024,,
66,GaBBoDSQ @UCck1Wrv-6h44db16OL4geOQ,1700000.0,,Italy,,510000.0,youtube,italy,False,2024,,
67,Luis @UCOJX435vN5rW1EE-w71tetQ,1700000.0,5.3,Italy,,501000.0,youtube,italy,False,2024,,
68,TPOC Plays @UCvDUogE-9kyjbKxxyBGj_4g,1700000.0,,Italy,,501000.0,youtube,italy,False,2024,,
69,Famiglia Suricata @UCZbWaNAOp0gZC8rAj3Wjxyg,1600000.0,,Italy,,492000.0,youtube,italy,False,2024,,
70,DinsiemE @UC0zUezMTgb3yqxwFz2djmYw,1600000.0,0.2,Italy,,489000.0,youtube,italy,False,2024,,
71,Marjia Mimi @UCv5D3kIYeNlgiA2vZ0XYdMQ,1600000.0,,Italy,,483000.0,youtube,italy,False,2024,,
72,Mattiz @UCIwWkPe5yq_jq1_1d2bC05w,1600000.0,,Italy,,483000.0,youtube,italy,False,2024,,
73,Sbriser @UCL774lR4nQzxfK-q9a6JHMw,1600000.0,,Italy,,465000.0,youtube,italy,False,2024,,
74,Asmr With Sasha @UCzp8yn9rUEHL-jqJdSFEONw,1600000.0,0.2,Italy,,465000.0,youtube,italy,False,2024,,
75,AlexKidsTV Italiano @UChslgp5EVigKTI7LjkZltpw,1500000.0,0.3,Italy,,462000.0,youtube,italy,False,2024,,
76,GommeBlog.it: Car & Performance @UCl5ijI4ZXN2ki7PeQajbFrA,1500000.0,,Italy,,459000.0,youtube,italy,False,2024,,
77,CaptainBlazer @UCpqjHfsP7Ptt8UpbdZ8oSdg,1500000.0,0.3,Italy,,459000.0,youtube,italy,False,2024,,
78,Giallozafferano recipes @UC76vuUkGWnPUDFWcgM2_yMg,1500000.0,,Italy,,456000.0,youtube,italy,False,2024,,
79,Ricette dolci @UCeLJCiGRIZuj8N8TKJAveVA,1500000.0,0.2,Italy,,456000.0,youtube,italy,False,2024,,
80,SAFAA @UCLcXeKotX5iu7nIjDUkRUyQ,1500000.0,,Italy,,456000.0,youtube,italy,False,2024,,
81,yotobi @UCIPsK5xspHC3-ZFNPTx2X_w,1500000.0,,Italy,,450000.0,youtube,italy,False,2024,,
82,Silvia & Kids @UCbZ3zgWBMHZetLCWyMbzrFw,1500000.0,0.1,Italy,,444000.0,youtube,italy,False,2024,,
83,Klaus @UCv9mVb-ptWuKznMUu1yZb_g,1500000.0,2.1,Italy,,444000.0,youtube,italy,False,2024,,
84,LorenzIST @UCRXg7QtCY1K2k4IdtLnrE4A,1500000.0,,Italy,,441000.0,youtube,italy,False,2024,,
85,Stef&Phere @UCARGfPTYHpP6M21SYsTy6pg,1500000.0,0.8,Italy,,441000.0,youtube,italy,False,2024,,
86,FRENCHMOLE @UCNcv_YXlMmKmEBaNqOpMEYA,1500000.0,0.8,Italy,,435000.0,youtube,italy,False,2024,,
87,Peppa Pig Italiano - Canale Ufficiale @UCS1SHyxP0UhAg84AKamy3jA,1500000.0,,Italy,,435000.0,youtube,italy,False,2024,,
88,S7ORMy @UC4fLWR5uoe66S8spSO3V0gw,1400000.0,0.4,Italy,,432000.0,youtube,italy,False,2024,,
89,sodin @UC8SRCEyQvw2yF9TLIBeOlVQ,1400000.0,0.1,Italy,,426000.0,youtube,italy,False,2024,,
90,Fitness recipes @UC-nw1PHhZL0W21S8UN85b8w,1400000.0,1.1,Italy,,426000.0,youtube,italy,False,2024,,
91,Casa delle Bambole @UCGZu4bm64Xjh-omIcqiqmSA,1400000.0,,Italy,,414000.0,youtube,italy,False,2024,,
92,GoldenGianpy @UCiof9YSQHD2cawGJXZ8DyBA,1400000.0,0.3,Italy,,414000.0,youtube,italy,False,2024,,
93,Infinito @UCFG6NvNAkXfe-C3cemqTJfg,1400000.0,,Italy,,411000.0,youtube,italy,False,2024,,
94,ClioMakeUp @UCZ0jA5BlUHXwBEqVpjiau3Q,1400000.0,0.1,Italy,,408000.0,youtube,italy,False,2024,,
95,Dread @UCUoC4hn4QbU55ZdxzOsKJ_A,1400000.0,,Italy,,408000.0,youtube,italy,False,2024,,
96,POW3Rtv @UCE_NXDkvRb-91JBjEmfdDVA,1400000.0,0.2,Italy,,408000.0,youtube,italy,False,2024,,
97,ilMasseo @UCH5dV7XjIpPGtqYlHXtG20Q,1400000.0,3.7,Italy,,405000.0,youtube,italy,False,2024,,
98,Anita Stories @UC9ZZe-4uKTgPEK-FCWiiXDw,1400000.0,0.1,Italy,,405000.0,youtube,italy,False,2024,,
99,Nick Radogna TV @UCaGQh5lmPvro4fjw3-Nyf1g,1300000.0,,Italy,,402000.0,youtube,italy,False,2024,,
100,Master Sina @UCbGf9U2ziPn1JPkWpS-Ffcg,1300000.0,0.2,Italy,,402000.0,youtube,italy,False,2024,,
