rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Junya Official Channel @UCjp_3PEaOau_nT_3vnqKIvg,16399999.999999998,,Japan,,4900000.0,youtube,japan,False,2024,,
2,KOYA with @UCQs-tWGqacJ7vuuJDtXq28w,12800000.0,,Japan,,3800000.0,youtube,japan,False,2024,,
3,"Sen, Momo, Ai & Shii's Channel @UCCKJzBnveLS7oLpS8Q4m2eg",11100000.0,,Japan,Video Gaming,3300000.0,youtube,japan,False,2024,Tech&Gaming,MAPPED
4,タキロン Takilong Kids' Toys @UCU7cVpD6RJIiWw7LUZVMuCQ,7500000.0,,Japan,,2200000.0,youtube,japan,False,2024,,
5,Nino's Home @UCKetFmtqdh-kn915crdf72A,7500000.0,,Japan,,2200000.0,youtube,japan,False,2024,,
6,Fischer's-フィッシャーズ- @UCibEhpu5HP45-w7Bq1ZIulw,7400000.0,0.2,Japan,,2200000.0,youtube,japan,False,2024,,
7,Maryana Ro @UCcGVrf54UcSyIFKlJic8T8A,6700000.0,,Japan,,2000000.0,youtube,japan,False,2024,,
8,SUSHI RAMEN【Riku】 @sushiramen-riku1,6300000.0,2.1,Japan,Fitness Travel,1900000.0,youtube,japan,False,2024,Sports,MAPPED
9,THE FIRST TAKE @UC9zY_E8mcAo_Oq772LEZq8Q,6200000.0,0.6,Japan,,1900000.0,youtube,japan,False,2024,,
10,mania japansong @UCxFVJTRMGywDPDWNMrv69lg,6100000.0,,Japan,,1800000.0,youtube,japan,False,2024,,
11,avex @UC1oPBUWifc0QOOY8DEKhLuQ,5800000.0,,Japan,,1800000.0,youtube,japan,False,2024,,
12,Kendra's Language School @UCTYQzAi6YOcgv2mkzsfzmpA,5400000.0,,Japan,,1600000.0,youtube,japan,False,2024,,
13,Jeamileth Doll @UCGX1Z6DakWkBqS2xbmMF0yA,5400000.0,,Japan,,1600000.0,youtube,japan,False,2024,,
14,NAKATA UNIVERSITY @UCFo4kqllbcQ4nV83WCyraiw,4900000.0,0.1,Japan,,1500000.0,youtube,japan,False,2024,,
15,ヒカル（Hikaru） @UCaminwG9MTO4sLYeC3s6udA,4800000.0,0.4,Japan,,1400000.0,youtube,japan,False,2024,,
16,TWICE JAPAN OFFICIAL YouTube Channel @UCCRb6nYKaT8tzLA8CwDdUtw,4600000.0,,Japan,,1400000.0,youtube,japan,False,2024,,
17,UNIVERSAL MUSIC JAPAN @UCl2aT0nRejTCQO_LHZAftBw,4500000.0,,Japan,Music,1300000.0,youtube,japan,False,2024,Music,MAPPED
