rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,دكتورة خلود💙💉🥇 @dr_kholodiii,11600000.0,0.03,Kuwait,Beauty and Self Care Animals & Pets Design Celebrities,3500000.0,instagram,kuwait,False,2024,Beauty&Fashion,MAPPED
2,Mishary Alafasy 🇰🇼 مشاري راشد العفاسي @alafasy,8500000.0,0.12,Kuwait,Entertainment and Music Speaker,2500000.0,instagram,kuwait,False,2024,Music,MAPPED
3,عقيل الرئيسي 👑 @aqeelstar,8400000.0,1.11,Kuwait,Entertainment and Music Celebrity,2500000.0,instagram,kuwait,False,2024,Music,MAPPED
4,Rawan Bin Hussain @rawan,7600000.0,0.58,Kuwait,Acting and Drama Entertainment and Music Celebrity Business and Finance,2300000.0,instagram,kuwait,False,2024,Knowledge&Info,MAPPED
5,Elham Alfadalah إلهام الفضالة @elhamalfadalah,7000000.0,0.08,Kuwait,Fashion and Accessories Celebrity Modeling,2100000.0,instagram,kuwait,False,2024,Beauty&Fashion,MAPPED
6,Hanadi alkanderi🌍🇰🇼 @hanaaady,5900000.0,0.13,Kuwait,family Modeling Actors,1800000.0,instagram,kuwait,False,2024,Beauty&Fashion,MAPPED
7,Shejoun شجون 🇰🇼 @shoooj,4600000.0,0.22,Kuwait,Celebrity Actors,1400000.0,instagram,kuwait,False,2024,Entertainment,MAPPED
8,Ali Najem | علي نجم @alinajim,4500000.0,0.75,Kuwait,Education Upskilling Hosted Cars & Motorcycles,1300000.0,instagram,kuwait,False,2024,Knowledge&Info,MAPPED
9,Fatma Alsafi @me_alsafi,4500000.0,0.22,Kuwait,Travel family Celebrity Actors,1300000.0,instagram,kuwait,False,2024,Entertainment,MAPPED
10,Haya Alshuaibi | هيا الشعيبي @hayaalshuaibi_79,4000000.0,0.04,Kuwait,Entertainment and Music Actors,1200000.0,instagram,kuwait,False,2024,Music,MAPPED
11,نوف نبيل | Nouf Nabil @noufnabil_,4000000.0,0.21,Kuwait,Entertainment and Music Celebrity,1200000.0,instagram,kuwait,False,2024,Music,MAPPED
