rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Nancy Ajram @nancyajram,39500000.0,0.36,Lebanon,Entertainment and Music,11900000.0,instagram,lebanon,False,2024,Music,MAPPED
2,Elissa @elissazkh,19700000.0,0.25,Lebanon,Music Actors,5900000.0,instagram,lebanon,False,2024,Music,MAPPED
3,Nadine Nassib Njeim @nadine.nassib.njeim,16100000.000000002,0.96,Lebanon,Entertainment and Music family Education Celebrity,4800000.0,instagram,lebanon,False,2024,Knowledge&Info,MAPPED
4,Maya Diab @mayadiab,13800000.0,0.15,Lebanon,Entertainment and Music Parenting Modeling,4099999.9999999995,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
5,Haifa Wehbe @haifawehbe,12200000.0,2.87,Lebanon,Entertainment and Music Singer,3600000.0,instagram,lebanon,False,2024,Music,MAPPED
6,Pandora Kaaki @pandorakaaki,12000000.0,1.8,Lebanon,Fashion and Accessories Lifestyle,3600000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
7,YARA @yara,12000000.0,0.12,Lebanon,Entertainment and Music Soccer Singer Music,3600000.0,instagram,lebanon,False,2024,Sports,MAPPED
8,Nour Arida @nouraridaofficial,11000000.0,0.88,Lebanon,Education Upskilling Romance and Wedding Fashion and Accessories,3300000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
9,Karen Wazen Bakhazi كارن وازن @karenwazen,8199999.999999999,1.54,Lebanon,Fashion and Accessories Video Gaming Modeling Hair & Beauty,2400000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
10,Nawal El Zoghby - نوال الزغبي @nawalelzoghbi,6200000.0,0.53,Lebanon,Entertainment and Music Music Modeling Celebrities,1800000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
11,Nassif Zeytoun @nassifzeytoun,6200000.0,1.6,Lebanon,Entertainment and Music Singer,1800000.0,instagram,lebanon,False,2024,Music,MAPPED
12,Maguy Bou Ghosn - ماغي بو غصن @maguyboughosn,6100000.0,0.88,Lebanon,Acting and Drama Celebrity Modeling,1800000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
13,Kinda Hanna Hanna @kindahannaofficial,5900000.0,0.55,Lebanon,Celebrity Art Actors,1800000.0,instagram,lebanon,False,2024,Entertainment,MAPPED
14,Annabella Hilal @annabellahilal,5500000.0,1.96,Lebanon,Fashion and Accessories Journalists Design Celebrities,1600000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
15,Raya Abirached @rayaofficial,5200000.0,0.21,Lebanon,Entertainment and Music Moms,1600000.0,instagram,lebanon,False,2024,Music,MAPPED
16,Ragheb Alama @raghebalama,4800000.0,0.28,Lebanon,Entertainment and Music Music,1500000.0,instagram,lebanon,False,2024,Music,MAPPED
17,جيني اسبر Jenny Esber @jennyesber,4800000.0,0.13,Lebanon,Acting and Drama Celebrity Hair & Beauty Design,1400000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
18,Sexólogo| Mahmoud Baydoun @mahmoudbaydoun_,4700000.0,0.78,Lebanon,Education Romance and Wedding Home and Garden Medical Health,1400000.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
19,Mr Bitar محمود بيطار @bitar,4700000.0,2.49,Lebanon,Entertainment and Music Video Gaming,1400000.0,instagram,lebanon,False,2024,Tech&Gaming,MAPPED
20,Asa7be Sarcasm Society @asa7bess,4500000.0,0.48,Lebanon,Entertainment and Music Funny Humor,1300000.0,instagram,lebanon,False,2024,Music,MAPPED
21,Assi El Hallani @assielhallaniofficial,4300000.0,0.06,Lebanon,Entertainment and Music,1300000.0,instagram,lebanon,False,2024,Music,MAPPED
22,غسان إسماعيل @ghassan_esmaeel,3900000.0,0.67,Lebanon,Acting and Drama,1200000.0,instagram,lebanon,False,2024,Entertainment,MAPPED
23,Ali Jaber @syekh.alijaber,3800000.0,1.41,Lebanon,Pets Speaker,1100000.0,instagram,lebanon,False,2024,Lifestyle,MAPPED
24,CAROLE SAMAHA كارول سماحة @carolesamaha,3700000.0,0.33,Lebanon,Entertainment and Music Celebrity Music Singer,1100000.0,instagram,lebanon,False,2024,Music,MAPPED
25,Amr Rady @amrrady14,3700000.0,1.7,Lebanon,Entertainment and Music,1100000.0,instagram,lebanon,False,2024,Music,MAPPED
26,شادية ارسلان | Chadia Arsalan @chadia.arsalan,3500000.0,3.07,Lebanon,,1100000.0,instagram,lebanon,False,2024,,
27,Saint Hoax @sainthoax,3400000.0,3.43,Lebanon,Art Artist,1000000.0,instagram,lebanon,False,2024,Lifestyle,MAPPED
28,Sawsan Elsayed @sawsansayedofficial,3100000.0,0.53,Lebanon,,929800.0,instagram,lebanon,False,2024,,
29,MTV Lebanon @mtvlebanon,3100000.0,0.06,Lebanon,Entertainment and Music News TV Channel,916000.0,instagram,lebanon,False,2024,Knowledge&Info,MAPPED
30,Samer Khouzami @samerkhouzami,2700000.0,0.49,Lebanon,Beauty and Self Care Business Hair & Beauty Celebrities,809900.0,instagram,lebanon,False,2024,Beauty&Fashion,MAPPED
31,Ayman @zbibayman,2600000.0,0.99,Lebanon,Entertainment and Music Singer Music Songwriting,790500.0,instagram,lebanon,False,2024,Music,MAPPED
