rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Nancy Ajram @UChnf7fs7mlfbzsJpwWnJBYA,7000000.0,,Lebanon,,2100000.0,youtube,lebanon,False,2024,,
2,Elissa @UCwVXB9hCnLiarr3pZLmnr2w,4900000.0,,Lebanon,,1500000.0,youtube,lebanon,False,2024,,
3,Nassif Zeytoun @UCO4AjeljgqgiowEf2yfvYHg,4500000.0,0.5,Lebanon,,1400000.0,youtube,lebanon,False,2024,,
4,Malek Maktabi l مالك مكتبي @UCga4N76Fl4sgcn30iwBs7aQ,4500000.0,,Lebanon,,1400000.0,youtube,lebanon,False,2024,,
5,ETH 2.0 @UCZKhWZoMMl92_TBKzGAtkiw,4400000.0,,Lebanon,,1300000.0,youtube,lebanon,False,2024,,
6,حمادة نشواتي @UCrXqG3hhDv2VmfO73S9fztQ,4200000.0,,Lebanon,,1200000.0,youtube,lebanon,False,2024,,
7,AL HASHIM - حسن هاشم @UCN1Lyow-3R4jtN-cddDd_eQ,3400000.0,0.5,Lebanon,,1000000.0,youtube,lebanon,False,2024,,
8,LBCI Lebanon @UCpE6gpKewomi17XDyPfpFjA,3300000.0,,Lebanon,,993000.0,youtube,lebanon,False,2024,,
9,Sobhi Mohammad - صبحي محمد @UCEiwa5MRvm0mV85wpLTLUBw,2900000.0,,Lebanon,,867000.0,youtube,lebanon,False,2024,,
10,Lamis Chaaban @lamischaaban,2400000.0,0.1,Lebanon,,720000.0,youtube,lebanon,False,2024,,
11,Laila Mourad @UCRba9v75sMzuYRAw38_Gwdw,2300000.0,0.6,Lebanon,,681000.0,youtube,lebanon,False,2024,,
12,Amjad Jomaa @UCBs5cNvb-SHOLPNYHqVxAiw,2100000.0,12.2,Lebanon,,618000.0,youtube,lebanon,False,2024,,
13,Rewechtv @UCgvvQgm-ayEeX0bbbogFayQ,2000000.0,,Lebanon,,606000.0,youtube,lebanon,False,2024,,
14,layla jawad channel @UCoAFqg8GCC3l44hX2Fv02Cg,2000000.0,0.3,Lebanon,Education Technology,594000.0,youtube,lebanon,False,2024,Knowledge&Info,MAPPED
15,Official Sadeem @UCWxc7ue-jGlL5ypOHX_i0Bg,1900000.0,1.5,Lebanon,,582000.0,youtube,lebanon,False,2024,,
16,WATARY @UC3OkjsPyaVQMh7iGux8N_Ig,1800000.0,,Lebanon,,531000.0,youtube,lebanon,False,2024,,
17,AyleFaniye Family - عيلة فنية أوتار @UC86FsR43ajXMvVaEqB8WYtw,1800000.0,0.5,Lebanon,,525000.0,youtube,lebanon,False,2024,,
18,Haydar Zaiter / حيدر زعيتر @UC4y366sMwYabH_ts2PNX3Lg,1700000.0,,Lebanon,,513000.0,youtube,lebanon,False,2024,,
19,جمانه بلانيت -joumana planet @UCMNnWy0xyRtTdjHu_LJsEJw,1600000.0,,Lebanon,,483000.0,youtube,lebanon,False,2024,,
20,AL Jadeed News @UC4JCsTLFcHGk10qpiNMh0Ww,1600000.0,,Lebanon,,480000.0,youtube,lebanon,False,2024,,
21,سارة في المطبخ @UCS4DiIRaRfmslnkiWKD6hTQ,1600000.0,,Lebanon,,465000.0,youtube,lebanon,False,2024,,
22,Cedars Art Production @UCFvnsZaE1YwMBmIDIpOuSgQ,1600000.0,,Lebanon,,465000.0,youtube,lebanon,False,2024,,
23,Yara @UCU6HdlazY9VEVjMTf57w8Qg,1500000.0,0.1,Lebanon,,456000.0,youtube,lebanon,False,2024,,
24,Lama Shreif @UCkJhRj7ZEY0nhZfpA2thzwg,1500000.0,,Lebanon,,444000.0,youtube,lebanon,False,2024,,
25,Ziad Bourji @UClzVAB085DUM95sUk1ZifUQ,1400000.0,,Lebanon,,411000.0,youtube,lebanon,False,2024,,
26,Taha Kids TV | قناة طه للأطفال @UC-JxDEXTveaA4yWXxKVZaJg,1400000.0,,Lebanon,,408000.0,youtube,lebanon,False,2024,,
27,Mega Drama - ميغا دراما @UCMstw1dHp2UCuVY7vml5PpQ,1400000.0,0.1,Lebanon,,405000.0,youtube,lebanon,False,2024,,
28,Quality Production @UCVUWD5W4g4APk15vsC0s3RA,1300000.0,,Lebanon,,399000.0,youtube,lebanon,False,2024,,
29,Shireen Abusaad @UC_J5QzO2yzsasbcbPdRsqOQ,1300000.0,0.4,Lebanon,,393000.0,youtube,lebanon,False,2024,,
30,Maguy Farah - ماغي فرح @UCPQ-YyoLY6HjqFnbQtVaNSw,1300000.0,,Lebanon,Careers Politics,390000.0,youtube,lebanon,False,2024,Knowledge&Info,MAPPED
31,ArabicaTV @UCwhWu2mto7CALPJelOc8OoQ,1300000.0,0.1,Lebanon,,384000.0,youtube,lebanon,False,2024,,
32,Wael Kfoury | وائل كفوري @UC1F4CV2YjvxKgNOOFqd_dfQ,1200000.0,,Lebanon,,357000.0,youtube,lebanon,False,2024,,
33,شوف دراما الثالثة - Shoof Drama 3 @UCQOz2_AhxeHUbNMYan-6ZQQ,1200000.0,,Lebanon,,345000.0,youtube,lebanon,False,2024,,
34,Hussein Al Deek @UCfjfjgI6nIj5d6VMTpheQ8w,1200000.0,4.3,Lebanon,,345000.0,youtube,lebanon,False,2024,,
35,OTV Lebanon @UCJu-0vnWt0wFMQuLsjzwjRQ,1100000.0,,Lebanon,,339000.0,youtube,lebanon,False,2024,,
36,Haifa Wehbe @UCUpLrHLtpJKplgkR__bZfMw,1100000.0,6.7,Lebanon,,333000.0,youtube,lebanon,False,2024,,
