rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Ebit Lew @ustazebitlew,6700000.0,0.3,Malaysia,Finance,2000000.0,tiktok,malaysia,False,2024,Knowledge&Info,MAPPED
2,VIEW Chin @viewchin_view,2400000.0,1.2,Malaysia,Fashion and Accessories,720000.0,tiktok,malaysia,False,2024,Beauty&Fashion,MAPPED
3,Shuib Sepahtu @shuibsepahtu,2400000.0,0.1,Malaysia,,720000.0,tiktok,malaysia,False,2024,,
4,Siti Nurhaliza @toktitiktok,2300000.0,,Malaysia,Entertainment and Music,690000.0,tiktok,malaysia,False,2024,Music,MAPPED
5,davidddodle @davidddodle,2000000.0,,Malaysia,Celebrity,600000.0,tiktok,malaysia,False,2024,Entertainment,MAPPED
6,Alvin Chong @alvinchong123,1900000.0,0.1,Malaysia,Entertainment and Music,570000.0,tiktok,malaysia,False,2024,Music,MAPPED
7,Asad Motawh @asadmotawhhh,1700000.0,,Malaysia,,510000.0,tiktok,malaysia,False,2024,,
8,ATAATA @ataata0102,1600000.0,0.2,Malaysia,Travel,480000.0,tiktok,malaysia,False,2024,Lifestyle,MAPPED
9,Foodie @foodiemy,1600000.0,,Malaysia,Food Food and Drink,480000.0,tiktok,malaysia,False,2024,Lifestyle,MAPPED
10,Zhyla17 @zhyla17,1500000.0,,Malaysia,,450000.0,tiktok,malaysia,False,2024,,
11,erissa puteri hashim @erissa_puteri,1400000.0,,Malaysia,,420000.0,tiktok,malaysia,False,2024,,
12,StellaCinderella @stellacinderella,1400000.0,,Malaysia,Fashion and Accessories,420000.0,tiktok,malaysia,False,2024,Beauty&Fashion,MAPPED
13,Zee5 @zeemarwadriana,1300000.0,,Malaysia,Beauty,390000.0,tiktok,malaysia,False,2024,Beauty&Fashion,MAPPED
14,findyyyy_ @findyyong_,1200000.0,,Malaysia,Fashion and Accessories Product Education Product Showcase,360000.0,tiktok,malaysia,False,2024,Beauty&Fashion,MAPPED
15,Daisey Gorgeous @daiseygorgeous,1200000.0,,Malaysia,Beauty and Self Care,360000.0,tiktok,malaysia,False,2024,Beauty&Fashion,MAPPED
16,QU PUTEH BARULAH PUTEH @datoserividaofficial,1200000.0,,Malaysia,Entertainment and Music Music,360000.0,tiktok,malaysia,False,2024,Music,MAPPED
17,imantroye @imantroye,1200000.0,,Malaysia,,360000.0,tiktok,malaysia,False,2024,,
18,S i t i @ct.mr,1100000.0,0.1,Malaysia,,330000.0,tiktok,malaysia,False,2024,,
19,Siti Nordiana @sitinordiana84,1000000.0,2.1,Malaysia,Celebrity Music,300000.0,tiktok,malaysia,False,2024,Music,MAPPED
20,1.m @xx_rody_x,994100.0,,Malaysia,,298200.0,tiktok,malaysia,False,2024,,
21,Rusa Music @rusamusic,987300.0,,Malaysia,Celebrity Music,296200.0,tiktok,malaysia,False,2024,Music,MAPPED
22,leeloo 𓆩❤︎𓆪 @lawcombe,980600.0,,Malaysia,,294200.0,tiktok,malaysia,False,2024,,
23,Zulin Aziz @zulinaziz,980500.0,,Malaysia,,294200.0,tiktok,malaysia,False,2024,,
24,zhi.binggg @zhi.binggg,973800.0,,Malaysia,,292100.0,tiktok,malaysia,False,2024,,
25,𝗠𝗿𝘀𝘆 ♡ @macakanikan,973300.0,0.1,Malaysia,,292000.0,tiktok,malaysia,False,2024,,
26,Dhilah @nurfadhilah979,948100.0,,Malaysia,,284400.0,tiktok,malaysia,False,2024,,
27,View Team @viewfashion26,946400.0,,Malaysia,Fashion,283900.0,tiktok,malaysia,False,2024,Beauty&Fashion,MAPPED
28,UtusanTV @utusantvofficial,946300.0,0.1,Malaysia,,283900.0,tiktok,malaysia,False,2024,,
29,mawarashid @mawarashid,943800.0,,Malaysia,,283100.0,tiktok,malaysia,False,2024,,
30,Linda Said @wanitabermisai,940900.0,,Malaysia,,282300.0,tiktok,malaysia,False,2024,,
31,Elya Maisara @elya217,933600.0,,Malaysia,,280100.0,tiktok,malaysia,False,2024,,
32,Hads :p @kurapikarmin,923600.0,,Malaysia,Music,277100.0,tiktok,malaysia,False,2024,Music,MAPPED
33,Safwan Nazri @safwannazri7,919300.0,,Malaysia,,275800.0,tiktok,malaysia,False,2024,,
34,TV3Malaysia @tv3malaysia,900200.0,,Malaysia,,270100.0,tiktok,malaysia,False,2024,,
35,UstazKazimOfficial @datoustazmohdkazimelias,896000.0,0.3,Malaysia,,268800.0,tiktok,malaysia,False,2024,,
36,Marra Lpn @marralpn,893800.0,,Malaysia,Fitness and Health,268100.0,tiktok,malaysia,False,2024,Sports,MAPPED
37,Syaa Meoow @syaameoow,887500.0,,Malaysia,Entertainment and Music,266300.0,tiktok,malaysia,False,2024,Music,MAPPED
38,ANNA JOBLING @annajobling,885400.0,0.1,Malaysia,,265600.0,tiktok,malaysia,False,2024,,
39,AYU KEPOH @ayu_kepoh,881800.0,,Malaysia,,264500.0,tiktok,malaysia,False,2024,,
40,FaizPaeh @faizpaehh,875800.0,,Malaysia,Sports,262700.0,tiktok,malaysia,False,2024,Sports,MAPPED
41,Elden Chan(800k+followers) @eldenchan17,874800.0,,Malaysia,Entertainment and Music Acting and Drama,262400.0,tiktok,malaysia,False,2024,Music,MAPPED
42,Gori Nagori @gorinagori,855000.0,,Malaysia,,256500.0,tiktok,malaysia,False,2024,,
43,Kaka Azman @kakaazman,854200.0,,Malaysia,Business and Finance,256300.0,tiktok,malaysia,False,2024,Knowledge&Info,MAPPED
44,albes_bert🤍 @albes_al,852700.0,,Malaysia,,255800.0,tiktok,malaysia,False,2024,,
45,zaid faiz @zaidfaiz.07,849800.0,0.2,Malaysia,,254900.0,tiktok,malaysia,False,2024,,
46,@Ayu🐈🐈 @nihasmira_ayu,838600.0,,Malaysia,,251600.0,tiktok,malaysia,False,2024,,
47,Princess Anie Darus @princessaniedarus_69,832600.0,,Malaysia,Pets,249800.0,tiktok,malaysia,False,2024,Lifestyle,MAPPED
48,minimal.5 @minimal.5,827200.0,1.6,Malaysia,,248200.0,tiktok,malaysia,False,2024,,
49,Farhana Zahra @farhanazahra91,824200.0,,Malaysia,,247300.0,tiktok,malaysia,False,2024,,
50,Ash @ash.rafz,815200.0,,Malaysia,,244600.0,tiktok,malaysia,False,2024,,
51,Azrul Affandi Sobry @penceritatv,815100.0,,Malaysia,,244500.0,tiktok,malaysia,False,2024,,
52,Down To Earth @maxdte_,808800.0,,Malaysia,,242600.0,tiktok,malaysia,False,2024,,
53,Gabriel Marquez 🧸 @gabriel_marquez94,808200.0,0.7,Malaysia,,242500.0,tiktok,malaysia,False,2024,,
54,•нυхaιмιq• @huxaimiq,805700.0,,Malaysia,,241700.0,tiktok,malaysia,False,2024,,
55,tahani @tahaniariel,804000.0,,Malaysia,Acting and Drama Entertainment and Music,241200.0,tiktok,malaysia,False,2024,Music,MAPPED
56,𝘇𝗶𝗻 @rzinz._,803800.0,,Malaysia,,241100.0,tiktok,malaysia,False,2024,,
57,W A N I E Y M U A @wanieymua,803500.0,,Malaysia,Beauty and Self Care,241100.0,tiktok,malaysia,False,2024,Beauty&Fashion,MAPPED
58,BOSSKU @joki_bossku.everyday,800600.0,0.1,Malaysia,Business and Finance Video Gaming,240200.0,tiktok,malaysia,False,2024,Knowledge&Info,MAPPED
59,JEii Pong @je_pong,796900.0,,Malaysia,Entertainment and Music,239100.0,tiktok,malaysia,False,2024,Music,MAPPED
60,Gamesplay1313 @gamesplay1313,790200.0,,Malaysia,,237100.0,tiktok,malaysia,False,2024,,
61,Lazada Malaysia @lazada_my,785800.0,,Malaysia,,235700.0,tiktok,malaysia,False,2024,,
62,张秋雯QiuWen 🌸 @qiuwen1014,780300.0,,Malaysia,,234100.0,tiktok,malaysia,False,2024,,
63,Mark Odea (ALAMARK!) @markodea8,769400.0,,Malaysia,,230800.0,tiktok,malaysia,False,2024,,
64,CAFTANESIA @caftanesia,767800.0,,Malaysia,,230300.0,tiktok,malaysia,False,2024,,
65,Inaa:)🤍 @nrsyariena._02,767500.0,,Malaysia,,230300.0,tiktok,malaysia,False,2024,,
66,Malaysian Update @malaysianupdatenews,766400.0,,Malaysia,,229900.0,tiktok,malaysia,False,2024,,
67,Anna @anna_anna665,766400.0,0.3,Malaysia,Food and Drink,229900.0,tiktok,malaysia,False,2024,Lifestyle,MAPPED
