rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,id,topic_of_influence_en
1,Rashid Khan @rashid.khan19,9100000.0,6.19,Afghanistan,Cricket Sports,2700000.0,instagram,afghanistan,False,2024,Sports,MAPPED,,
2,GYM VOGUE @thegymvogue,5100000.0,,Afghanistan,Fitness Fitness and Health,1500000.0,instagram,afghanistan,False,2024,Sports,MAPPED,,
3,Steve McCurry @stevemccurryofficial,3600000.0,1.07,Afghanistan,Art,1100000.0,instagram,afghanistan,False,2024,Lifestyle,MAPPED,,
4,د. وسيم يوسف @waseem_yousef,3300000.0,0.19,Afghanistan,Celebrities,993100.0,instagram,afghanistan,False,2024,Entertainment,MAPPED,,
5,AHMAD SAEEDI / احمد سعيدي @ahmadsaeedi1,3200000.0,1.71,Afghanistan,Music Singer Songwriting,948300.0,instagram,afghanistan,False,2024,Music,MAPPED,,
6,Shakila Mohseni @shakila.music,2200000.0,2.86,Afghanistan,Art,653100.0,instagram,afghanistan,False,2024,Lifestyle,MAPPED,,
7,𝝠𝗥𝗬𝝠𝗡𝝠 𝗦𝝠𝗬𝗘𝗘𝗗 👑 آریانا سعید @aryanasayeedofficial,1900000.0,0.35,Afghanistan,Entertainment and Music Romance and Wedding Music Singer,583700.0,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,
8,غزل سادات Ghazal Sadat @officialghazalsadat,1700000.0,1.82,Afghanistan,Beauty and Self Care Fashion and Accessories Modeling,511700.0,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,
9,GHEZAAL ENAYAT ❤️‍🔥🎙غزال عنایت @ghezaalmusic,1700000.0,0.86,Afghanistan,Entertainment and Music Music,510900.0,instagram,afghanistan,False,2024,Music,MAPPED,,
10,Rahmanullah Gurbaz @rahmanullah.gurbaz,1500000.0,8.86,Afghanistan,Sports,459600.0,instagram,afghanistan,False,2024,Sports,MAPPED,,
11,Zainab Ameeri @zainab_ameeri,1400000.0,0.79,Afghanistan,,434200.0,instagram,afghanistan,False,2024,,,,
12,ApoRed @apored,1400000.0,2.6,Afghanistan,Art,426800.0,instagram,afghanistan,False,2024,Lifestyle,MAPPED,,
13,مریم معصومی @maryammasoumi_,1400000.0,2.58,Afghanistan,Acting and Drama Celebrity Modeling,408200.0,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,
14,Qays Sheikh Najib @qayssheikhnajibofficial,1300000.0,1.7,Afghanistan,Acting and Drama,398000.0,instagram,afghanistan,False,2024,Entertainment,MAPPED,,
15,Ziba Ghafar @zebagulley,1100000.0,0.3,Afghanistan,Travel Food,330200.0,instagram,afghanistan,False,2024,Lifestyle,MAPPED,,
16,Fatima Esmat ف @esmatfatima,1100000.0,4.5,Afghanistan,Art Modeling,325900.0,instagram,afghanistan,False,2024,Beauty&Fashion,MAPPED,,
17,💗🇦🇫AFG_love_official🇦🇫💗 @afg_.loves,1000000.0,0.1,Afghanistan,,309400.0,instagram,afghanistan,False,2024,,,,
18,Seeta_Qasemie سیتا قاسمی🧿 @seetaqasemieofficial,1000000.0,0.68,Afghanistan,Entertainment and Music Music,304500.0,instagram,afghanistan,False,2024,Music,MAPPED,,
