rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,id,topic_of_influence_en
1,Bindaas Tv - Funny Comedy Stories @UCDgT3ji8WmI8SnoDobzqCHg,3800000.0,,Afghanistan,,1100000.0,youtube,afghanistan,False,2024,,,,
2,Azmir Recording @UCC0QJFYdd4Wa4_4hlDlYF_g,1500000.0,,Afghanistan,,456000.0,youtube,afghanistan,False,2024,,,,
3,MBC5 @UCVad7F4_ZuILXyBsBj-WEnQ,1400000.0,,Afghanistan,,414000.0,youtube,afghanistan,False,2024,,,,
4,BARONE LOVE FUNK @UC9G7A5Dhfa5f3_xVJqqQDjA,972000.0,0.4,Afghanistan,,291600.0,youtube,afghanistan,False,2024,,,,
5,India's Funniest Videos @UCt3g98Qvlv7diKWcJy6QR1A,802000.0,,Afghanistan,,240600.0,youtube,afghanistan,False,2024,,,,
6,LemarTV @UC4TjjoiklE7zMJPN7jEqJGw,767000.0,,Afghanistan,,230100.0,youtube,afghanistan,False,2024,,,,
7,كومه دي @UCp6tqIJG9dQs2jAaBKQqH_A,648000.0,0.2,Afghanistan,,194400.0,youtube,afghanistan,False,2024,,,,
8,Wins/Fails Videos @UCdUgq5_GUWyssgoEOMo_rHw,551000.0,,Afghanistan,,165300.0,youtube,afghanistan,False,2024,,,,
9,Shabake Khanda @UCvF0dhWBERzD6YH296cOVFw,412000.0,,Afghanistan,,123600.0,youtube,afghanistan,False,2024,,,,
10,LEMBRANÇAS MUSICAIS @UCBFKMv7Y-gjdm0GMi_ql1gA,337000.0,,Afghanistan,,101100.0,youtube,afghanistan,False,2024,,,,
11,moiegy @UCWUJwemS3xkwrpkW80vQcFg,336000.0,,Afghanistan,,100800.0,youtube,afghanistan,False,2024,,,,
12,SL Sanda @UCP0c5BYBtfVJ4qJUEYn9pEA,324000.0,,Afghanistan,,97200.0,youtube,afghanistan,False,2024,,,,
13,DeadLine Music @UCZWwKCj8AZiYz6ZKtmxfQsw,289000.0,0.9,Afghanistan,,86700.0,youtube,afghanistan,False,2024,,,,
14,Sahara Flash Official @UCJK5_rc-flQfbvGeIRlP3-Q,286000.0,,Afghanistan,,85800.0,youtube,afghanistan,False,2024,,,,
15,Pashton Plus @UCspIOkfGVZndGDJ7V2K1qPw,217000.0,,Afghanistan,,65099.99999999999,youtube,afghanistan,False,2024,,,,
