rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Danna Paola @dannapaola,34300000.0,1.23,Mexico,Public Figure,10300000.0,instagram,mexico,False,2024,Entertainment,MAPPED
2,Luisillo El Pillo @luisitocomunica,33600000.0,4.49,Mexico,Entertainment and Music Funny Actors Music,10100000.0,instagram,mexico,False,2024,Music,MAPPED
3,JD PANTOJA 🇲🇽 @juandediospantoja,24000000.0,2.64,Mexico,Actors Music Singer,7200000.0,instagram,mexico,False,2024,Music,MAPPED
4,domelipa @domelipa,23400000.0,2.46,Mexico,Entertainment and Music,7000000.0,instagram,mexico,False,2024,Music,MAPPED
5,Eugenio Derbez @ederbez,19900000.0,0.24,Mexico,Entertainment and Music,6000000.0,instagram,mexico,False,2024,Music,MAPPED
6,GERMAN @germangarmendia,17900000.0,6.82,Mexico,Entertainment and Music Actors Writers Comedy,5400000.0,instagram,mexico,False,2024,Music,MAPPED
7,KAROL SEVILLA @karolsevillaofc,17200000.0,0.83,Mexico,Entertainment and Music Celebrity Actors Modeling,5200000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
8,BADABUN @badabun,17000000.0,,Mexico,Entertainment and Music News & Politics,5100000.0,instagram,mexico,False,2024,Knowledge&Info,MAPPED
9,Saul Alvarez @canelo,16800000.0,1.92,Mexico,Sports Product Showcase Finance Boxing,5000000.0,instagram,mexico,False,2024,Sports,MAPPED
10,Kenia Os @keniaos,16700000.0,3.6,Mexico,Beauty and Self Care Video Blogger,5000000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
11,Manelyk Gonzalez @manelyk_oficial,16500000.0,1.1,Mexico,Fashion and Accessories Entertainment and Music Marketing and Advertising Actors,5000000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
12,Angelique Boyer @angeliqueboyer,15900000.0,3.02,Mexico,Entertainment and Music Fashion and Accessories Actors TV Shows,4800000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
13,Yanet Garcia 🇲🇽 @iamyanetgarcia,14800000.0,0.85,Mexico,Celebrity Fitness Modeling Actors,4400000.0,instagram,mexico,False,2024,Sports,MAPPED
14,Dulce Maria @dulcemaria,13700000.0,0.87,Mexico,Entertainment and Music Actors,4099999.9999999995,instagram,mexico,False,2024,Music,MAPPED
15,Maite Perroni Beorlegui @maiteperroni,13700000.0,1.42,Mexico,Entertainment and Music Celebrity Actors Music,4099999.9999999995,instagram,mexico,False,2024,Music,MAPPED
16,Juanpa Zurita 2 @juanpa,13000000.0,0.44,Mexico,Entertainment and Music Food Celebrity Lifestyle,3900000.0,instagram,mexico,False,2024,Music,MAPPED
17,MONT @mont.pantoja,12700000.0,0.09,Mexico,Fashion and Accessories Marketing and Advertising,3800000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
18,𝔸 𝕀 𝕊 𝕃 𝕀 ℕ ℕ 𝕕 𝕖 𝕣 𝕓 𝕖 𝕫 @aislinnderbez,12600000.0,0.38,Mexico,Entertainment and Music Celebrity Actors Modeling,3800000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
19,Tyler Blackburn @tylerjblackburn,11600000.0,0.25,Mexico,Music Lifestyle Singer Actors,3500000.0,instagram,mexico,False,2024,Music,MAPPED
20,Santa Fe Klan @santa_fe_klan_473,11500000.0,1.68,Mexico,Entertainment and Music Music,3400000.0,instagram,mexico,False,2024,Music,MAPPED
21,Franco Escamilla @francoescamillaoficial,11100000.0,0.27,Mexico,Entertainment and Music Actors,3300000.0,instagram,mexico,False,2024,Music,MAPPED
22,GalileaMontijo @galileamontijo,10800000.0,0.24,Mexico,Fashion and Accessories family Actors Journalists,3200000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
23,Yuliett Torres @yuliett.torres,10200000.0,0.56,Mexico,,3100000.0,instagram,mexico,False,2024,,
24,Celia Lora @celi_lora,10200000.0,1.32,Mexico,Fashion Modeling Publishing,3100000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
25,Ignacia Hernandez👑 @ignaciaa_antonia,10100000.0,0.56,Mexico,Fashion and Accessories Actors,3000000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
26,Kate del Castillo @katedelcastillo,10100000.0,0.18,Mexico,Actors,3000000.0,instagram,mexico,False,2024,Entertainment,MAPPED
27,Vegas Dave 🏈⚾️🏀🏒 @itsvegasdave,9900000.0,1.1,Mexico,Sports Finance Auto and Vehicles Business and Finance,3000000.0,instagram,mexico,False,2024,Sports,MAPPED
28,Christian Nodal 🇲🇽 🌵💚 @nodal,9700000.0,2.26,Mexico,Music,2900000.0,instagram,mexico,False,2024,Music,MAPPED
29,Lesslie Polinesia @ppteamlesslie,9700000.0,6.26,Mexico,family Fashion and Accessories Actors Modeling,2900000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
30,Tio Tequila @adekunlegold,9600000.0,0.42,Mexico,Entertainment and Music Music Entertainment Singer,2900000.0,instagram,mexico,False,2024,Music,MAPPED
31,Babo Cartel de santa @babo_cartel,9600000.0,3.39,Mexico,Music Piercing,2900000.0,instagram,mexico,False,2024,Music,MAPPED
32,Karely Ruiz @karelyruiz,9400000.0,4.8,Mexico,Fashion and Accessories,2800000.0,instagram,mexico,False,2024,Beauty&Fashion,MAPPED
33,Jimena V. Sanchez @jimenasanchezmx,9200000.0,0.24,Mexico,Entertainment and Music Sports Actors,2800000.0,instagram,mexico,False,2024,Sports,MAPPED
34,Ángela Aguilar 🇲🇽 @angela_aguilar_,9000000.0,0.59,Mexico,Art,2700000.0,instagram,mexico,False,2024,Lifestyle,MAPPED
35,NATANAEL CANO @natanael_cano,9000000.0,15.37,Mexico,Music,2700000.0,instagram,mexico,False,2024,Music,MAPPED
36,BARBARA DE REGIL SCHOENWALD 🤍 FIT @barbaraderegil,9000000.0,0.86,Mexico,Fitness and Health Celebrity Automotive Actors,2700000.0,instagram,mexico,False,2024,Sports,MAPPED
37,Jacky Bracamontes @jackybrv,8600000.0,0.44,Mexico,Entertainment and Music Celebrity Actors,2600000.0,instagram,mexico,False,2024,Music,MAPPED
38,♡sofia castro @sofiaalcastro,8600000.0,0.85,Mexico,Entertainment and Music Music Actors Lifestyle,2600000.0,instagram,mexico,False,2024,Music,MAPPED
39,Carlos Rivera @_carlosrivera,8500000.0,1.3,Mexico,Entertainment and Music Music Actors,2600000.0,instagram,mexico,False,2024,Music,MAPPED
40,𝐿𝒾𝓋𝒾𝒶 𝐵𝓇𝒾𝓉𝑜 @liviabritopes,8300000.000000001,1.0,Mexico,Fitness and Health Celebrity Marketing and Advertising Actors,2500000.0,instagram,mexico,False,2024,Sports,MAPPED
41,Federico Vigevani @fedevigevani,8300000.000000001,5.9,Mexico,Entertainment and Music Lifestyle,2500000.0,instagram,mexico,False,2024,Music,MAPPED
