rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Achraf Hakimi @achrafhakimi,19900000.0,3.6,Morocco,Sports Soccer Journalists,6000000.0,instagram,morocco,False,2024,Sports,MAPPED
2,saadlamjarred @saadlamjarred1,15200000.0,0.5,Morocco,Entertainment and Music Music Lifestyle Singer,4600000.0,instagram,morocco,False,2024,Music,MAPPED
3,أسما لمنور asma lmnawar @asmalmnawar,13300000.0,0.54,Morocco,Entertainment and Music Music Singer,4000000.0,instagram,morocco,False,2024,Music,MAPPED
4,Salma Rachid @salmarachid.official,10800000.0,0.42,Morocco,Entertainment and Music Music,3200000.0,instagram,morocco,False,2024,Music,MAPPED
5,Rajaa Belmir @rajaabelmir,10500000.0,1.24,Morocco,Entertainment and Music Music Humor Celebrities,3100000.0,instagram,morocco,False,2024,Music,MAPPED
6,Dunia Batma 🇲🇦 🎤 @dunia_batma,9700000.0,0.12,Morocco,Art Singer,2900000.0,instagram,morocco,False,2024,Music,MAPPED
7,Zouhair Bahaoui @zouhairbahaoui,9600000.0,0.31,Morocco,Entertainment and Music Singer Music,2900000.0,instagram,morocco,False,2024,Music,MAPPED
8,KAWTAR BA-MOHAMED كوثر بامو @kawtarbamo,8600000.0,4.21,Morocco,Beauty,2600000.0,instagram,morocco,False,2024,Beauty&Fashion,MAPPED
9,Ibtissam Tiskat @ibtissamtiskatofficial,7800000.0,0.28,Morocco,Entertainment and Music Singer,2300000.0,instagram,morocco,False,2024,Music,MAPPED
10,Rachid Allali @allalirachid,7700000.0,0.11,Morocco,Entertainment and Music Entertainment,2300000.0,instagram,morocco,False,2024,Music,MAPPED
11,Safae Hbirkou @hbirkousafae_officiel,7000000.0,1.23,Morocco,family,2100000.0,instagram,morocco,False,2024,Lifestyle,MAPPED
12,Yassine Bounou “BONO” @bounouyassine_bono,6600000.0,3.54,Morocco,Soccer,2000000.0,instagram,morocco,False,2024,Sports,MAPPED
