rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Saad Lamjarred | سعد لمجرد @UC9hJ5XcjHXYjwDOqrlQUuow,13900000.0,0.8,المغرب,,4200000.0,youtube,morocco,False,2024,,,
2,Experienced Mojaraba TV @UCCvguzToWt3PYumFPRusUKg,10800000.0,,المغرب,,3200000.0,youtube,morocco,False,2024,,,
3,هل تعلم؟ @UCa7lQu3RM6p88h4KOfTpqWA,9000000.0,,المغرب,,2700000.0,youtube,morocco,False,2024,,,
4,2MTV @UClozwh5URilIQpDFeXch8qw,7500000.0,,المغرب,Television,2300000.0,youtube,morocco,False,2024,Entertainment,MAPPED,Television
5,WHITE444 YT @UCI14hkaiRn8cJl-bSZGmSuw,5500000.0,,المغرب,,1700000.0,youtube,morocco,False,2024,,,
6,Misaha | مساحة @UCAHfrKOebWz6_23eKKm9vqw,5200000.0,,المغرب,,1600000.0,youtube,morocco,False,2024,,,
7,إستفد @UCkFYKn7RditA-BnWCTxJvMg,5200000.0,,المغرب,,1600000.0,youtube,morocco,False,2024,,,
8,موقع الشيخ عبد الباسط عبد الصمد @UCoD5-Dk95rFMtk5iCXqak6w,5100000.0,,المغرب,,1500000.0,youtube,morocco,False,2024,,,
9,الطريق إلى الجنة Road to Heaven @UCyiOlgJIOwK_gSNB9R8ATFg,4700000.0,,المغرب,,1400000.0,youtube,morocco,False,2024,,,
10,halawiyat karamilla حلويات كراميلا @UCfhOpHNCA8nUq4_hQQr_QNQ,4300000.0,,المغرب,,1300000.0,youtube,morocco,False,2024,,,
11,Jamal Alpha @UCsqemzGBSJryRUmjp2M_jjQ,4200000.0,0.2,المغرب,,1300000.0,youtube,morocco,False,2024,,,
12,قناة المحترف | Almohtarif channel @UCO58fldVogtwlz7c2PTeWrg,4099999.9999999995,,المغرب,,1200000.0,youtube,morocco,False,2024,,,
13,Baraka lBaraka @UC68yhEwJBSFt8UcWy-dDA-g,3800000.0,,المغرب,,1100000.0,youtube,morocco,False,2024,,,
14,RECIPES FOR YOU @UCq6akguHzmPR6dqIqhuUIAA,3700000.0,0.1,المغرب,,1100000.0,youtube,morocco,False,2024,,,
15,HEROSHIMA YT @UCKbA2ZlS_vEDtuzZlbg1ypw,3600000.0,0.3,المغرب,,1100000.0,youtube,morocco,False,2024,,,
16,هل تعلم؟ علوم وتكنولوجيا @UCqTkFz1f2q2-nwpTekI0_UQ,3600000.0,,المغرب,,1100000.0,youtube,morocco,False,2024,,,
17,Fayssal Vlog @UCH_XMDSC8K696kE6I0x5D8Q,3400000.0,,المغرب,,1000000.0,youtube,morocco,False,2024,,,
18,Ramadan Al Aoula TV @UC-do1UFNFVRhFA20k1izktQ,3300000.0,0.1,المغرب,,993000.0,youtube,morocco,False,2024,,,
19,English Language Academy @UC7HhSlh-QbL9626A_mM4DRg,3100000.0,,المغرب,,924000.0,youtube,morocco,False,2024,,,
20,مجلة لماذا؟ @UCi01XlFR8ZGuqQXlNMLZZEw,3100000.0,,المغرب,,915000.0,youtube,morocco,False,2024,,,
21,Belmirs | بلمير @UCZ5tjhLSLd6L4Te0wnTG2FA,3000000.0,,மாரக்கோ,,903000.0,youtube,morocco,False,2024,,,
22,Douzi دوزي @UCAptYoIT2v03gxBVcZ1Qa6Q,2800000.0,2.4,மாரக்கோ,,837000.0,youtube,morocco,False,2024,,,
23,Muslim مسلم @UCorJO8dvFhfPLXsLfonUrTw,2800000.0,,மாரக்கோ,,831000.0,youtube,morocco,False,2024,,,
24,وصفات لالة فاطمة Wasafat Lalla Fatima @UC-UVfTCPQaYPowrDMWPe6ow,2700000.0,,மாரக்கோ,,822000.0,youtube,morocco,False,2024,,,
25,Hatim Ammor l حاتم عمور @UCX_lLBpYS7FtqmSSFs3esig,2700000.0,,மாரக்கோ,,819000.0,youtube,morocco,False,2024,,,
26,MR CRAZY OFFICIAL @UCvheXmI5oWFZoy9VrKCl51w,2700000.0,3.2,மாரக்கோ,,810000.0,youtube,morocco,False,2024,,,
27,Aymen BOUSSELHAM @UCLgmpj7900fMVT98JTQ-NGw,2700000.0,3.4,மாரக்கோ,,807000.0,youtube,morocco,False,2024,,,
28,oum yasser أم ياسر @UCXeqMgMSAElK-T9MpGaJjEw,2700000.0,,மாரக்கோ,,801000.0,youtube,morocco,False,2024,,,
29,ElGrandeToto @UCVG705xosVltZb52R0hHr_g,2600000.0,11.8,மாரக்கோ,,789000.0,youtube,morocco,False,2024,,,
30,7-TOUN @UC2PRVeYNiJZ4LXLjRjufYig,2500000.0,0.1,மாரக்கோ,,762000.0,youtube,morocco,False,2024,,,
31,SYBLUS @UCY_2VHreLOlk8VqsDd6dUoQ,2500000.0,1.8,மாரக்கோ,,762000.0,youtube,morocco,False,2024,,,
32,Leader Of Lyrics @UCaeicBEBBbaF4QQ_OgJ5cvw,2500000.0,,மாரக்கோ,இசை,744000.0,youtube,morocco,False,2024,Music,MAPPED,Music
33,Télé Maroc @UC6eBD5wxTbOdZbZSTlHKtVg,2500000.0,,மாரக்கோ,,738000.0,youtube,morocco,False,2024,,,
34,L7OR - الحر @UC9o7H0MTjWjo9MffOVxUPww,2400000.0,20.6,மாரக்கோ,,732000.0,youtube,morocco,False,2024,,,
35,Hassan Gonzalez @UCh6FUXUgjFguglJp4PP9rOA,2400000.0,,மாரக்கோ,,729000.0,youtube,morocco,False,2024,,,
36,Clic Cook كليك كوك @UCrqY9F9Mz_-ofg2bn3M7S5A,2300000.0,0.1,மாரக்கோ,,702000.0,youtube,morocco,False,2024,,,
37,Dr Faid Channel @UCRRTxpE93o4qQFy3vZ_0SJA,2300000.0,,மாரக்கோ,,690000.0,youtube,morocco,False,2024,,,
38,Hakim Le magicien @UCxzrcsr1iWRKRe-iMpwyM-Q,2300000.0,,மாரக்கோ,,690000.0,youtube,morocco,False,2024,,,
39,BLA BLA @UCRbIVBQ-FVm-2Z2Rce3SHyg,2300000.0,,மாரக்கோ,,687000.0,youtube,morocco,False,2024,,,
40,Abdljalil Asiro @UCdPDJIvnqtFsTDuDBDTmiAg,2300000.0,,மாரக்கோ,,684000.0,youtube,morocco,False,2024,,,
41,Lbenj @UCSj3fnfKHCI5G2VYUcx3DHg,2300000.0,,மாரக்கோ,,684000.0,youtube,morocco,False,2024,,,
42,شهيوات ام حفصة chhiwat om hafsa / @UCAZGXDez2WTiqGrMEiwrW_w,2300000.0,,மாரக்கோ,,678000.0,youtube,morocco,False,2024,,,
43,JACK FF @UC2pc7w_iMk4KLEa4Yy0gahg,2300000.0,5.5,மாரக்கோ,,678000.0,youtube,morocco,False,2024,,,
44,ruok f8 @UC5LiGS1iria147G-x8LJiaA,2300000.0,,மாரக்கோ,,675000.0,youtube,morocco,False,2024,,,
45,REDA EL WAHABI @UCmsyZt6DsYqa6KEZSDRd83w,2200000.0,2.8,மாரக்கோ,,669000.0,youtube,morocco,False,2024,,,
46,3alamuki عالمك سيدتي مع مريم @UCHlP7UMDQdG5aVvCbLL125w,2200000.0,,மாரக்கோ,,660000.0,youtube,morocco,False,2024,,,
47,cuisine Tima مطبخ تيما @UCyhqIgshhPDSR-nYe8OHWBQ,2100000.0,0.5,மாரக்கோ,,642000.0,youtube,morocco,False,2024,,,
48,BS One @UCyQEg_C6TTIf-Pg7vIljUrg,2100000.0,0.3,மாரக்கோ,,636000.0,youtube,morocco,False,2024,,,
49,Soltana - سلطانة @UCRDs06-t5cL9StAKy2-_axg,2100000.0,,மாரக்கோ,,624000.0,youtube,morocco,False,2024,,,
50,zineb el morhir @UCF0qrUKoJt26nINyAbmYFGQ,2100000.0,,மாரக்கோ,,621000.0,youtube,morocco,False,2024,,,
51,HackTube @UCy38w3gfA1T65r9UIrhKQRw,2000000.0,,மாரக்கோ,,615000.0,youtube,morocco,False,2024,,,
52,Cuisine Amina مطبخ آمينة المراكشية @UClxPyr38alWyLHpa0C8oVmw,2000000.0,,மாரக்கோ,,612000.0,youtube,morocco,False,2024,,,
53,Gnawi @UC0k5ulMTxHlUzzJRnOtBRMA,2000000.0,,மாரக்கோ,Careers கொள்முதல்,609000.0,youtube,morocco,False,2024,UNMAPPED,UNMAPPED,Careers Purchase
54,cuisine yasmina شهيوات ياسمينة @UCm2biAqiGaUFETmPeVnhGxQ,2000000.0,,மாரக்கோ,,606000.0,youtube,morocco,False,2024,,,
55,Mohammed Nassib @UCC_3u0_EYHA09YVma4yDNkg,2000000.0,,மாரக்கோ,,606000.0,youtube,morocco,False,2024,,,
56,Khalid Lidlissi & Dala @UCeuMT3QEwuCdRE8Tg58RCqg,2000000.0,1.9,மாரக்கோ,,606000.0,youtube,morocco,False,2024,,,
57,Insta'Lives @UCXhngplJv_5uDOVdcsGXDwg,2000000.0,,மாரக்கோ,,600000.0,youtube,morocco,False,2024,,,
58,Amine Filali TV @UCCPYz2Fn9g8YdjD50GjYXpw,2000000.0,0.4,மாரக்கோ,,591000.0,youtube,morocco,False,2024,,,
59,حلويات أسماء asmae sweets @UCXgwv0-EiGloHW_Mlxi8S2w,2000000.0,,மாரக்கோ,,585000.0,youtube,morocco,False,2024,,,
60,Salah Salhi TV @UCtqbizEAUxf0aYCJ7ttVmBw,2000000.0,11.7,மாரக்கோ,,585000.0,youtube,morocco,False,2024,,,
61,Adil Taouil l عادل تاويل @UCuvhvj28Vx9-eqDS0mScLhA,1900000.0,10.3,மாரக்கோ,,579000.0,youtube,morocco,False,2024,,,
62,LORD Ahmed @UC7XyFVSHSU-gUCAhIcYYFog,1900000.0,,மாரக்கோ,,579000.0,youtube,morocco,False,2024,,,
63,Siham's Beauty World @UC__kT4NBC-jqJF-RphguAvQ,1900000.0,,மாரக்கோ,,579000.0,youtube,morocco,False,2024,,,
64,3anakib @UC8CtJPb_xe2oEgxuBMs1GJw,1900000.0,,மாரக்கோ,,576000.0,youtube,morocco,False,2024,,,
65,the French language @UCQlhmoawtLk1mYYN_flj_og,1900000.0,,மாரக்கோ,,573000.0,youtube,morocco,False,2024,,,
66,Ihab Amir | إيهاب أمير @UC0ty7_kyGQ1FeveJMfYc0BA,1900000.0,2.4,மாரக்கோ,,573000.0,youtube,morocco,False,2024,,,
67,la3zawi family One @UC8kn_HZ09wAGeFSNHyOPqJA,1900000.0,,மாரக்கோ,,570000.0,youtube,morocco,False,2024,,,
68,Salma Rachid I سلمى رشيد @UC5DiXAUQic0CRMFGBJCuVvQ,1900000.0,,மாரக்கோ,,564000.0,youtube,morocco,False,2024,,,
69,Dizzy DROS @UCy3aXKl3MmWXGj2mmxT9AsA,1800000.0,,மாரக்கோ,,540000.0,youtube,morocco,False,2024,,,
70,LFERDA TV @UCnMQbKtNPamGzvOMSzlw_jg,1800000.0,,மாரக்கோ,,534000.0,youtube,morocco,False,2024,,,
71,حياتك سيدتي @UCeuOkNpr7jEch4_vndR96wA,1800000.0,,மாரக்கோ,,531000.0,youtube,morocco,False,2024,,,
72,Ihssane Benalluch @UC-TDfXUC9HlqvoQxMolYHRA,1800000.0,1.1,மாரக்கோ,,528000.0,youtube,morocco,False,2024,,,
73,طبخ ليلى tabkh leila @UC_BUnj-MP9154Vsahdq8dJQ,1800000.0,,மாரக்கோ,,525000.0,youtube,morocco,False,2024,,,
74,Nouaman Belaiachi l نعمان بلعياشي @UCYJrefWY_BdNiX7wXWomprw,1700000.0,,மாரக்கோ,,522000.0,youtube,morocco,False,2024,,,
75,Ismail El Mahi @UCmo-N3I1AWXP5MdES4eubmA,1700000.0,,மாரக்கோ,,519000.0,youtube,morocco,False,2024,,,
76,Khawater ilyassif @UC7y78kbnOtBEpKKTCEXl7bQ,1700000.0,0.1,மாரக்கோ,,510000.0,youtube,morocco,False,2024,,,
77,7Liwa @UCTdY7Fw0YMHCJ09jKTGy9Xw,1700000.0,7.6,மாரக்கோ,,504000.0,youtube,morocco,False,2024,,,
78,قناة الشَّيخ سَعيد الكَمَلي @UCASAOTD6fMPEg8jmO4nPblQ,1600000.0,0.1,மாரக்கோ,,489000.0,youtube,morocco,False,2024,,,
79,Ajdiri fitness @UC9XzatMwUCJpkwM4Dr5S3RA,1600000.0,,மாரக்கோ,,489000.0,youtube,morocco,False,2024,,,
80,Kawtar Bamo @UCH2ZMZN8X7WHDLnWEfP1jBg,1600000.0,,மாரக்கோ,,486000.0,youtube,morocco,False,2024,,,
81,Black Moussiba @UCGhuGD-LE45GLqSMaxN3Hsw,1600000.0,0.4,மாரக்கோ,,486000.0,youtube,morocco,False,2024,,,
82,Cravata - كرافاطا @UCbEQua8b0M5ScOPgYDxA6fg,1600000.0,,மாரக்கோ,,486000.0,youtube,morocco,False,2024,,,
83,شيف شكرالله Chef Chokrallah @UCrUh2a8Ucv7PlGS6BqYITJQ,1600000.0,0.1,மாரக்கோ,,483000.0,youtube,morocco,False,2024,,,
84,Afechkou Brahim @UC-NGRUkxrRxBRpOmno-hF1w,1600000.0,,மாரக்கோ,,477000.0,youtube,morocco,False,2024,,,
85,SOUMA سومة @UCl8m-0PbG-q8CYbmWdjb9gQ,1600000.0,,மாரக்கோ,,477000.0,youtube,morocco,False,2024,,,
86,Hamida حميدة @UCzZ0Ds0O6hPGc-BcPdLAluA,1600000.0,,மாரக்கோ,,474000.0,youtube,morocco,False,2024,,,
87,Diva Rebecca @UCTtcPiMC4Xa9YQ3UtmOA1Zw,1600000.0,,மாரக்கோ,,471000.0,youtube,morocco,False,2024,,,
88,ريحانة كمال @UCSZCXMvv1p5kurtJmaxKikA,1600000.0,,மாரக்கோ,,471000.0,youtube,morocco,False,2024,,,
89,Manal l منال @UCH3YK4ZP_w5GfxRm9S1TXZw,1600000.0,4.5,மாரக்கோ,இசை பிரபலங்கள்,465000.0,youtube,morocco,False,2024,Music,MAPPED,Music celebrities
90,Oussama El Mekkaoui @oussamaelmekkaoui1,1500000.0,0.5,மாரக்கோ,,462000.0,youtube,morocco,False,2024,,,
91,Taliss | طاليس @UCrDBa3CrjwANpo99Qgu0i-Q,1500000.0,0.2,மாரக்கோ,,462000.0,youtube,morocco,False,2024,,,
92,يوميات القطط kittens vlog @UCZ0h8zWza_bjqGtn6clvYFA,1500000.0,,மாரக்கோ,,462000.0,youtube,morocco,False,2024,,,
93,استفد كل يوم @UCQBt1gkXqb11RRlQDxThi4A,1500000.0,,மாரக்கோ,,462000.0,youtube,morocco,False,2024,,,
94,Niba Tbib @UCqKabGih41Etz_duwkA7cqA,1500000.0,,மாரக்கோ,,462000.0,youtube,morocco,False,2024,,,
95,Le360 @UCGYE6-D0--78oXa4wDiOk6g,1500000.0,,மாரக்கோ,,459000.0,youtube,morocco,False,2024,,,
96,Said Naciri l سعيد الناصري @UCma4hB65kKimZzXKD0nUSUw,1500000.0,,மாரக்கோ,,456000.0,youtube,morocco,False,2024,,,
97,Mehdi Mozayine @UCwK1c_RczSk8RQTiWcCAFgQ,1500000.0,,மாரக்கோ,,453000.0,youtube,morocco,False,2024,,,
98,مربوحة Marbouha TV @UCOhHFq20n5Crcg-13BM7v_w,1500000.0,,மாரக்கோ,,453000.0,youtube,morocco,False,2024,,,
