rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Rocks&Rolls @rocksrollscandy,1900000.0,3.0,Netherlands,Arts and Crafts Food Product Showcase,570000.0,tiktok,netherlands,False,2024,Beauty&Fashion,MAPPED
2,Sights Of Sara @sightsofsara,1500000.0,,Netherlands,Travel,450000.0,tiktok,netherlands,False,2024,Lifestyle,MAPPED
3,infamousharleyquinnn @infamousharleyquinnn,1400000.0,,Netherlands,Animation and Cosplay,420000.0,tiktok,netherlands,False,2024,Tech&Gaming,MAPPED
4,Djamilaly - MeisjeDjamila @djamilaly,1400000.0,,Netherlands,Entertainment and Music,420000.0,tiktok,netherlands,False,2024,Music,MAPPED
5,Jerhemy Owen @jerhemynemo,1200000.0,,Netherlands,Nature Education,360000.0,tiktok,netherlands,False,2024,Knowledge&Info,MAPPED
6,Nika 💜 @nikaaabo,1100000.0,,Netherlands,Fashion and Accessories Life and Society,330000.0,tiktok,netherlands,False,2024,Beauty&Fashion,MAPPED
7,Enzo Knol @enzoknol,1100000.0,0.3,Netherlands,Entertainment and Music,330000.0,tiktok,netherlands,False,2024,Music,MAPPED
8,Mitchell @officialswaggie,1000000.0,0.7,Netherlands,Entertainment and Music,300000.0,tiktok,netherlands,False,2024,Music,MAPPED
9,The Voice HQ @thevoicehq,990600.0,,Netherlands,,297200.0,tiktok,netherlands,False,2024,,
10,Ashley Guijt @ashleyguijt,946800.0,1.6,Netherlands,Entertainment and Music,284000.0,tiktok,netherlands,False,2024,Music,MAPPED
11,Esmee Joanna @esmeejoanna,935000.0,,Netherlands,Funny,280500.0,tiktok,netherlands,False,2024,Entertainment,MAPPED
12,Dutchtuber @dutchtuber,934800.0,0.1,Netherlands,,280400.0,tiktok,netherlands,False,2024,,
13,Tiësto @tiesto,932400.0,0.1,Netherlands,Entertainment and Music,279700.0,tiktok,netherlands,False,2024,Music,MAPPED
14,Nina Houston @ninahouston_,924300.0,,Netherlands,,277300.0,tiktok,netherlands,False,2024,,
15,Amy’s Kitchen @cookingwithamyy,917600.0,0.1,Netherlands,Food,275300.0,tiktok,netherlands,False,2024,Lifestyle,MAPPED
16,🇳🇱 BEAU 🇳🇱 @beaupotman_,917100.0,,Netherlands,Entertainment and Music,275100.0,tiktok,netherlands,False,2024,Music,MAPPED
17,Artbyoums @artbyoums,906800.0,0.1,Netherlands,Art,272000.0,tiktok,netherlands,False,2024,Lifestyle,MAPPED
18,NevermindLisa @nevermindlisa,894400.0,13.8,Netherlands,Education Life and Society Arts and Crafts DIY and Life Hacks,268300.0,tiktok,netherlands,False,2024,Knowledge&Info,MAPPED
19,Negin Mirsalehi @neginmirsalehi,893800.0,0.3,Netherlands,,268100.0,tiktok,netherlands,False,2024,,
20,Football @footballszone,881600.0,1.0,Netherlands,,264500.0,tiktok,netherlands,False,2024,,
21,Karsten Belt @karstenbelt,871300.0,0.4,Netherlands,,261399.99999999997,tiktok,netherlands,False,2024,,
22,DeltaLloyd @deltalloyd,864500.0,,Netherlands,Entertainment and Music,259399.99999999997,tiktok,netherlands,False,2024,Music,MAPPED
