rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Erling Braut Haaland @erling.haaland,20100000.0,6.42,Norway,Sports Entertainment and Music,6000000.0,instagram,norway,False,2024,Sports,MAPPED
2,Alan Walker @alanwalkermusic,9700000.0,1.22,Norway,Entertainment and Music Music Singer Songwriting,2900000.0,instagram,norway,False,2024,Music,MAPPED
3,Martin Ødegaard @odegaard.98,5800000.0,6.62,Norway,Sports Soccer,1700000.0,instagram,norway,False,2024,Sports,MAPPED
4,Quick Style @thequickstyle,5400000.0,2.81,Norway,Entertainment and Music Outdoor Activity Dance Choreographer,1600000.0,instagram,norway,False,2024,Sports,MAPPED
5,Zenap Mohamed @zenap_mohamed,4800000.0,1.62,Norway,family Lifestyle,1500000.0,instagram,norway,False,2024,Lifestyle,MAPPED
6,alisha ilhaan bø @alishaboe,3700000.0,2.26,Norway,Actors Music Singer,1100000.0,instagram,norway,False,2024,Music,MAPPED
7,Kristofer Hivju @khivju,3400000.0,0.43,Norway,Celebrity Acting and Drama Actors Film,1000000.0,instagram,norway,False,2024,Entertainment,MAPPED
8,girl in red @girlinred,2900000.0,13.66,Norway,Entertainment and Music Music Songwriting Singer,859100.0,instagram,norway,False,2024,Music,MAPPED
9,Vicky Vette @vickyvette,2100000.0,0.3,Norway,Entertainment and Music Music Singer Modeling,623300.0,instagram,norway,False,2024,Beauty&Fashion,MAPPED
10,محمود العيساوي || Mahmoud Isawi @mamoisawi,1900000.0,3.76,Norway,Fashion Modeling,571000.0,instagram,norway,False,2024,Beauty&Fashion,MAPPED
11,⠀⠀⠀⠀⠀⠀⠀⠀Isa Brunelli @isabrunellii,1700000.0,3.71,Norway,Beauty and Self Care,521500.0,instagram,norway,False,2024,Beauty&Fashion,MAPPED
12,Magnus Carlsen @magnus_carlsen,1400000.0,9.97,Norway,Education Games Athlete Creators & Celebrities,432800.0,instagram,norway,False,2024,Sports,MAPPED
13,Fariba Rahimi @faribarahimiofficial,1400000.0,0.13,Norway,Fashion and Accessories,415000.0,instagram,norway,False,2024,Beauty&Fashion,MAPPED
14,Sigurd Vedal @sigurd.vedal,1400000.0,0.21,Norway,Upskilling Finance,412000.0,instagram,norway,False,2024,Knowledge&Info,MAPPED
15,Marcus & Martinus ♪ @marcusandmartinus,1300000.0,1.48,Norway,Entertainment and Music Music Singer,400800.0,instagram,norway,False,2024,Music,MAPPED
16,Leon Gillies Mannes @leonstreetskills,1300000.0,5.56,Norway,Sports,400400.0,instagram,norway,False,2024,Sports,MAPPED
17,𝐓𝐨𝐦𝐚𝐬𝐳 𝐎𝐬𝐰𝐢𝐞𝐜𝐢𝐧𝐬𝐤𝐢 @tomasz_oswiecinski_official,1300000.0,1.24,Norway,Pets Outdoor Activity Fashion and Accessories Actors,398900.0,instagram,norway,False,2024,Sports,MAPPED
18,Espen Hatleskog @pilotviking,1300000.0,1.36,Norway,Outdoor Activity Travel Adventure Nature & Outdoors,386400.0,instagram,norway,False,2024,Sports,MAPPED
19,❤️FASHIONFORALL❤️ @fashionforall,1100000.0,0.1,Norway,Fashion and Accessories Photography Lifestyle Styling,331500.0,instagram,norway,False,2024,Beauty&Fashion,MAPPED
20,Even Tryggstrand @eventyr,989700.0,0.75,Norway,Outdoor Activity Travel Adventure Personal Blog,296900.0,instagram,norway,False,2024,Sports,MAPPED
21,🎻 ALEXANDER RYBAK 🎻 @rybakofficial,930200.0,1.61,Norway,Entertainment and Music,279000.0,instagram,norway,False,2024,Music,MAPPED
22,Lucas Casanova | Budismo Laico & Trauma @lucas.casanova.yoga,880000.0,1.5,Norway,Books Upskilling Fitness and Health,264000.0,instagram,norway,False,2024,Sports,MAPPED
23,Thomas Hayes @thohay,843700.0,3.52,Norway,Fashion and Accessories,253100.0,instagram,norway,False,2024,Beauty&Fashion,MAPPED
24,Ada Stolsmo Hegerberg @ahegerberg,839800.0,0.87,Norway,Sports Soccer,251900.0,instagram,norway,False,2024,Sports,MAPPED
25,Sondre Eriksen Hensema @itseriksen,820100.0,7.92,Norway,Travel Food Landscaping,246000.0,instagram,norway,False,2024,Lifestyle,MAPPED
26,Vegar Landsverk @funnywhenitswrong,811400.0,0.46,Norway,,243400.0,instagram,norway,False,2024,,
