rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Alan Walker @UCJrOtniJ0-NWz37R30urifQ,42400000.0,,Norway,,12700000.0,youtube,norway,False,2024,,
2,Soothing Relaxation @UCjzHeG1KWoonmf9d5KBvSiw,10000000.0,,Norway,Music,3000000.0,youtube,norway,False,2024,Music,MAPPED
3,AURORA @UCNjHgaLpdy1IMNK57pYiKiQ,4300000.0,0.2,النرويج,,1300000.0,youtube,norway,False,2024,,
4,pellekofficial @UCtXuWXsd7TYXwX2ZNLXfojg,3900000.0,1.0,النرويج,,1200000.0,youtube,norway,False,2024,,
5,Dani @UCIabPXjvT5BVTxRDPCBBOOQ,3400000.0,14.7,النرويج,,1000000.0,youtube,norway,False,2024,,
6,Marcus & Martinus @UCRUmSbfoolI9b8iRyrGqFUw,3300000.0,0.1,النرويج,موسيقى,993000.0,youtube,norway,False,2024,UNMAPPED,UNMAPPED
7,Isawi @UCwHagdbGVi-B-DSBFMgiIkA,2800000.0,,النرويج,,849000.0,youtube,norway,False,2024,,
8,K-391 @UC1XoTfl_ctHKoEbe64yUC_g,2500000.0,,النرويج,,735000.0,youtube,norway,False,2024,,
9,discovery plus Norge @UCYM3pKj9tFQOXc2XcJmj8Vg,2100000.0,,النرويج,,633000.0,youtube,norway,False,2024,,
10,MrSavage @UCmwRAiAX6NDvlboBfZKr9hQ,2000000.0,0.3,النرويج,,594000.0,youtube,norway,False,2024,,
11,Being Artistic @UC0E_jcP7H5Wi1ZYJ82G-RWg,1500000.0,,النرويج,,462000.0,youtube,norway,False,2024,,
12,Nerdforge @UCggHsHce2n3vvbJf_8YKrMA,1500000.0,4.0,النرويج,,453000.0,youtube,norway,False,2024,,
13,apetor @UCHnK83dqyPvFo6GX0rCwn8A,1400000.0,6.6,النرويج,,411000.0,youtube,norway,False,2024,,
14,Dani2 @UCzmtKpQQyZ-9ZNY_bbFtVHw,1200000.0,6.5,النرويج,,369000.0,youtube,norway,False,2024,,
15,AlexanderRybakVideo @UC_KZSgBFgavi5JqxQ1XhT_w,1200000.0,0.3,النرويج,,366000.0,youtube,norway,False,2024,,
16,BEAMNG MADNESS @UCO7SyepWR3VTyHwByla3o_w,1100000.0,,النرويج,,330000.0,youtube,norway,False,2024,,
17,Isawi GG @UCkuo8lwclhlj0l1LHscGiPw,1000000.0,,النرويج,,312000.0,youtube,norway,False,2024,,
18,Tempex @UCT8BC740tRFcnQLNtjLI-LA,1000000.0,,النرويج,,312000.0,youtube,norway,False,2024,,
19,Simplicity @UCBBj-A2EqL5pNApsLhoeM6w,1000000.0,,النرويج,,303000.0,youtube,norway,False,2024,,
20,ZenLifeRelax @UCcqmIur-b51hdIByTPIfifw,992000.0,,النرويج,,297600.0,youtube,norway,False,2024,,
21,Astrid S @UCRWkUp26A4TFJQrjhkn-Vuw,991000.0,0.9,النرويج,,297300.0,youtube,norway,False,2024,,
22,Qalandar Production @UCmpWJIVtSVnopLNa1WLpI2Q,988000.0,2.9,النرويج,مشهور,296400.0,youtube,norway,False,2024,UNMAPPED,UNMAPPED
23,THAIBEATS @UC9J9cI0Us_zUkpcUJxIMlew,984000.0,,النرويج,,295200.0,youtube,norway,False,2024,,
24,NRK P3 @UCPYnnGAmiaEngtWmZNNShmA,983000.0,,النرويج,,294900.0,youtube,norway,False,2024,,
25,Wirtual @UCt-HTfaCUz8QIoknqyXKYiw,969000.0,8.0,النرويج,ألعاب فيديو,290700.0,youtube,norway,False,2024,UNMAPPED,UNMAPPED
26,kazzaz @UC8fX_3UE-5fV_3NNeWDQtzQ,947000.0,,النرويج,,284100.0,youtube,norway,False,2024,,
27,TS Knowledge TV @UCueea2VsoYKqOYdhIb94eRw,914000.0,,النرويج,,274200.0,youtube,norway,False,2024,,
28,Magnus Carlsen @UCbdcpQ5uPPymv7Ea0nnFfOw,794000.0,,النرويج,,238200.0,youtube,norway,False,2024,,
29,Box Yourself @UC2mc6Z1HK2C1gaWbm-9n8Ww,768000.0,,النرويج,,230400.0,youtube,norway,False,2024,,
30,Miss DeepShine @UC8KCGnqoW1SXM00dwEHCPIw,747000.0,,النرويج,موسيقى,224100.0,youtube,norway,False,2024,UNMAPPED,UNMAPPED
31,أحمد علاو ahmad elaw @UCPP4_QCiYh6R4-75qRYaWdg,716000.0,0.2,النرويج,,214800.0,youtube,norway,False,2024,,
32,Dunkee @UCykjD0W8hCQbuO7mEHPgw-A,698000.0,16.5,النرويج,,209400.0,youtube,norway,False,2024,,
33,Thaís Chagas @UCxYqdYKUNyuKt2pJMIt4P7g,673000.0,1.6,النرويج,,201900.0,youtube,norway,False,2024,,
34,ShibeNation @UC-xjitW_J39_Q1ure2HlJew,662000.0,0.2,النرويج,,198600.0,youtube,norway,False,2024,,
35,wardruna @UCoK2X3nnuG7ug-Kk75r5rJQ,628000.0,4.7,النرويج,موسيقى,188400.0,youtube,norway,False,2024,UNMAPPED,UNMAPPED
36,affectaed @UCDxtUPOEpEODr9WMBiJHGXA,625000.0,30.3,النرويج,,187500.0,youtube,norway,False,2024,,
37,Ethereal Music @UCxEYzhzrCu3k6Ur2eX_fYNg,600000.0,,النرويج,,180000.0,youtube,norway,False,2024,,
38,MarioZenium @UCtyokkUwxwy0ef1f6TLYFLA,597000.0,,النرويج,,179100.0,youtube,norway,False,2024,,
39,2SANDER7 @UCPKygO_jZ0eITGwO9mSV-Og,586000.0,,النرويج,,175800.0,youtube,norway,False,2024,,
40,Shadhin @UCKV6KUmS1swPZ2t-BhDFqZw,577000.0,,النرويج,,173100.0,youtube,norway,False,2024,,
41,Asbjorn Olsen-Berg Bushcraft @UC7IrzlbcylADmO_TGrWhLJw,569000.0,2.1,النرويج,,170700.0,youtube,norway,False,2024,,
42,ZNac @UCrK7Hn84N6nPuq3tRl3xb_g,559000.0,0.4,النرويج,,167700.0,youtube,norway,False,2024,,
43,elena864 @UCRO1c-YgC9Yb0FGr3ORODwg,555000.0,,النرويج,,166500.0,youtube,norway,False,2024,,
44,Bjorn Andreas Bull-Hansen @UC95m7aBYo7wgNCoHb1ojQYw,529000.0,0.9,النرويج,,158700.0,youtube,norway,False,2024,,
45,Back Guy @UCwlxDWqcPnozHVQMzTeg4SQ,507000.0,,النرويج,,152100.0,youtube,norway,False,2024,,
46,Sardor Domla @sardordomla,506000.0,,النرويج,,151800.0,youtube,norway,False,2024,,
47,Cecilia Blomdahl @UCnFhQlaQIqs6vw_mmG0bRww,506000.0,,النرويج,,151800.0,youtube,norway,False,2024,,
48,Mellow @UC0paWv2Ylkz32P-WCGARDLg,501000.0,0.2,النرويج,,150300.0,youtube,norway,False,2024,,
49,Vexento @UCYZ9rknEmE4R1J_HBJ2yBlQ,484000.0,0.8,النرويج,موسيقى,145200.0,youtube,norway,False,2024,UNMAPPED,UNMAPPED
50,Gopher @UC1CSCMwaDubQ4rcYCpX40Eg,483000.0,0.1,النرويج,ألعاب فيديو,144900.0,youtube,norway,False,2024,UNMAPPED,UNMAPPED
51,Sunny @UCTninj9qwE4VFT6yiJ_j3NA,469000.0,,النرويج,,140700.0,youtube,norway,False,2024,,
52,Polyfjord @UC1MmrnDaPnNa55twYBiH4NA,461000.0,1.2,النرويج,,138300.0,youtube,norway,False,2024,,
53,Anton S Live @UCpQWh9JggVV9ZKz7IWrHAEA,458000.0,,النرويج,,137400.0,youtube,norway,False,2024,,
54,RailCowGirl @UCj-Xm8j6WBgKY8OG7s9r2vQ,457000.0,,النرويج,,137100.0,youtube,norway,False,2024,,
55,Boomerang Norge @UC86A9CDwx_4aqFMJPOd_n_Q,442000.0,,النرويج,,132600.0,youtube,norway,False,2024,,
56,Emma Ellingsen @UCpdmlPZMeDCqhGqzM4Zd1ww,431000.0,1.3,النرويج,,129300.00000000001,youtube,norway,False,2024,,
57,Dagbladet @UCk5pvsyZJoYJBd7_oFPTlRQ,426000.0,,النرويج,,127800.0,youtube,norway,False,2024,,
58,Alternate @UCDL-lqf51afYoUldSvZMTOA,415000.0,0.4,النرويج,,124500.0,youtube,norway,False,2024,,
59,Madcon official @UCV94szan7U2Ug8qJAdHjC5w,413000.0,0.2,النرويج,,123900.0,youtube,norway,False,2024,,
60,Spirit Tribe Awakening @UC961ko9mCxvoHaeMUJb4Lfg,408000.0,,النرويج,,122400.0,youtube,norway,False,2024,,
61,Milkgore @UCY0-fBwD72-W4w3MisVCVFQ,404000.0,1.1,النرويج,,121200.0,youtube,norway,False,2024,,
62,Garaad TV @UCaxDl0VZHy_JxrJ1Q0D2dVA,395000.0,,النرويج,,118500.0,youtube,norway,False,2024,,
63,Qulasada Filimada @UC-o9P-KzoA7oDIcHq7WUNbw,394000.0,1.4,النرويج,,118200.0,youtube,norway,False,2024,,
64,Mobile Arcade @UChHZWnj7E6EzQPhlp62U2Gw,389000.0,,النرويج,,116700.0,youtube,norway,False,2024,,
65,Linko @UCm5VWa6hIDW88dDo-bmnZxQ,377000.0,0.9,النرويج,,113100.0,youtube,norway,False,2024,,
66,LemaitreMusic @UCux_hBqKE0nh7xLbWsYARHw,372000.0,0.1,النرويج,,111600.0,youtube,norway,False,2024,,
67,ZourChip @UCyQ0PYhw4G-lF7EKMbwsw3g,371000.0,,النرويج,,111300.0,youtube,norway,False,2024,,
68,Alexandre Chappel @UCe1Aj6VEO299Yq4WkXdoD3Q,368000.0,,النرويج,,110400.0,youtube,norway,False,2024,,
69,boy pablo @UCeA2KEyAm5WOG-cLD8jEYfw,367000.0,1.4,النرويج,,110100.0,youtube,norway,False,2024,,
70,Nordavind @UCs3YoWL4OH1wJrrIsf6juzA,358000.0,,النرويج,,107400.0,youtube,norway,False,2024,,
