rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Ayeza Khan @ayezakhan.ak,13800000.0,0.34,Pakistan,Entertainment and Music Modeling,4099999.9999999995,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
2,Aiman Muneeb @aimankhan.official,12000000.0,0.9,Pakistan,Celebrity,3600000.0,instagram,pakistan,False,2024,Entertainment,MAPPED
3,Hania Aamir 哈尼亚·阿米尔 @haniaheheofficial,12000000.0,4.67,Pakistan,Art Entertainment and Music Modeling,3600000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
4,Mrs.Falak @sarahkhanofficial,11600000.0,1.41,Pakistan,Entertainment and Music Celebrity Actors Modeling,3500000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
5,IQRA AZIZ HUSSAIN🇵🇰 @iiqraaziz,10800000.0,2.85,Pakistan,Art Music,3200000.0,instagram,pakistan,False,2024,Music,MAPPED
6,Mahira Khan @mahirahkhan,10300000.0,1.28,Pakistan,Entertainment and Music Fashion and Accessories,3100000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
7,Sajal Ali @sajalaly,9800000.0,1.8,Pakistan,Acting and Drama Celebrity Modeling Actors,2900000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
8,Imran Khan @imrankhan.pti,8700000.0,1.84,Pakistan,Education Founder,2600000.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
9,Imran Abbas @imranabbas.official,8400000.0,0.4,Pakistan,Acting and Drama Celebrity Modeling Actors,2500000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
10,𝐌𝐔𝐍𝐌𝐔𝐍 𝐃𝐔𝐓𝐓𝐀 🧚🏻‍♀️🦋 @mmoonstar,8100000.0,2.9,Pakistan,Animals Travel Actors,2400000.0,instagram,pakistan,False,2024,Entertainment,MAPPED
11,Feroze Khan Abu Sultan 🇵🇰 @ferozekhan,8000000.0,2.34,Pakistan,Fashion Modeling,2400000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
12,Hira Mani @hiramaniofficial,7800000.0,1.29,Pakistan,Music,2400000.0,instagram,pakistan,False,2024,Music,MAPPED
13,Maya Ali @official_mayaali,7500000.0,1.0,Pakistan,Entertainment and Music Celebrity Modeling Actors,2300000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
14,Danish Taimoor @danishtaimoor16,7400000.0,0.14,Pakistan,Celebrity Food,2200000.0,instagram,pakistan,False,2024,Entertainment,MAPPED
15,Humayun Saeed @saeedhumayun,7100000.0,0.44,Pakistan,Entertainment and Music Music Actors,2100000.0,instagram,pakistan,False,2024,Music,MAPPED
16,Neelam Muneer Khan @neelammuneerkhan,7000000.0,1.71,Pakistan,TV Shows Modeling Photography Fashion,2100000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
17,Zahrah S Khan @zarakhan,7000000.0,1.42,Pakistan,Acting and Drama Fitness and Health Romance and Wedding Celebrity,2100000.0,instagram,pakistan,False,2024,Sports,MAPPED
18,URWA TUL WUSQUA HOCANE @urwatistic,6100000.0,0.9,Pakistan,Acting and Drama Celebrity Modeling,1800000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
19,Zara Noor Abbas Siddiqui @zaranoorabbas.official,6000000.0,1.12,Pakistan,Entertainment and Music Lifestyle,1800000.0,instagram,pakistan,False,2024,Music,MAPPED
20,Ali Zafar @ali_zafar,5900000.0,0.49,Pakistan,Entertainment and Music Arts and Crafts Singer Music,1800000.0,instagram,pakistan,False,2024,Music,MAPPED
21,Ayesha M Omar @ayesha.m.omar,5500000.0,0.08,Pakistan,Art Celebrity Music Modeling,1700000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
22,Mehwish Hayat @mehwishhayatofficial,5200000.0,1.3,Pakistan,Arts and Crafts Entertainment and Music Actors,1600000.0,instagram,pakistan,False,2024,Music,MAPPED
23,Jannat Mirza @jannatmirza_,5100000.0,2.33,Pakistan,Entertainment and Music Business and Finance,1500000.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
24,Rabeeca Khan @rabeecakhan,5000000.0,1.32,Pakistan,Entertainment and Music,1500000.0,instagram,pakistan,False,2024,Music,MAPPED
25,PAK.KOM @arya.saloka,5000000.0,1.26,Pakistan,Beauty and Self Care Entertainment and Music,1500000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
26,Shavkat Mirziyoyev @mirziyoyev_sh,4700000.0,0.26,Pakistan,,1400000.0,instagram,pakistan,False,2024,,
27,Muneeb Butt @muneeb_butt,4600000.0,3.26,Pakistan,Acting and Drama Celebrity Modeling,1400000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
28,Aliza shah @alizehshahofficial,4400000.0,1.76,Pakistan,Celebrity TV Shows Styling Modeling,1300000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
29,Shahid Afridi @safridiofficial,4200000.0,3.77,Pakistan,Sports Modeling,1300000.0,instagram,pakistan,False,2024,Sports,MAPPED
30,Momina Mustehsan @mominamustehsan,4200000.0,2.36,Pakistan,Education Entertainment and Music News Moms,1200000.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
31,Farhan Saeed @farhan_saeed,4000000.0,1.29,Pakistan,Entertainment and Music Modeling Music Actors,1200000.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
32,Areeka Haq @areeka__haq,3800000.0,4.21,Pakistan,,1100000.0,instagram,pakistan,False,2024,,
33,Wasim Badami @waseembadami_official,3700000.0,0.5,Pakistan,,1100000.0,instagram,pakistan,False,2024,,
34,ZaidAliT @zaidalit,3400000.0,9.15,Pakistan,Celebrity Lifestyle Actors,1000000.0,instagram,pakistan,False,2024,Entertainment,MAPPED
35,Nimra Khan @nimrakhan_official,3100000.0,0.27,Pakistan,Entertainment and Music Celebrity Modeling,933100.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
36,Naimal Khawar Abbasi @naimalkhawarkhan,3100000.0,1.3,Pakistan,Arts and Crafts,919900.0,instagram,pakistan,False,2024,Lifestyle,MAPPED
37,Fahad Mustafa @mustafafahad26,3000000.0,0.6,Pakistan,Entertainment and Music Modeling,913900.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
38,Momal Sheikh @momal15,3000000.0,0.49,Pakistan,Celebrity Moms Modeling,908200.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
39,Sonya Hussyn Bukharee @sonyahussyn,3000000.0,1.67,Pakistan,Entertainment and Music Education Animals Celebrity,905200.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
40,ALISHBAH ANJUM @alishbahannjum,3000000.0,2.91,Pakistan,,899600.0,instagram,pakistan,False,2024,,
41,Hamza Zaidi @hamzazaidi97,3000000.0,2.42,Pakistan,Fashion and Accessories Soccer Animals & Pets Design,890200.0,instagram,pakistan,False,2024,Sports,MAPPED
42,𝐑𝐢𝐳𝐚 𝐀𝐟𝐫𝐞𝐞𝐧 ( ريزا افرين) 💫 @rizaafreen,3000000.0,1.3,Pakistan,,889600.0,instagram,pakistan,False,2024,,
43,Ahad Raza Mir @ahadrazamir,3000000.0,6.28,Pakistan,Celebrity Modeling Music Singer,885800.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
44,Saboor Aly @sabooraly,2900000.0,3.0,Pakistan,Modeling Music Entertainment,857500.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
45,Hareem Farooq @hareemfarooq,2800000.0,1.9,Pakistan,Actors,853400.0,instagram,pakistan,False,2024,Entertainment,MAPPED
46,Asim Azhar @asimazhar,2800000.0,2.78,Pakistan,Entertainment and Music Music Singer Modeling,844900.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
47,Ali “SypherPK” Hassan @sypherpk,2800000.0,1.06,Pakistan,Games Entertainment and Music Video Gaming Dogs,844200.0,instagram,pakistan,False,2024,Tech&Gaming,MAPPED
48,Pakistan Cricket @therealpcb,2800000.0,1.8,Pakistan,Sports Cricket,842200.0,instagram,pakistan,False,2024,Sports,MAPPED
49,𝑫𝒂𝒍𝒊𝒅𝒂 𝑲𝒉𝒂𝒍𝒊𝒍 @dalidakhalilofficial,2700000.0,2.13,Pakistan,Arts and Crafts Acting and Drama Celebrity Music,814400.0,instagram,pakistan,False,2024,Music,MAPPED
50,Kunwar Moeez Khan @kunwarmoeez,2700000.0,10.5,Pakistan,,796800.0,instagram,pakistan,False,2024,,
51,Malala Yousafzai @malala,2600000.0,4.6,Pakistan,Education Cricket,789900.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
52,Nadia Khan @outstylewithnadia,2300000.0,0.12,Pakistan,Fashion and Accessories Parenting Business,697700.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
53,𝐌𝐀𝐑𝐢𝐘𝐀 𝐊𝐎𝐙𝐀𝐃 @mariya.kozad,2300000.0,0.14,Pakistan,Fashion and Accessories,692200.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
54,Sanam Jung @jung_sanam,2300000.0,0.33,Pakistan,Celebrity Modeling,681900.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
55,Muniba Mazari @muniba.mazari,2200000.0,1.0,Pakistan,Fashion Actors,652700.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
56,Nasim Shah @inaseemshah,2000000.0,14.2,Pakistan,Sports,607600.0,instagram,pakistan,False,2024,Sports,MAPPED
57,Veena Malik @theveenamalik,2000000.0,0.19,Pakistan,Fashion and Accessories,605600.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
58,Junaid Khan @calljunaidkhan,2000000.0,1.41,Pakistan,Entertainment and Music Acting and Drama Celebrity Modeling,604800.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
59,Mikaal Zulfiqar @mikaalzulfiqar,2000000.0,0.07,Pakistan,Finance Entertainment and Music Celebrity Actors,598500.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
60,Tariq Jamil @tariqjamilofficial,2000000.0,7.3,Pakistan,Education,593000.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
61,Arslan Aslam @arslanaslamofficial,2000000.0,1.55,Pakistan,Entertainment and Music,590100.0,instagram,pakistan,False,2024,Music,MAPPED
62,Food Fusion @foodfusionpk,1900000.0,0.12,Pakistan,Food Food and Drink Events Cooking,578600.0,instagram,pakistan,False,2024,Entertainment,MAPPED
63,Sarwat Gilani 🇵🇰 @sarwatg,1900000.0,0.21,Pakistan,Business and Finance Art Parenting Modeling,567400.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
64,Kainat Faisal @kainatfaisal.kf,1800000.0,1.01,Pakistan,Fashion and Accessories,549800.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
65,Dananeer | 🇵🇰🌻 @dananeerr,1800000.0,5.5,Pakistan,,547100.0,instagram,pakistan,False,2024,,
66,Sahir Ali Bagga @thesahiralibagga_official,1800000.0,0.08,Pakistan,Entertainment and Music,531300.0,instagram,pakistan,False,2024,Music,MAPPED
67,Dr. Shaista Lodhi @iamshaistalodhi,1800000.0,0.39,Pakistan,Beauty and Self Care Modeling Actors Entertainment,527400.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
68,𝗨𝗿𝗱𝘂 𝗣𝗼𝗲𝘁𝗿𝘆 𝗣𝗼𝗶𝗻𝘁 @urdupoetrypoint,1700000.0,0.17,Pakistan,Fashion,510400.0,instagram,pakistan,False,2024,Beauty&Fashion,MAPPED
69,Shoaib Akhtar @imshoaibakhtar,1700000.0,2.31,Pakistan,Sports,495400.0,instagram,pakistan,False,2024,Sports,MAPPED
70,Muhammad Anas Shahid ®️ @anas_shahid_official,1600000.0,5.02,Pakistan,Fitness and Health Business and Finance Training Coaching,490800.0,instagram,pakistan,False,2024,Sports,MAPPED
71,Nida Yasir @itsnidayasir.official,1600000.0,0.8,Pakistan,,490000.0,instagram,pakistan,False,2024,,
72,Government of Pakistan @govtofpakistan,1600000.0,0.01,Pakistan,Education,481800.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
73,Hamid Shaikh @hamids9898,1600000.0,0.07,Pakistan,Travel Business and Finance Actors Business,476100.0,instagram,pakistan,False,2024,Knowledge&Info,MAPPED
