rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Yamila Ruíz @yamilaruiz_py,4500000.0,,Paraguay,,1400000.0,tiktok,paraguay,False,2024,,
2,Sandra Ramirez @sandrit95,897900.0,0.2,Paraguay,,269400.0,tiktok,paraguay,False,2024,,
3,WLWPARAGUAY @wlwparaguay,839800.0,,Paraguay,,251900.0,tiktok,paraguay,False,2024,,
4,La Sole'i 🐒 @shuliriquelme22,831700.0,,Paraguay,,249500.0,tiktok,paraguay,False,2024,,
5,Ayealfonsopy @ayealfonsopy,688800.0,,Paraguay,,206600.0,tiktok,paraguay,False,2024,,
6,Ariel Gomez @arielgomezpy,678500.0,0.9,Paraguay,Arts and Crafts,203600.0,tiktok,paraguay,False,2024,Lifestyle,MAPPED
7,Ajenjo @celia.ortiz69,642700.0,,Paraguay,,192800.0,tiktok,paraguay,False,2024,,
8,Paola Revelli @paolarevelli,630800.0,,Paraguay,,189200.0,tiktok,paraguay,False,2024,,
9,Mónica Leguizamón @monileguiii,619700.0,,Paraguay,,185900.0,tiktok,paraguay,False,2024,,
10,Gaby Ovelar @gabyovemed,610300.0,,Paraguay,,183100.0,tiktok,paraguay,False,2024,,
11,Valle Sosa732 @vallesosa23,567600.0,,Paraguay,,170300.0,tiktok,paraguay,False,2024,,
12,Lᴀᴜᴛʏ Arce @lauty_arce,564100.0,,Paraguay,,169200.0,tiktok,paraguay,False,2024,,
13,lizita dos santos554 @lizitadossantos55,560600.0,,Paraguay,,168200.0,tiktok,paraguay,False,2024,,
14,Chennytv @charamtv,539600.0,,Paraguay,,161900.0,tiktok,paraguay,False,2024,,
15,apia.py @apia.py,534200.0,,Paraguay,,160300.0,tiktok,paraguay,False,2024,,
16,ANA MARIA POLO ❤ @casocerrad2,512000.0,,Paraguay,,153600.0,tiktok,paraguay,False,2024,,
17,Felipe mi flaco💘✨ @felipemilugarseguro,479200.0,,Paraguay,,143800.0,tiktok,paraguay,False,2024,,
18,Andersonic @andersonic_play,477700.0,,Paraguay,Entertainment and Music Games Funny,143300.0,tiktok,paraguay,False,2024,Tech&Gaming,MAPPED
19,Nicolasa rikelme oficial @nicol.rikelme,461000.0,,Paraguay,,138300.0,tiktok,paraguay,False,2024,,
20,Ruth Aide Alfonzo @ruthaidealfonzo,459500.0,,Paraguay,Beauty and Self Care,137900.0,tiktok,paraguay,False,2024,Beauty&Fashion,MAPPED
21,tamiigonnz_ @tamiigonnz_,459200.0,,Paraguay,,137800.0,tiktok,paraguay,False,2024,,
22,nathanseastrand @nathanseastrand,430900.0,,Paraguay,,129300.00000000001,tiktok,paraguay,False,2024,,
