rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Hector19Aquino @UCkXd72Un0XaReuatMc52DEA,2500000.0,,Paraguay,,747000.0,youtube,paraguay,False,2024,,
2,elkoalah @UCxagjwvR5NhVf9Pu6grwBWg,1100000.0,0.1,Paraguay,,324000.0,youtube,paraguay,False,2024,,
3,Paul Landó @UCeI3VMfMWQQspYVuDzPrung,962000.0,,Paraguay,,288600.0,youtube,paraguay,False,2024,,
4,CONMEBOL Libertadores @UClgFf9mS1mZI2D_vo-ZTpmQ,563000.0,,Paraguay,,168900.0,youtube,paraguay,False,2024,,
5,AleVera Oficial @UC46bOtPQrSPOhQCjWK9fzgw,552000.0,,Paraguay,,165600.0,youtube,paraguay,False,2024,,
6,Super Xpresiones @UCHLNuUKHcQb6DE6cr9OO-ng,305000.0,0.1,Paraguay,,91500.0,youtube,paraguay,False,2024,,
7,ABC TV Paraguay @UCEklbFbPoMaV1ciEb-0mAxg,286000.0,,Paraguay,,85800.0,youtube,paraguay,False,2024,,
8,Entre Polkas y Chamamé / Leandro Samuel Benitez ♪♫ @UCznWI-QW5-vZdFJGXqDApNA,286000.0,,Paraguay,Music,85800.0,youtube,paraguay,False,2024,Music,MAPPED
9,TelefuturoInfo @UC05nHifnRWxoJkzgAP-sffg,276000.0,,Paraguay,,82800.0,youtube,paraguay,False,2024,,
10,Cero904 @UCLfIH9x1JVSTVUWA0ZBvT7w,262000.0,,Paraguay,,78600.0,youtube,paraguay,False,2024,,
11,Terere Jere @UCmn3l6kDY-LnUq__vhkblaw,223000.0,,Paraguay,,66900.0,youtube,paraguay,False,2024,,
12,TOPVIDEO MAKER @UCDn_NS0OMacgZLJj8_8QA-A,218000.0,,Paraguay,,65400.00000000001,youtube,paraguay,False,2024,,
13,CONMEBOL Sudamericana @UCw7eDYHnA-2PIr-qIldYeBQ,205000.0,,Paraguay,,61500.0,youtube,paraguay,False,2024,,
14,Telefuturo Paraguay @UCtM-kY8-zx8zzsrWKVUffyA,173000.0,,Paraguay,,51900.0,youtube,paraguay,False,2024,,
15,Gina Ciccone @UC0hRqIfmoSSmVr4NTexZAMQ,164000.0,0.3,Paraguay,,49200.0,youtube,paraguay,False,2024,,
16,C9N Paraguay @UC2uoT9_KgHuBzoYX5JepHEA,156000.0,,Paraguay,,46800.0,youtube,paraguay,False,2024,,
17,Belén Fleitas @UC8kOR2VZWsvN9zsKKUXrWjA,148000.0,14.0,Paraguay,,44400.0,youtube,paraguay,False,2024,,
18,ALEX EXPRESS @ALEXEXPRESSOK,148000.0,,Paraguay,,44400.0,youtube,paraguay,False,2024,,
19,ARIEL 7075 @UCzJFitkdUDs-6LeHbg395wQ,143000.0,,Paraguay,,42900.0,youtube,paraguay,False,2024,,
20,Compras Paraguai @UC7hQ8CvvXO1xZVmE5Nrk2CA,139000.0,0.1,Paraguay,,41700.0,youtube,paraguay,False,2024,,
21,Sieg Kun Music @UCr-CkV5iFkoe5ckgvp-iIcQ,126000.0,0.7,Paraguay,,37800.0,youtube,paraguay,False,2024,,
22,Desoxigenados @UCsmyigRzEKngzTQ02AG73Bg,124000.0,1.6,Paraguay,,37200.0,youtube,paraguay,False,2024,,
23,awooP4H @UCy-_GNTN2LnzOFZ1JV5VnKA,121000.0,,Paraguay,,36300.0,youtube,paraguay,False,2024,,
24,Karai Pombero @UCY3d87YoK_yXD4nSFEtiT9g,116000.0,1.3,Paraguay,,34800.0,youtube,paraguay,False,2024,,
25,КБ Морозов @UCNpuAcY2xzZ_VU-t5Vj5Bnw,105000.0,,Paraguay,,31500.0,youtube,paraguay,False,2024,,
26,Pati Ginzo @UCs--ZMNeH8kZXPCzlDymtbA,90200.0,,Paraguay,,27100.0,youtube,paraguay,False,2024,,
27,Trece @UCbgzWL_vNk3K2vcpk2udhLA,88200.0,,Paraguay,,26500.0,youtube,paraguay,False,2024,,
28,En el Horno con Peta @UCK8UHToqFOxc_JM9oaSI0BA,87500.0,0.1,Paraguay,,26300.0,youtube,paraguay,False,2024,,
29,KAESE @UCpw6R4cgkq_0bFsyefd8B8w,84300.0,,Paraguay,,25300.0,youtube,paraguay,False,2024,,
