rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,L U C I A N A 🦋 F U S T E R @lucianafusterg,5100000.0,0.65,Peru,Fashion and Accessories Actors,1500000.0,instagram,peru,False,2024,Beauty&Fashion,MAPPED
2,Rosangela Espinoza @rosangelaeslo,4500000.0,0.34,Peru,Fashion and Accessories Arts and Crafts Entertainment and Music Funny,1300000.0,instagram,peru,False,2024,Beauty&Fashion,MAPPED
3,Maria Pia Copello @piacopello,4400000.0,0.37,Peru,Entertainment and Music Actors,1300000.0,instagram,peru,False,2024,Music,MAPPED
4,Angie Arizaga @angiearizaga,4300000.0,0.45,Peru,Entertainment and Music Celebrity Actors,1300000.0,instagram,peru,False,2024,Music,MAPPED
5,JAZMIN PINEDO @jazminpinedo,4300000.0,0.52,Peru,Entertainment and Music Television Actors,1300000.0,instagram,peru,False,2024,Music,MAPPED
6,JEFFERSON A. FARFAN GUADALUPE @jefferson_farfan_oficial,4099999.9999999995,0.88,Peru,Sports Actors,1200000.0,instagram,peru,False,2024,Sports,MAPPED
7,Alejandra Baigorria A. @alejandrabaigorria,4000000.0,0.47,Peru,Fashion and Accessories Beauty and Self Care TV Host Actors,1200000.0,instagram,peru,False,2024,Beauty&Fashion,MAPPED
8,Natalie Vertiz @msperu,3700000.0,0.74,Peru,Fashion and Accessories,1100000.0,instagram,peru,False,2024,Beauty&Fashion,MAPPED
9,ISABELA🇵🇪🇺🇸 @isabelamerced,3700000.0,4.29,Peru,,1100000.0,instagram,peru,False,2024,,
10,𝘒𝘈𝘙𝘌𝘕 𝘚𝘊𝘏𝘞𝘈𝘙𝘡 @karenschwarzespinoza,3600000.0,0.21,Peru,Arts and Crafts Entertainment and Music Education Actors,1100000.0,instagram,peru,False,2024,Knowledge&Info,MAPPED
11,Leslie Shaw @leslieshaw,3400000.0,0.34,Peru,Arts and Crafts Entertainment and Music,1000000.0,instagram,peru,False,2024,Music,MAPPED
12,Brunella Horna 💕 @brunehorna,3400000.0,1.55,Peru,Entertainment and Music Fashion and Accessories Business and Finance Lifestyle,1000000.0,instagram,peru,False,2024,Beauty&Fashion,MAPPED
