rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Drawblogs @UCkuPobJMx7DPUdwlVo1TFfA,14500000.0,,Peru,,4400000.0,youtube,peru,False,2024,,
2,Golemcito Games @UC6Ij1c74Gm-TicYZsKL1FAw,10900000.0,,Peru,,3300000.0,youtube,peru,False,2024,,
3,América tv - Novels @UCGGry4kGWZUqIfG6LLNhOmg,5700000.0,,Peru,,1700000.0,youtube,peru,False,2024,,
4,Luay @UCWjgg6SMQiSQY8cUjCm2skg,5600000.0,,Peru,,1700000.0,youtube,peru,False,2024,,
5,whatthechic @UC7ws6SJL00PEUYEk3txx2Ng,5400000.0,,Peru,,1600000.0,youtube,peru,False,2024,,
6,Latina.pe @UC3rDtLrcgr3JS3_3JOW4BAw,4900000.0,,Peru,,1500000.0,youtube,peru,False,2024,,
7,whatdafaqshow @UCtJkNv0rghEOOiz87xT4C5A,4900000.0,0.1,Peru,,1500000.0,youtube,peru,False,2024,,
8,Memes Random @UCAAY6ZLN2CBRXvL-0eEmD2A,4600000.0,,Peru,,1400000.0,youtube,peru,False,2024,,
9,TrapUrbanoTV @UCuan9ktW5YOp-QiYVZhj64w,3900000.0,,Peru,,1200000.0,youtube,peru,False,2024,,
10,RoxiCake Gamer @UC3t7_hgqy-7pccSWRVaTQIw,3600000.0,2.6,Peru,,1100000.0,youtube,peru,False,2024,,
11,ElioDt @UCKN-UFOynT8nJp2SXpU9Xgg,3500000.0,,Peru,,1100000.0,youtube,peru,False,2024,,
12,Ricardotaku @UCADPsQ4gT36DgXDB2_-wdeA,3300000.0,1.9,Peru,,996000.0,youtube,peru,False,2024,,
13,Al Fondo hay Sitio - AFHS @UCRFUzVEen4SIFW1pJn0u0nw,3100000.0,,Peru,,942000.0,youtube,peru,False,2024,,
14,Nerdaily @UC5j869htDIpIv9zNW3jK0Jw,3000000.0,,Peru,,912000.0,youtube,peru,False,2024,,
15,Sant @UCz7SWZVdyNbB3YGe64AEeuw,3000000.0,0.1,Peru,,885000.0,youtube,peru,False,2024,,
16,tallermanualperu @UCAs3uELe9BMFvJCd0WP-AQg,2800000.0,,Peru,Fashion,834000.0,youtube,peru,False,2024,Beauty&Fashion,MAPPED
17,EducaBabyTV @UCNi33ipfYhXpSm9sLwyzS8A,2700000.0,,Peru,,810000.0,youtube,peru,False,2024,,
18,HBD - Detodoy Rap @UCtCuk2evpLat7Y-Hx6HCDqQ,2600000.0,0.1,Peru,,765000.0,youtube,peru,False,2024,,
19,Harrix @UCUOvQWNdOMJnJzz4fZXLkyA,2400000.0,0.2,Peru,,720000.0,youtube,peru,False,2024,,
20,Capitan Gato @UCGrB-QOL8gg7ouOJ80hO7Sg,2400000.0,6.5,Peru,,720000.0,youtube,peru,False,2024,,
21,AlecchiMan @UCtRQid0s3Tj1lVB5tbGOb6A,2300000.0,0.9,Peru,,702000.0,youtube,peru,False,2024,,
22,Di EQUISDE @UCKk30EIpXiAyVn6WfwVQF6w,2300000.0,,Peru,,693000.0,youtube,peru,False,2024,,
23,ANIMEMES @UCJWkJWw61WCjVetdQLsFN-w,2300000.0,,Peru,,690000.0,youtube,peru,False,2024,,
24,Pepe El Mago @UCqBAbqbx4q7G5upsptccdPA,2300000.0,0.7,Peru,,687000.0,youtube,peru,False,2024,,
25,Andynsaane @UCF2BD7I7BBphXgCpMBrVL0g,2300000.0,,Peru,,675000.0,youtube,peru,False,2024,,
26,Faraón Love Shady @UCd93aZEa_hA9aj51OOm45sw,2200000.0,15.4,Peru,,666000.0,youtube,peru,False,2024,,
27,Ramix @UCEpkEj45RHLAI-9ra6qluIA,2100000.0,,Peru,,642000.0,youtube,peru,False,2024,,
28,Flutter525 @UChU79FLnClqlRSTSZe3EjNA,2000000.0,,Peru,Celebrity,615000.0,youtube,peru,False,2024,Entertainment,MAPPED
29,Wadatops @UCNDmFX0pZJJf54g8a_g0Hyg,2000000.0,0.1,Peru,,612000.0,youtube,peru,False,2024,,
30,Indie Arts Kenel @UCw6LEqOUioR-Nqq1gTpOIAQ,2000000.0,,Peru,,606000.0,youtube,peru,False,2024,,
