rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,CAROLINE MARIA DERPIENSKI @carolinederpienski,8800000.0,2.56,Poland,Fashion and Accessories Celebrity Parenting Modeling,2600000.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
2,𝗔𝗻𝗻𝗮 𝗟𝗲𝘄𝗮𝗻𝗱𝗼𝘄𝘀𝗸𝗮 @annalewandowskahpba,4500000.0,0.72,Poland,Sports Fitness and Health Food,1400000.0,instagram,poland,False,2024,Sports,MAPPED
3,Anna-Maria Sieklucka @anna_maria.sieklucka,4500000.0,1.52,Poland,Acting and Drama,1400000.0,instagram,poland,False,2024,Entertainment,MAPPED
4,Karol Wiśniewski @frizoluszek,4099999.9999999995,6.67,Poland,Arts and Crafts Marketing and Advertising Actors,1200000.0,instagram,poland,False,2024,Knowledge&Info,MAPPED
5,Wojciech Szczesny @wojciech.szczesny1,3900000.0,2.59,Poland,Pets Soccer,1200000.0,instagram,poland,False,2024,Sports,MAPPED
6,Dahlia Poland @dahliachr,3700000.0,1.93,Poland,Beauty and Self Care family Parenting Moms,1100000.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
7,WERONIKA SOWA @wersow,3600000.0,5.06,Poland,Entertainment and Music News,1100000.0,instagram,poland,False,2024,Knowledge&Info,MAPPED
8,Marcin Dubiel @marcindubiel,2400000.0,6.17,Poland,"Entertainment and Music DIY and Life Hacks Celebrities Film, Music & Books",709200.0,instagram,poland,False,2024,Knowledge&Info,MAPPED
9,Martyna Wojciechowska @martyna.world,2200000.0,0.17,Poland,Education Travel Arts and Crafts Upskilling,665400.0,instagram,poland,False,2024,Knowledge&Info,MAPPED
10,Jakub Patecki @patec_wariatec,2100000.0,7.59,Poland,Photography Celebrity,623400.0,instagram,poland,False,2024,Entertainment,MAPPED
11,Sylwia Dąbrowska @sylwiaprzybysz,2100000.0,3.06,Poland,"Entertainment and Music Celebrity Celebrities Film, Music & Books",620600.0,instagram,poland,False,2024,Knowledge&Info,MAPPED
12,Томаш Кудрявый @tomaschgood,2000000.0,1.37,Poland,Beauty and Self Care Fashion and Accessories News Video Blogger,611900.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
13,Joanna Jedrzejczyk @joannajedrzejczyk,2000000.0,0.44,Poland,Sports Fitness and Health Business and Finance Gym,597400.0,instagram,poland,False,2024,Sports,MAPPED
14,Ewa Chodakowska Fitness Expert @chodakowskaewa,2000000.0,0.31,Poland,Fitness and Health Cooking Health & Fitness Food & Drink,592200.0,instagram,poland,False,2024,Sports,MAPPED
15,Suchar Codzienny @sucharcodzienny,1900000.0,1.27,Poland,Funny,570100.0,instagram,poland,False,2024,Entertainment,MAPPED
16,NJ @nataliajanoszek,1800000.0,4.92,Poland,Entertainment and Music Parenting Actors Lifestyle,541600.0,instagram,poland,False,2024,Music,MAPPED
17,Agnieszka Grzelak Vlog/Beauty @agagrzelakk,1800000.0,1.57,Poland,Beauty and Self Care Travel,538800.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
18,Marta Błoch @murcix,1800000.0,2.32,Poland,Entertainment and Music,538400.0,instagram,poland,False,2024,Music,MAPPED
19,AQ🌙ARIA @dodaqueen,1800000.0,1.16,Poland,Entertainment and Music Music Celebrity Singer,532900.0,instagram,poland,False,2024,Music,MAPPED
20,Anja Rubik @anja_rubik,1700000.0,0.58,Poland,Fashion and Accessories Education Lifestyle,506900.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
21,Ola Nowak @ola_nowak,1700000.0,0.67,Poland,"Education Fashion and Accessories Celebrities Film, Music & Books",502200.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
22,Trendy Polish @trendypolish,1600000.0,0.78,Poland,Beauty and Self Care Music,478900.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
23,Remigiusz reZi Wierzgoń @rezigiusz,1600000.0,3.59,Poland,Entertainment and Music DIY and Life Hacks Automotive,476900.0,instagram,poland,False,2024,Tech&Gaming,MAPPED
24,Romi Chase @romi_chase,1600000.0,2.0,Poland,Fashion and Accessories,466700.0,instagram,poland,False,2024,Beauty&Fashion,MAPPED
