rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,💜Milka Queen💜 @milway.ka,10400000.0,,Poljska,,3100000.0,tiktok,poland,False,2024,,,
2,STASYA 💜 @stasya.pro,2500000.0,,Poljska,Ljepota i briga za sebe,750000.0,tiktok,poland,False,2024,Beauty&Fashion,MAPPED,Beauty and self-care
3,"Paweł ,,PAVLLOO” Szwed @pavlloo",2300000.0,,Poljska,,690000.0,tiktok,poland,False,2024,,,
4,MARLEY AND KUBA @marleyandkuba,2300000.0,0.1,Poljska,Kućni ljubimci,690000.0,tiktok,poland,False,2024,Lifestyle,MAPPED,Pets
5,Friz @tojafriz,2100000.0,0.5,Poljska,,630000.0,tiktok,poland,False,2024,,,
6,Roxana Orłowska @roxaok,2100000.0,,Poljska,Predstavljanje proizvoda,630000.0,tiktok,poland,False,2024,UNMAPPED,UNMAPPED,Product presentation
7,BUNIEK @buniosb,2000000.0,1.6,Poljska,Moda i pribor,600000.0,tiktok,poland,False,2024,UNMAPPED,UNMAPPED,Moda i pribor
8,Sleeping Pill w Inka | Spotify @inkamagnaye,1900000.0,,Poljska,Zabava i glazba,570000.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
9,Pat @patrykwxjcik,1500000.0,,Poljska,Zabava i glazba,450000.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
10,Patryk Zapała @colorowyy,1400000.0,,Poljska,Umjetnost i zanati Zabava i glazba,420000.0,tiktok,poland,False,2024,Music,MAPPED,Arts and Crafts Entertainment and Music
11,DAWID KWIATKOWSKI @kwiatkowsky,1200000.0,0.1,Poljska,Zabava i glazba,360000.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
12,WŁADEK @wladek_jestem,1100000.0,,Poljska,Moda i pribor Uradi sam i savjeti za život,330000.0,tiktok,poland,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories DIY and life tips
13,Filip Szyc @filip.szyc,1100000.0,,Poljska,Fotografija Zabava i glazba,330000.0,tiktok,poland,False,2024,Music,MAPPED,Photo Entertainment and music
14,Patryk Boryniec @patrykboryniec,1100000.0,,Poljska,Zabava i glazba,330000.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
15,Adrianna Scandal 👑 @adrianna_scandal_queen,997700.0,,Poljska,,299300.0,tiktok,poland,False,2024,,,
16,Klaudia Sojka @klasojka,995400.0,,Poljska,Zabava i glazba,298600.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
17,Klaudia Tarka @klatex,994600.0,,Poljska,,298400.0,tiktok,poland,False,2024,,,
18,Oliwka Kreja 💗 @cookiemint.pl,984500.0,,Poljska,,295400.0,tiktok,poland,False,2024,,,
19,Oliwia Misztal @oliwiamisztal,966600.0,,Poljska,,290000.0,tiktok,poland,False,2024,,,
20,⚡Paulina⚡ @baoliin,958200.0,,Poljska,Zabava i glazba,287500.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
21,Inga Madejczyk @plharleyquinn,957600.0,,Poljska,Animacija i Cosplay,287300.0,tiktok,poland,False,2024,Tech&Gaming,MAPPED,Animation and Cosplay
22,Aigostar_PL @aigostar_pl,943700.0,,Poljska,Moda i pribor,283100.0,tiktok,poland,False,2024,UNMAPPED,UNMAPPED,Moda i pribor
23,Agnieszka Grzelak @aga_grzelak,938000.0,,Poljska,Ljepota i briga za sebe,281400.0,tiktok,poland,False,2024,Beauty&Fashion,MAPPED,Beauty and self-care
24,💙🐾Queen 🐾💙 @_.edits._756,936400.0,,Poljska,,280900.0,tiktok,poland,False,2024,,,
25,Maykaa @maykaa37,926000.0,,Poljska,,277800.0,tiktok,poland,False,2024,,,
26,Cebulsonn x Hania @cebulsonnxhania,924700.0,0.1,Poljska,Predstavljanje proizvoda,277400.0,tiktok,poland,False,2024,UNMAPPED,UNMAPPED,Product presentation
27,vnarf @vnarf,905100.0,,Poljska,,271500.0,tiktok,poland,False,2024,,,
28,Patryk „Siiitek” Rolbiecki @siiitek,889700.0,,Poljska,,266900.0,tiktok,poland,False,2024,,,
29,Ola Holata @white2115_girl,884300.0,0.2,Poljska,,265300.0,tiktok,poland,False,2024,,,
30,Natalia Madej @nataliamadej,880600.0,,Poljska,Umjetnost,264200.0,tiktok,poland,False,2024,Lifestyle,MAPPED,Art
31,Dominik YT 🎶🔥 @dominik.mess,876200.0,,Poljska,,262900.0,tiktok,poland,False,2024,,,
32,Prawnik Marcin Kruszewski @prawomarcina,871700.0,,Poljska,Obrazovanje,261500.0,tiktok,poland,False,2024,Knowledge&Info,MAPPED,Education
33,ola.radziun @ola.radziun,864100.0,,Poljska,,259200.0,tiktok,poland,False,2024,,,
34,Slivki Show @slivki_show_official,838600.0,0.1,Poljska,,251600.0,tiktok,poland,False,2024,,,
35,Kate ❤️ @forsurprise,838300.0,0.2,Poljska,Zabava i glazba,251500.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
36,Julia @_juliyav_,819400.0,,Poljska,Zabava i glazba,245800.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
37,Sheo 🐙 @sheopl,819200.0,0.2,Poljska,,245800.0,tiktok,poland,False,2024,,,
38,Poland Is Everywhere 🇵🇱 @poland__is.__everywhere,813700.0,0.3,Poljska,Umjetnost,244100.0,tiktok,poland,False,2024,Lifestyle,MAPPED,Art
39,D stands for Deriah @_deriah_,813300.0,,Poljska,Animacija i Cosplay,244000.0,tiktok,poland,False,2024,Tech&Gaming,MAPPED,Animation and Cosplay
40,gavedits @gavedits,812900.0,,Poljska,,243900.0,tiktok,poland,False,2024,,,
41,skrudlik @_skrudliq_,811200.0,,Poljska,,243400.0,tiktok,poland,False,2024,,,
42,Mathew Figura @matthewfigura,811100.0,0.5,Poljska,Zabava i glazba,243300.0,tiktok,poland,False,2024,Music,MAPPED,Entertainment and music
43,Władek 🔥 @lollipop21x,787400.0,,Poljska,,236200.0,tiktok,poland,False,2024,,,
