rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Cristiano Ronaldo @cristiano,626200000.0,0.91,Portugal,Finance Soccer,187900000.0,instagram,portugal,False,2024,Sports,MAPPED
2,Portugal @portugal,16600000.000000002,1.16,Portugal,Fashion and Accessories Automotive Soccer,5000000.0,instagram,portugal,False,2024,Sports,MAPPED
3,João Félix @joaofelix79,11500000.0,6.98,Portugal,Sports,3400000.0,instagram,portugal,False,2024,Sports,MAPPED
4,𝐄𝐃𝐔𝐀𝐑𝐃𝐎 𝐂𝐎𝐒𝐓𝐀 @eduardocosta,10900000.0,0.17,Portugal,Entertainment and Music Musicians,3300000.0,instagram,portugal,False,2024,Music,MAPPED
5,Sara Sampaio @sarasampaio,8700000.0,0.68,Portugal,Fashion and Accessories Music Modeling,2600000.0,instagram,portugal,False,2024,Beauty&Fashion,MAPPED
6,João Cancelo @jpcancelo,6600000.0,7.88,Portugal,Sports Automotive Soccer,2000000.0,instagram,portugal,False,2024,Sports,MAPPED
7,Bernardo Carvalho E Silva @bernardocarvalhosilva,4800000.0,5.55,Portugal,Sports Soccer,1400000.0,instagram,portugal,False,2024,Sports,MAPPED
8,Maria Dolores @doloresaveiroofficial,4099999.9999999995,4.06,Portugal,family Marketing and Advertising Singer,1200000.0,instagram,portugal,False,2024,Knowledge&Info,MAPPED
9,Jose Mourinho @josemourinho,3900000.0,4.01,Portugal,Sports,1200000.0,instagram,portugal,False,2024,Sports,MAPPED
10,Jorge Jesus @jorgejesus,3100000.0,1.08,Portugal,Sports,920600.0,instagram,portugal,False,2024,Sports,MAPPED
11,Bruno Fernandes @brunofernandes.10,2900000.0,9.8,Portugal,,869100.0,instagram,portugal,False,2024,,
12,Sport Lisboa e Benfica @slbenfica,2700000.0,1.41,Portugal,Sports Soccer,811700.0,instagram,portugal,False,2024,Sports,MAPPED
13,TIAGO @tiagoiorc,2700000.0,0.76,Portugal,Entertainment and Music Singer,808500.0,instagram,portugal,False,2024,Music,MAPPED
14,Barbie Forteza @barbaraforteza,2700000.0,1.35,Portugal,Entertainment and Music Modeling Actors Singer,804900.0,instagram,portugal,False,2024,Beauty&Fashion,MAPPED
