rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,D4rkFrame @UC7wseMScXyaEP7ubWutNZmQ,4900000.0,0.3,Portugal,,1500000.0,youtube,portugal,False,2024,,
2,WildBrain em Português @UCKWGr9VyIYn_c6gXbYctH3w,4500000.0,,Portugal,,1400000.0,youtube,portugal,False,2024,,
3,Temperos e Sabores @UCN3Grwgu5ZFNZzkl4IY3V1w,4400000.0,,Portugal,,1300000.0,youtube,portugal,False,2024,,
4,wuant @UCSHSIx0CttXzzuT3YLVZC7Q,3700000.0,,Portugal,,1100000.0,youtube,portugal,False,2024,,
5,Fer0m0nas @UC4pxiz_9Ok-B4jiKBVYLODg,3200000.0,,Portugal,,972000.0,youtube,portugal,False,2024,,
6,Panda E Os Caricas @UCrRCYfAdzBO3ViaOseB9dJw,2900000.0,,Portugal,,855000.0,youtube,portugal,False,2024,,
7,FEEL MY STYLE @UCYG6DQUw79szmnuNux_S8pg,2800000.0,,Portugal,,846000.0,youtube,portugal,False,2024,,
8,Nu Meditation Music @UCYy9EGb3fvmUSgMVfJ7KXJw,2600000.0,,Portugal,,786000.0,youtube,portugal,False,2024,,
9,Os Amiguinhos Contos e Historinhas @UCy2lbjas8-0tw1nGkDkWo5A,2200000.0,,Portugal,,651000.0,youtube,portugal,False,2024,,
10,Olena Starodubets @UC_o_CN1UbEuIN4VA-08WRpQ,2100000.0,0.1,Portugal,,618000.0,youtube,portugal,False,2024,,
11,MIRACULOUS - As Aventuras de Ladybug @UCBDEu1tO_K4CpfHJqo6jxmQ,1900000.0,,Portugal,,567000.0,youtube,portugal,False,2024,,
12,Gabriel Herrera @UCmJocBytBRMbGw6haSRXnjQ,1600000.0,0.7,Portugal,,477000.0,youtube,portugal,False,2024,,
13,Dreamau @UCGDXvB6qgN7JQ1w2_rBalFA,1600000.0,6.2,Portugal,,471000.0,youtube,portugal,False,2024,,
14,V Kids @UCLvYm3vnjj1ehSW1YJ7KcQA,1600000.0,,Portugal,,471000.0,youtube,portugal,False,2024,,
15,Cakepedia @UCB5-vMdPI0bLMtmgtOHJGMQ,1400000.0,,Portugal,,423000.0,youtube,portugal,False,2024,,
16,自说自话的总裁 @UCgo_-fjJxnLwwwq5dSY72rg,1400000.0,,Portugal,,417000.0,youtube,portugal,False,2024,,
17,Dima e Carros @UCsgVEZ5vrKQrQQER7p5HwBA,1400000.0,,Portugal,,405000.0,youtube,portugal,False,2024,,
18,Eiro Nareth @UCOR-iqlcedb8VMnax37m3MQ,1300000.0,,Portugal,Celebrity Music,384000.0,youtube,portugal,False,2024,Music,MAPPED
19,Eatyourkimchi Studio @UCLMtDePlMyiqv2XC_ByNEVQ,1200000.0,,Portugal,Food and Drink,366000.0,youtube,portugal,False,2024,Lifestyle,MAPPED
