rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Daddy Yankee @daddyyankee,48600000.0,1.03,Puerto Rico,Music Modeling Singer,14600000.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
2,NICKY JAM @nickyjam,44200000.0,0.32,Puerto Rico,Entertainment and Music Music Management Singer,13300000.0,instagram,puerto-rico,False,2024,Music,MAPPED
3,@rauwalejandro,18900000.0,8.59,Puerto Rico,,5700000.0,instagram,puerto-rico,False,2024,,
4,Ricky Martin @ricky_martin,17300000.0,1.1,Puerto Rico,Entertainment and Music Actors Music Writers,5200000.0,instagram,puerto-rico,False,2024,Music,MAPPED
5,Llandel Veguilla @yandel,13100000.0,0.56,Puerto Rico,Entertainment and Music Actors Music,3900000.0,instagram,puerto-rico,False,2024,Music,MAPPED
6,LUNAY @lunay,10400000.0,2.16,Puerto Rico,,3100000.0,instagram,puerto-rico,False,2024,,
7,Cosculluela @cosculluela,9600000.0,3.05,Puerto Rico,Entertainment and Music Actors,2900000.0,instagram,puerto-rico,False,2024,Music,MAPPED
8,Adamari Lopez @adamarilopez,8900000.0,0.31,Puerto Rico,Acting and Drama family Automotive Actors,2700000.0,instagram,puerto-rico,False,2024,Tech&Gaming,MAPPED
9,Edwin Rosa Vasquez @nengoflowofficial,8900000.0,1.81,Puerto Rico,Entertainment and Music Automotive Songwriting Celebrities,2700000.0,instagram,puerto-rico,False,2024,Tech&Gaming,MAPPED
10,Justin Quiles AKA J Qui @jquiles,8700000.0,0.82,Puerto Rico,Entertainment and Music Actors,2600000.0,instagram,puerto-rico,False,2024,Music,MAPPED
11,"De La Ghetto ""De La Geezy"" @delaghetto",8500000.0,0.39,Puerto Rico,"Entertainment and Music Singer Film, Music & Books Animals & Pets",2500000.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
12,TRAPERO DE TRAPEROS @bryanttmyers,8000000.0,2.99,Puerto Rico,Entertainment and Music,2400000.0,instagram,puerto-rico,False,2024,Music,MAPPED
13,IvyQueenDiva @ivyqueendiva,6200000.0,2.07,Puerto Rico,Entertainment and Music Music Actors Celebrities,1900000.0,instagram,puerto-rico,False,2024,Music,MAPPED
14,Joan Smalls @joansmalls,6100000.0,0.16,Puerto Rico,Fashion Fashion and Accessories,1800000.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
15,Super Jon.Z @jonzmen,5800000.0,2.38,Puerto Rico,"Entertainment and Music Funny Film, Music & Books Celebrities",1700000.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
16,Brytiago🐯 @brytiago,5600000.0,1.1,Puerto Rico,Entertainment and Music Actors Music Celebrities,1700000.0,instagram,puerto-rico,False,2024,Music,MAPPED
17,Tito El Patrón / El Bambino 🦅 @titobambinoelpatron,5200000.0,2.11,Puerto Rico,Entertainment and Music Marketing and Advertising Actors Virtualization,1600000.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
18,LOS OG … 90 PIKETES🇵🇷🦁 @mikywoodz,5100000.0,2.03,Puerto Rico,Entertainment and Music Music Actors DJ,1500000.0,instagram,puerto-rico,False,2024,Music,MAPPED
19,ALEJANMDRO MOSQUEDA PAZ 🇨🇺X🇮🇱X🇵🇷 @almightytgc,4600000.0,0.65,Puerto Rico,Entertainment and Music Music Actors,1400000.0,instagram,puerto-rico,False,2024,Music,MAPPED
20,Baby Rasta @babyrasta,4000000.0,0.93,Puerto Rico,Entertainment and Music Music Actors Celebrities,1200000.0,instagram,puerto-rico,False,2024,Music,MAPPED
21,Carlos Ponce @poncecarlos1,3400000.0,0.34,Puerto Rico,Acting and Drama Entertainment and Music Actors,1000000.0,instagram,puerto-rico,False,2024,Music,MAPPED
22,Lennox @lennox,2900000.0,0.05,Puerto Rico,Entertainment and Music Moms Music Actors,870000.0,instagram,puerto-rico,False,2024,Music,MAPPED
23,Zabdiel De Jesús @zabdieldejesus,2900000.0,3.7,Puerto Rico,Singer,856600.0,instagram,puerto-rico,False,2024,Music,MAPPED
24,roselyn sanchez @roselyn_sanchez,2300000.0,0.41,Puerto Rico,Acting and Drama family Entertainment and Music Romance and Wedding,699300.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
25,LOS MAGICOS 👻🔮🎩 @casper_magico,2300000.0,1.91,Puerto Rico,Entertainment and Music Actors Music,689100.0,instagram,puerto-rico,False,2024,Music,MAPPED
26,Wisin Y Yandel @wisinyyandel,2300000.0,1.21,Puerto Rico,Entertainment and Music Romance and Wedding Actors Music,678900.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
27,Manuel Varet @vakero,2300000.0,0.07,Puerto Rico,Entertainment and Music Singer,677800.0,instagram,puerto-rico,False,2024,Music,MAPPED
28,Molusco @yosoymolusco,2300000.0,0.2,Puerto Rico,,677000.0,instagram,puerto-rico,False,2024,,
29,SUPA @_supapeach,2100000.0,2.09,Puerto Rico,Arts and Crafts Beauty and Self Care Business and Finance Singer,643400.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
30,Paige Audrey-Marie Hurd🦒 @thugginn,2100000.0,9.47,Puerto Rico,"Parenting Actors Humor Film, Music & Books",640600.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
31,Baby Rasta y Gringo @babyrastaygringo,2100000.0,0.17,Puerto Rico,Music Actors Celebrities Humor,617900.0,instagram,puerto-rico,False,2024,Music,MAPPED
32,Barber A-ROD @arod23pr,2000000.0,0.95,Puerto Rico,Finance Product Showcase Business and Finance Styling,612600.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
33,RKM & Ken-Y @rkmykeny,2000000.0,0.08,Puerto Rico,Entertainment and Music Romance and Wedding Music DJ,606600.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
34,BABY RANKS @babyranksabm1,2000000.0,6.89,Puerto Rico,Art,605800.0,instagram,puerto-rico,False,2024,Lifestyle,MAPPED
35,Alex Zurdo @alexzurdomusic,1800000.0,0.69,Puerto Rico,Entertainment and Music Marketing and Advertising Actors Music,549000.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
36,Kany Garcia @kanygarcia,1800000.0,2.08,Puerto Rico,Entertainment and Music Actors,546600.0,instagram,puerto-rico,False,2024,Music,MAPPED
37,Mireddys 🧡 @mireddys,1800000.0,2.71,Puerto Rico,Beauty and Self Care Actors,540700.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
38,Yani Latorre @yanilatorre,1800000.0,2.59,Puerto Rico,Entertainment and Music Actors Journalists,536300.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
39,Y$Y A EL ARTISTA @ysy__a,1800000.0,6.9,Puerto Rico,Entertainment and Music Actors Music Singer,531300.0,instagram,puerto-rico,False,2024,Music,MAPPED
40,Dayanara Torres @dayanarapr,1700000.0,0.75,Puerto Rico,Entertainment and Music Romance and Wedding Life and Society Celebrity,523200.00000000006,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
41,El Bokisucio 😈 @luigi21plus,1700000.0,0.32,Puerto Rico,Entertainment and Music Actors Music,496400.0,instagram,puerto-rico,False,2024,Music,MAPPED
42,ⒿⓊⒽⓃ ✭ @juhnelallstar,1600000.0,3.44,Puerto Rico,Art Actors Music,490700.0,instagram,puerto-rico,False,2024,Music,MAPPED
43,Maripily @maripilyoficial,1500000.0,0.08,Puerto Rico,Actors,453100.0,instagram,puerto-rico,False,2024,Entertainment,MAPPED
44,Javier Báez 🎩 @javy23baez,1500000.0,4.94,Puerto Rico,Actors Modeling Fashion Athlete,452400.0,instagram,puerto-rico,False,2024,Sports,MAPPED
45,Juanka Bauza Blasini @juanka_problematik,1500000.0,1.57,Puerto Rico,Entertainment and Music Actors Music Singer,446000.0,instagram,puerto-rico,False,2024,Music,MAPPED
46,Tanya Walls ✨ @house_to_home_at_no1,1500000.0,1.07,Puerto Rico,Home and Garden,437700.0,instagram,puerto-rico,False,2024,Lifestyle,MAPPED
47,PLAN B @planblive,1400000.0,0.7,Puerto Rico,Entertainment and Music Marketing and Advertising DJ Music,406400.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
48,Jowell & Randy #20Aniversario🎂 @jowellyrandy,1300000.0,0.45,Puerto Rico,Entertainment and Music Music Actors,396600.0,instagram,puerto-rico,False,2024,Music,MAPPED
49,Víctor Manuelle @victormanuelleonline,1200000.0,0.24,Puerto Rico,Entertainment and Music Actors Music,371100.0,instagram,puerto-rico,False,2024,Music,MAPPED
50,Kay-Lani @viva_glam_kay,1200000.0,0.42,Puerto Rico,Beauty and Self Care Hair & Beauty Celebrities,369000.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
51,Gregorio Rossello @gregorossello,1200000.0,2.48,Puerto Rico,Entertainment and Music Celebrity Actors Journalists,364800.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
52,Tay Sweat 🇵🇷 🇵🇹 🇺🇸 @taysweat,1200000.0,0.68,Puerto Rico,Finance Travel Auto and Vehicles,361800.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
53,Laura Carmine @lauracarmine,1100000.0,0.75,Puerto Rico,Acting and Drama Entertainment and Music Travel Celebrity,331800.0,instagram,puerto-rico,False,2024,Music,MAPPED
54,Ambar @ambarmusical,1100000.0,0.39,Puerto Rico,Entertainment and Music Music Actors Journalists,330200.0,instagram,puerto-rico,False,2024,Knowledge&Info,MAPPED
55,Barbie Rican @barbiericanoficial,1100000.0,1.58,Puerto Rico,Entertainment and Music Automotive,328300.0,instagram,puerto-rico,False,2024,Tech&Gaming,MAPPED
56,Amaury Nolasco @amaurynolasco,1100000.0,3.5,Puerto Rico,Entertainment and Music Acting and Drama Actors,322900.0,instagram,puerto-rico,False,2024,Music,MAPPED
57,Victor Cruz @victorcruz,1100000.0,0.77,Puerto Rico,family Soccer Music Entertainment,317200.0,instagram,puerto-rico,False,2024,Sports,MAPPED
58,"𝐀𝐌𝐀,𝐕𝐈𝐕𝐄 𝐘 𝐃𝐄𝐉𝐀 𝐕𝐈𝐕𝐈𝐑 @jotabenz92",1100000.0,1.13,Puerto Rico,Actors,316500.0,instagram,puerto-rico,False,2024,Entertainment,MAPPED
59,CHECK-IN @checkinmela,1000000.0,1.46,Puerto Rico,Actors,309800.0,instagram,puerto-rico,False,2024,Entertainment,MAPPED
60,Carissa Rosario @carissarosario,1000000.0,0.16,Puerto Rico,Fitness and Health Food Actors Celebrities,302900.0,instagram,puerto-rico,False,2024,Sports,MAPPED
61,Ken-Y @ken_y_official,962700.0,0.34,Puerto Rico,,288800.0,instagram,puerto-rico,False,2024,,
62,Ugglytruth @ugglytruth,962200.0,1.83,Puerto Rico,Funny Actors Modeling,288700.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
63,La Mariposa @lamariposa_mr,957700.0,0.96,Puerto Rico,Art,287300.0,instagram,puerto-rico,False,2024,Lifestyle,MAPPED
64,Frabian Eli @frabianeli,951500.0,4.2,Puerto Rico,Entertainment and Music Music,285500.0,instagram,puerto-rico,False,2024,Music,MAPPED
65,𝐼𝑛𝑛𝑑𝑖𝑎 @indiabocavermelha,946000.0,1.2,Puerto Rico,Fashion and Accessories,283800.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
66,Gilberto Santa Rosa @santarosalive,942600.0,0.32,Puerto Rico,Entertainment and Music Actors,282800.0,instagram,puerto-rico,False,2024,Music,MAPPED
67,JEDI @chrisjedi,934600.0,4.01,Puerto Rico,Art,280400.0,instagram,puerto-rico,False,2024,Lifestyle,MAPPED
68,JACKY 🇵🇷❤️‍🔥 @jackyfontanez,933900.0,0.53,Puerto Rico,Fashion and Accessories Actors,280200.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
69,Jasmine Morales @reallaytonbenton,932200.0,1.2,Puerto Rico,Fashion and Accessories Soccer Modeling Entertainment,279600.0,instagram,puerto-rico,False,2024,Sports,MAPPED
70,Carlos Correa @teamcjcorrea,925500.0,5.1,Puerto Rico,family Sports Modeling Actors,277600.0,instagram,puerto-rico,False,2024,Sports,MAPPED
71,J.R. Ramirez @jr8ramirez,858100.0,8.25,Puerto Rico,Entertainment and Music Actors Music Singer,257399.99999999997,instagram,puerto-rico,False,2024,Music,MAPPED
72,FLAWLESS @flawlessri,838400.0,2.11,Puerto Rico,Entertainment and Music Fashion and Accessories Music Singer,251500.0,instagram,puerto-rico,False,2024,Beauty&Fashion,MAPPED
