rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,🌟🌟𝙍𝙚𝙛𝙡𝙚𝙭𝙞𝙤𝙣 𝘿𝙞𝙖𝙧𝙞𝙖🌟🌟 @reflexion.diaria,2700000.0,0.7,رومانيا,تعليم الحياة والمجتمع,803700.0,instagram,romania,False,2024,Knowledge&Info,MAPPED,Teaching life and society
2,Dorian Popa @eusuntdorian,2400000.0,0.41,رومانيا,الأزياء والإكسسوارات,735000.0,instagram,romania,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories
3,Alina Eremia @alinaeremia,2100000.0,0.39,رومانيا,فن,620000.0,instagram,romania,False,2024,Lifestyle,MAPPED,Art
4,𝐆𝐚𝐛𝐫𝐢𝐞𝐥 𝐑𝐨𝐥𝐨́𝐧 @gabriel.rolon,1900000.0,0.43,رومانيا,تعليم السيارات ممثلين,568800.0,instagram,romania,False,2024,Knowledge&Info,MAPPED,Car education representatives
5,Loredana Chivu ♠️ @loredanachivu_official,1900000.0,0.32,رومانيا,الأزياء والإكسسوارات الفنون والحرف اليدوية الترفيه والموسيقى تمثيل,563500.0,instagram,romania,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories arts and crafts entertainment and music acting
6,Adelina Pestritu @adelina.pestritu,1800000.0,0.42,رومانيا,الأزياء والإكسسوارات الترفيه والموسيقى مشاهير,554900.0,instagram,romania,False,2024,Beauty&Fashion,MAPPED,Fashion accessories entertainment music celebrities
7,Investing | Motivation | Technology @investearnsave,1800000.0,0.19,رومانيا,الأعمال والتمويل التمويل الشخصي,526000.0,instagram,romania,False,2024,Knowledge&Info,MAPPED,Business and Finance Personal Finance
8,Simona Halep @simonahalep,1700000.0,0.64,رومانيا,رياضة تنس تمثيل,516000.0,instagram,romania,False,2024,Sports,MAPPED,Acting tennis
9,Andreea Balan @andreeabalanofficial,1700000.0,0.41,رومانيا,الترفيه والموسيقى الأسرة موسيقى,501600.0,instagram,romania,False,2024,Music,MAPPED,Entertainment Music Family Music
10,Mihai Bendeac @jurnalul_unui_burlac,1400000.0,1.42,رومانيا,فن,431500.0,instagram,romania,False,2024,Lifestyle,MAPPED,Art
11,Lidia Buble @lidiabuble,1400000.0,0.39,رومانيا,موسيقى,429200.0,instagram,romania,False,2024,Music,MAPPED,music
12,Iuliana Beregoi @iulianaberegoiofficial,1400000.0,0.56,رومانيا,الترفيه والموسيقى,420300.0,instagram,romania,False,2024,Music,MAPPED,Entertainment and music
