rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Be Inspired @UCaKZDEMDdQc8t6GzFj1_TDw,8600000.0,,Romania,,2600000.0,youtube,romania,False,2024,,
2,Cat Music @UCCTR5nIFvWBW9MeGEGPNG4g,7300000.0,,Romania,,2200000.0,youtube,romania,False,2024,,
3,Bogdan's Show @UCj7vCyiJGTXkCf1HsUzv7dw,5500000.0,,Romania,,1600000.0,youtube,romania,False,2024,,
4,RotonMusicTV @UCV-iSZdmPWV9pq-t-dlYzQg,5100000.0,,Romania,Art Music,1500000.0,youtube,romania,False,2024,Music,MAPPED
5,فِكر تاني @UCoB1ySdDtKKDe0OVN1zbA_A,5000000.0,,Romania,,1500000.0,youtube,romania,False,2024,,
6,Anabella Show @UCSGA6pp1L9A2lgV6yA889sg,5000000.0,,Romania,Food and Drink Pets Travel,1500000.0,youtube,romania,False,2024,Lifestyle,MAPPED
7,MediaPro Music @UC6oZDJZhFSFjSSHpzkyr03g,3400000.0,,Romania,Music Celebrity,1000000.0,youtube,romania,False,2024,Music,MAPPED
8,Dani Mocanu © Oficial @UCGc991mofGxjO3-haaRENDg,3300000.0,2.1,Romania,,999000.0,youtube,romania,False,2024,,
9,Selly @UCtke4StIE5z2EiF85Zeqb-A,3100000.0,0.4,Romania,,942000.0,youtube,romania,False,2024,,
10,Video Advice @UCAwylBbx8RiRD3VsaYdwNTw,3000000.0,,Romania,,906000.0,youtube,romania,False,2024,,
11,Thrace Music @UCI-NxddNdik4EEGyVByg44Q,2800000.0,,Romania,Music,846000.0,youtube,romania,False,2024,Music,MAPPED
12,Andrei Terbea @UC3iNdSV_RQU7DHTGpqEW96w,2800000.0,,Romania,,843000.0,youtube,romania,False,2024,,
13,STR Red @UC7B-GglTR_SBfM5pgrC39fA,2500000.0,,Romania,,750000.0,youtube,romania,False,2024,,
14,AmmA Music & Sound @UCzg-KdISpftt0hjybLVYAhQ,2500000.0,,Romania,,741000.0,youtube,romania,False,2024,,
15,Familia MELIMI @melimi,2400000.0,0.5,Romania,,717000.0,youtube,romania,False,2024,,
16,XBRAKER VS ARCADE @UC8PBr11mPXfu3IJmashujyQ,2300000.0,,Romania,,693000.0,youtube,romania,False,2024,,
17,Big Man Romania @UCuMj5RiqBhThj8R5XqFILwg,2300000.0,,Romania,,687000.0,youtube,romania,False,2024,,
18,Dorian Popa @dorianpopahatz,2200000.0,0.5,Romania,,654000.0,youtube,romania,False,2024,,
19,Throneful @UCIw5rbXUrtk31t20Ap5817w,2200000.0,,Romania,,645000.0,youtube,romania,False,2024,,
20,Magicianul Robert Tudor @UCO2UMyeXwQe4hb2mk0K1m8A,2100000.0,,Romania,Shopping,624000.0,youtube,romania,False,2024,UNMAPPED,UNMAPPED
21,Noaptea Târziu @UCoOF5TJFkopCBciv05LLfCw,1900000.0,,Romania,,567000.0,youtube,romania,False,2024,,
22,Andra @UC-j_qmx-JdJWjwVIetg1vHQ,1900000.0,,Romania,,558000.0,youtube,romania,False,2024,,
23,Disney Romania @UCefcr2GL6WaVr-RWAGt5giQ,1700000.0,,Romania,,495000.0,youtube,romania,False,2024,,
24,Doi Degeaba @UCK4p00drpt-AP2KxWs_H34Q,1600000.0,2.0,Romania,,486000.0,youtube,romania,False,2024,,
25,Melly Karamely Family @UCC_Su3sUw7BBYrRVVoR9fJQ,1600000.0,,Romania,,486000.0,youtube,romania,False,2024,,
26,3Chestii @3chestii,1600000.0,0.5,Romania,,474000.0,youtube,romania,False,2024,,
27,La povesti cu Jimmy @UCkAr8bunhQhvDv5krJJlYrg,1600000.0,5.3,Romania,,465000.0,youtube,romania,False,2024,,
28,Alexunea TV @UCQuib99vec_PbsSc_7f8VyQ,1500000.0,0.1,Romania,,459000.0,youtube,romania,False,2024,,
29,Boomerang România @UCkLu2_aP-7MZKRjybRUHDYA,1500000.0,,Romania,,456000.0,youtube,romania,False,2024,,
30,Antena 1 @UCbyawH6yI56MxZid7m2yLiA,1500000.0,,Romania,,456000.0,youtube,romania,False,2024,,
31,Jador @UCuVGndfnNoNXzxpSZ5qgiaw,1500000.0,,Romania,,447000.0,youtube,romania,False,2024,,
32,Mihai-Alexandru Hash @UCg8uNiuq_AslECnNZ0n4l8g,1500000.0,0.2,Romania,,435000.0,youtube,romania,False,2024,,
33,MrEdxwx @UC7FvHJEkTuwoi2pFsVideFA,1400000.0,,Romania,,429000.0,youtube,romania,False,2024,,
34,BettyL Club @UCuWm7b-CBm3qyd5Ftb1G9Sg,1400000.0,,Romania,,426000.0,youtube,romania,False,2024,,
35,Big Man Music Oficial @UC5GMxz7GX3LdKexkpwASYNg,1400000.0,,Romania,,423000.0,youtube,romania,False,2024,,
36,Pisica MiauMiau @UCKVi1LI2KOgOYUssNVWO1Xg,1400000.0,0.2,Romania,,414000.0,youtube,romania,False,2024,,
37,Knowledgia @UCuCuEKq1xuRA0dFQj1qg9-Q,1400000.0,,Romania,,414000.0,youtube,romania,False,2024,,
38,CreativeMonkeyzArmy @UCwUfX87V6RsbVVRrcrxmJAA,1400000.0,1.5,Romania,,405000.0,youtube,romania,False,2024,,
39,HaHaHa Production @UCZFZH5uzK8RVRE1lrP7L2yQ,1300000.0,,Romania,,402000.0,youtube,romania,False,2024,,
40,Lord Aizen @UCyHzuI5sqmtfrV-2SzZz5HQ,1300000.0,,Romania,,390000.0,youtube,romania,False,2024,,
41,ilie’s vlogs @UCI4kXahIsuJYCmrEkjFjAtA,1300000.0,0.5,Romania,,390000.0,youtube,romania,False,2024,,
42,Antonio Pican @UCZ6dtYWTv14XJidLgcWqRRg,1300000.0,1.9,Romania,,375000.0,youtube,romania,False,2024,,
43,ovadark @UCSzxkmcv3W5DnnYxq1ub1bA,1300000.0,,Romania,Video Gaming,375000.0,youtube,romania,False,2024,Tech&Gaming,MAPPED
44,Kompact Play Music @UCg3nk6CovuSHbXf-xsI6TVA,1200000.0,,Romania,,363000.0,youtube,romania,False,2024,,
45,Gami @UCnKuzfMBRasBL_b-iKG4FPA,1200000.0,0.4,Romania,,363000.0,youtube,romania,False,2024,,
46,Casa Iubirii @UCgRHtJDaeVzQ_hW1-xzrTWw,1200000.0,,Romania,,357000.0,youtube,romania,False,2024,,
47,Cristi Munteanu @UCX5nytKY7ARJ0GiP9_xn4XQ,1200000.0,,Romania,,357000.0,youtube,romania,False,2024,,
48,RoTerra Music Official @UCSr-FXpCojmsXfto7KcBnUA,1200000.0,,Romania,,354000.0,youtube,romania,False,2024,,
49,yayamusicproduction @UCZM_qIBmh3RmXdbiaMPj6-w,1200000.0,,Romania,,345000.0,youtube,romania,False,2024,,
50,Like Sara @UCEkXmiskQSV0paypikrEsrQ,1200000.0,,Romania,,345000.0,youtube,romania,False,2024,,
51,MIRCEA BRAVO @UCJes43YsFzZ8FUzUMmhRFFw,1100000.0,0.6,Romania,,339000.0,youtube,romania,False,2024,,
52,Orange Blue @UCE_NNArrZmhYCwuoc9-GTrQ,1100000.0,,Romania,,339000.0,youtube,romania,False,2024,,
53,Bogdan DLP @UCOSuXx0kB-vHNsVY222B3lQ,1100000.0,,Romania,,333000.0,youtube,romania,False,2024,,
54,Acces Direct @UCLD8IijD59t34HWV9z_0acg,1100000.0,,Romania,,333000.0,youtube,romania,False,2024,,
55,"Atentie, Cad Mere! @UCcT-Q7UFnIFuRMiAqUnfwNA",1100000.0,0.2,Romania,,330000.0,youtube,romania,False,2024,,
