rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Маргарита Дьяченкова @margo_flury,18700000.0,1.6,Russia,Acting and Drama Celebrity,5600000.0,tiktok,russia,False,2024,Entertainment,MAPPED
2,Katy Vine @katy.vine,12500000.0,,Russia,Entertainment and Music,3800000.0,tiktok,russia,False,2024,Music,MAPPED
3,Даня Бум @danilis_boom,12200000.0,,Russia,Entertainment and Music Animation and Cosplay,3700000.0,tiktok,russia,False,2024,Tech&Gaming,MAPPED
4,КЛАВА КОКА 💃🏼 @klavacoca,10300000.0,,Russia,Entertainment and Music,3100000.0,tiktok,russia,False,2024,Music,MAPPED
5,Настя Монахова @monakhovan_,8900000.0,0.1,Russia,family,2700000.0,tiktok,russia,False,2024,Lifestyle,MAPPED
6,Близнецы Верзаковы @twins.verz.parodies,8500000.0,,Russia,Animation and Cosplay Entertainment and Music,2600000.0,tiktok,russia,False,2024,Tech&Gaming,MAPPED
7,Ольга Бузова @buzova86,8100000.0,,Russia,Entertainment and Music Fashion and Accessories,2400000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
8,Steff @steff_happy,7700000.0,,Russia,,2300000.0,tiktok,russia,False,2024,,
9,Даша Боровик @borovikdashaa,7100000.0,,Russia,Entertainment and Music Product Showcase,2100000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
10,hahadetka @hahadetka,6900000.0,,Russia,Entertainment and Music Funny,2100000.0,tiktok,russia,False,2024,Music,MAPPED
11,Макс и Катя Филаретовы @filaretiki,6800000.0,,Russia,Entertainment and Music Arts and Crafts,2000000.0,tiktok,russia,False,2024,Music,MAPPED
12,ПАША ОСАДЧИЙ @ossadchiy,6500000.0,,Russia,Entertainment and Music,2000000.0,tiktok,russia,False,2024,Music,MAPPED
13,SUPER HOUSE🦸 @superhouse_ru,6400000.0,,Russia,Home and Garden,1900000.0,tiktok,russia,False,2024,Lifestyle,MAPPED
14,Dasha Chepizhko @dashachepizhko,5900000.0,,Russia,,1800000.0,tiktok,russia,False,2024,,
15,Елена Завидова @zavidova9,5900000.0,,Russia,Food Product Showcase,1800000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
16,Эльдар Джарахов @dzharakhov,5800000.0,,Russia,,1700000.0,tiktok,russia,False,2024,,
17,Anastasyia Prichinina @anastasyiaqueen,5700000.0,,Russia,Animation and Cosplay,1700000.0,tiktok,russia,False,2024,Tech&Gaming,MAPPED
18,Sokolov Artyom @sokolov_artyom,5400000.0,,Russia,Arts and Crafts,1600000.0,tiktok,russia,False,2024,Lifestyle,MAPPED
19,Hanna11 @hanna11_anna,4700000.0,,Russia,,1400000.0,tiktok,russia,False,2024,,
20,Hello It’s me SerJay @ser_jay,4700000.0,0.4,Russia,Entertainment and Music,1400000.0,tiktok,russia,False,2024,Music,MAPPED
21,SLEEPY @sleepy.princess.8,4600000.0,,Russia,Entertainment and Music,1400000.0,tiktok,russia,False,2024,Music,MAPPED
22,Никита Морозов Перфе @morozovq,4600000.0,,Russia,,1400000.0,tiktok,russia,False,2024,,
23,Туман Настя @nastyatyman,4500000.0,,Russia,,1400000.0,tiktok,russia,False,2024,,
24,Вова Блэк @vovablackk,4500000.0,,Russia,Fashion and Accessories,1400000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
25,CHERRY DADDY SHOW @cherry_daddy_show,4400000.0,,Russia,Entertainment and Music,1300000.0,tiktok,russia,False,2024,Music,MAPPED
26,Антон @kireev_voice,4400000.0,,Russia,Entertainment and Music,1300000.0,tiktok,russia,False,2024,Music,MAPPED
27,Кушать хочу @kushat_hochu,4300000.0,,Russia,Romance and Wedding Food,1300000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
28,PROSTO MODNO @exterlylove,4300000.0,,Russia,Entertainment and Music,1300000.0,tiktok,russia,False,2024,Music,MAPPED
29,Апасный @aparyk,4200000.0,0.1,Russia,Entertainment and Music,1300000.0,tiktok,russia,False,2024,Music,MAPPED
30,Eva Elfie @theevaelfie,4099999.9999999995,0.1,Russia,Beauty and Self Care Fashion and Accessories,1200000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
31,Войнов Кирилл @voy.nov,4099999.9999999995,,Russia,Funny,1200000.0,tiktok,russia,False,2024,Entertainment,MAPPED
32,Yason Cat 🐾 @yasoncat,3900000.0,0.3,Russia,,1200000.0,tiktok,russia,False,2024,,
33,zotov @zotov.13,3900000.0,,Russia,Entertainment and Music,1200000.0,tiktok,russia,False,2024,Music,MAPPED
34,Зубарев Александр @zubarefff,3900000.0,0.4,Russia,,1200000.0,tiktok,russia,False,2024,,
35,Дворецкий Павел @dvoretsky11,3700000.0,,Russia,Entertainment and Music,1100000.0,tiktok,russia,False,2024,Music,MAPPED
36,АНТОН ФИНИК 🔥 @anton_finik,3600000.0,,Russia,Entertainment and Music,1100000.0,tiktok,russia,False,2024,Music,MAPPED
37,🤩NIKLY🤩 @___nikly___,3500000.0,0.3,Russia,Arts and Crafts Photography Funny,1100000.0,tiktok,russia,False,2024,Entertainment,MAPPED
38,Kiss Kate 🥨 @kisskate_blog,3500000.0,,Russia,Fashion and Accessories Beauty and Self Care Life and Society,1100000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
39,БЕЛКА 🐿️ @anny_myrrr_,3500000.0,,Russia,,1100000.0,tiktok,russia,False,2024,,
40,Troom Troom @troomtroom,3400000.0,,Russia,DIY and Life Hacks,1000000.0,tiktok,russia,False,2024,Lifestyle,MAPPED
41,Мятная Фанта @_mint_fanta_,3400000.0,,Russia,,1000000.0,tiktok,russia,False,2024,,
42,ROB SY @robsyman,3400000.0,,Russia,,1000000.0,tiktok,russia,False,2024,,
43,Michael Galustyan @m_galustyan,3400000.0,0.1,Russia,Entertainment and Music Funny,1000000.0,tiktok,russia,False,2024,Music,MAPPED
44,$opha Kuper @sophakuper,3400000.0,,Russia,Entertainment and Music,1000000.0,tiktok,russia,False,2024,Music,MAPPED
45,ТИЛЭКС🧊🧊🧊 @tilexofficial,3200000.0,,Russia,,960000.0,tiktok,russia,False,2024,,
46,Краснодарская Крошка 🌸 @kentang_bayi,3200000.0,,Russia,Entertainment and Music,960000.0,tiktok,russia,False,2024,Music,MAPPED
47,Это Питер Детка @janka_sega,3200000.0,,Russia,Entertainment and Music,960000.0,tiktok,russia,False,2024,Music,MAPPED
48,Л'Этуаль @letoile_official,3200000.0,,Russia,Beauty and Self Care,960000.0,tiktok,russia,False,2024,Beauty&Fashion,MAPPED
