rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Survival Builder @UCj6VfZEQTxX8Tp2My5L9Ykw,10500000.0,,Singapore,Technology,3200000.0,youtube,singapore,False,2024,Tech&Gaming,MAPPED
2,মায়াজাল @UCfixIpf6Z09QH-vZT-mpgZg,9500000.0,0.2,Singapore,,2800000.0,youtube,singapore,False,2024,,
3,Masti Tv - Hindi Stories @UCcvDxf3OKcvZzRYvcIyikLw,6700000.0,,Singapore,,2000000.0,youtube,singapore,False,2024,,
4,Muse Asia @museasia,6400000.0,,Singapore,,1900000.0,youtube,singapore,False,2024,,
5,mingweirocks @UCeIuST7AITAf34FvWq4GHwg,6400000.0,,Singapore,,1900000.0,youtube,singapore,False,2024,,
6,Primitive Survival Tool @UC6vasuRFx3t3NTISG6iwUeA,6300000.0,,Singapore,,1900000.0,youtube,singapore,False,2024,,
7,Jungle Survival @UC4E1gPBh0_eJ5oftWVsewZA,5900000.0,,Singapore,,1800000.0,youtube,singapore,False,2024,,
8,Jadu Tv - Hindi Stories @UCXRAl3_Vw1fYJdGmk8i20Ug,5600000.0,,Singapore,,1700000.0,youtube,singapore,False,2024,,
9,PopCorn /- Funny Hindi Comedy Videos @UCEI_dcoGYhMLyYpXok6jmog,5600000.0,,Singapore,Celebrity,1700000.0,youtube,singapore,False,2024,Entertainment,MAPPED
10,Golden TV - Funny Hindi Comedy Videos @UCS2E8XulDhyAw3ji7ggg1EQ,5300000.0,,Singapore,,1600000.0,youtube,singapore,False,2024,,
11,老高與小茉 Mr & Mrs Gao @UCMUnInmOkrWN4gof9KlhNmQ,5100000.0,1.4,Singapore,,1500000.0,youtube,singapore,False,2024,,
12,TAWHID AFRIDI @UCEO0rIuBz8Dc8p7PpGE26ZQ,5100000.0,6.2,Singapore,,1500000.0,youtube,singapore,False,2024,,
13,Prank King Entertainment @UC4ON9AHLUa0eVk9U9_EQbUA,4700000.0,1.9,Singapore,,1400000.0,youtube,singapore,False,2024,,
14,YouTube FanFest @UChIGU8b4l5cj6i5D9REsqdg,4600000.0,,Singapore,,1400000.0,youtube,singapore,False,2024,,
15,The Ajaira LTD. @UCpvVcqsap0KnJ6epuH5V6cw,4400000.0,0.6,Singapore,Art,1300000.0,youtube,singapore,False,2024,Lifestyle,MAPPED
16,JaiPhone @UC2q1EOP5KEkKBgFRdnAvpwQ,4200000.0,,Singapore,,1200000.0,youtube,singapore,False,2024,,
17,Josh - Hindi Stories Comedy Videos @UC-SQpatMUyttygyX3qVWXYw,3900000.0,,Singapore,,1200000.0,youtube,singapore,False,2024,,
18,Khushi - Hindi Stories Super Comedy Videos @UCRUA2PhCdudPXKKerX69vVg,3800000.0,,Singapore,,1100000.0,youtube,singapore,False,2024,,
19,Jalsa Tv - Hindi Stories @UCHIYOs5N6C5AeIdWDxvrTgw,3300000.0,,Singapore,,984000.0,youtube,singapore,False,2024,,
20,MHR BANGLA WAZ @UCLWrC5sBJ93jNZG3t7xqBQg,2900000.0,,Singapore,,870000.0,youtube,singapore,False,2024,,
21,SIS Media @UCetlSgFKkae_nsC3fmfC1ig,2900000.0,,Singapore,,867000.0,youtube,singapore,False,2024,,
22,উত্তরাধিকারী @UCR6BoKqrqAtrDfdwT-yZNVw,2800000.0,0.3,Singapore,,852000.0,youtube,singapore,False,2024,,
23,DancingBacons @UCRFj4Yj1nKhgrT-_8AUsaDg,2800000.0,,Singapore,Food and Drink,840000.0,youtube,singapore,False,2024,Lifestyle,MAPPED
24,Science BD @UCbeN7O9VbmflcCbGzjGDbEw,2500000.0,0.1,Singapore,,762000.0,youtube,singapore,False,2024,,
25,Islamic Life @UCDik9UsvvanFZkNd-x1L48Q,2500000.0,,Singapore,,744000.0,youtube,singapore,False,2024,,
26,TTNERF @UCSLsp8Zk-sFR8aAzcD4XRtg,2400000.0,,Singapore,,714000.0,youtube,singapore,False,2024,,
27,The Survival @UCOtloDe4Ytw3X2v04uU91bA,2300000.0,,Singapore,,684000.0,youtube,singapore,False,2024,,
28,Cartoon Network Asia @UC9hVEGaTpAYMVd-bRsOYKwA,2300000.0,,Singapore,,681000.0,youtube,singapore,False,2024,,
29,Doctor Tristan Peh @doctortristanpeh,2200000.0,,Singapore,,660000.0,youtube,singapore,False,2024,,
30,maya funny stories @UC3reWgex99TFUGqLxMnnLMQ,1900000.0,,Singapore,,579000.0,youtube,singapore,False,2024,,
31,Simsim Music @UCWiiZGH1JzQ-4XZrAhzWJ3Q,1900000.0,,Singapore,Music,555000.0,youtube,singapore,False,2024,Music,MAPPED
32,Rayner Teo @UCFSn-h8wTnhpKJMteN76Abg,1700000.0,,Singapore,,501000.0,youtube,singapore,False,2024,,
33,ARS Primitive Cooking @UCjJIYLJBb7asoCc9PrWp8Xg,1500000.0,,Singapore,,456000.0,youtube,singapore,False,2024,,
34,Restore Urphone @UCDtiT1a7crehZtUZM5d5CzA,1500000.0,0.2,Singapore,,450000.0,youtube,singapore,False,2024,,
35,Primitive Building @UClo-U5gvXPRy-4VqWEkkRDg,1400000.0,,Singapore,,426000.0,youtube,singapore,False,2024,,
36,CD Choice Music @UCiEqPaOnp0Ir7cJJn7bWfxw,1400000.0,,Singapore,,423000.0,youtube,singapore,False,2024,,
37,JJ Lin林俊傑 @UCd91HSXKhsIv8PIjNrDByHQ,1400000.0,0.3,Singapore,,423000.0,youtube,singapore,False,2024,,
38,Official ZX @UCfdCL080XtHYYvyF25j5ocQ,1400000.0,0.2,Singapore,,420000.0,youtube,singapore,False,2024,,
39,রুমানার রান্নাবান্না @UC6IFwh0R3xkv-S0lnDioxHA,1400000.0,,Singapore,,417000.0,youtube,singapore,False,2024,,
40,VICE Asia @UC8ZyfGD_qP-v75DGCzYQw6g,1400000.0,0.3,Singapore,Art Food and Drink,405000.0,youtube,singapore,False,2024,Lifestyle,MAPPED
41,KamruL Media @UCNl4VSwudUQFa--GpS-HYug,1400000.0,0.1,Singapore,Celebrity Music,405000.0,youtube,singapore,False,2024,Music,MAPPED
42,OXANA DOLINKA @UCNK9Go44l_419LmiyuEUJHg,1300000.0,0.1,Singapore,,396000.0,youtube,singapore,False,2024,,
43,360 Entertainment Productions @UCdcLazeDQIzZTpUV65xwp0Q,1300000.0,1.2,Singapore,,387000.0,youtube,singapore,False,2024,,
44,Dan Surprise @UC61YzFVCvX9Nw0bE2gM7MUA,1300000.0,0.1,Singapore,,384000.0,youtube,singapore,False,2024,,
45,madsythe @UCHlmq85loxqZlcDqrQckQqQ,1300000.0,,Singapore,,384000.0,youtube,singapore,False,2024,,
46,Creative Solution @UCyI1jGi0t9nVgYNKcBf1W8g,1300000.0,,Singapore,,381000.0,youtube,singapore,False,2024,,
47,Unique Brothers LTD @UCEYhRiLSRJcE2109nhS54eA,1300000.0,0.7,Singapore,,378000.0,youtube,singapore,False,2024,,
48,94.4 JAGO FM @UCUyT1ZfnUldi1GK2uN27Qew,1200000.0,,Singapore,,369000.0,youtube,singapore,False,2024,,
49,CNA Insider @UC_Lnb8ZHqqgLbp-7hltuT9w,1200000.0,,Singapore,,369000.0,youtube,singapore,False,2024,,
50,ម្អម Maorm @UCnfzILeDi0AsZ-5IQKtes7Q,1200000.0,1.0,Singapore,,366000.0,youtube,singapore,False,2024,,
51,da ra @UCVaVd3qlnPzeCMcddbLXEgA,1200000.0,,Singapore,,366000.0,youtube,singapore,False,2024,,
52,Clicknetwork @UC1SvRq3YzZACheYynsDrXmw,1200000.0,,Singapore,,357000.0,youtube,singapore,False,2024,,
53,Axe Mobile Legends @UCzuj9sYnHfYZ_JJAanBnAFQ,1200000.0,,Singapore,,348000.0,youtube,singapore,False,2024,,
54,Hasan Shams Iqbal @UCWe7pYrijq1Tzen8U-SxUsw,1100000.0,0.6,Singapore,,339000.0,youtube,singapore,False,2024,,
55,BD Documentary @UC2--MXDnS5Rokp3ynMWg3tw,1100000.0,,Singapore,,336000.0,youtube,singapore,False,2024,,
56,Primitive Survival Life @UC8DRt1roPwZMKMC7Gma66Pg,1100000.0,,Singapore,,330000.0,youtube,singapore,False,2024,,
57,Life Unique Wilderness @UC5Gg0nC69XVPqBCt_TKoUQQ,1100000.0,,Singapore,,318000.0,youtube,singapore,False,2024,,
58,iFooder @UCWlnUK68WaPO0FVzqwzwR1Q,1100000.0,,Singapore,,315000.0,youtube,singapore,False,2024,,
59,Ridy Sheikh @UC2rWupaplXMsiJscLXvQreQ,1100000.0,0.3,Singapore,,315000.0,youtube,singapore,False,2024,,
60,Om TV @UCkp0Tc7ll67bChomTyB1ezQ,1000000.0,0.5,Singapore,,312000.0,youtube,singapore,False,2024,,
61,FunnyPig @UCWv2oOr-VnM5z7-Eb_NlWfA,1000000.0,,Singapore,,309000.0,youtube,singapore,False,2024,,
62,Viddsee @UClQMNIPzABe5FqUrOO0yEiQ,1000000.0,,Singapore,,303000.0,youtube,singapore,False,2024,,
63,Prio @UCbMiFccU-sFE8Eb7voKpLyg,1000000.0,,Singapore,,303000.0,youtube,singapore,False,2024,,
64,Joseph Prince @UCJRSBsjLPipnu8y03qa2_Iw,1000000.0,0.4,Singapore,,303000.0,youtube,singapore,False,2024,,
65,NakFake OFFICIAL @UC0lXKEQwQTjW-8WS3OOO_xg,1000000.0,4.0,Singapore,,300000.0,youtube,singapore,False,2024,,
66,Daily Tv @UCTCgUurc34vDcwgsqRZx4Vw,992000.0,,Singapore,,297600.0,youtube,singapore,False,2024,,
67,Mehedi Hassan @UC-HkZ2IIk_LU2gjvxC_1ziQ,985000.0,10.9,Singapore,,295500.0,youtube,singapore,False,2024,,
68,Creative Wilderness @UC60U2OJecinf0HkOaCcZDQA,945000.0,,Singapore,,283500.0,youtube,singapore,False,2024,,
69,Khmer Narrated Stories @UCbxQhOpK1m4_4712FiWYQLQ,940000.0,2.0,Singapore,,282000.0,youtube,singapore,False,2024,,
70,Nice Waz @UCX1uRcPu67VpRTl2HV3G5YA,940000.0,,Singapore,,282000.0,youtube,singapore,False,2024,,
71,Spice N' Pans @UCZDx-SKnLRjpviwzgk7g86w,934000.0,,Singapore,,280200.0,youtube,singapore,False,2024,,
72,GOAL Thailand @UCo5an8fJGNDIB8mV_1PBXqw,908000.0,,Singapore,,272400.0,youtube,singapore,False,2024,,
73,Chayapoth @UCVMDz4sAuwtKTQhhPqRqoxw,892000.0,,Singapore,,267600.0,youtube,singapore,False,2024,,
74,Islamic life @UCelbo91TgG5Pa2g6n1PXuww,873000.0,,Singapore,,261899.99999999997,youtube,singapore,False,2024,,
75,Cuộc Sống Hạnh Phúc @UCmW-gKCPVmjct7-FMOVcTBQ,873000.0,,Singapore,,261899.99999999997,youtube,singapore,False,2024,,
76,SuperPrincessjo @UCEGAltRg_F4kLi8Wejj8d4Q,860000.0,,Singapore,,258000.0,youtube,singapore,False,2024,,
77,Adam Khoo @UCK-aOjEvZNJl3HINja0gAiQ,854000.0,0.2,Singapore,,256200.0,youtube,singapore,False,2024,,
78,Feng Timo Fans Channel @UCZCvQ2AlcTnnQi0msIIITaA,823000.0,0.1,Singapore,,246900.0,youtube,singapore,False,2024,,
79,As CREATION @UCLp6jN2qYbs29gMVXxdV05A,823000.0,,Singapore,Celebrity,246900.0,youtube,singapore,False,2024,Entertainment,MAPPED
80,Yangon Times @UCwU4TdAOCWg3nufBSsuhT5A,820000.0,0.4,Singapore,,246000.0,youtube,singapore,False,2024,,
81,Eleven Broadcasting @UCzoPb9sKVAHd-pIzv9RGGRA,806000.0,,Singapore,Celebrity News Sports,241800.0,youtube,singapore,False,2024,Sports,MAPPED
82,NewsFilmy @UCggmpgrWYCJ-FdDgIPsX7gQ,797000.0,,Singapore,,239100.0,youtube,singapore,False,2024,,
83,Islamic InFo Bangla @UC5ZXh4ScI19JEwUqPML8vAQ,790000.0,,Singapore,,237000.0,youtube,singapore,False,2024,,
84,A Play @UCBKBvxZaRWdRYGUgMPfXxjg,788000.0,0.2,Singapore,,236400.0,youtube,singapore,False,2024,,
85,RB Entertainment @UC7P8-Q4y9BfgmwbRZDYIyGg,782000.0,0.2,Singapore,,234600.0,youtube,singapore,False,2024,,
86,Aung Thiri Entertainment @UCyprSUcaLP0mQAB1b9N90pg,753000.0,,Singapore,,225900.0,youtube,singapore,False,2024,,
87,Sunday Journal @UCo0U2Mpumt3gTeBDpP28ZrA,746000.0,,Singapore,,223800.0,youtube,singapore,False,2024,,
88,Rakib Hossain 2.0 @UC-znXt2JOwPwMN5ewNQ2qBQ,737000.0,5.2,Singapore,,221100.0,youtube,singapore,False,2024,,
