rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Max TV @UCZQrA6Jnw08iF8GcFx4VDWg,4200000.0,,Slovakia,,1300000.0,youtube,slovakia,False,2024,,
2,Peter PlutaX @UCbaY6IEY0-pRHBU_qCswoNQ,2900000.0,,Slovakia,,882000.0,youtube,slovakia,False,2024,,
3,GoGoManTV @UCewFV_KI5BSu0f8bKZ4BMfA,1800000.0,0.2,Slovakia,,537000.0,youtube,slovakia,False,2024,,
4,Cubic Animations @UCeM736Esh_lwk1xDAoGikFA,1300000.0,,Slovakia,,393000.0,youtube,slovakia,False,2024,,
5,Hindi Music @UCQ0kBF3Baal_YLls6DeUf8Q,1300000.0,,Slovakia,Music,384000.0,youtube,slovakia,False,2024,Music,MAPPED
6,Televízia JOJ @UC5zY50gn7Z0-yGSt74dRZXw,1100000.0,,Slovakia,,327000.0,youtube,slovakia,False,2024,,
7,Expl0ited @UCR6Httwme-xk5mKlni-lRzw,966000.0,1.2,Slovaquie,,289800.0,youtube,slovakia,False,2024,,
8,DONFANTASTICKYPESS @UC-yJccH4T1UnNrY0YyspGYg,850000.0,0.2,Slovaquie,,255000.0,youtube,slovakia,False,2024,,
9,StudioMoonTV @UC7-hMlW_QECv-fghTGUWgYg,841000.0,2.1,Slovaquie,,252300.0,youtube,slovakia,False,2024,,
10,FÍHA tralala @UC2QySOE0ohZFd-1XsXzNHPw,827000.0,,Slovaquie,,248100.0,youtube,slovakia,False,2024,,
11,menameselassie @UCNV6tckdVW3L_wiBN8tz9gQ,777000.0,1.0,Slovaquie,,233100.0,youtube,slovakia,False,2024,,
12,Smejko a Tanculienka @UCia0mF-pM9xo5ZMN8DoFp_Q,718000.0,,Slovaquie,,215400.0,youtube,slovakia,False,2024,,
13,Duklock @UCf4pkVHnnWTqUbjxZgFzvfw,715000.0,2.5,Slovaquie,,214500.0,youtube,slovakia,False,2024,,
14,DJ Blyatman @UCnWnuHHjG-__QxuoZgjBgIg,713000.0,1.1,Slovaquie,,213900.0,youtube,slovakia,False,2024,,
15,The Lullaby World @UCOYUFFxT50nvDaRj5Mn5XNg,623000.0,,Slovaquie,,186900.0,youtube,slovakia,False,2024,,
16,KALI RECORDS @UCjIl8ztAFLTiZkhvgaiOoow,620000.0,0.1,Slovaquie,,186000.0,youtube,slovakia,False,2024,,
17,ANGRY EARTH @UCr0HthUtPsgcl99FVSMHn4g,619000.0,0.1,Slovaquie,,185700.0,youtube,slovakia,False,2024,,
18,BirnyX @UCEaMp8VjNv3EJYgDTqcUQvA,539000.0,,Slovaquie,,161700.0,youtube,slovakia,False,2024,,
19,Sasha Sotnik @UCnAmkiIpUXkVOY1A1r-zE6w,526000.0,1.0,Slovaquie,,157800.0,youtube,slovakia,False,2024,,
20,VisioRacer @UCXtx43lso-J9taKABVa-Rtw,510000.0,,Slovaquie,Automobile Éducation,153000.0,youtube,slovakia,False,2024,UNMAPPED,UNMAPPED
21,Max Топ @UC3VvMXMrEeav1njSUFKgbfA,461000.0,0.3,Slovaquie,,138300.0,youtube,slovakia,False,2024,,
22,PACI PAC @UCGWk8azphTdm0PKH0vKDIfw,451000.0,,Slovaquie,,135300.0,youtube,slovakia,False,2024,,
23,FAMILY ZONE - MOJA RODINKA @UC99D5fRGLZ4WZheVArrDQSA,412000.0,,Slovaquie,,123600.0,youtube,slovakia,False,2024,,
24,SIMA Official @UCH89taVRyeY-oory-zv2FXQ,404000.0,6.1,Slovaquie,,121200.0,youtube,slovakia,False,2024,,
25,Mesiac @UCSPr_APStbstOEbCmV8sp1Q,380000.0,,Slovaquie,,114000.0,youtube,slovakia,False,2024,,
26,Random Týpek @UC8huou5jTYkbv8m0WFgeXag,377000.0,5.8,Slovaquie,,113100.0,youtube,slovakia,False,2024,,
27,Galgan Music @UCckh_8hdHZUdXJPixpWv-qQ,374000.0,0.6,Slovaquie,,112200.0,youtube,slovakia,False,2024,,
28,Zrebny & Frlajs & Mojmir @UC74kimKZOy8aXzg7rhUOVsA,372000.0,,Slovaquie,,111600.0,youtube,slovakia,False,2024,,
29,DuklockPlus @UCIAbC7emlDQs-dmgW4GlgnA,357000.0,2.1,Slovaquie,,107100.0,youtube,slovakia,False,2024,,
30,Nikolai @UC2r7HhUYj2k1uPg1Kl1ncPw,353000.0,19.6,Slovaquie,,105900.0,youtube,slovakia,False,2024,,
31,Klarisa @UC2wtd0oe71RJVZbIlntPhGw,353000.0,3.8,Slovaquie,,105900.0,youtube,slovakia,False,2024,,
32,Polygon Runway @UCGSJevmBuDyxjLLOBNaYMGA,308000.0,0.1,Slovaquie,,92400.0,youtube,slovakia,False,2024,,
33,MELODY Records @UCpy5RCOLhiPC4cNqb1P01mA,294000.0,,Slovaquie,Musique,88200.0,youtube,slovakia,False,2024,UNMAPPED,UNMAPPED
34,7777MrAlex @UCPUSWPOoXbTvnJtIPKCW6Yg,292000.0,,Slovaquie,,87600.0,youtube,slovakia,False,2024,,
35,Night Shift @UCNM5EknY1XBA9buLmJqYLdw,286000.0,,Slovaquie,,85800.0,youtube,slovakia,False,2024,,
36,Milos Juriga @UCX6GmNg33GTTUfJYqWOdFwQ,282000.0,,Slovaquie,,84600.0,youtube,slovakia,False,2024,,
37,Myles. @UCSEmaBuAIj9kboyKgz-46rQ,260000.0,,Slovaquie,,78000.0,youtube,slovakia,False,2024,,
38,Lady Zika @UCfA0sz8f5J5RZqdfahvFAjA,249000.0,0.1,Slovaquie,,74700.0,youtube,slovakia,False,2024,,
39,Slovenske Rozpravky a Pesnicky pre Deti Sagan Tv @UCQXfFMTMGb-VB58y5Rekqhw,239000.0,,Slovaquie,,71700.0,youtube,slovakia,False,2024,,
40,PPPíter @UCu4lx1klxwUO9oCzs2vDBhw,235000.0,0.2,Slovaquie,,70500.0,youtube,slovakia,False,2024,,
41,JurajVie @UCLBaR8BmaV6HPx_CjuaZ5xw,231000.0,6.6,Slovaquie,,69300.0,youtube,slovakia,False,2024,,
42,Evžen @UCK8ZC2jAyInQPK61hAAYKwQ,227000.0,,Slovaquie,,68100.0,youtube,slovakia,False,2024,,
