rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Die Antwoord @UC6DicDItkLQ7N4ag1JS5mqg,3300000.0,1.3,South Africa,,978000.0,youtube,south-africa,False,2024,,
2,Noel Deyzel @UCMp-0bU-PA7BNNR-zIvEydA,2900000.0,,South Africa,,864000.0,youtube,south-africa,False,2024,,
3,Openmic Productions @UCzMzPGGVKpjZAJy1aOAUieA,2400000.0,,South Africa,Marketing and Advertising Music,732000.0,youtube,south-africa,False,2024,Knowledge&Info,MAPPED
4,The Supa Strikas - Kids Soccer Cartoon @UCdtojT_ZwTRlZThoBSMVhoQ,2000000.0,,South Africa,,597000.0,youtube,south-africa,False,2024,,
5,Boomerang Africa @UCgGq2xHDvUHSUzs7VOIdKKw,2000000.0,,South Africa,,594000.0,youtube,south-africa,False,2024,,
6,Cartoon Network Africa @UCYXAcMNZRdYkR-vKV3OO1DQ,1900000.0,,South Africa,Travel Video Gaming,555000.0,youtube,south-africa,False,2024,Tech&Gaming,MAPPED
7,SABC News @UC8yH-uI81UUtEMDsowQyx1g,1600000.0,,South Africa,,480000.0,youtube,south-africa,False,2024,,
8,Pastor Alph Lukau @UCmBMGitwFg3dDFNtOSQT1JQ,1500000.0,,South Africa,,435000.0,youtube,south-africa,False,2024,,
9,Hayls World @haylsworld,1300000.0,0.4,South Africa,,393000.0,youtube,south-africa,False,2024,,
10,Wian @UC3xgevNpGmAgWpdjtTXR20w,1200000.0,,South Africa,,360000.0,youtube,south-africa,False,2024,,
11,DJ Arch Jnr @UCQ1hYup0TxMjuGInZFkftzA,1200000.0,,South Africa,,345000.0,youtube,south-africa,False,2024,,
12,The Kiffness @UCFy846QdKs3LbLgBpSqPcdg,1200000.0,2.7,South Africa,,345000.0,youtube,south-africa,False,2024,,
13,michael jamison @UC3SIm-UNl4Ou381-PYKzU8w,1100000.0,,South Africa,Pets,342000.0,youtube,south-africa,False,2024,Lifestyle,MAPPED
14,OMFilms @UCEZ6QFA7F37E--lqew7wbAQ,1100000.0,,South Africa,,333000.0,youtube,south-africa,False,2024,,
15,Nasty_C @UC01ompoZ0RMCuWP2ZODqzbg,947000.0,0.4,South Africa,,284100.0,youtube,south-africa,False,2024,,
16,Spirittunez @UCVTDsWA7ItkDj9vt9Kt_oCw,942000.0,,South Africa,,282600.0,youtube,south-africa,False,2024,,
17,MzansiMagicOfficial @UCSEibSG6dlUJvkC40IpNMRQ,931000.0,,South Africa,,279300.0,youtube,south-africa,False,2024,,
18,DLM Men's Lifestyle @UC07qAfGd_Tqu8xRG6yPtw3A,863000.0,,South Africa,,258899.99999999997,youtube,south-africa,False,2024,,
19,Steegs Vlogs @UCrwNyJioqAkfjQgqpQE-VtA,863000.0,,South Africa,,258899.99999999997,youtube,south-africa,False,2024,,
