rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,LISA @lalalalisa_m,102200000.0,7.02,South Korea,Singer,30700000.0,instagram,south-korea,False,2024,Music,MAPPED
2,BTS official @bts.bighitofficial,74400000.0,2.32,South Korea,Entertainment and Music Music Band Singer,22300000.0,instagram,south-korea,False,2024,Music,MAPPED
3,SUGA of BTS 민윤기 @agustd,48700000.0,9.67,South Korea,Entertainment and Music Music Musician Band,14600000.0,instagram,south-korea,False,2024,Music,MAPPED
4,Jin of BTS @jin,48000000.0,15.54,South Korea,Art Music Artist,14400000.0,instagram,south-korea,False,2024,Music,MAPPED
5,이민호 leeminho @actorleeminho,35100000.0,4.6,South Korea,Actors,10500000.0,instagram,south-korea,False,2024,Entertainment,MAPPED
6,이지금 IU @dlwlrma,31400000.0,10.75,South Korea,Entertainment and Music Celebrity Modeling,9400000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
7,TWICE @twicetagram,28800000.0,1.42,South Korea,Art Music Band Modeling,8600000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
8,Stray Kids @realstraykids,27800000.0,3.67,South Korea,Entertainment and Music Band Music Music of Asia,8300000.000000001,instagram,south-korea,False,2024,Music,MAPPED
9,권지용(權志龍) @xxxibgdrgn,22400000.0,3.1,South Korea,Entertainment and Music Adventure Entertainment,6700000.0,instagram,south-korea,False,2024,Sports,MAPPED
10,SOMI @somsomi0309,19700000.0,3.14,South Korea,Modeling Styling Singer Artist,5900000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
11,Bretman Rock @bretmanrock,18900000.0,3.78,South Korea,Celebrity Video Blogger Celebrities Movie Character,5700000.0,instagram,south-korea,False,2024,Entertainment,MAPPED
12,Hyuna Kim @hyunah_aa,18000000.0,0.06,South Korea,Music of Asia Singer,5400000.0,instagram,south-korea,False,2024,Music,MAPPED
13,황인엽 @hi_high_hiy,17700000.0,11.92,South Korea,Acting and Drama,5300000.0,instagram,south-korea,False,2024,Entertainment,MAPPED
14,TOP 최승현🌙 @choi_seung_hyun_tttop,17600000.0,0.72,South Korea,Entertainment and Music,5300000.0,instagram,south-korea,False,2024,Music,MAPPED
15,NCT Official Instagram @nct,17300000.0,0.09,South Korea,Entertainment and Music Music Band Musician Band,5200000.0,instagram,south-korea,False,2024,Music,MAPPED
16,Song hyekyo @kyo1122,17300000.0,6.31,South Korea,Entertainment and Music Actors,5200000.0,instagram,south-korea,False,2024,Music,MAPPED
17,이동욱 (Official_Instagram) @leedongwook_official,17200000.0,4.4,South Korea,Acting and Drama Celebrity Actors Actor,5200000.0,instagram,south-korea,False,2024,Entertainment,MAPPED
18,NCT 127 Official Instagram @nct127,16600000.000000002,0.1,South Korea,Entertainment and Music Music Modeling Bands Musicians,5000000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
19,TOMORROW X TOGETHER OFFICIAL @txt_bighit,15800000.0,0.09,South Korea,,4700000.0,instagram,south-korea,False,2024,,
20,박신혜/Shin Hye Park @ssinz7,15600000.0,3.62,South Korea,Actors Singer Artist,4700000.0,instagram,south-korea,False,2024,Music,MAPPED
21,SM Entertainment Group @smtown,14700000.0,0.51,South Korea,Entertainment and Music Celebrity Music Singer,4400000.0,instagram,south-korea,False,2024,Music,MAPPED
22,김수현 Kim Soo Hyun 金秀賢 @soohyun_k216,14400000.0,5.8,South Korea,Entertainment and Music Gym Modeling Artist,4300000.0,instagram,south-korea,False,2024,Sports,MAPPED
23,Mark Tuan @marktuan,14000000.0,3.88,South Korea,Entertainment and Music Music Actors,4200000.0,instagram,south-korea,False,2024,Music,MAPPED
24,MUN KA YOUNG @m_kayoung,13100000.0,0.1,South Korea,Actors,3900000.0,instagram,south-korea,False,2024,Entertainment,MAPPED
25,Son HeungMin(손흥민)🇰🇷 @hm_son7,12700000.0,6.16,South Korea,Sports,3800000.0,instagram,south-korea,False,2024,Sports,MAPPED
26,Red Velvet Official @redvelvet.smtown,12100000.0,2.32,South Korea,Entertainment and Music Music of Asia Styling,3600000.0,instagram,south-korea,False,2024,Music,MAPPED
27,송중기 songjoongki official @hi_songjoongki,12000000.0,0.12,South Korea,,3600000.0,instagram,south-korea,False,2024,,
28,김유정 KIM YOU JUNG 🇰🇷 @you_r_love,12000000.0,0.17,South Korea,Fashion Modeling,3600000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
29,박형식 / PARKHYUNGSIK @phs1116,11900000.0,13.09,South Korea,Arts and Crafts Business,3600000.0,instagram,south-korea,False,2024,Knowledge&Info,MAPPED
30,(G)I-DLE (여자)아이들 @official_g_i_dle,11800000.0,2.08,South Korea,Entertainment and Music Music Modeling,3600000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
31,장원영 WONYOUNG @for_everyoung10,11800000.0,0.16,South Korea,,3500000.0,instagram,south-korea,False,2024,,
32,aespa 에스파 @aespa_official,11700000.0,0.51,South Korea,Entertainment and Music,3500000.0,instagram,south-korea,False,2024,Music,MAPPED
33,TAEYONG @taeoxo_nct,11400000.0,10.78,South Korea,Entertainment and Music Celebrity Food and Drink,3400000.0,instagram,south-korea,False,2024,Music,MAPPED
34,SUHO @kimjuncotton,11100000.0,0.24,South Korea,Travel Music Boutique,3300000.0,instagram,south-korea,False,2024,Music,MAPPED
35,EXO Official @weareone.exo,10800000.0,2.77,South Korea,Entertainment and Music Singer Band,3200000.0,instagram,south-korea,False,2024,Music,MAPPED
36,위하준 Wi Ha Jun @wi__wi__wi,10500000.0,6.89,South Korea,Fashion Gym Modeling,3100000.0,instagram,south-korea,False,2024,Sports,MAPPED
37,채영 CHAEYOUNG @chaeyo.0,9900000.0,14.23,South Korea,Music,3000000.0,instagram,south-korea,False,2024,Music,MAPPED
38,김선호 @seonho__kim,9800000.0,0.19,South Korea,Celebrity Gym Modeling,3000000.0,instagram,south-korea,False,2024,Sports,MAPPED
39,SHINee KEY @bumkeyk,9800000.0,1.9,South Korea,Entertainment and Music Singer,2900000.0,instagram,south-korea,False,2024,Music,MAPPED
40,HUH YUNJIN @jenaissante,9700000.0,0.16,South Korea,,2900000.0,instagram,south-korea,False,2024,,
41,미나 (MINA) @mina_sr_my,9300000.0,12.61,South Korea,,2800000.0,instagram,south-korea,False,2024,,
42,WayV @wayvofficial,9300000.0,0.13,South Korea,Entertainment and Music Modeling,2800000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
43,ATEEZ(에이티즈) @ateez_official_,9300000.0,0.16,South Korea,Entertainment and Music Modeling Musician,2800000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
44,CHOIWOOSHIK @dntlrdl,9200000.0,0.13,South Korea,Celebrity Actor,2800000.0,instagram,south-korea,False,2024,Entertainment,MAPPED
45,JUNGKOOK (전정국) Updates @jungkook_bighitentertainment,9100000.0,8.62,South Korea,Entertainment and Music,2700000.0,instagram,south-korea,False,2024,Music,MAPPED
46,TAEHYUNG (김태형) Updates @taehyung.bighitentertainment,9100000.0,8.79,South Korea,Art Entertainment and Music,2700000.0,instagram,south-korea,False,2024,Music,MAPPED
47,최시원 • Siwon Choi @siwonchoi,9000000.0,2.55,South Korea,Entertainment and Music Founder Marketing,2700000.0,instagram,south-korea,False,2024,Knowledge&Info,MAPPED
48,PONY 포니 @ponysmakeup,9000000.0,0.11,South Korea,Beauty and Self Care Fashion and Accessories Lifestyle,2700000.0,instagram,south-korea,False,2024,Beauty&Fashion,MAPPED
