rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,시아지우 sia_jiwoo @sia_jiwoo,27500000.0,0.2,South Korea,,8300000.000000001,tiktok,south-korea,False,2024,,
2,신사마 SHINSAMA @shinsama422,17200000.0,0.9,South Korea,Entertainment and Music,5200000.0,tiktok,south-korea,False,2024,Music,MAPPED
3,옐언니 SISTERYELL @sisteryell,14200000.0,0.1,South Korea,Beauty and Self Care,4300000.0,tiktok,south-korea,False,2024,Beauty&Fashion,MAPPED
4,J-COP @beatboxjcop,13900000.0,,South Korea,Entertainment and Music,4200000.0,tiktok,south-korea,False,2024,Music,MAPPED
5,Stray Kids @jypestraykids,12400000.0,0.4,South Korea,Entertainment and Music,3700000.0,tiktok,south-korea,False,2024,Music,MAPPED
6,신사장 SHIN SAJANG @shin_sajang93,12400000.0,0.2,South Korea,Entertainment and Music,3700000.0,tiktok,south-korea,False,2024,Music,MAPPED
7,지원패밀리 @jiwon_family,11900000.0,,South Korea,family,3600000.0,tiktok,south-korea,False,2024,Lifestyle,MAPPED
8,YUN @yun_bao,7800000.0,0.1,South Korea,Entertainment and Music,2300000.0,tiktok,south-korea,False,2024,Music,MAPPED
9,โจเซฟมาเยือน @josephmayuen,6500000.0,,South Korea,,2000000.0,tiktok,south-korea,False,2024,,
10,유빈 Kelly @kellykimkim7,5300000.0,,South Korea,Fashion and Accessories,1600000.0,tiktok,south-korea,False,2024,Beauty&Fashion,MAPPED
11,가람(karam) @karam_0628,4600000.0,,South Korea,,1400000.0,tiktok,south-korea,False,2024,,
12,또솔 DDO_SOL @ddo.sol,4500000.0,,South Korea,Entertainment and Music Funny,1400000.0,tiktok,south-korea,False,2024,Music,MAPPED
13,ASTRO 아스트로 @astro_official,4400000.0,,South Korea,,1300000.0,tiktok,south-korea,False,2024,,
14,Avira Nisha @aviranisha,4200000.0,,South Korea,Food Travel Food and Drink,1300000.0,tiktok,south-korea,False,2024,Lifestyle,MAPPED
15,인사이트 @insight_official,4099999.9999999995,,South Korea,,1200000.0,tiktok,south-korea,False,2024,,
16,Dewsisters @dewsisters,4000000.0,,South Korea,,1200000.0,tiktok,south-korea,False,2024,,
17,주한띠 @juhan5310,3800000.0,,South Korea,Entertainment and Music,1100000.0,tiktok,south-korea,False,2024,Music,MAPPED
18,마티랜드🐰마티🐰 @matiland_mati,3800000.0,0.5,South Korea,,1100000.0,tiktok,south-korea,False,2024,,
19,Heyoon Jeong @heyoonjeong,3200000.0,,South Korea,,960000.0,tiktok,south-korea,False,2024,,
