rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Alisha Lehmann @alishalehmann7,16600000.000000002,4.55,Switzerland,Outdoor Activity Sports Soccer,5000000.0,instagram,switzerland,False,2024,Sports,MAPPED
2,Roger Federer @rogerfederer,12200000.0,1.49,Switzerland,Sports Tennis,3600000.0,instagram,switzerland,False,2024,Sports,MAPPED
3,Michelle Hunziker @therealhunzigram,5800000.0,0.96,Switzerland,Entertainment and Music Pets Finance Modeling,1700000.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
4,Pamela Alexandra @pamelaalexandra,5400000.0,0.19,Switzerland,Food Travel Lifestyle Styling,1600000.0,instagram,switzerland,False,2024,Lifestyle,MAPPED
5,Sarah Angius @sarahangius,3900000.0,0.44,Switzerland,Beauty and Self Care Parenting Lifestyle Styling,1200000.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
6,Granit Xhaka @granitxhaka,3200000.0,1.99,Switzerland,Sports Romance and Wedding Soccer Coaching,946700.0,instagram,switzerland,False,2024,Sports,MAPPED
7,Dayan Kolev @dayan.kole,3100000.0,4.55,Switzerland,,936100.0,instagram,switzerland,False,2024,,
8,Kristina Bazan @kristinabazan,2700000.0,0.08,Switzerland,Entertainment and Music Modeling,800700.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
9,Claudio Castagnoli @claudiocsro,2500000.0,0.41,Switzerland,Sports Food Restaurants,750900.0,instagram,switzerland,False,2024,Sports,MAPPED
10,Rafiath Rashid Mithila @rafiath_rashid_mithila,2200000.0,0.09,Switzerland,Acting and Drama Education Celebrity Singer,673500.0,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
11,Kevin Lütolf @kevinlutolf,2000000.0,2.69,Switzerland,Finance Business and Finance Modeling Lifestyle,599600.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
12,Patek Philippe @patekphilippe,2000000.0,0.51,Switzerland,Fashion and Accessories Luxury,587500.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
13,𝐆𝐮𝐢𝐥𝐥𝐚𝐮𝐦𝐞 𝐐𝐮𝐞𝐧𝐞𝐭 @balkrof,1800000.0,8.7,Switzerland,Parenting Fashion Moms Children,530300.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
14,Darius Sinathrya K @darius_sinathrya,1700000.0,0.54,Switzerland,Auto and Vehicles Celebrity,501800.0,instagram,switzerland,False,2024,Tech&Gaming,MAPPED
15,Igor Rickli @igorrickli,1600000.0,2.09,Switzerland,Education Life and Society Actors,470500.0,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
16,Patrizia🇨🇭➕🇩🇴 @patriziayanguela,1500000.0,0.07,Switzerland,Entertainment and Music Automotive,451500.0,instagram,switzerland,False,2024,Tech&Gaming,MAPPED
17,📍SWITZERLAND🇨🇭 @landscapes_sisiswiss,1400000.0,1.02,Switzerland,Nature Outdoor Activity Travel,431600.0,instagram,switzerland,False,2024,Sports,MAPPED
18,swiss | Xplorers🇨🇭 @swissxplorers_,1400000.0,33.51,Switzerland,Nature Travel,417800.0,instagram,switzerland,False,2024,Lifestyle,MAPPED
19,Senai Senna @sennarelax,1400000.0,0.5,Switzerland,Travel Photography Adventure Nature & Outdoors,408200.0,instagram,switzerland,False,2024,Sports,MAPPED
20,JESSICA GISMONDI @jessica.gismondi,1400000.0,0.07,Switzerland,Travel Business and Finance Marketing and Advertising Lifestyle,405900.0,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
21,👻 Snapchat: Fashion_lalo 👻 @fashion_lalo,1200000.0,0.08,Switzerland,Fashion and Accessories Lifestyle,366000.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
22,Daniela Scuderi @daniellapintto,1200000.0,1.6,Switzerland,family Fashion and Accessories Travel Video Creator,353200.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
23,Stefano Tratto @stefanotratto,1100000.0,3.49,Switzerland,Travel Lifestyle Modeling Celebrities,320600.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
24,Dimash Adilet | Geneva @dimashadilet,1100000.0,1.33,Switzerland,Finance Education Business and Finance Lifestyle,319200.0,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
25,Gina Virahya @ginaa.24,1000000.0,0.61,Switzerland,Travel Beauty and Self Care Product Showcase Food,310100.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
26,Diana General @generalgirl666,1000000.0,0.53,Switzerland,,309600.0,instagram,switzerland,False,2024,,
27,Fabio Cordella @fabio_cordella,1000000.0,3.98,Switzerland,Business and Finance,306900.0,instagram,switzerland,False,2024,Knowledge&Info,MAPPED
28,Céline Centino🖤 @ccentino,1000000.0,7.34,Switzerland,Fashion and Accessories Modeling,305500.0,instagram,switzerland,False,2024,Beauty&Fashion,MAPPED
