rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,ales2ndro @ales2ndro,2700000.0,,Switzerland,,810000.0,tiktok,switzerland,False,2024,,
2,chiaracastelli @chiaracastelli,1800000.0,,Switzerland,Entertainment and Music Music,540000.0,tiktok,switzerland,False,2024,Music,MAPPED
3,World Economic Forum @worldeconomicforum,1700000.0,,Switzerland,Education,510000.0,tiktok,switzerland,False,2024,Knowledge&Info,MAPPED
4,Red Bull Switzerland @redbullswitzerland,1100000.0,,Switzerland,Entertainment and Music Outdoor Activity,330000.0,tiktok,switzerland,False,2024,Sports,MAPPED
5,Sami Loft @samiloft,1100000.0,,Switzerland,DIY and Life Hacks Home and Garden,330000.0,tiktok,switzerland,False,2024,Lifestyle,MAPPED
6,TP @drpronto,1100000.0,,Switzerland,Travel,330000.0,tiktok,switzerland,False,2024,Lifestyle,MAPPED
7,heartbeatfood @heartbeatfood,1100000.0,,Switzerland,,330000.0,tiktok,switzerland,False,2024,,
8,asaniamir @asaniamir,998600.0,,Switzerland,Travel,299600.0,tiktok,switzerland,False,2024,Lifestyle,MAPPED
9,Yazi Cole @yazicole,899600.0,,Switzerland,Beauty and Self Care,269900.0,tiktok,switzerland,False,2024,Beauty&Fashion,MAPPED
10,Pranks from CH @selfcheckarea,891500.0,0.1,Switzerland,,267500.0,tiktok,switzerland,False,2024,,
11,Hublot @hublot,859400.0,,Switzerland,,257800.0,tiktok,switzerland,False,2024,,
12,TATAKI @tatakiii,833500.0,0.1,Switzerland,,250100.0,tiktok,switzerland,False,2024,,
13,Zeki @zekisworld,822400.0,0.3,Switzerland,,246700.0,tiktok,switzerland,False,2024,,
14,Master Money @mastermoneymanagement,801100.0,,Switzerland,Finance,240300.0,tiktok,switzerland,False,2024,Knowledge&Info,MAPPED
15,Gripmode Goalkeeping @gripmode,791400.0,,Switzerland,,237400.0,tiktok,switzerland,False,2024,,
16,Maya Leinenbach @fitgreenmind,782100.0,0.1,Switzerland,Food,234600.0,tiktok,switzerland,False,2024,Lifestyle,MAPPED
17,🦋 Désiré 🦋 @desireajavon,771800.0,,Switzerland,,231500.0,tiktok,switzerland,False,2024,,
18,Maelo Romani @maeloromani,771400.0,,Switzerland,,231400.0,tiktok,switzerland,False,2024,,
19,João Azambuja🦋🇨🇭 @jvbuja,739600.0,,Switzerland,,221900.0,tiktok,switzerland,False,2024,,
20,Home of Hoops @fiba,735300.0,,Switzerland,,220600.0,tiktok,switzerland,False,2024,,
21,Muhammad Akram ✅ @akooo786,700900.0,0.2,Switzerland,,210300.0,tiktok,switzerland,False,2024,,
22,joshtyrell @josh_tyrell,672100.0,0.1,Switzerland,,201600.0,tiktok,switzerland,False,2024,,
23,Lenny Izaguire ✨ @lenny_iza,670100.0,,Switzerland,,201000.0,tiktok,switzerland,False,2024,,
24,rock_sharan @rock_sharan,660900.0,,Switzerland,,198300.0,tiktok,switzerland,False,2024,,
25,ℍ 𝔼 𝕃 𝕃 𝔹 𝕆 𝕐 @nathanberno,632500.0,,Switzerland,,189800.0,tiktok,switzerland,False,2024,,
26,Senna Relax @sennarelax,577700.0,,Switzerland,Travel,173300.0,tiktok,switzerland,False,2024,Lifestyle,MAPPED
27,Ch_soccer @ch_soccer_,565900.0,,Switzerland,Sports Entertainment and Music,169800.0,tiktok,switzerland,False,2024,Sports,MAPPED
28,Maya Eigenmann @maya_eigenmann,562900.0,,Switzerland,,168900.0,tiktok,switzerland,False,2024,,
29,Kevinlutolf @kevinlutolf,536800.0,,Switzerland,,161000.0,tiktok,switzerland,False,2024,,
30,Marvel love @marvel_love12,505700.0,,Switzerland,,151700.0,tiktok,switzerland,False,2024,,
31,669 SWIIZEN @swiizen_levrai,501300.0,,Switzerland,,150400.0,tiktok,switzerland,False,2024,,
32,Lahori jutti😘 @aira512,498600.0,,Switzerland,,149600.0,tiktok,switzerland,False,2024,,
33,Света Мужжухина @sm.otri,480900.0,,Switzerland,Art,144300.0,tiktok,switzerland,False,2024,Lifestyle,MAPPED
34,🦋⃟✮͢🇨ɧųʑı🐣ơყɛɛ🙊 @chuzi_oyee_786,457800.0,,Switzerland,,137300.0,tiktok,switzerland,False,2024,,
35,simomo @simomo2,446400.0,,Switzerland,,133900.0,tiktok,switzerland,False,2024,,
36,Basel @baselato,431300.0,,Switzerland,,129400.0,tiktok,switzerland,False,2024,,
37,Sam Jorden @thesamjorden,430300.0,0.1,Switzerland,,129100.0,tiktok,switzerland,False,2024,,
38,Kaorydesole @kaorydesole,425600.0,,Switzerland,Beauty and Self Care,127700.0,tiktok,switzerland,False,2024,Beauty&Fashion,MAPPED
