rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Semiraminta @semiraminta,12700000.0,0.4,Turkey,,3800000.0,tiktok,turkey,False,2024,,
2,Çağla Şimşek @caglassimsek,6000000.0,,Turkey,,1800000.0,tiktok,turkey,False,2024,,
3,Tugce Demir @tugcedmr61,5600000.0,,Turkey,Beauty and Self Care,1700000.0,tiktok,turkey,False,2024,Beauty&Fashion,MAPPED
4,Şırdancı Mehmet @sirdancimehmet,5600000.0,,Turkey,Home and Garden,1700000.0,tiktok,turkey,False,2024,Lifestyle,MAPPED
5,EDA KÖK @edakok59,5000000.0,2.9,Turkey,,1500000.0,tiktok,turkey,False,2024,,
6,Ece Mumay @ecemumay,3900000.0,,Turkey,Entertainment and Music,1200000.0,tiktok,turkey,False,2024,Music,MAPPED
7,Ahmet Can Dündar @heypoper,3700000.0,,Turkey,,1100000.0,tiktok,turkey,False,2024,,
8,AYDA KUTAY @aydakutay,3600000.0,,Turkey,Education Entertainment and Music,1100000.0,tiktok,turkey,False,2024,Knowledge&Info,MAPPED
9,Faruk Cheff @faruk_cheff,3600000.0,,Turkey,Food,1100000.0,tiktok,turkey,False,2024,Lifestyle,MAPPED
10,👑 bebetoyildirim 👑 @bebeto.yildirim,3400000.0,,Turkey,,1000000.0,tiktok,turkey,False,2024,,
11,Aslı Güler @asliguler,2600000.0,,Turkey,Entertainment and Music,780000.0,tiktok,turkey,False,2024,Music,MAPPED
12,İsmail YK @ismailyk,2500000.0,3.6,Turkey,,750000.0,tiktok,turkey,False,2024,,
13,Tuğba Güvenir @tugbarones,2500000.0,,Turkey,,750000.0,tiktok,turkey,False,2024,,
14,𝔢𝔪𝔯𝔞𝔫 𝔡𝔢𝔩i @emomen1_,2500000.0,0.3,Turkey,,750000.0,tiktok,turkey,False,2024,,
15,DERDO @derdo.00,2400000.0,,Turkey,,720000.0,tiktok,turkey,False,2024,,
16,TUBA GEÇKİL @redrosecake_tubageckil,2300000.0,,Turkey,Food Arts and Crafts,690000.0,tiktok,turkey,False,2024,Lifestyle,MAPPED
17,emelrsho @emelrsho20,2300000.0,,Turkey,,690000.0,tiktok,turkey,False,2024,,
18,Kubra.dagli @kubra.dagli,2200000.0,,Turkey,Sports,660000.0,tiktok,turkey,False,2024,Sports,MAPPED
19,👑 Anıl Diricanlı 👑 @anildiricanli,2100000.0,,Turkey,Entertainment and Music,630000.0,tiktok,turkey,False,2024,Music,MAPPED
20,Thịnh Sếu Daily @thinhseu.daily,2000000.0,,Turkey,Entertainment and Music,600000.0,tiktok,turkey,False,2024,Music,MAPPED
21,TARIK YILDIRIM ☑️ @tarik.yldrm21,1900000.0,0.1,Turkey,,570000.0,tiktok,turkey,False,2024,,
22,ПАПИНА ДОЧКА❤️ @angel_petrova,1800000.0,,Turkey,,540000.0,tiktok,turkey,False,2024,,
23,🦁 Can Yıldırım 🦁 @_canalf,1800000.0,,Turkey,,540000.0,tiktok,turkey,False,2024,,
24,Nazan tutal @nazobellm,1800000.0,,Turkey,,540000.0,tiktok,turkey,False,2024,,
25,Turk Tk @turk_tk,1800000.0,,Turkey,,540000.0,tiktok,turkey,False,2024,,
26,Yemekneredeyenircom @yemekneredeyenir,1800000.0,,Turkey,,540000.0,tiktok,turkey,False,2024,,
27,Ayhan Genç @ayhangenc_,1700000.0,,Turkey,,510000.0,tiktok,turkey,False,2024,,
28,Red Bull Türkiye @redbulltr,1500000.0,,Turkey,,450000.0,tiktok,turkey,False,2024,,
29,🐾kül_kedisi🐾 @berivan_kara_3478,1500000.0,,Turkey,,450000.0,tiktok,turkey,False,2024,,
