rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,netd müzik @UCR5wZcXtOUka8jTA57flzMg,23000000.0,,Turkey,,6900000.0,youtube,turkey,False,2024,,
2,Oyuncak Avı @UCjS0hMS5sneIgsb3PjBc0Bw,15200000.0,,Turkey,,4600000.0,youtube,turkey,False,2024,,
3,atv @UCUVZ7T_kwkxDOGFcDlFI-hg,10400000.0,,Turkey,,3100000.0,youtube,turkey,False,2024,,
4,مصطفى GAME OVER @UC3CFqU4KlktVPPJ1Km87pRg,9900000.0,1.0,Turkey,,3000000.0,youtube,turkey,False,2024,,
5,ام سيف Om sayf @UCq8wSOMKwfqIhpVMdvYiZiQ,8600000.0,,Turkey,,2600000.0,youtube,turkey,False,2024,,
6,Nour Mar5 @UCu-j_Dytl2Fc1m1dr6pbrEA,8199999.999999999,1.3,Turkey,,2500000.0,youtube,turkey,False,2024,,
7,KanalD @UCFoe1tg8MuHjRzmqXtV816A,7800000.0,,Turkey,,2300000.0,youtube,turkey,False,2024,,
8,Kafalar @UC7Lu-ONZhIM_lvKnZn0F19Q,7500000.0,1.0,Turkey,,2300000.0,youtube,turkey,False,2024,,
9,Sevimli Dostlar @UCURSfY00AASuqKxT-V2Gi1g,7400000.0,,Turkey,,2200000.0,youtube,turkey,False,2024,,
10,A_B_N_SYRIA ابن سوريا @UCiww9om-U6PqHwt0f2skgZg,7100000.0,0.7,Turkey,,2100000.0,youtube,turkey,False,2024,,
11,Czn Burak @UCUcfej7lPDoeqTlferD2mcw,6600000.0,,Turkey,,2000000.0,youtube,turkey,False,2024,,
12,Ruhi Çenet Medya @UCWpk9PSGHoJW1hZT4egxTNQ,6500000.0,3.4,Turkey,,2000000.0,youtube,turkey,False,2024,,
13,Çukur @UCTAkwLbVzHxsbgsp6cRsPDg,6500000.0,,Turkey,,1900000.0,youtube,turkey,False,2024,,
14,Zuuks Games @UCSZ5daJft7LuWzSyjdp_8HA,6000000.0,,Turkey,,1800000.0,youtube,turkey,False,2024,,
15,Maşa İle Koca Ayı @UCWbaNJJJQWBOX9U9H9K52Ag,5800000.0,,Turkey,,1700000.0,youtube,turkey,False,2024,,
16,Kuruluş Osman @UCGR1XmkoQedeJMT2ajRHvsw,5800000.0,,Turkey,,1700000.0,youtube,turkey,False,2024,,
17,Poll Production @UCzZ1I1j--g9sFVB-6-1yzWw,4900000.0,,Turkey,,1500000.0,youtube,turkey,False,2024,,
18,FOX @UCJe13zu6MyE6Oueac41KAqg,4800000.0,,Turkey,,1400000.0,youtube,turkey,False,2024,,
19,Yasoo @UCuUqnsCwGVWLDXxM4TFr0tw,4800000.0,0.5,Turkey,,1400000.0,youtube,turkey,False,2024,,
20,Oyuncak Şekeri @UCK3fvChGrcBWWtYN60iRE-Q,4700000.0,,Turkey,,1400000.0,youtube,turkey,False,2024,,
21,الداعية محمود الحسنات القناة الرسمية @UCTsAN8CeCY5zJ_SA8kekTXg,4700000.0,0.5,Turkey,,1400000.0,youtube,turkey,False,2024,,
22,Alper Rende @UCagxJUIOIN4bbCk9rBWZiPA,4600000.0,1.2,Turkey,,1400000.0,youtube,turkey,False,2024,,
23,Gamer Yusuf @UCvkfXP-_39iztzRnGBOV6uw,4600000.0,,Turkey,,1400000.0,youtube,turkey,False,2024,,
24,Mobile MOBA Việt @UCpd1Gf-SZjc_5ce5vVq5FTg,4300000.0,,Turkey,Video Gaming,1300000.0,youtube,turkey,False,2024,Tech&Gaming,MAPPED
25,Sen Anlat Karadeniz @UCZSKbSg4xlgvKYk7ET7awpA,4200000.0,,Turkey,,1300000.0,youtube,turkey,False,2024,,
26,MuzikPlay @UCazM5oX41f0eDAcb4N63l-w,4099999.9999999995,,Turkey,Art Marketing and Advertising Music,1200000.0,youtube,turkey,False,2024,Knowledge&Info,MAPPED
27,Berkcan Güven @UCb-zL8c0oTvPl04hEoA0Q0w,4099999.9999999995,5.3,Turkey,,1200000.0,youtube,turkey,False,2024,,
28,TRT 1 @UCvFudBDDILdDljN4VIZ4Msw,4099999.9999999995,,Turkey,,1200000.0,youtube,turkey,False,2024,,
29,Gültekin Ailesi @UCrLmwrmrj-zOhfxbFNO-k-A,4000000.0,,Turkey,,1200000.0,youtube,turkey,False,2024,,
30,Dila Kent @UCaCC-iKILiKO97evjs5D3Lg,4000000.0,1.1,Turkey,,1200000.0,youtube,turkey,False,2024,,
31,Mustafa Jamal مصطفى جمال @UCKBG0BuqQpN3QqLH3b9hrpg,4000000.0,1.4,Turkey,,1200000.0,youtube,turkey,False,2024,,
32,Hercai @UC2l92bN_FWHjZZPdOYnZveg,3800000.0,,Turkey,,1100000.0,youtube,turkey,False,2024,,
33,BaBaLa TV @UCZ5aOEWFOopXLeiIUd2mfJw,3700000.0,2.7,Turkey,,1100000.0,youtube,turkey,False,2024,,
34,Kukuli @UCF5IUvgXe_3sHBuKpEz7Btw,3700000.0,,Turkey,,1100000.0,youtube,turkey,False,2024,,
