rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,❣️Sky & Tami❣️ @skyandtami,14800000.0,,Ukraine,,4400000.0,tiktok,ukraine,False,2024,,
2,nnotochka @nnotochka,6300000.0,,Ukraine,Beauty and Self Care,1900000.0,tiktok,ukraine,False,2024,Beauty&Fashion,MAPPED
3,Elis Stone @elis.stone,4600000.0,,Ukraine,Entertainment and Music,1400000.0,tiktok,ukraine,False,2024,Music,MAPPED
4,RepNickTV @repnicktv,4500000.0,,Ukraine,,1400000.0,tiktok,ukraine,False,2024,,
5,😇EGOR🧲 @malibash,4400000.0,,Ukraine,,1300000.0,tiktok,ukraine,False,2024,,
6,milomanheim @milomanheim,3900000.0,0.1,Ukraine,,1200000.0,tiktok,ukraine,False,2024,,
7,Миша Городецкий @mishayoung,3800000.0,0.3,Ukraine,,1100000.0,tiktok,ukraine,False,2024,,
8,Sasha @hava.off,3700000.0,,Ukraine,,1100000.0,tiktok,ukraine,False,2024,,
9,HUSMUT @husmut,3600000.0,,Ukraine,,1100000.0,tiktok,ukraine,False,2024,,
10,ДЮХА?!🧬 @dux.a_,3200000.0,,Ukraine,,960000.0,tiktok,ukraine,False,2024,,
11,Лера @le_peshka,2900000.0,,Ukraine,,870000.0,tiktok,ukraine,False,2024,,
12,ASMR💓 FUN 💓UKRAINE💓 @likapikka,2900000.0,,Ukraine,,870000.0,tiktok,ukraine,False,2024,,
13,Mv Ryhan @mvryhan,2900000.0,,Ukraine,,870000.0,tiktok,ukraine,False,2024,,
14,WINNI🇺🇦 @winnidesigns,2700000.0,,Ukraine,Romance and Wedding,810000.0,tiktok,ukraine,False,2024,Beauty&Fashion,MAPPED
15,Анна Тринчер @annatrincher,2400000.0,,Ukraine,Entertainment and Music,720000.0,tiktok,ukraine,False,2024,Music,MAPPED
16,BabyBunny @babybunny22,2300000.0,0.1,Ukraine,Pets,690000.0,tiktok,ukraine,False,2024,Lifestyle,MAPPED
17,Волошин Александр @voloshyn_97,2100000.0,,Ukraine,,630000.0,tiktok,ukraine,False,2024,,
18,Yan Luiko @llluiko,2000000.0,0.1,Ukraine,Games,600000.0,tiktok,ukraine,False,2024,Tech&Gaming,MAPPED
19,Ваня Дмитриенко @vanya_dmitrienkoo,1900000.0,,Ukraine,Entertainment and Music,570000.0,tiktok,ukraine,False,2024,Music,MAPPED
20,Demian Volkov 🇺🇦 @demianvolkov,1900000.0,,Ukraine,,570000.0,tiktok,ukraine,False,2024,,
21,ЛиЗкА ШуЛьГа🤪 @lizaa.meli,1600000.0,,Ukraine,,480000.0,tiktok,ukraine,False,2024,,
22,SLAVA UKRAINI @useyourfingerss,1500000.0,,Ukraine,,450000.0,tiktok,ukraine,False,2024,,
23,Игорь Моряк @rybakov_igor,1400000.0,,Ukraine,Finance,420000.0,tiktok,ukraine,False,2024,Knowledge&Info,MAPPED
24,Андрій Кулик @galin.andriy,1200000.0,,Ukraine,,360000.0,tiktok,ukraine,False,2024,,
25,Марина Дорн @marina.dorn,1100000.0,0.7,Ukraine,,330000.0,tiktok,ukraine,False,2024,,
26,Денис Turbik @turbik_,1100000.0,,Ukraine,,330000.0,tiktok,ukraine,False,2024,,
27,Снежана Винниченко @snegga_vinni,1100000.0,,Ukraine,,330000.0,tiktok,ukraine,False,2024,,
28,eva @evadubovitskayaa,1100000.0,,Ukraine,,330000.0,tiktok,ukraine,False,2024,,
