rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,HUDA BEAUTY @hudabeauty,54100000.0,0.05,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Blogueiro Criadores e Celebridades,16200000.0,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Blogger Creators and Celebrities
2,Mai Omar @maiomar_,17100000.0,0.26,Emirados Árabes Unidos,Educação Família Modelagem,5100000.0,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Education Family Modeling
3,Ahlam Alshamsi @ahlamalshamsi,15400000.0,0.07,Emirados Árabes Unidos,Artes e Artesanato Cantor,4600000.0,instagram,united-arab-emirates,False,2024,Music,MAPPED,Singer Arts and Crafts
4,Pia Jauncey @piawurtzbach,14700000.0,0.59,Emirados Árabes Unidos,Fitness e Saúde Moda e Acessórios Beleza e Cuidados Pessoais Negócios e Finanças,4400000.0,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Fitness and Health Fashion and Accessories Beauty and Personal Care Business and Finance
5,نور ستارز | Noor Stars @noorstars,14500000.0,0.92,Emirados Árabes Unidos,Entretenimento e Música Beleza e Cuidados Pessoais Educação,4400000.0,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Entertainment and Music Beauty and Personal Care Education
6,Sania Mirza @mirzasaniar,13100000.0,1.96,Emirados Árabes Unidos,Esportes Entretenimento e Música Fitness e Saúde Tênis,3900000.0,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Sports Entertainment & Music Fitness & Health Tennis
7,Lojain Omran @lojain_omran,11700000.0,0.08,Emirados Árabes Unidos,Artes e Artesanato Entretenimento e Música Moda e Acessórios Apresentador de TV,3500000.0,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Arts and Crafts Entertainment and Music Fashion and Accessories TV Presenter
8,فرح الهادي @farah_alhady,10300000.0,1.03,Emirados Árabes Unidos,Moda e Acessórios Celebridade Atores,3100000.0,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Fashion and Accessories Celebrities Actors
9,Mohamed Alsalim - محمد السالم @mohamedalsalim,10100000.0,0.47,Emirados Árabes Unidos,Entretenimento e Música Cantor,3000000.0,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music Singer
10,Ulugbekhon Maksumov @ulugbekhon,10000000.0,2.27,Emirados Árabes Unidos,Automóveis e Veículos Empreendedor Negócios,3000000.0,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Automobiles and Vehicles Entrepreneur Business
11,Ajay Keswani @ajaykeswaniofficial,9600000.0,1.92,Emirados Árabes Unidos,Entretenimento e Música Cantor Música Composição de Músicas,2900000.0,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment & Music Singer Music Songwriting
12,Mohammed bin Rashid Al Maktoum @hhshkmohd,8500000.0,0.57,Emirados Árabes Unidos,Política Fundador Empreendedor,2600000.0,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Politics Founder Entrepreneur
13,Willyrex @willyrex,8100000.0,3.09,Emirados Árabes Unidos,Jogos Entretenimento e Música Vlogger,2400000.0,instagram,united-arab-emirates,False,2024,Tech&Gaming,MAPPED,Games Entertainment and Music Vlogger
14,Mounir @mounir,8100000.0,0.65,Emirados Árabes Unidos,Beleza e Cuidados Pessoais Estilo,2400000.0,instagram,united-arab-emirates,False,2024,Beauty&Fashion,MAPPED,Beauty and Personal Care Style
15,Dina Saeva @senoritasaeva,7900000.0,1.29,Emirados Árabes Unidos,Livros Estilo de Vida,2400000.0,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Lifestyle Books
16,Nazriya Nazim Fahadh @nazriyafahadh,7600000.0,6.68,Emirados Árabes Unidos,Arte,2300000.0,instagram,united-arab-emirates,False,2024,UNMAPPED,UNMAPPED,until
17,Ghaith Marwan 🍉 غيث مروان @ghaith_marwan,7400000.0,5.2,Emirados Árabes Unidos,Entretenimento e Música,2200000.0,instagram,united-arab-emirates,False,2024,Music,MAPPED,Entertainment and Music
18,Leyla Brunton @leylabrunton,7300000.0,0.05,Emirados Árabes Unidos,Automóveis e Veículos Negócios e Finanças Estilo Estilo de Vida,2200000.0,instagram,united-arab-emirates,False,2024,Knowledge&Info,MAPPED,Automobiles and Vehicles Business and Finance Style Lifestyle
19,SHADAN FAROOQUI @saddu07dz,6900000.0,1.64,Emirados Árabes Unidos,Fitness Moda Moda e Acessórios,2100000.0,instagram,united-arab-emirates,False,2024,Sports,MAPPED,Fitness Fashion Fashion and Accessories
