rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,David Beckham @davidbeckham,87000000.0,0.64,United Kingdom,Sports Soccer Public Figure,26100000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
2,Emma Watson @emmawatson,75400000.0,1.41,United Kingdom,Entertainment and Music Fashion and Accessories Education Celebrity,22600000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
3,Tom Holland @tomholland2013,66500000.0,4.52,United Kingdom,Entertainment and Music Acting and Drama Actors,19900000.0,instagram,united-kingdom,False,2024,Music,MAPPED
4,Millie Bobby Brown @milliebobbybrown,63300000.0,0.02,United Kingdom,Celebrity Actors,19000000.0,instagram,united-kingdom,False,2024,Entertainment,MAPPED
5,Adele @adele,55900000.0,4.14,United Kingdom,Singer Music,16800000.0,instagram,united-kingdom,False,2024,Music,MAPPED
6,Zayn Malik @zayn,52200000.0,5.09,United Kingdom,Entertainment and Music Music Singer Musician,15700000.0,instagram,united-kingdom,False,2024,Music,MAPPED
7,Ed Sheeran @teddysphotos,46900000.0,0.81,United Kingdom,Entertainment and Music Music Songwriting Singer,14100000.0,instagram,united-kingdom,False,2024,Music,MAPPED
8,Liverpool Football Club @liverpoolfc,44300000.0,0.39,United Kingdom,Sports Soccer,13300000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
9,Cara Delevingne @caradelevingne,42100000.0,0.55,United Kingdom,Fashion and Accessories Modeling Actor,12600000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
10,Jason Statham @jasonstatham,40500000.0,2.4,United Kingdom,Luxury Photography Art,12200000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
11,Lewis Hamilton @lewishamilton,35300000.0,3.01,United Kingdom,Sports Racing Formula1 Riders,10600000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
12,Victoria Beckham @victoriabeckham,32700000.000000004,0.07,United Kingdom,Fashion and Accessories Beauty and Self Care Product Showcase Modeling,9800000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
13,Arsenal @arsenal,27700000.0,0.36,United Kingdom,Sports Soccer Sports Team Creators & Celebrities,8300000.000000001,instagram,united-kingdom,False,2024,Sports,MAPPED
14,Henry Cavill @henrycavill,27200000.0,5.77,United Kingdom,Art,8199999.999999999,instagram,united-kingdom,False,2024,Lifestyle,MAPPED
15,Mia K. @miakhalifa,26900000.0,2.54,United Kingdom,Entertainment and Music Celebrity Actors,8100000.0,instagram,united-kingdom,False,2024,Music,MAPPED
16,Liam Payne @liampayne,26800000.0,4.41,United Kingdom,Sports Singer,8000000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
17,Raphael Varane @raphaelvarane,23200000.0,0.72,United Kingdom,Sports Soccer,7000000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
18,One Direction @onedirection,22600000.0,17.92,United Kingdom,Entertainment and Music Music Band Rock,6800000.0,instagram,united-kingdom,False,2024,Music,MAPPED
19,Rosie HW @rosiehw,19800000.0,1.25,United Kingdom,Beauty and Self Care Fashion and Accessories Modeling Entrepreneur,5900000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
20,Perrie 🖤 @perrieedwards,19400000.0,1.24,United Kingdom,Entertainment and Music Beauty and Self Care Singer Music,5800000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
21,Louis Tomlinson @louist91,18200000.0,3.46,United Kingdom,Music Shopping,5500000.0,instagram,united-kingdom,False,2024,Music,MAPPED
22,Little Mix @littlemix,17600000.0,1.29,United Kingdom,Music,5300000.0,instagram,united-kingdom,False,2024,Music,MAPPED
23,Gordon Ramsay @gordongram,17100000.0,0.31,United Kingdom,Food Chef,5100000.0,instagram,united-kingdom,False,2024,Lifestyle,MAPPED
24,Marcus Rashford MBE @marcusrashford,17000000.0,2.6,United Kingdom,Sports Soccer,5100000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
25,Tottenham Hotspur @spursofficial,16300000.0,0.15,United Kingdom,Sports Sports Team Creators & Celebrities,4900000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
26,RITA ORA @ritaora,16100000.000000002,0.27,United Kingdom,Entertainment and Music Music Modeling,4800000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
27,Dr .🧿Naomi Campbell @naomi,16000000.0,0.4,United Kingdom,Fashion and Accessories Celebrity Actors Entertainment,4800000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
28,Harry Kane @harrykane,15200000.0,0.8,United Kingdom,Sports Soccer,4600000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
29,Jay Shetty @jayshetty,14900000.0,0.82,United Kingdom,Education Upskilling Entertainment and Music Parenting,4500000.0,instagram,united-kingdom,False,2024,Knowledge&Info,MAPPED
30,SAM SMITH @samsmith,14600000.0,0.91,United Kingdom,Entertainment and Music Modeling Music,4400000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
31,S O P H I E T U R N E R @sophiet,14500000.0,5.07,United Kingdom,Fashion Writers Modeling,4300000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
32,Jessie J @jessiej,14000000.0,0.69,United Kingdom,Music Singer Songwriting,4200000.0,instagram,united-kingdom,False,2024,Music,MAPPED
33,Julián Alvarez🕷 @juliaanalvarez,14000000.0,9.99,United Kingdom,Sports,4200000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
34,Emi Martinez @emi_martinez26,13700000.0,4.16,United Kingdom,,4099999.9999999995,instagram,united-kingdom,False,2024,,
35,Amy Jackson @iamamyjackson,13600000.0,0.46,United Kingdom,Entertainment and Music Celebrity Modeling Styling,4099999.9999999995,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
36,KSI @ksi,13200000.0,0.11,United Kingdom,Business and Finance Lifestyle Actors Music,4000000.0,instagram,united-kingdom,False,2024,Knowledge&Info,MAPPED
37,Sophie Dee @sophiedee,12900000.0,0.87,United Kingdom,Celebrity Actors Celebrities,3900000.0,instagram,united-kingdom,False,2024,Entertainment,MAPPED
38,Nof @nof.ad,12700000.0,3.51,United Kingdom,Sports Celebrities,3800000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
39,Kanika Kapoor @kanik4kapoor,12600000.0,1.52,United Kingdom,Fashion and Accessories Singer Music Songwriting,3800000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
40,Tom Felton @t22felton,12100000.0,1.85,United Kingdom,Entertainment and Music,3600000.0,instagram,united-kingdom,False,2024,Music,MAPPED
41,Steven Gerrard @stevengerrard,11700000.0,0.56,United Kingdom,Sports Soccer,3500000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
42,Tom Hiddleston @twhiddleston,11400000.0,8.4,United Kingdom,Acting and Drama Actors,3400000.0,instagram,united-kingdom,False,2024,Entertainment,MAPPED
43,Mercedes-AMG PETRONAS F1 Team @mercedesamgf1,11300000.0,0.44,United Kingdom,Sports Cars Racing Mercedes,3400000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
44,Calvin Harris @calvinharris,11300000.0,0.81,United Kingdom,Entertainment and Music Music Producers Singer,3400000.0,instagram,united-kingdom,False,2024,Music,MAPPED
45,Raheem Sterling x 😇 @sterling7,10800000.0,1.84,United Kingdom,Sports Personal Finance Soccer,3300000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
46,jade amelia thirlwall @jadethirlwall,10600000.0,1.59,United Kingdom,Entertainment and Music Singer Dance,3200000.0,instagram,united-kingdom,False,2024,Music,MAPPED
47,Ed Westwick @edwestwick,10500000.0,1.08,United Kingdom,Entertainment and Music Actors Music Lifestyle,3200000.0,instagram,united-kingdom,False,2024,Music,MAPPED
48,Anya Taylor-Joy @anyataylorjoy,10000000.0,9.29,United Kingdom,Entertainment and Music Actors Modeling Singer,3000000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
49,England football team @england,9800000.0,0.32,United Kingdom,Sports,3000000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
50,Maisie Williams @maisie_williams,9800000.0,1.19,United Kingdom,Entertainment and Music Modeling TV Shows Actors,2900000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
51,Tom Hardy @tomhardy,9700000.0,0.94,United Kingdom,Actors,2900000.0,instagram,united-kingdom,False,2024,Entertainment,MAPPED
52,JLingz @jesselingard,9500000.0,1.95,United Kingdom,Sports Soccer,2800000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
53,Tom Ellis @officialtomellis,9400000.0,2.23,United Kingdom,Entertainment and Music Celebrity Actors,2800000.0,instagram,united-kingdom,False,2024,Music,MAPPED
54,Florence Pugh @florencepugh,9300000.0,5.31,United Kingdom,Entertainment and Music Acting and Drama Celebrity Actors,2800000.0,instagram,united-kingdom,False,2024,Music,MAPPED
55,Phil Foden @philfoden,9300000.0,10.26,United Kingdom,Sports Soccer,2800000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
56,Zoë Sugg @zoesugg,9300000.0,0.11,United Kingdom,Fashion and Accessories Entertainment and Music Business and Finance Video Blogger,2800000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
57,Jack Grealish @jackgrealish,9100000.0,8.38,United Kingdom,Sports Outdoor Activity,2700000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
58,Charlotte Letitia Crosby @charlottegshore,8800000.0,0.57,United Kingdom,Fashion and Accessories Fitness and Health TV Shows,2600000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
59,Holly Willoughby @hollywilloughby,8500000.0,0.32,United Kingdom,Entertainment and Music Beauty and Self Care,2600000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
60,John Terry @johnterry.26,8300000.000000001,1.01,United Kingdom,Sports,2500000.0,instagram,united-kingdom,False,2024,Sports,MAPPED
61,Karen Gillan @karengillan,8100000.0,2.09,United Kingdom,Entertainment and Music Food Actors,2400000.0,instagram,united-kingdom,False,2024,Music,MAPPED
62,Molly-Mae Hague @mollymae,7900000.0,0.13,United Kingdom,Fashion and Accessories Home and Garden Business and Finance Actors,2400000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
63,The UK07 Rider @anurag_dobhal,7900000.0,13.93,United Kingdom,Education Upskilling,2400000.0,instagram,united-kingdom,False,2024,Knowledge&Info,MAPPED
64,Bela Padilla @bela,7800000.0,0.6,United Kingdom,Arts and Crafts Entertainment and Music Celebrity Actors,2300000.0,instagram,united-kingdom,False,2024,Music,MAPPED
65,Hero Fiennes Tiffin @hero_ft,7500000.0,9.89,United Kingdom,Celebrity Modeling Styling,2300000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
66,Lewis Capaldi @lewiscapaldi,7400000.0,4.7,United Kingdom,Entertainment and Music Music Songwriting Band,2200000.0,instagram,united-kingdom,False,2024,Music,MAPPED
67,Jessica Alves @jessicaalvesuk,7400000.0,0.05,United Kingdom,Fashion and Accessories Travel Television Modeling,2200000.0,instagram,united-kingdom,False,2024,Beauty&Fashion,MAPPED
