rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234000000.0,,India,,70200000.0,youtube,united-states,False,2024,,
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144000000.0,,United States,,43200000.0,youtube,united-states,False,2024,,
3,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139000000.0,,India,,41700000.0,youtube,united-states,False,2024,,
4,PewDiePie @UC-lHJZR3Gqxm24_Vd_AJ5Yw,111000000.0,0.1,United States,,33299999.999999996,youtube,united-states,False,2024,,
5,MrBeast @UCX6OQ3DkcsbYNE6H8uQQuVA,100000000.0,2.4,United States,Celebrity Pets,30000000.0,youtube,united-states,False,2024,Entertainment,MAPPED
6,Like Nastya @UCJplp5SjeGSdVdwsfb9Q7lQ,97300000.0,,United States,,29200000.0,youtube,united-states,False,2024,,
7,✿ Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94200000.0,,,,28300000.0,youtube,united-states,False,2024,,
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91400000.0,,India,,27400000.0,youtube,united-states,False,2024,,
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91200000.0,,,,27400000.0,youtube,united-states,False,2024,,
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84300000.0,,United States,Marketing and Advertising Music,25300000.0,youtube,united-states,False,2024,Knowledge&Info,MAPPED
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82000000.0,0.4,South Korea,,24600000.0,youtube,united-states,False,2024,,
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72000000.0,,India,,21600000.0,youtube,united-states,False,2024,,
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69700000.0,,Canada,,20900000.0,youtube,united-states,False,2024,,
14,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69200000.0,,India,,20800000.0,youtube,united-states,False,2024,,
15,BANGTANTV @UCLkAepWjdylmXSltofFvsYQ,68600000.0,0.5,,,20600000.0,youtube,united-states,False,2024,,
16,HYBE LABELS @UC3IZKseVpdzPSBaWxBxundA,68100000.0,,South Korea,Celebrity Music,20400000.0,youtube,united-states,False,2024,Music,MAPPED
17,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66300000.0,,Brazil,,19900000.0,youtube,united-states,False,2024,,
18,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64000000.0,,India,,19200000.0,youtube,united-states,False,2024,,
19,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61100000.0,,India,,18300000.0,youtube,united-states,False,2024,,
20,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59200000.0,,India,,17800000.0,youtube,united-states,False,2024,,
21,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58700000.0,,India,,17600000.0,youtube,united-states,False,2024,,
22,Dude Perfect @UCRijo3ddMTht_IHyNSNXpNQ,58600000.0,,United States,,17600000.0,youtube,united-states,False,2024,,
23,Movieclips @UC3gNmTGu-TTbFPpfSs5kNkg,58500000.0,,United States,,17600000.0,youtube,united-states,False,2024,,
24,Pinkfong Baby Shark - Kids' Songs & Stories @UCcdwLMPsaU2ezNSJU1nFoBQ,56900000.0,,,,17100000.0,youtube,united-states,False,2024,,
25,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56500000.0,,India,,17000000.0,youtube,united-states,False,2024,,
26,Marshmello @UCEdvpU2pFRCVqU6yIPyTpMQ,55800000.0,,United States,,16700000.0,youtube,united-states,False,2024,,
27,Wave Music @bhojpuriwave,55600000.0,,India,,16700000.0,youtube,united-states,False,2024,,
28,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55300000.0,,India,,16600000.000000002,youtube,united-states,False,2024,,
29,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54000000.0,,India,,16200000.0,youtube,united-states,False,2024,,
30,El Reino Infantil @UCK1i2UviaXLUNrZlAFpw_jA,52900000.0,,,,15900000.0,youtube,united-states,False,2024,,
31,Ed Sheeran @UC0C-w0YjGpqDXGB8IHb662A,52300000.0,,,,15700000.0,youtube,united-states,False,2024,,
32,Ariana Grande @UC9CoOnJkIBMdeijd9qYoT_g,52200000.0,,,,15700000.0,youtube,united-states,False,2024,,
33,EminemMusic @UCfM3zsQsOnfWNUppiycmBuw,51700000.0,1.0,,,15500000.0,youtube,united-states,False,2024,,
34,T-Series Bhakti Sagar @UCaayLD9i5x4MmIoVZxXSv_g,49900000.0,,,,15000000.0,youtube,united-states,False,2024,,
35,LooLoo Kids - Nursery Rhymes and Children's Songs @UC4NALVCmcmL5ntpV0thoH6w,49400000.0,,United States,,14800000.0,youtube,united-states,False,2024,,
36,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48400000.0,,India,,14500000.0,youtube,united-states,False,2024,,
37,Taylor Swift @UCqECaJ8Gagnn7YCbPEzWH6g,47200000.0,0.4,,,14200000.0,youtube,united-states,False,2024,,
38,Fernanfloo @fernanfloo,47100000.0,,El Salvador,,14100000.0,youtube,united-states,False,2024,,
39,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46600000.0,,India,,14000000.0,youtube,united-states,False,2024,,
40,Billie Eilish @UCiGm_E4ZwYSHV3bcW1pnSeQ,46600000.0,0.7,United States,,14000000.0,youtube,united-states,False,2024,,
41,JuegaGerman @UCYiGq8XF7YQD00x7wAd62Zg,46400000.0,0.4,Chile,,13900000.0,youtube,united-states,False,2024,,
42,Badabun @UCYWOjHweP2V-8kGKmmAmQJQ,45700000.0,,Mexico,,13700000.0,youtube,united-states,False,2024,,
43,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44400000.0,,Brazil,,13300000.0,youtube,united-states,False,2024,,
44,Get Movies @UClZkHt2kNIgyrTTPnSQV3SA,44300000.0,,Russia,,13300000.0,youtube,united-states,False,2024,,
45,whinderssonnunes @UC3KQ5GWANYF8lChqjZpXsQw,43700000.0,,,,13100000.0,youtube,united-states,False,2024,,
46,SonyMusicIndiaVEVO @UC3MLnJtqc_phABBriLRhtgQ,43600000.0,,,Music,13100000.0,youtube,united-states,False,2024,Music,MAPPED
47,BRIGHT SIDE @UC4rlAVgAK0SGk-yTfe48Qpw,43400000.0,,,Fitness News,13000000.0,youtube,united-states,False,2024,Sports,MAPPED
48,Katy Perry @UCYvmuw-JtVrTZQ-7Y4kd63Q,43100000.0,,United States,,12900000.0,youtube,united-states,False,2024,,
49,Bad Bunny @UCmBA_wu8xGg1OfOkfW13Q0Q,43100000.0,,Puerto Rico,,12900000.0,youtube,united-states,False,2024,,
50,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43000000.0,,Brazil,,12900000.0,youtube,united-states,False,2024,,
51,Alan Walker @UCJrOtniJ0-NWz37R30urifQ,42400000.0,,Norway,,12700000.0,youtube,united-states,False,2024,,
52,Like Nastya Show @UCS94J1s6-qc8v7btCdS2pNg,41700000.0,,United States,,12500000.0,youtube,united-states,False,2024,,
53,CarryMinati @carryminati,41600000.0,9.2,India,Video Gaming,12500000.0,youtube,united-states,False,2024,Tech&Gaming,MAPPED
54,ABS-CBN Entertainment @UCstEtN0pgOmCf02EdXsGChw,41500000.0,,Philippines,,12500000.0,youtube,united-states,False,2024,,
55,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41200000.0,,India,Celebrity,12400000.0,youtube,united-states,False,2024,Entertainment,MAPPED
56,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41100000.0,,India,Music,12300000.0,youtube,united-states,False,2024,Music,MAPPED
57,elrubiusOMG @UCXazgXDIYyWH-yXLAkcrFxw,40400000.0,1.7,,,12100000.0,youtube,united-states,False,2024,,
58,Little Baby Bum - Nursery Rhymes & Kids Songs @UCKAqou7V9FAWXpZd9xtOg3Q,40000000.0,,United States,,12000000.0,youtube,united-states,False,2024,,
59,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39300000.0,,India,,11800000.0,youtube,united-states,False,2024,,
60,Маша и Медведь @UCRv76wLBC73jiP7LX4C3l8Q,39100000.0,,Russia,,11700000.0,youtube,united-states,False,2024,,
61,LUCCAS NETO - LUCCAS TOON @UC_gV70G_Y51LTa3qhu8KiEA,38600000.0,,Brazil,,11600000.0,youtube,united-states,False,2024,,
62,Luisito Comunica @UCECJDeK0MNapZbpaOzxrUPA,38500000.0,0.1,,,11600000.0,youtube,united-states,False,2024,,
63,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38500000.0,,India,Music Celebrity,11600000.0,youtube,united-states,False,2024,Music,MAPPED
64,TheEllenShow @UCp0hYYBW6IMayGgR-WeoCvQ,38300000.0,,United States,,11500000.0,youtube,united-states,False,2024,,
65,Toys and Colors @UCgFXm4TI8htWmCyJ6cVPG_A,38300000.0,,United States,,11500000.0,youtube,united-states,False,2024,,
66,Kimberly Loaiza @UCQZfFRohQ7UX-0CdXl-6pwQ,38100000.0,0.9,Mexico,,11400000.0,youtube,united-states,False,2024,,
