rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Luis Suárez @luissuarez9,48900000.0,3.02,Uruguay,Sports,14700000.0,instagram,uruguay,False,2024,Sports,MAPPED
2,Edinson Cavani @cavaniofficial21,7600000.0,3.8,Uruguay,Soccer,2300000.0,instagram,uruguay,False,2024,Sports,MAPPED
3,Yao Cabrera @yaocabrera,5200000.0,5.1,Uruguay,Entertainment and Music Finance,1600000.0,instagram,uruguay,False,2024,Knowledge&Info,MAPPED
4,Fernando Muslera @muslera,3000000.0,10.6,Uruguay,Sports Entertainment and Music Soccer,909100.0,instagram,uruguay,False,2024,Sports,MAPPED
5,Agustin Casanova @agustincasanova_,2600000.0,1.88,Uruguay,Entertainment and Music Music Actors,768900.0,instagram,uruguay,False,2024,Music,MAPPED
6,Joaquin Mendez @mendezjoaquin,2500000.0,0.46,Uruguay,Entertainment and Music Marketing and Advertising Actors Modeling,755200.0,instagram,uruguay,False,2024,Beauty&Fashion,MAPPED
7,Lucas Torreira #LT14 @ltorreira34,2100000.0,9.75,Uruguay,Sports Soccer,629100.0,instagram,uruguay,False,2024,Sports,MAPPED
8,Rodrigo Bentancur @rodrigo_bentancur,1800000.0,2.42,Uruguay,Soccer,539900.0,instagram,uruguay,False,2024,Sports,MAPPED
9,ROMBAI @rombai,1600000.0,0.4,Uruguay,,476000.0,instagram,uruguay,False,2024,,
10,Natalia Oreiro|Наталия Орейро @nataliaoreirosoy,1500000.0,1.69,Uruguay,Entertainment and Music Marketing and Advertising,458600.0,instagram,uruguay,False,2024,Knowledge&Info,MAPPED
11,Mathias @mathisellanes,1400000.0,0.35,Uruguay,Entertainment and Music Business and Finance Actors,427200.0,instagram,uruguay,False,2024,Knowledge&Info,MAPPED
12,GABRIELA BEE @gabrielabee,1400000.0,6.42,Uruguay,Art Music Actors Modeling,420100.0,instagram,uruguay,False,2024,Beauty&Fashion,MAPPED
13,Juanpa Barbot @barbotsoy,1400000.0,6.52,Uruguay,Entertainment and Music Finance,405700.0,instagram,uruguay,False,2024,Knowledge&Info,MAPPED
14,Fernando Montero “ Monti “ @fernandomontero_oficial,1200000.0,3.8,Uruguay,Entertainment and Music Medical Health,363800.0,instagram,uruguay,False,2024,Knowledge&Info,MAPPED
15,Nahitan Nandez @nahitannandez25,1100000.0,1.8,Uruguay,Actors,321900.0,instagram,uruguay,False,2024,Entertainment,MAPPED
16,Guillermo Varela @guillermovarela4,1100000.0,6.72,Uruguay,Sports Actors,319300.0,instagram,uruguay,False,2024,Sports,MAPPED
17,𝗔𝗹𝗲𝗷𝗮𝗻𝗱𝗿𝗮 𝗕𝘂𝗶𝘁𝗿𝗮𝗴𝗼. @alebuitragoh,1100000.0,0.92,Uruguay,Entertainment and Music Actors Virtualization,317800.0,instagram,uruguay,False,2024,Tech&Gaming,MAPPED
18,Jose Maria Gimenez @josemariagimenez,1000000.0,3.7,Uruguay,Soccer,305100.0,instagram,uruguay,False,2024,Sports,MAPPED
19,Fernanda Giménez @ferchuugimeenez,888900.0,12.44,Uruguay,,266700.0,instagram,uruguay,False,2024,,
20,Club Atlético Peñarol @oficialcap,820300.0,1.55,Uruguay,,246100.0,instagram,uruguay,False,2024,,
21,Fede Chuch @fedechuch,746400.0,1.59,Uruguay,Entertainment and Music Marketing and Advertising Actors,223900.0,instagram,uruguay,False,2024,Knowledge&Info,MAPPED
22,Diego Forlán @diegoforlancorazo,689600.0,2.27,Uruguay,Sports,206900.0,instagram,uruguay,False,2024,Sports,MAPPED
23,Lucas Sugo @lucas_sugo,678200.0,0.44,Uruguay,Entertainment and Music Actors Music,203500.0,instagram,uruguay,False,2024,Music,MAPPED
24,PEKEÑO 77 @peke_77,627000.0,1.39,Uruguay,Art,188100.0,instagram,uruguay,False,2024,Lifestyle,MAPPED
