rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Leana Deeb @leanadeeb,12100000.0,1.5,Uruguay,,3600000.0,tiktok,uruguay,False,2024,,
2,El Pepe @elpepeskrt,4900000.0,,Uruguay,Entertainment and Music,1500000.0,tiktok,uruguay,False,2024,Music,MAPPED
3,_VECINITA_ @moralees_mel,1700000.0,,Uruguay,,510000.0,tiktok,uruguay,False,2024,,
4,TRIPPIA @_romi.ff,1700000.0,0.2,Uruguay,,510000.0,tiktok,uruguay,False,2024,,
5,Claudinioh ⚡️ @claudinio,1400000.0,,Uruguay,Entertainment and Music,420000.0,tiktok,uruguay,False,2024,Music,MAPPED
6,Alaska🇺🇾 @alaskkag,1400000.0,0.1,Uruguay,,420000.0,tiktok,uruguay,False,2024,,
7,Monteritooo🤪 @montero.okk._,1200000.0,,Uruguay,,360000.0,tiktok,uruguay,False,2024,,
8,Sheii Fernandez @sheikfernandez,1100000.0,,Uruguay,,330000.0,tiktok,uruguay,False,2024,,
9,rafatn30 @rafatn30,985300.0,0.3,Uruguay,Acting and Drama Celebrity,295600.0,tiktok,uruguay,False,2024,Entertainment,MAPPED
10,Joaquín @joacoouru,917000.0,,Uruguay,,275100.0,tiktok,uruguay,False,2024,,
11,sabrina_basualdoo @sabrina_basualdoo,909300.0,,Uruguay,,272800.0,tiktok,uruguay,False,2024,,
12,S E B A S 🥷 @sebasilencio,883100.0,,Uruguay,,264900.0,tiktok,uruguay,False,2024,,
13,Nathael Melo💕 @nathayfamilia,867500.0,,Uruguay,,260300.0,tiktok,uruguay,False,2024,,
14,JM22OFFICIAL Ⓜ️ @jm22official,867100.0,,Uruguay,Travel,260100.00000000003,tiktok,uruguay,False,2024,Lifestyle,MAPPED
15,Sergio_hagopian @sershyhagop,836500.0,,Uruguay,,251000.0,tiktok,uruguay,False,2024,,
16,DiegoMartins🇺🇾 @diego_martins25,803800.0,,Uruguay,,241100.0,tiktok,uruguay,False,2024,,
17,Seba González @sebastandup,779000.0,0.1,Uruguay,,233700.0,tiktok,uruguay,False,2024,,
18,Santi Ibarbourou @santi_ibarbourou,776600.0,,Uruguay,,233000.0,tiktok,uruguay,False,2024,,
19,•𝔸𝕟𝕥𝕠𝕟𝕖𝕝𝕝𝕒• @aanto.contreras,758400.0,,Uruguay,,227500.0,tiktok,uruguay,False,2024,,
20,Lil_farra23 @lil_farra,722600.0,,Uruguay,,216800.0,tiktok,uruguay,False,2024,,
21,KinoRules @kinorules,711600.0,0.3,Uruguay,,213500.0,tiktok,uruguay,False,2024,,
22,Diego Ugarte @_diego_tm,660800.0,,Uruguay,,198200.0,tiktok,uruguay,False,2024,,
23,𝐀𝐧𝐧𝐝𝐲 @annviera44,625400.0,0.2,Uruguay,Fashion and Accessories,187600.0,tiktok,uruguay,False,2024,Beauty&Fashion,MAPPED
24,Rusa @r4luz,595900.0,0.1,Uruguay,,178800.0,tiktok,uruguay,False,2024,,
25,Fabi Morales @fabi.moralees,594900.0,,Uruguay,,178500.0,tiktok,uruguay,False,2024,,
26,Fefo Alegre @felialegrev,593000.0,,Uruguay,,177900.0,tiktok,uruguay,False,2024,,
27,francomoreeira @francomoreeira,585800.0,,Uruguay,,175700.0,tiktok,uruguay,False,2024,,
28,Harryh @iharryh,576700.0,,Uruguay,,173000.0,tiktok,uruguay,False,2024,,
29,Mathias Crosa @mathiascrosa,565900.0,,Uruguay,,169800.0,tiktok,uruguay,False,2024,,
30,Tabaré Alonso @tabarealonso,537200.0,,Uruguay,Travel,161200.0,tiktok,uruguay,False,2024,Lifestyle,MAPPED
31,Luciana @luucolombo,534400.0,,Uruguay,,160300.0,tiktok,uruguay,False,2024,,
32,Javo Machado @javomachado,531800.0,,Uruguay,,159500.0,tiktok,uruguay,False,2024,,
33,Vicenzo Anza @vicenzoanza.vb,504800.0,0.9,Uruguay,,151400.0,tiktok,uruguay,False,2024,,
34,PABLITOㅤSBㅤぞ @pablo.a30,484100.0,0.1,Uruguay,,145200.0,tiktok,uruguay,False,2024,,
35,Matt👑 @matt_k9,482100.0,,Uruguay,,144600.0,tiktok,uruguay,False,2024,,
36,Valentino @vlazzz,475700.0,0.1,Uruguay,,142700.0,tiktok,uruguay,False,2024,,
37,Florencia Romero @florenciaromerosk,474600.0,,Uruguay,,142400.0,tiktok,uruguay,False,2024,,
38,Los intocables @uncanalsinfiltro,458500.0,0.5,Uruguay,Entertainment and Music,137600.0,tiktok,uruguay,False,2024,Music,MAPPED
39,✨FACU FUEN✨ @facufuen,443400.0,,Uruguay,,133000.0,tiktok,uruguay,False,2024,,
40,Tisi @tisiicarballoo,437800.0,,Uruguay,,131300.0,tiktok,uruguay,False,2024,,
41,Umi @uminaoh,433400.0,0.1,Uruguay,,130000.0,tiktok,uruguay,False,2024,,
42,Luchito Cairo @luchitocairo,430200.0,,Uruguay,,129100.0,tiktok,uruguay,False,2024,,
43,Ange✨ @angelabermudez20,423200.0,,Uruguay,,127000.0,tiktok,uruguay,False,2024,,
44,Selva Perez @selvaperez,407300.0,,Uruguay,Acting and Drama,122200.0,tiktok,uruguay,False,2024,Entertainment,MAPPED
45,fonserga2 @fonserga2,394900.0,0.1,Uruguay,,118500.0,tiktok,uruguay,False,2024,,
46,aguirrealvarez.f @aguirrealvarez.f,394100.0,1.5,Uruguay,,118200.0,tiktok,uruguay,False,2024,,
47,Agus Burgueño @agusburgueo,393700.0,0.5,Uruguay,,118100.0,tiktok,uruguay,False,2024,,
48,Emiliano Medina @emimedina.13,389500.0,,Uruguay,,116900.0,tiktok,uruguay,False,2024,,
