uniqueId,handle,name,_platform,_year,_month,category_unified,populated_category,number_videos_last_year,processed_at_unix,status,_country,_is_global,category_1,category_2,category_primary,category_status,comments_avg,country,engagement_total,engagement_auth,er,followers,id,likes_avg,potential_reach,shares_avg,source_file,topic_of_influence,topic_of_influence_en,views_avg,engagement_count,er_pct
1,leomessi,Leo Messi,instagram,2022,december,Sports,Sports,,,,,,Sports with a ball,Family,,MAPPED,,Argentina,23400000.0,17800000.0,,409800000.0,,,,,preprocessedData.csv,,,,23400000.0,5.710102489019034
2,cristiano,Cristiano Ronaldo,instagram,2022,december,Sports,Sports,,,,,,Sports with a ball,,,MAPPED,,India,14700000.0,11700000.0,,523000000.0,,,,,preprocessedData.csv,,,,14700000.0,2.810707456978968
3,neymarjr,NJ 🇧🇷,instagram,2022,december,Sports,Sports,,,,,,Sports with a ball,,,MAPPED,,Brazil,9500000.0,6700000.0,,198900000.0,,,,,preprocessedData.csv,,,,9500000.0,4.776269482151835
4,kyliejenner,Kylie 🤍,instagram,2022,december,Beauty&Fashion,Beauty&Fashion,,,,,,Fashion,Modeling,,MAPPED,,United States,4300000.0,2700000.0,,376300000.0,,,,,preprocessedData.csv,,,,4300000.0,1.1427052883337763
5,kendalljenner,Kendall,instagram,2022,december,Beauty&Fashion,Beauty&Fashion,,,,,,Modeling,Fashion,,MAPPED,,United States,5000000.0,3200000.0,,268000000.0,,,,,preprocessedData.csv,,,,5000000.0,1.8656716417910446
6,arianagrande,Ariana Grande,instagram,2022,december,Music,Music,,,,,,Music,,,MAPPED,,United States,3400000.0,2500000.0,,345900000.0,,,,,preprocessedData.csv,,,,3400000.0,0.9829430471234462
22063,selenagomez,Selena Gomez,instagram,2022,december,Lifestyle,Music,,,,,,Photography,Music,,MAPPED,,United States,2900000.0,2200000.0,,365400000.0,,,,,preprocessedData.csv,,,,2900000.0,0.7936507936507936
8,kimkardashian,Kim Kardashian,instagram,2022,december,Beauty&Fashion,Beauty&Fashion,,,,,,Fashion,Beauty,,MAPPED,,United States,2600000.0,1800000.0,,337400000.0,,,,,preprocessedData.csv,,,,2600000.0,0.7705986959098993
9,k.mbappe,Kylian Mbappé,instagram,2022,december,Sports,Sports,,,,,,Sports with a ball,,,MAPPED,,France,8400000.0,6000000.0,,90400000.0,,,,,preprocessedData.csv,,,,8400000.0,9.29203539823009
10,taylorswift,Taylor Swift,instagram,2022,december,Music,Music,,,,,,Music,,,MAPPED,,Brazil,3000000.0,2300000.0,,236500000.0,,,,,preprocessedData.csv,,,,3000000.0,1.2684989429175475
